期間,資產淨額=負債淨值淨額_原始值,資產淨額=負債淨值淨額_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-政府債券_原始值,資產--對非金融機構證券投資-政府債券_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--通貨發行額_原始值,負債與淨值--通貨發行額_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-計_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-計_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-支票存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-支票存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-活期存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-活期存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-活期儲蓄存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-活期儲蓄存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-定期存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-定期存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-定期儲蓄存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-定期儲蓄存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-外匯存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-外匯存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-郵政儲金_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-郵政儲金_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-貨幣市場共同基金_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-貨幣市場共同基金_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--信託資金_原始值,負債與淨值--信託資金_年增率(%),負債與淨值--人壽保險準備_原始值,負債與淨值--人壽保險準備_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%),負債與淨值--其他項目(淨額)_原始值,負債與淨值--其他項目(淨額)_年增率(%)
2001M05,"24,582,500",6.15,"5,411,768",21.30,"15,087,738",1.22,"2,023,619",13.56,"366,546",3.44,"12,697,573",-0.56,"1,363,928",20.21,"109,411",-0.45,"1,880,452",-1.46,"298,980",34.53,"259,435",6.86,"170,788",-1.40,"419,642",-24.96,"686,427",-1.51,"18,039,986",5.68,"229,412",-15.28,"924,310",-9.16,"2,570,553",-3.36,"3,208,635",-4.47,"6,971,675",7.65,"1,164,342",77.51,"2,971,059",12.92,-,-,"918,154",-3.16,"567,317",25.87,"2,674,379",16.16,"107,035",23.66,"2,540,253",10.12,"-1,370,693",--
2001M06,"24,795,413",6.39,"5,514,357",22.05,"15,191,600",1.12,"2,041,828",12.93,"369,694",1.04,"12,780,078",-0.54,"1,367,979",18.37,"107,768",-7.24,"1,860,705",1.33,"324,925",38.81,"260,345",5.00,"167,734",-4.14,"419,111",-18.51,"694,249",-1.21,"18,373,197",6.52,"284,402",0.22,"970,147",-8.84,"2,676,552",0.72,"3,194,270",-4.83,"7,010,342",7.70,"1,230,784",73.70,"3,006,700",12.68,-,-,"903,720",-4.85,"587,169",28.02,"2,715,460",16.20,"105,876",26.33,"2,579,657",10.61,"-1,583,026",--
2001M07,"25,011,380",7.04,"5,704,712",26.81,"15,131,746",0.70,"2,027,346",10.53,"422,348",11.29,"12,682,052",-1.03,"1,401,720",23.51,"110,206",-6.34,"1,948,826",1.43,"280,348",17.24,"262,226",4.79,"171,596",-3.05,"480,571",-4.20,"686,943",-1.39,"18,345,355",6.72,"362,002",36.28,"899,085",-10.22,"2,606,031",-0.90,"3,148,169",-5.28,"7,043,767",7.82,"1,249,320",70.98,"3,036,981",12.25,-,-,"964,538",-0.71,"609,102",31.21,"2,752,380",16.39,"108,889",34.16,"2,655,870",12.58,"-1,592,268",--
2001M08,"25,076,098",7.26,"5,898,576",31.09,"14,940,132",-0.29,"1,971,167",8.72,"413,163",15.52,"12,555,802",-2.00,"1,453,530",27.60,"109,727",-9.23,"1,959,280",0.16,"284,929",11.13,"263,211",4.10,"166,713",-2.20,"531,887",16.21,"678,839",-1.61,"18,379,842",6.31,"228,554",-13.32,"975,779",-6.33,"2,663,917",2.05,"3,162,530",-4.77,"7,104,407",7.99,"1,190,523",57.33,"3,054,132",12.45,-,-,"919,311",-1.73,"630,450",33.91,"2,782,607",16.29,"125,965",61.53,"2,670,684",12.86,"-1,643,487",--
2001M09,"25,210,688",7.40,"6,049,349",31.98,"14,942,088",-0.69,"2,004,830",9.49,"409,183",13.82,"12,528,075",-2.55,"1,464,083",30.69,"110,951",-5.58,"1,932,848",-0.09,"281,692",15.60,"265,544",4.37,"164,133",-4.93,"602,536",25.08,"693,703",1.05,"18,375,401",6.21,"266,765",8.54,"947,314",-5.05,"2,706,195",6.75,"3,117,296",-6.39,"7,148,825",8.12,"1,128,384",33.01,"3,060,622",12.01,-,-,"948,275",-2.16,"638,636",35.42,"2,816,372",16.12,"147,158",104.26,"2,672,849",12.24,"-1,684,242",--
2001M10,"25,132,092",6.48,"6,053,580",28.91,"14,833,707",-2.18,"2,024,528",6.86,"402,144",11.42,"12,407,035",-3.88,"1,535,756",33.02,"104,389",-3.04,"1,918,380",5.86,"257,700",6.30,"266,148",4.76,"162,432",-5.34,"531,271",21.59,"674,068",-1.04,"18,349,653",5.49,"228,423",-8.51,"953,352",-3.00,"2,750,741",9.35,"3,067,558",-7.80,"7,161,776",8.25,"1,136,673",17.32,"3,051,130",11.58,-,-,"905,410",-0.84,"658,080",37.12,"2,836,012",15.70,"154,774",106.56,"2,690,844",8.71,"-1,668,020",--
2001M11,"25,184,120",5.18,"6,146,142",25.17,"14,764,141",-2.86,"2,044,290",4.47,"400,032",10.92,"12,319,819",-4.36,"1,540,698",28.46,"115,040",5.53,"1,920,994",4.75,"262,992",-0.54,"267,708",4.27,"166,405",-3.21,"535,058",12.48,"679,719",-0.29,"18,406,464",4.77,"226,069",-10.44,"954,049",-2.58,"2,877,687",13.17,"3,034,044",-9.01,"7,162,931",8.21,"1,102,572",3.00,"3,049,112",10.10,-,-,"920,969",0.19,"680,032",30.65,"2,876,678",16.37,"183,839",121.97,"2,652,961",2.92,"-1,751,600",--
2001M12,"25,629,805",5.40,"6,352,382",26.91,"15,067,541",-2.19,"2,134,732",3.47,"460,515",19.78,"12,472,294",-3.75,"1,572,587",27.57,"105,020",4.43,"1,856,941",2.75,"238,447",-26.74,"268,112",3.68,"168,775",-7.31,"540,096",17.76,"692,912",-2.21,"18,750,913",4.55,"274,532",-14.54,"1,118,498",6.15,"3,107,171",19.99,"2,967,276",-10.83,"7,140,862",7.60,"1,101,348",-6.42,"3,041,226",7.48,-,-,"949,400",1.14,"700,131",41.00,"2,919,504",17.14,"202,611",121.03,"2,681,307",9.43,"-1,807,069",--
2002M01,"25,893,070",5.93,"6,461,201",30.00,"14,970,293",-2.36,"2,222,818",5.39,"465,543",16.90,"12,281,932",-4.24,"1,619,020",24.88,"109,077",-0.62,"1,941,283",5.64,"247,066",-39.70,"269,930",4.03,"275,200",21.01,"555,867",38.03,"821,004",-10.23,"18,800,282",4.25,"246,319",0.36,"1,065,290",12.07,"3,264,392",19.92,"2,888,142",-12.29,"7,128,850",6.16,"1,124,993",-2.69,"3,082,296",4.45,-,-,"942,417",6.69,"723,198",43.97,"2,957,068",17.39,"212,479",123.80,"2,666,664",11.16,"-1,785,909",--
2002M02,"25,860,420",6.17,"6,575,899",30.72,"14,858,113",-2.44,"2,222,039",4.56,"470,845",25.21,"12,165,229",-4.43,"1,658,141",27.31,"105,248",-12.35,"1,965,035",3.88,"239,339",-30.10,"272,453",4.63,"186,192",3.91,"545,080",30.03,"795,413",6.85,"18,908,139",4.07,"272,791",-3.61,"1,016,153",8.88,"3,319,404",23.00,"2,863,044",-14.19,"7,150,746",4.81,"1,154,206",3.29,"3,131,795",5.17,-,-,"926,224",3.21,"760,498",47.37,"2,990,716",17.54,"218,961",124.82,"2,692,075",12.76,"-1,976,686",--
