期間,總成交值(十億元)_原始值,總成交值(十億元)_年增率(%),成交量(十億股)_原始值,成交量(十億股)_年增率(%),日平均值(十億元)_原始值,日平均值(十億元)_年增率(%),交易日數_原始值,交易日數_年增率(%),交易所股價指數(月平均)_原始值,交易所股價指數(月平均)_年增率(%),交易人數_原始值,交易人數_年增率(%)
2011M07,"2,434.83",8.90,54.54,-16.94,115.94,14.08,21,-4.55,"8,681.24",13.65,"1,478,324",3.06
2011M08,"2,924.82",7.32,72.45,-12.86,127.17,2.66,23,4.55,"7,763.33",-1.53,"1,747,417",6.08
2011M09,"2,135.85",-18.80,53.62,-24.80,101.71,-18.79,21,0.00,"7,385.13",-8.14,"1,410,515",-12.07
2011M10,"1,818.49",-23.82,44.09,-33.76,90.92,-20.01,20,-4.76,"7,345.08",-10.54,"1,232,236",-20.65
2011M11,"1,899.71",-18.27,50.73,-17.82,86.35,-18.27,22,0.00,"7,275.44",-12.87,"1,377,522",-9.54
2011M12,"1,450.76",-52.79,41.78,-53.02,65.94,-50.64,22,-4.35,"6,969.15",-20.60,"1,120,909",-37.29
2012M01,"1,352.93",-48.39,37.48,-50.62,90.20,-31.18,15,-25.00,"7,176.74",-20.00,"1,141,570",-32.15
2012M02,"2,779.92",45.65,74.42,54.59,139.00,1.96,20,42.86,"7,855.93",-10.14,"1,545,715",4.45
2012M03,"2,296.00",-12.79,58.25,-9.55,99.83,-12.78,23,0.00,"8,020.00",-6.48,"1,464,497",-9.59
2012M04,"1,516.62",-28.80,36.61,-28.16,75.83,-32.36,20,5.26,"7,620.82",-14.00,"1,215,525",-17.11
2012M05,"1,605.05",-26.13,39.48,-20.58,72.96,-29.49,22,4.76,"7,356.84",-17.44,"1,168,051",-19.27
2012M06,"1,337.35",-35.32,33.50,-24.92,63.68,-35.32,21,0.00,"7,142.52",-18.36,"991,809",-26.62
2012M07,"1,452.99",-40.32,36.82,-32.49,66.05,-43.03,22,4.76,"7,187.14",-17.21,"1,100,596",-25.55
2012M08,"1,666.63",-43.02,42.39,-41.49,75.76,-40.43,22,-4.35,"7,409.60",-4.56,"1,128,186",-35.44
2012M09,"1,705.58",-20.15,47.60,-11.23,85.28,-16.15,20,-4.76,"7,610.38",3.05,"1,247,483",-11.56
2012M10,"1,385.88",-23.79,36.67,-16.83,62.99,-30.72,22,10.00,"7,438.14",1.27,"1,168,166",-5.20
2012M11,"1,512.67",-20.37,39.27,-22.59,68.76,-20.37,22,0.00,"7,255.63",-0.27,"1,051,134",-23.69
2012M12,"1,626.54",12.12,48.22,15.41,77.45,17.46,21,-4.55,"7,630.81",9.49,"1,138,236",1.55
2013M01,"1,716.89",26.90,50.30,34.20,78.04,-13.48,22,46.67,"7,759.25",8.12,"1,185,666",3.86
2013M02,"1,021.18",-63.27,30.61,-58.87,78.55,-43.49,13,-35.00,"7,932.68",0.98,"1,004,890",-34.99
2013M03,"1,607.47",-29.99,46.12,-20.82,76.55,-23.32,21,-8.70,"7,906.99",-1.41,"1,216,721",-16.92
2013M04,"1,460.62",-3.69,40.98,11.94,73.03,-3.69,20,0.00,"7,893.42",3.58,"1,202,073",-1.11
2013M05,"1,822.58",13.55,56.29,42.58,82.84,13.54,22,0.00,"8,272.34",12.44,"1,270,128",8.74
2013M06,"1,482.41",10.85,42.95,28.21,78.02,22.52,19,-9.52,"7,988.80",11.85,"1,170,973",18.06
2013M07,"1,880.00",29.39,51.13,38.86,81.74,23.75,23,4.55,"8,101.91",12.73,"1,202,603",9.27
2013M08,"1,564.10",-6.15,43.55,2.74,74.48,-1.69,21,-4.55,"7,932.02",7.05,"1,182,033",4.77
2013M09,"1,508.77",-11.54,42.35,-11.03,75.44,-11.54,20,0.00,"8,193.46",7.66,"1,200,093",-3.80
2013M10,"1,747.14",26.07,50.77,38.45,79.42,26.08,22,0.00,"8,366.18",12.48,"1,312,894",12.39
2013M11,"1,547.51",2.30,44.31,12.83,73.69,7.17,21,-4.55,"8,236.52",13.52,"1,218,394",15.91
2013M12,"1,582.25",-2.72,43.79,-9.19,71.92,-7.14,22,4.76,"8,431.40",10.49,"1,251,422",9.94
2014M01,"1,756.82",2.33,47.86,-4.85,97.60,25.06,18,-18.18,"8,566.62",10.41,"1,280,283",7.98
2014M02,"1,515.74",48.43,40.82,33.36,89.16,13.51,17,30.77,"8,496.09",7.10,"1,222,313",21.64
2014M03,"1,965.99",22.30,50.87,10.30,93.62,22.30,21,0.00,"8,687.45",9.87,"1,379,180",13.35
2014M04,"1,935.18",32.49,49.67,21.21,92.15,26.18,21,5.00,"8,900.14",12.75,"1,382,429",15.00
2014M05,"1,852.01",1.61,46.79,-16.88,88.19,6.46,21,-4.55,"8,936.23",8.03,"1,288,794",1.47
2014M06,"1,969.85",32.88,51.17,19.14,98.49,26.24,20,5.26,"9,229.31",15.53,"1,329,354",13.53
2014M07,"2,453.16",30.49,64.76,26.66,111.51,36.42,22,-4.35,"9,474.13",16.94,"1,477,712",22.88
