期間,資產淨額=負債淨值淨額_原始值,資產淨額=負債淨值淨額_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對人壽保險公司等債權_原始值,資產--對人壽保險公司等債權_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--通貨發行額_原始值,負債與淨值--通貨發行額_年增率(%),負債與淨值--企業及個人存款與貨幣市場-計_原始值,負債與淨值--企業及個人存款與貨幣市場-計_年增率(%),負債與淨值--企業及個人存款與貨幣市場-支票存款_原始值,負債與淨值--企業及個人存款與貨幣市場-支票存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-活期存款_原始值,負債與淨值--企業及個人存款與貨幣市場-活期存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-活期儲蓄存款_原始值,負債與淨值--企業及個人存款與貨幣市場-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-定期存款_原始值,負債與淨值--企業及個人存款與貨幣市場-定期存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-定期儲蓄存款_原始值,負債與淨值--企業及個人存款與貨幣市場-定期儲蓄存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-外匯存款_原始值,負債與淨值--企業及個人存款與貨幣市場-外匯存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-郵政儲金_原始值,負債與淨值--企業及個人存款與貨幣市場-郵政儲金_年增率(%),負債與淨值--企業及個人存款與貨幣市場-貨幣市場共同基金_原始值,負債與淨值--企業及個人存款與貨幣市場-貨幣市場共同基金_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對人壽保險公司等負債_原始值,負債與淨值--對人壽保險公司等負債_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%),負債與淨值--其他項目(淨額)_原始值,負債與淨值--其他項目(淨額)_年增率(%)
2005M09,"29,716,598",8.77,"10,446,097",10.01,"16,746,382",9.12,"1,807,634",-1.09,"538,917",19.28,"14,399,831",10.20,"1,146,999",2.47,"100,532",21.57,"914,143",0.84,"160,666",6.99,"5,919",-82.51,281,0.00,"195,579",4.85,"1,982,685",36.91,"902,519",8.50,"22,354,128",6.31,"304,834",-0.73,"1,778,037",6.19,"4,691,365",5.05,"2,961,683",7.11,"7,689,485",4.75,"1,306,990",9.29,"3,620,995",10.45,739,-,"1,004,337",6.01,"179,163",19.29,"784,206",20.73,"3,012,957",-1.95,"-503,397",--
2005M10,"29,769,700",8.93,"10,498,971",10.49,"16,696,237",8.70,"1,720,322",-5.96,"540,694",20.59,"14,435,221",10.34,"1,175,812",3.23,"101,077",18.87,"933,587",5.28,"166,823",14.89,"4,261",-85.20,281,0.00,"192,651",6.06,"1,927,517",31.32,"904,878",8.54,"22,320,425",6.14,"302,919",-8.74,"1,710,504",6.22,"4,660,598",4.29,"2,953,973",6.85,"7,719,973",4.91,"1,338,047",11.66,"3,633,680",10.25,731,-56.38,"972,745",2.05,"184,945",22.93,"785,114",16.80,"3,220,025",5.40,"-545,949",--
2005M11,"29,931,704",9.26,"10,508,748",11.62,"16,824,053",7.83,"1,742,911",-8.35,"544,449",22.09,"14,536,693",9.67,"1,175,764",8.35,"104,794",21.20,"935,160",9.57,"182,473",32.89,"5,529",-78.54,281,0.00,"194,902",3.81,"1,870,592",29.87,"910,571",8.04,"22,546,950",6.89,"304,981",2.73,"1,737,408",4.63,"4,742,445",6.61,"2,970,392",5.39,"7,735,967",4.91,"1,405,302",18.57,"3,649,214",10.31,"1,241",-53.93,"954,373",1.09,"184,305",10.68,"797,863",17.75,"3,142,353",11.69,"-475,303",--
2005M12,"30,365,629",9.65,"10,613,957",13.34,"17,158,349",8.13,"1,782,204",-7.05,"557,852",22.30,"14,818,293",9.81,"1,182,856",6.27,"103,828",17.36,"915,167",2.28,"192,724",35.95,"5,924",-82.98,281,0.00,"192,543",2.91,"1,988,874",43.13,"922,910",7.70,"22,990,663",6.82,"383,098",19.79,"1,869,647",4.55,"4,888,036",6.49,"2,992,000",5.03,"7,758,841",4.81,"1,437,043",15.45,"3,660,395",10.05,"1,603",7.30,"931,901",0.73,"208,628",22.12,"811,192",14.41,"2,775,927",7.48,"-264,466",--
2006M01,"30,436,148",8.82,"10,361,602",9.59,"17,255,743",8.62,"1,894,509",-2.58,"565,780",24.13,"14,795,454",9.71,"1,224,602",7.78,"98,079",7.40,"1,030,354",15.74,"169,308",20.44,"3,315",-89.56,1,-99.64,"293,144",-13.45,"1,827,204",23.77,"1,319,028",23.54,"23,016,776",6.71,"384,148",13.77,"1,592,717",-5.72,"4,962,900",8.03,"3,052,963",6.69,"7,791,463",4.93,"1,441,596",17.80,"3,788,857",10.25,"2,132",92.77,"819,892",-8.37,"197,762",6.39,"814,232",12.61,"2,725,956",6.41,"-284,702",--
2006M02,"30,488,988",9.47,"10,510,044",11.72,"17,243,591",8.32,"1,929,915",-2.97,"570,595",22.47,"14,743,081",9.50,"1,244,965",8.10,"112,632",22.68,"995,019",11.07,"167,020",17.84,"2,264",-91.74,1,-99.64,"213,452",-1.74,"1,882,530",31.12,"1,007,411",0.84,"23,171,245",6.95,"349,168",7.64,"1,824,344",14.10,"4,833,905",3.01,"3,057,811",4.72,"7,836,351",4.87,"1,470,771",24.50,"3,796,497",9.27,"2,398",136.49,"849,430",-3.46,"198,100",6.50,"818,567",12.57,"2,767,113",13.81,"-205,408",--
2006M03,"30,337,483",7.67,"10,422,545",8.51,"17,202,903",6.80,"1,923,647",-4.99,"565,680",25.12,"14,713,576",7.94,"1,247,096",9.09,"111,602",22.50,"987,065",12.45,"167,320",30.58,"2,153",-92.26,1,-99.64,"196,798",1.32,"1,772,183",10.53,"960,058",4.49,"23,151,947",6.18,"293,688",-0.49,"1,777,686",4.36,"4,837,828",4.06,"3,043,777",2.58,"7,854,457",4.42,"1,520,209",29.20,"3,821,450",9.50,"2,852",206.34,"858,908",-2.92,"178,918",-7.68,"822,430",12.53,"2,835,209",9.34,"-242,170",--
2006M04,"30,519,183",7.77,"10,461,444",7.66,"17,229,112",6.94,"1,921,483",-2.24,"573,143",26.17,"14,734,486",7.61,"1,262,207",8.30,"108,859",16.95,"1,072,397",22.07,"182,542",38.83,"2,126",-91.13,1,-99.64,"200,495",2.09,"1,739,654",-4.88,"959,806",4.96,"23,342,919",7.09,"341,537",3.36,"1,718,132",5.75,"4,947,070",7.56,"3,045,829",1.40,"7,859,922",4.06,"1,582,847",34.56,"3,844,752",9.61,"2,830",232.16,"870,709",2.22,"188,207",-2.56,"844,959",14.82,"2,760,777",8.96,"-187,848",--
2006M05,"30,762,476",8.07,"10,519,726",8.20,"17,318,088",6.24,"1,858,901",-4.43,"584,294",25.25,"14,874,893",7.09,"1,340,688",17.79,"114,378",25.81,"1,082,108",25.04,"187,841",46.68,"3,067",-87.54,1,-99.64,"196,579",1.38,"1,749,858",-3.69,"951,898",5.70,"23,298,329",7.14,"347,942",18.55,"1,740,514",7.77,"4,881,784",6.43,"3,068,242",2.33,"7,831,562",3.43,"1,566,392",33.64,"3,859,129",10.02,"2,764",244.64,"922,799",2.75,"204,237",12.71,"857,697",15.48,"2,824,752",13.68,"-47,094",--
2006M06,"30,957,561",7.47,"10,695,264",8.49,"17,334,066",5.25,"1,723,580",-8.48,"599,642",27.33,"15,010,844",6.35,"1,399,897",22.56,"112,004",23.13,"1,018,658",15.47,"196,120",31.82,"6,756",-71.74,1,-99.64,"194,795",2.52,"1,833,567",2.44,"942,519",4.88,"23,380,143",5.24,"309,207",-1.07,"1,848,984",3.43,"4,806,148",3.10,"3,129,068",1.36,"7,805,885",2.75,"1,604,619",28.69,"3,873,371",9.98,"2,861",269.16,"980,891",0.47,"195,411",5.93,"873,008",12.11,"2,921,301",15.71,"-169,279",--
2006M07,"31,027,349",7.29,"10,833,561",8.62,"17,224,936",4.70,"1,647,053",-11.26,"602,783",25.50,"14,975,100",6.10,"1,421,719",23.60,"105,383",12.54,"1,039,003",17.32,"200,398",36.03,"5,382",-77.79,1,-99.64,"196,966",2.12,"1,950,325",6.35,"939,867",3.92,"23,354,993",4.83,"308,561",-11.06,"1,797,684",2.55,"4,782,924",1.72,"3,138,389",4.05,"7,810,968",2.59,"1,586,752",25.38,"3,926,343",9.65,"3,372",301.43,"1,001,193",6.13,"213,973",14.70,"876,019",11.96,"3,018,021",14.29,"-327,042",--
2006M08,"31,178,515",6.18,"10,957,310",6.14,"17,253,210",4.31,"1,575,544",-13.76,"603,704",26.66,"15,073,962",5.88,"1,419,108",24.44,"104,272",8.36,"1,056,935",16.49,"193,901",25.31,"1,864",-72.97,1,-99.64,"191,914",-1.30,"1,973,239",2.43,"928,232",3.29,"23,483,440",5.59,"322,876",1.44,"1,872,413",6.30,"4,847,825",3.22,"3,095,044",4.98,"7,826,065",2.19,"1,567,494",24.62,"3,948,315",9.69,"3,408",274.09,"928,929",-9.33,"208,901",11.54,"871,367",11.11,"3,110,933",6.87,"-326,526",--
2006M09,"31,591,932",6.31,"11,225,091",7.46,"17,337,521",3.53,"1,525,518",-15.61,"592,201",9.89,"15,219,802",5.69,"1,434,289",25.05,"104,377",3.82,"1,101,396",20.48,"197,218",22.75,"1,803",-69.54,1,-99.64,"190,236",-2.73,"2,264,468",14.21,"932,847",3.36,"23,651,104",5.80,"360,380",18.22,"1,856,041",4.39,"4,968,776",5.91,"3,107,261",4.92,"7,838,523",1.94,"1,536,983",17.60,"3,980,015",9.91,"3,125",322.87,"906,461",-9.75,"213,191",18.99,"862,363",9.97,"3,145,820",4.41,"-384,322",--
2006M10,"31,398,487",5.47,"11,070,844",5.45,"17,317,610",3.72,"1,494,238",-13.14,"604,274",11.76,"15,219,098",5.43,"1,411,560",20.05,"106,891",5.75,"1,095,678",17.36,"198,434",18.95,"1,787",-58.06,1,-99.64,"195,682",1.57,"1,961,119",1.74,"937,726",3.63,"23,652,298",5.97,"305,351",0.80,"1,880,173",9.92,"4,947,989",6.17,"3,147,566",6.55,"7,827,164",1.39,"1,552,102",16.00,"3,988,698",9.77,"3,255",345.28,"928,381",-4.56,"209,288",13.16,"874,828",11.43,"3,235,299",0.47,"-400,452",--
2006M11,"31,456,749",5.10,"11,019,142",4.86,"17,378,724",3.30,"1,520,689",-12.75,"577,455",6.06,"15,280,580",5.12,"1,433,998",21.96,"106,236",1.38,"1,125,494",20.35,"195,936",7.38,"1,780",-67.81,1,-99.64,"195,438",0.28,"1,844,574",-1.39,"937,636",2.97,"23,788,817",5.51,"300,270",-1.54,"1,857,544",6.91,"4,996,726",5.36,"3,163,869",6.51,"7,811,668",0.98,"1,664,339",18.43,"3,990,599",9.36,"3,802",206.37,"924,098",-3.17,"223,455",21.24,"892,527",11.86,"3,135,891",-0.21,"-290,249",--
2006M12,"31,927,680",5.14,"11,227,432",5.78,"17,598,943",2.57,"1,611,281",-9.59,"525,391",-5.82,"15,462,271",4.35,"1,442,945",21.99,"123,333",18.79,"1,127,633",23.22,"204,614",6.17,"1,708",-71.17,1,-99.64,"201,071",4.43,"1,913,993",-3.76,"959,792",4.00,"24,171,821",5.14,"368,535",-3.80,"1,942,742",3.91,"5,152,628",5.41,"3,207,793",7.21,"7,799,752",0.53,"1,693,697",17.86,"4,002,250",9.34,"4,424",175.98,"901,968",-3.21,"236,295",13.26,"925,915",14.14,"3,011,388",8.48,"-193,492",--
2007M01,"32,046,004",5.29,"11,309,723",9.15,"17,640,666",2.23,"1,727,345",-8.82,"547,335",-3.26,"15,365,986",3.86,"1,449,592",18.37,"122,054",24.44,"1,091,553",5.94,"199,258",17.69,"11,644",251.25,1,0.00,"221,513",-24.44,"1,868,571",2.26,"995,362",-24.54,"24,224,704",5.25,"313,889",-18.29,"1,977,468",24.16,"5,151,730",3.80,"3,225,257",5.64,"7,768,293",-0.30,"1,702,281",18.08,"4,081,524",7.72,"4,262",99.91,"910,710",11.08,"216,911",9.68,"923,815",13.46,"3,102,551",13.82,"-196,620",--
2007M02,"32,301,117",5.94,"11,342,747",7.92,"17,714,935",2.73,"1,776,337",-7.96,"556,399",-2.49,"15,382,199",4.34,"1,466,683",17.81,"122,165",8.46,"1,127,380",13.30,"199,164",19.25,"17,060",653.53,1,0.00,"310,982",45.69,"1,769,928",-5.98,"1,267,342",25.80,"24,367,725",5.16,"348,036",-0.32,"1,877,597",2.92,"5,268,723",9.00,"3,249,036",6.25,"7,764,815",-0.91,"1,714,342",16.56,"4,139,476",9.03,"5,700",137.70,"822,915",-3.12,"223,194",12.67,"930,130",13.63,"3,161,312",14.25,"-241,429",--
2007M03,"32,254,727",6.32,"11,373,473",9.12,"17,745,860",3.16,"1,746,169",-9.23,"542,534",-4.09,"15,457,157",5.05,"1,484,398",19.03,"123,980",11.09,"1,106,744",12.12,"190,120",13.63,"26,422","1,127.22",1,0.00,"203,729",3.52,"1,833,010",3.43,"1,025,931",6.86,"24,454,636",5.63,"337,209",14.82,"1,918,983",7.95,"5,240,953",8.33,"3,299,887",8.41,"7,762,812",-1.17,"1,750,631",15.16,"4,138,872",8.31,"5,289",85.45,"833,415",-2.97,"232,539",29.97,"942,014",14.54,"3,235,975",14.14,"-302,793",--
