期間,義務機關(構)數(個)_原始值,義務機關(構)數(個)_年增率(%),義務機關(構)數(個)_原始值,義務機關(構)數(個)_年增率(%),義務機關(構)數(個)_原始值,義務機關(構)數(個)_年增率(%),法定進用人數(人)_原始值,法定進用人數(人)_年增率(%),法定進用人數(人)_原始值,法定進用人數(人)_年增率(%),法定進用人數(人)_原始值,法定進用人數(人)_年增率(%),實際進用人數(人)_原始值,實際進用人數(人)_年增率(%),實際進用人數(人)_原始值,實際進用人數(人)_年增率(%),實際進用人數(人)_原始值,實際進用人數(人)_年增率(%),未達法定進用機關(構)數(個)_原始值,未達法定進用機關(構)數(個)_年增率(%),未達法定進用機關(構)數(個)_原始值,未達法定進用機關(構)數(個)_年增率(%),未達法定進用機關(構)數(個)_原始值,未達法定進用機關(構)數(個)_年增率(%)
2012M04,"15,482",4.90,"4,342",2.16,"11,140",6.00,"50,782",4.00,"21,183",1.81,"29,599",5.62,"69,049",8.63,"26,065",4.23,"42,984",11.48,"1,619",-3.34,56,-41.67,"1,563",-1.01
2012M05,"15,506",3.26,"4,361",0.97,"11,145",4.18,"50,862",2.86,"21,281",1.39,"29,581",3.95,"69,365",8.82,"26,233",7.09,"43,132",9.90,"1,594",-5.74,43,-55.21,"1,551",-2.76
2012M06,"15,594",3.99,"4,353",0.76,"11,241",5.29,"50,870",2.89,"21,099",0.53,"29,771",4.62,"69,556",8.73,"25,873",5.49,"43,683",10.74,"1,605",-3.49,48,-44.19,"1,557",-1.27
2012M07,"15,503",3.04,"4,212",0.02,"11,291",4.21,"50,145",2.64,"20,320",-0.40,"29,825",4.83,"69,077",7.82,"25,160",2.14,"43,917",11.37,"1,617",-6.75,39,-52.44,"1,578",-4.48
2012M08,"15,597",2.94,"4,111",-0.24,"11,486",4.13,"50,158",2.12,"19,812",-0.79,"30,346",4.12,"69,285",6.74,"24,989",0.70,"44,296",10.48,"1,683",-6.13,39,-40.00,"1,644",-4.86
2012M09,"15,686",3.09,"4,313",1.15,"11,373",3.84,"50,842",2.37,"20,758",-0.08,"30,084",4.14,"69,337",3.89,"25,351",-0.58,"43,986",6.66,"1,679",-1.87,75,15.38,"1,604",-2.55
2012M10,"15,814",3.35,"4,377",1.65,"11,437",4.01,"51,761",2.95,"21,203",0.47,"30,558",4.74,"70,097",3.25,"25,636",-1.01,"44,461",5.88,"1,684",3.57,82,100.00,"1,602",1.07
2012M11,"15,779",2.67,"4,397",1.76,"11,382",3.03,"51,817",2.48,"21,314",0.44,"30,503",3.95,"69,874",2.38,"25,625",-1.53,"44,249",4.80,"1,641",-0.12,71,102.86,"1,570",-2.36
2012M12,"15,776",2.34,"4,387",1.53,"11,389",2.65,"51,770",1.92,"21,322",-0.11,"30,448",3.39,"69,823",2.07,"25,528",-2.14,"44,295",4.66,"1,622",-2.99,56,55.56,"1,566",-4.28
2013M01,"15,729",2.42,"4,383",1.55,"11,346",2.76,"51,706",2.06,"21,306",-0.04,"30,400",3.58,"69,759",2.74,"25,446",-2.83,"44,313",6.23,"1,593",-4.04,49,-3.92,"1,544",-4.04
2013M02,"15,732",3.03,"4,262",0.26,"11,470",4.10,"51,140",2.63,"20,583",-0.45,"30,557",4.81,"69,678",3.10,"24,892",-2.52,"44,786",6.52,"1,589",-0.87,44,-18.52,"1,545",-0.26
2013M03,"15,744",2.40,"4,382",0.55,"11,362",3.13,"51,527",2.21,"21,221",0.16,"30,306",3.70,"69,883",2.16,"25,258",-2.57,"44,625",5.05,"1,541",-3.45,45,-27.42,"1,496",-2.48
2013M04,"15,810",2.12,"4,379",0.85,"11,431",2.61,"51,700",1.81,"21,253",0.33,"30,447",2.86,"70,194",1.66,"25,175",-3.41,"45,019",4.73,"1,546",-4.51,62,10.71,"1,484",-5.05
2013M05,"15,787",1.81,"4,389",0.64,"11,398",2.27,"51,598",1.45,"21,294",0.06,"30,304",2.44,"70,164",1.15,"25,345",-3.39,"44,819",3.91,"1,539",-3.45,53,23.26,"1,486",-4.19
2013M06,"15,770",1.13,"4,393",0.92,"11,377",1.21,"51,547",1.33,"21,266",0.79,"30,281",1.71,"70,410",1.23,"25,493",-1.47,"44,917",2.82,"1,508",-6.04,35,-27.08,"1,473",-5.39
2013M07,"15,757",1.64,"4,225",0.31,"11,532",2.13,"51,126",1.96,"20,518",0.97,"30,608",2.63,"70,550",2.13,"25,200",0.16,"45,350",3.26,"1,550",-4.14,30,-23.08,"1,520",-3.68
2013M08,"15,767",1.09,"4,111",0.00,"11,656",1.48,"50,860",1.40,"19,939",0.64,"30,921",1.89,"70,616",1.92,"25,024",0.14,"45,592",2.93,"1,598",-5.05,40,2.56,"1,558",-5.23
2013M09,"15,914",1.45,"4,327",0.32,"11,587",1.88,"51,551",1.39,"20,886",0.62,"30,665",1.93,"70,879",2.22,"25,476",0.49,"45,403",3.22,"1,537",-8.46,53,-29.33,"1,484",-7.48
2013M10,"16,017",1.28,"4,391",0.32,"11,626",1.65,"52,299",1.04,"21,331",0.60,"30,968",1.34,"71,853",2.51,"25,815",0.70,"46,038",3.55,"1,562",-7.24,49,-40.24,"1,513",-5.56
2013M11,"16,083",1.93,"4,406",0.20,"11,677",2.59,"52,523",1.36,"21,413",0.46,"31,110",1.99,"71,906",2.91,"25,845",0.86,"46,061",4.10,"1,534",-6.52,39,-45.07,"1,495",-4.78
2013M12,"16,116",2.16,"4,406",0.43,"11,710",2.82,"52,661",1.72,"21,444",0.57,"31,217",2.53,"72,132",3.31,"25,850",1.26,"46,282",4.49,"1,514",-6.66,25,-55.36,"1,489",-4.92
2014M01,"15,998",1.71,"4,391",0.18,"11,607",2.30,"52,700",1.92,"21,382",0.36,"31,318",3.02,"71,359",2.29,"25,363",-0.33,"45,996",3.80,"1,532",-3.83,51,4.08,"1,481",-4.08
2014M02,"15,906",1.11,"4,262",0.00,"11,644",1.52,"51,875",1.44,"20,670",0.42,"31,205",2.12,"71,440",2.53,"25,244",1.41,"46,196",3.15,"1,534",-3.46,37,-15.91,"1,497",-3.11
2014M03,"15,987",1.54,"4,386",0.09,"11,601",2.10,"52,414",1.72,"21,295",0.35,"31,119",2.68,"71,817",2.77,"25,509",0.99,"46,308",3.77,"1,510",-2.01,39,-13.33,"1,471",-1.67
2014M04,"16,143",2.11,"4,394",0.34,"11,749",2.78,"52,835",2.20,"21,393",0.66,"31,442",3.27,"72,496",3.28,"25,715",2.14,"46,781",3.91,"1,547",0.06,41,-33.87,"1,506",1.48
2014M05,"16,074",1.82,"4,386",-0.07,"11,688",2.54,"52,792",2.31,"21,450",0.73,"31,342",3.43,"72,650",3.54,"25,813",1.85,"46,837",4.50,"1,539",0.00,41,-22.64,"1,498",0.81
