期間,合計_原始值,合計_年增率(%),公、民營企業-小計_原始值,公、民營企業-小計_年增率(%),公、民營企業-農林漁牧業_原始值,公、民營企業-農林漁牧業_年增率(%),公、民營企業-礦業及土石採取業_原始值,公、民營企業-礦業及土石採取業_年增率(%),公、民營企業-製造業_原始值,公、民營企業-製造業_年增率(%),公、民營企業-水電燃氣及污染整治業_原始值,公、民營企業-水電燃氣及污染整治業_年增率(%),公、民營企業-營造業_原始值,公、民營企業-營造業_年增率(%),公、民營企業-批發、零售、住宿及餐飲業_原始值,公、民營企業-批發、零售、住宿及餐飲業_年增率(%),公、民營企業-運輸及倉儲業_原始值,公、民營企業-運輸及倉儲業_年增率(%),公、民營企業-資訊及通訊傳播業_原始值,公、民營企業-資訊及通訊傳播業_年增率(%),公、民營企業-金融、保險及不動產業_原始值,公、民營企業-金融、保險及不動產業_年增率(%),公、民營企業-服務業_原始值,公、民營企業-服務業_年增率(%),政府機關_原始值,政府機關_年增率(%),非營利團體_原始值,非營利團體_年增率(%),非營利團體-社會保險及退休基金_原始值,非營利團體-社會保險及退休基金_年增率(%),個人_原始值,個人_年增率(%)
2005M09,"17,581,655",5.54,"3,763,782",2.88,"17,430",33.02,"8,593",71.76,"1,406,207",3.07,"21,893",-4.46,"159,194",7.16,"846,956",8.54,"115,990",18.23,-,-,"915,146",-5.92,"272,373",7.51,"661,907",-7.69,"1,661,541",1.61,"391,916",-4.00,"11,494,425",7.95
2005M10,"17,542,046",5.23,"3,703,380",2.81,"17,868",33.29,"9,353",79.42,"1,377,109",5.58,"22,292",-10.62,"151,790",0.74,"870,955",9.94,"116,337",15.44,-,-,"864,174",-9.25,"273,502",5.85,"664,466",-7.48,"1,656,845",1.54,"395,243",-5.31,"11,517,355",7.46
2005M11,"17,750,077",6.31,"3,796,232",5.16,"15,528",12.14,"7,559",34.50,"1,425,730",9.77,"21,253",-9.99,"156,017",3.47,"885,798",11.70,"123,154",19.36,-,-,"882,253",-7.72,"278,940",5.25,"667,190",-3.49,"1,661,922",1.93,"419,459",3.19,"11,624,733",7.99
2005M12,"18,176,571",6.40,"4,031,617",5.86,"15,793",-1.25,"9,760",76.84,"1,534,589",6.79,"22,291",1.34,"186,287",6.98,"917,062",11.66,"125,292",9.20,-,-,"927,275",-2.76,"293,268",11.01,"662,940",-2.85,"1,648,133",-0.64,"409,212",-1.45,"11,833,881",8.23
2006M01,"18,029,414",6.12,"3,816,812",3.82,"14,118",-15.40,"8,799",33.30,"1,439,843",8.06,"22,067",-2.66,"178,597",2.75,"864,391",6.51,"114,072",5.06,-,-,"901,025",-4.20,"273,900",3.91,"589,866",-9.45,"1,648,285",-0.77,"416,601",-0.15,"11,974,451",8.85
2006M02,"18,188,032",6.91,"3,984,503",11.94,"14,164",-12.46,"8,844",40.14,"1,447,873",13.97,"22,121",-1.94,"174,263",12.17,"896,677",14.70,"114,902",10.40,-,-,"1,026,690",8.57,"278,969",8.39,"612,954",-2.58,"1,689,940",1.63,"427,241",5.83,"11,900,635",6.62
2006M03,"18,145,825",5.82,"3,932,720",7.47,"14,161",-13.58,"10,320",18.47,"1,482,699",8.89,"23,015",26.44,"163,186",8.09,"893,239",10.12,"127,267",18.50,-,-,"941,049",1.53,"277,784",7.62,"606,931",-3.35,"1,693,222",0.49,"437,526",4.49,"11,912,952",6.61
2006M04,"18,320,529",6.99,"3,943,767",8.53,"14,866",-9.91,"10,508",22.73,"1,481,777",12.24,"21,221",2.89,"169,674",9.41,"908,396",12.08,"120,024",12.42,-,-,"931,981",-0.17,"285,320",8.93,"612,555",-3.67,"1,720,896",3.93,"458,693",15.38,"12,043,311",7.55
2006M05,"18,308,010",7.06,"3,947,166",10.14,"17,877",10.23,"11,232",37.83,"1,492,322",15.34,"20,164",1.96,"168,003",10.85,"901,446",14.88,"121,790",9.63,-,-,"924,818",-1.69,"289,514",12.41,"647,720",-1.79,"1,727,999",3.99,"470,252",19.29,"11,985,125",7.05
2006M06,"18,376,163",4.63,"4,150,926",6.33,"19,275",14.65,"12,073",20.08,"1,584,053",4.12,"21,500",12.74,"168,082",5.94,"928,738",12.52,"123,661",2.08,-,-,"967,633",0.56,"325,911",21.11,"644,620",-3.48,"1,726,936",3.47,"474,279",17.06,"11,853,681",4.69
