期間,資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款_原始值,資產--放款_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--對金融機構債權_原始值,資產--對金融機構債權_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),負債與淨值--人壽保險準備_原始值,負債與淨值--人壽保險準備_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
1997M01,"28,909",51.36,"446,530",9.30,"111,647",10.48,"17,266",231.85,"202,207",56.54,"39,453",15.81,"120,161",9.64,"421,530",26.16,883,72.46,"127,466",-18.85,"1,516,052",16.76,"1,352,470",17.39,"35,628",0.34,"127,954",15.45
1997M02,"32,071",65.02,"451,453",9.50,"131,720",32.35,"17,339",240.92,"216,128",60.08,"42,208",25.20,"125,209",13.70,"435,273",29.21,"1,031",98.65,"100,838",-35.06,"1,553,270",18.76,"1,375,163",17.74,"47,552",76.13,"130,555",15.65
1997M03,"38,488",99.20,"458,645",10.27,"126,782",25.27,"18,395",264.84,"223,268",46.55,"34,790",22.38,"118,365",7.12,"441,993",32.04,"1,276",175.00,"121,002",-28.34,"1,583,004",18.41,"1,388,918",17.19,"62,127",76.42,"131,959",13.37
1997M04,"38,967",103.08,"459,973",10.08,"126,376",24.70,"18,018",257.15,"250,076",68.61,"36,770",39.33,"118,644",6.95,"445,881",30.01,929,80.04,"122,112",-30.82,"1,617,746",19.92,"1,408,405",17.86,"75,050",108.48,"134,291",13.72
1997M05,"39,305",96.76,"471,069",11.84,"131,047",29.19,"18,112",137.10,"264,800",81.09,"34,836",43.10,"114,267",2.79,"440,932",23.51,900,63.34,"113,517",-37.76,"1,628,785",18.72,"1,427,867",17.80,"60,678",50.23,"140,240",17.40
1997M06,"43,638",111.03,"479,241",13.46,"129,839",30.94,"18,229",131.54,"264,196",76.67,"33,459",24.43,"114,550",2.42,"438,509",21.18,"1,300",112.77,"115,462",-39.11,"1,638,423",17.83,"1,447,840",17.43,"55,324",31.03,"135,259",17.33
1997M07,"44,054",117.20,"490,708",14.97,"129,252",28.18,"17,976",121.08,"268,595",66.73,"33,844",19.43,"117,166",4.15,"442,358",23.65,915,53.52,"120,691",-36.08,"1,665,559",18.53,"1,466,442",17.55,"55,623",41.87,"143,494",21.18
1997M08,"50,200",144.15,"498,878",16.35,"127,142",23.29,"18,182",137.58,"268,759",56.87,"33,134",12.10,"118,870",5.00,"444,242",25.15,926,40.94,"123,560",-35.42,"1,683,893",18.49,"1,484,506",17.31,"50,289",38.24,"149,098",24.95
1997M09,"52,887",116.32,"509,490",18.02,"128,962",23.79,"17,530",130.11,"272,426",54.71,"37,022",11.94,"119,441",6.64,"451,305",26.07,"1,345",18.19,"116,972",-39.30,"1,707,380",18.49,"1,501,398",16.91,"53,622",50.94,"152,360",25.73
1997M10,"56,950",129.15,"519,207",19.62,"127,700",16.05,"17,281",128.77,"280,271",47.88,"38,130",2.34,"118,681",3.97,"438,076",24.61,985,36.81,"124,329",-35.71,"1,721,610",17.67,"1,521,849",17.02,"44,974",15.31,"154,787",25.22
1997M11,"60,343",126.37,"537,499",23.78,"132,058",20.69,"17,712",149.82,"271,797",36.65,"55,405",36.79,"119,991",4.93,"427,631",18.06,973,23.79,"125,969",-34.26,"1,749,378",17.74,"1,543,546",16.98,"44,529",0.32,"161,303",32.34
1997M12,"65,683",365.37,"550,015",24.36,"131,634",20.29,"16,602",63.49,"272,829",32.69,"71,030",63.61,"121,596",1.30,"422,557",-4.38,983,15.78,"116,071",-3.34,"1,769,000",17.32,"1,565,449",16.90,"48,184",12.96,"155,367",23.15
1998M01,"65,856",127.80,"563,178",26.12,"134,698",20.65,"14,772",-14.44,"279,354",38.15,"69,145",75.26,"121,481",1.10,"408,601",-3.07,906,2.60,"118,911",-6.71,"1,776,902",17.21,"1,581,631",16.94,"38,873",9.11,"156,398",22.23
1998M02,"68,770",114.43,"571,670",26.63,"137,290",4.23,"14,624",-15.66,"287,961",33.24,"84,696",100.66,"122,447",-2.21,"391,183",-10.13,987,-4.27,"127,264",26.21,"1,806,892",16.33,"1,601,310",16.45,"43,328",-8.88,"162,254",24.28
1998M03,"69,731",81.18,"584,742",27.49,"118,343",-6.66,"18,766",2.02,"326,736",46.34,"99,084",184.81,"122,846",3.79,"373,957",-15.39,962,-24.61,"141,819",17.20,"1,856,986",17.31,"1,625,550",17.04,"66,896",7.68,"164,540",24.69
1998M04,"71,138",82.56,"595,625",29.49,"119,469",-5.47,"18,338",1.78,"345,190",38.03,"101,400",175.77,"124,412",4.86,"357,517",-19.82,"1,002",7.86,"147,222",20.56,"1,881,313",16.29,"1,642,091",16.59,"82,534",9.97,"156,688",16.68
1998M05,"73,128",86.05,"601,614",27.71,"90,872",-30.66,"20,631",13.91,"377,123",42.42,"92,617",165.87,"124,913",9.32,"340,506",-22.78,941,4.56,"215,498",89.84,"1,937,843",18.97,"1,666,788",16.73,"107,396",76.99,"163,659",16.70
