期間,合計_原始值,合計_年增率(%),業務_原始值,業務_年增率(%),觀光_原始值,觀光_年增率(%),探親_原始值,探親_年增率(%),會議_原始值,會議_年增率(%),求學_原始值,求學_年增率(%),展覽_原始值,展覽_年增率(%),醫療_原始值,醫療_年增率(%),其他_原始值,其他_年增率(%),未列明_原始值,未列明_年增率(%)
2007M09,"295,594",7.83,"74,169",-2.41,"128,764",10.24,"28,751",18.89,"4,862",12.99,"8,429",30.06,-,--,-,--,"18,569",12.23,"32,050",7.56
2007M10,"314,519",4.29,"85,310",0.15,"139,189",6.85,"30,094",2.99,"6,291",4.62,"1,590",-3.23,-,--,-,--,"17,583",5.36,"34,462",5.82
2007M11,"336,370",5.56,"80,917",-3.07,"161,399",8.91,"31,950",11.73,"7,263",-3.92,"1,791",-1.32,-,--,-,--,"18,067",15.22,"34,983",4.94
2007M12,"363,916",12.34,"68,110",0.55,"194,518",18.68,"42,410",8.34,"5,948",48.00,"1,883",13.09,-,--,-,--,"17,414",12.96,"33,633",4.95
2008M01,"297,442",8.48,"80,126",3.60,"129,827",11.50,"32,905",30.81,"3,459",14.96,"1,708",-4.69,-,--,-,--,"16,899",8.51,"32,518",-6.80
2008M02,"315,134",20.37,"63,911",6.03,"141,667",29.94,"38,295",4.88,"2,766",28.41,"11,234",65.23,-,--,-,--,"18,659",19.53,"38,602",22.85
2008M03,"342,062",-0.94,"85,286",-6.09,"159,366",8.27,"35,886",7.30,"3,937",-10.71,"2,589",-49.97,-,--,-,--,"17,516",-14.89,"37,482",-14.19
2008M04,"302,819",-4.21,"82,939",2.66,"124,999",-9.92,"31,705",-1.65,"4,318",-18.24,"1,888",-8.53,-,--,-,--,"20,804",5.94,"36,166",-3.17
2008M05,"314,700",7.03,"71,840",-8.77,"149,415",16.28,"32,333",13.18,"4,491",-1.64,"1,927",10.18,-,--,-,--,"17,847",13.24,"36,847",1.97
2008M06,"340,454",6.17,"84,388",-1.54,"149,473",10.02,"36,578",4.04,"6,172",6.78,"2,394",-3.47,-,--,-,--,"18,563",5.36,"42,886",12.65
2008M07,"307,287",7.79,"72,769",-6.09,"131,359",16.50,"37,489",1.86,"4,541",11.33,"3,198",5.09,-,--,-,--,"21,268",10.32,"36,663",15.93
2008M08,"311,587",1.01,"65,509",-7.87,"143,140",5.16,"32,973",-4.90,"3,435",-18.16,"6,078",19.04,-,--,-,--,"21,330",2.56,"39,122",7.20
2008M09,"307,402",3.99,"72,442",-2.33,"134,740",4.64,"27,998",-2.62,"5,882",20.98,"9,038",7.23,-,--,-,--,"19,250",3.67,"38,052",18.73
2008M10,"327,038",3.98,"76,009",-10.90,"152,998",9.92,"29,528",-1.88,"7,043",11.95,"1,615",1.57,-,--,-,--,"20,743",17.97,"39,102",13.46
2008M11,"327,224",-2.72,"70,173",-13.28,"164,530",1.94,"29,663",-7.16,"8,272",13.89,"1,928",7.65,-,--,-,--,"18,391",1.79,"34,267",-2.05
2008M12,"352,038",-3.26,"56,039",-17.72,"193,715",-0.41,"39,339",-7.24,"4,910",-17.45,"1,632",-13.33,-,--,-,--,"19,446",11.67,"36,957",9.88
2009M01,"276,896",-6.91,"49,118",-38.70,"135,960",4.72,"39,871",21.17,"2,333",-32.55,"2,198",28.69,-,--,-,--,"19,133",13.22,"28,283",-13.02
2009M02,"303,302",-3.75,"61,858",-3.21,"143,202",1.08,"25,395",-33.69,"3,043",10.01,"13,042",16.09,-,--,-,--,"21,105",13.11,"35,657",-7.63
2009M03,"395,201",15.53,"75,505",-11.47,"207,998",30.52,"33,243",-7.36,"5,662",43.82,"2,441",-5.72,-,--,-,--,"22,011",25.66,"48,341",28.97
2009M04,"448,486",48.10,"65,662",-20.83,"257,470",105.98,"35,385",11.61,"5,626",30.29,"2,074",9.85,-,--,-,--,"25,719",23.63,"56,550",56.36
2009M05,"366,375",16.42,"57,736",-19.63,"200,858",34.43,"30,795",-4.76,"5,909",31.57,"2,050",6.38,-,--,-,--,"22,653",26.93,"46,374",25.86
2009M06,"321,383",-5.60,"71,473",-15.30,"149,736",0.18,"33,051",-9.64,"5,804",-5.96,"2,509",4.80,-,--,-,--,"22,081",18.95,"36,729",-14.36
2009M07,"346,718",12.83,"64,247",-11.71,"170,861",30.07,"39,469",5.28,"4,524",-0.37,"3,442",7.63,-,--,-,--,"24,876",16.96,"39,299",7.19
2009M08,"367,491",17.94,"64,883",-0.96,"186,110",30.02,"36,751",11.46,"5,340",55.46,"6,832",12.41,-,--,-,--,"26,651",24.95,"40,924",4.61
2009M09,"340,645",10.81,"67,271",-7.14,"166,884",23.86,"29,078",3.86,"7,495",27.42,"12,074",33.59,-,--,-,--,"21,504",11.71,"36,339",-4.50
2009M10,"368,212",12.59,"73,705",-3.03,"190,285",24.37,"32,035",8.49,"7,628",8.31,"2,476",53.31,-,--,-,--,"22,522",8.58,"39,561",1.17
2009M11,"410,489",25.45,"79,412",13.17,"222,273",35.10,"33,281",12.20,"9,490",14.72,"2,783",44.35,-,--,-,--,"22,788",23.91,"40,462",18.08
2009M12,"449,806",27.77,"64,799",15.63,"266,697",37.67,"45,588",15.88,"6,071",23.65,"2,780",70.34,-,--,-,--,"23,990",23.37,"39,881",7.91
2010M01,"345,981",24.95,"73,392",49.42,"182,678",34.36,"31,715",-20.46,"4,836",107.29,"2,221",1.05,-,--,-,--,"20,279",5.99,"30,860",9.11
2010M02,"387,143",27.64,"57,409",-7.19,"214,722",49.94,"46,616",83.56,"2,518",-17.25,"14,006",7.39,-,--,-,--,"19,229",-8.89,"32,643",-8.45
2010M03,"516,512",30.70,"91,664",21.40,"303,714",46.02,"43,154",29.81,"9,109",60.88,"4,538",85.91,-,--,-,--,"24,181",9.86,"40,152",-16.94
2010M04,"506,400",12.91,"81,763",24.52,"316,990",23.12,"39,850",12.62,"6,957",23.66,"2,688",29.60,-,--,-,--,"23,612",-8.19,"34,540",-38.92
2010M05,"505,856",38.07,"82,855",43.51,"308,267",53.48,"38,103",23.73,"7,478",26.55,"3,013",46.98,-,--,-,--,"27,557",21.65,"38,583",-16.80
2010M06,"470,447",46.38,"82,573",15.53,"274,989",83.65,"41,351",25.11,"7,442",28.22,"3,306",31.77,-,--,-,--,"24,049",8.91,"36,737",0.02
2010M07,"427,763",23.37,"73,580",14.53,"240,033",40.48,"45,507",15.30,"5,680",25.55,"3,964",15.17,-,--,-,--,"25,048",0.69,"33,951",-13.61
2010M08,"442,235",20.34,"77,174",18.94,"245,851",32.10,"42,245",14.95,"7,192",34.68,"7,501",9.79,-,--,-,--,"25,201",-5.44,"37,071",-9.42
2010M09,"419,389",23.12,"75,967",12.93,"225,268",34.98,"35,443",21.89,"7,764",3.59,"13,048",8.07,-,--,-,--,"23,335",8.51,"38,564",6.12
2010M10,"485,959",31.98,"84,937",15.24,"280,999",47.67,"40,518",26.48,"11,158",46.28,"2,524",1.94,-,--,-,--,"25,220",11.98,"40,603",2.63
2010M11,"528,998",28.87,"85,053",7.10,"323,792",45.67,"40,288",21.05,"11,345",19.55,"3,096",11.25,-,--,-,--,"25,995",14.07,"39,429",-2.55
2010M12,"530,594",17.96,"71,410",10.20,"328,702",23.25,"51,837",13.71,"6,618",9.01,"2,776",-0.14,-,--,-,--,"31,342",30.65,"37,909",-4.94
