期間,收受部門-國外_原始值,收受部門-國外_年增率(%),存款部門-其他貨幣機構_原始值,存款部門-其他貨幣機構_年增率(%),存款部門-保險公司及退休基金_原始值,存款部門-保險公司及退休基金_年增率(%),存款部門-其他金融機構_原始值,存款部門-其他金融機構_年增率(%),存款部門-公營事業_原始值,存款部門-公營事業_年增率(%),存款部門-民營企業_原始值,存款部門-民營企業_年增率(%),存款部門-家庭及非營利團體_原始值,存款部門-家庭及非營利團體_年增率(%)
2003,"1,223,690",1.83,"510,854",7.81,-,--,"9,682",111.91,165,-9.84,"2,434",-2.22,"700,555",-2.79
2004,"1,427,210",16.63,"602,290",17.90,-,--,"5,558",-42.59,240,45.45,"7,414",204.59,"811,708",15.87
2005,"1,628,641",14.11,"523,263",-13.12,715,--,"6,769",21.79,232,-3.33,"7,495",1.09,"1,090,167",34.31
