期間,新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%)
2008M11,262,-25.57,14,7.69,5,66.67,-,-,4,-42.86,4,-20.00,-,-,1,-80.00,3,-25.00,8,-11.11,-,-,2,-33.33,5,-64.29,-,-,4,0.00,23,-42.50,4,-60.00,5,0.00,53,-42.39,26,-10.34,14,-26.32,14,75.00,45,0.00,9,-25.00,5,-37.50,3,200.00,11,0.00,181,-27.89,8,0.00,3,-40.00,-,-,15,-11.76,2,0.00,5,400.00,-,-,3,-50.00,4,-63.64,-,-,-,-,3,-62.50,1,0.00,-,-,20,-4.76,-,-,4,0.00,29,-29.27,14,-39.13,16,-20.00,9,12.50,33,-29.79,6,20.00,-,-,1,-50.00,5,-16.67
2008M12,365,8.31,23,4.55,3,-62.50,-,-,9,0.00,2,0.00,1,-50.00,4,-50.00,4,-20.00,13,333.33,1,-50.00,5,0.00,8,-52.94,-,-,3,-40.00,30,15.38,13,8.33,5,-28.57,81,22.73,40,17.65,16,-15.79,20,100.00,53,10.42,8,60.00,10,150.00,1,-83.33,12,20.00,507,115.74,26,188.89,8,300.00,-,-,26,136.36,10,400.00,7,600.00,10,100.00,10,100.00,13,30.00,1,0.00,6,500.00,8,60.00,3,...,6,0.00,49,133.33,20,900.00,13,333.33,78,168.97,40,122.22,25,25.00,21,40.00,84,78.72,12,100.00,2,0.00,8,300.00,21,75.00
2009M01,246,-34.22,12,-47.83,4,0.00,-,-,8,60.00,-,-,3,50.00,1,-66.67,4,-20.00,5,-28.57,3,-,5,-28.57,5,-37.50,-,-,8,100.00,27,35.00,1,-92.31,6,-33.33,47,-51.04,22,-26.67,14,-12.50,9,-10.00,33,-54.17,6,-25.00,5,150.00,4,-50.00,14,0.00,224,-24.83,6,-14.29,2,-60.00,-,-,6,-68.42,4,-33.33,2,-60.00,4,-42.86,2,0.00,12,20.00,-,-,2,0.00,4,0.00,-,-,3,50.00,28,3.70,6,-45.45,7,-22.22,25,-40.48,18,-10.00,19,-38.71,11,83.33,45,-19.64,7,75.00,6,100.00,2,-60.00,3,-75.00
2009M02,239,77.04,22,214.29,1,-,-,-,7,600.00,3,50.00,-,-,1,-50.00,-,-,3,0.00,1,-,5,-16.67,9,50.00,-,-,3,200.00,19,35.71,9,125.00,8,700.00,42,44.83,15,66.67,13,116.67,12,500.00,49,81.48,4,100.00,6,50.00,3,50.00,4,-20.00,306,137.21,11,120.00,1,0.00,-,-,9,125.00,4,100.00,-,-,6,100.00,5,150.00,5,150.00,2,-,2,-33.33,7,250.00,-,-,4,300.00,36,125.00,8,14.29,9,-,62,210.00,19,58.33,22,214.29,12,200.00,59,103.45,5,150.00,3,-,3,200.00,12,500.00
2009M03,262,-10.58,22,69.23,2,-33.33,-,-,3,-50.00,3,-40.00,2,100.00,2,100.00,2,0.00,4,-60.00,1,-,7,133.33,11,0.00,-,-,1,-85.71,21,10.53,11,175.00,4,-50.00,47,-38.16,17,-22.73,10,-23.08,18,12.50,49,2.08,4,-60.00,6,200.00,6,500.00,9,-18.18,300,31.00,29,262.50,-,-,-,-,9,-35.71,3,0.00,5,-,9,80.00,6,50.00,6,-25.00,2,100.00,3,200.00,8,0.00,2,100.00,4,33.33,28,115.38,14,250.00,11,120.00,43,34.38,14,-30.00,23,27.78,6,-25.00,57,11.76,1,-87.50,1,0.00,5,150.00,11,10.00
2009M04,272,-11.69,20,66.67,2,-33.33,-,-,6,100.00,3,-25.00,-,-,3,200.00,3,-50.00,7,0.00,-,-,4,100.00,9,-30.77,-,-,9,50.00,21,40.00,11,22.22,8,300.00,58,-30.12,19,-44.12,10,-37.50,13,62.50,41,-29.31,9,80.00,3,0.00,2,-50.00,11,10.00,211,-14.57,10,66.67,1,-80.00,-,-,3,-82.35,3,-40.00,1,-80.00,-,-,1,0.00,4,-66.67,-,-,-,-,7,133.33,-,-,3,0.00,20,17.65,9,28.57,9,50.00,32,3.23,26,4.00,13,-48.00,9,200.00,42,5.00,6,-25.00,1,-50.00,3,-57.14,8,-20.00
2009M05,213,-37.35,10,-52.38,3,-40.00,-,-,7,16.67,2,-66.67,1,-50.00,3,200.00,1,-75.00,3,-50.00,-,-,5,25.00,6,-45.45,1,0.00,1,-,16,-40.74,7,16.67,3,-62.50,50,-50.00,24,-25.00,12,33.33,4,-55.56,28,-48.15,7,-12.50,2,-50.00,4,33.33,13,8.33,168,-35.88,7,-41.67,1,0.00,-,-,5,-61.54,2,100.00,2,-33.33,8,100.00,1,0.00,5,-44.44,-,-,1,-,1,-90.00,2,-,1,-50.00,17,-37.04,3,-40.00,3,-50.00,24,-35.14,19,18.75,19,26.67,5,-61.54,28,-50.88,6,20.00,2,0.00,2,-77.78,4,-71.43
2009M06,247,-23.53,23,9.52,7,600.00,-,-,2,-77.78,3,-57.14,-,-,1,-75.00,1,-66.67,3,-62.50,-,-,5,0.00,6,-53.85,-,-,2,-33.33,21,-8.70,10,150.00,3,-40.00,48,-43.53,29,-14.71,13,8.33,10,-41.18,40,-13.04,6,-14.29,2,100.00,2,-33.33,10,11.11,314,-12.04,19,0.00,2,0.00,-,-,8,-38.46,6,-25.00,4,100.00,4,-20.00,2,100.00,4,-71.43,-,-,4,100.00,8,-20.00,2,-,2,-60.00,20,-31.03,5,-37.50,5,-28.57,54,-1.82,23,-30.30,38,15.15,4,-80.00,72,28.57,16,100.00,2,0.00,3,-40.00,7,-65.00
2009M07,269,-23.14,15,-31.82,2,0.00,-,-,7,-12.50,2,-60.00,1,0.00,1,-50.00,4,100.00,4,-42.86,1,0.00,5,150.00,7,-36.36,-,-,4,300.00,24,-29.41,9,50.00,4,-33.33,63,-25.88,18,-51.35,18,5.88,11,-26.67,43,-25.86,8,-33.33,6,-14.29,2,100.00,10,25.00,275,-37.07,13,-38.10,-,-,-,-,8,-78.38,10,66.67,1,-66.67,7,600.00,2,-83.33,7,-56.25,-,-,3,-25.00,5,-16.67,2,-,3,-25.00,31,-22.50,4,-60.00,6,-14.29,41,-25.45,27,-34.15,24,-14.29,9,-59.09,46,-47.73,4,-50.00,6,200.00,4,-33.33,12,-36.84
2009M08,248,-32.05,16,0.00,7,0.00,-,-,7,-36.36,4,33.33,-,-,-,-,4,-20.00,5,-37.50,-,-,3,0.00,10,-9.09,-,-,3,0.00,20,-37.50,10,-37.50,5,-16.67,50,-40.48,23,-25.81,12,-7.69,14,-12.50,31,-48.33,1,-87.50,6,-33.33,3,50.00,14,75.00,190,-60.66,6,-66.67,-,-,-,-,7,-72.00,4,-63.64,1,-66.67,-,-,1,-80.00,4,-85.19,-,-,1,-80.00,3,-66.67,1,-,4,33.33,15,-58.33,4,-69.23,4,-55.56,33,-56.00,20,-33.33,18,-68.97,4,-83.33,45,-51.09,4,-33.33,3,50.00,4,-20.00,4,-77.78
