期間,日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%)
2006M07,"1,101,696",4.86,"189,140",1.75,"912,556",5.52,"764,124",4.79,"953,527",4.17,"189,403",1.75,"1,865,820",4.83,"1,163,525",4.58,"196,726",2.11,"966,799",5.09,"742,901",4.41,"939,867",3.92,"196,966",2.12,"1,906,426",4.51
2006M08,"1,101,519",3.17,"186,349",-0.31,"915,170",3.91,"758,149",4.68,"944,763",3.66,"186,614",-0.32,"1,859,668",3.78,"1,216,262",7.05,"191,640",-1.28,"1,024,622",8.76,"736,318",4.55,"928,232",3.29,"191,914",-1.30,"1,952,580",6.09
2006M09,"1,111,924",4.86,"186,039",-1.12,"925,885",6.14,"753,944",3.74,"940,243",2.74,"186,299",-1.12,"1,865,868",4.40,"1,200,436",0.60,"189,971",-2.72,"1,010,465",1.25,"742,611",5.05,"932,847",3.36,"190,236",-2.73,"1,943,047",2.25
2006M10,"1,118,307",4.96,"193,021",3.12,"925,286",5.35,"763,631",4.85,"956,933",4.50,"193,302",3.13,"1,881,938",4.91,"1,158,867",8.31,"195,376",1.54,"963,491",9.79,"742,044",4.19,"937,726",3.63,"195,682",1.57,"1,900,911",6.66
2006M11,"1,128,687",6.42,"189,857",2.38,"938,830",7.27,"761,092",3.82,"951,221",3.53,"190,129",2.37,"1,889,779",5.36,"1,161,329",12.00,"195,151",0.32,"966,178",14.70,"742,198",3.71,"937,636",2.97,"195,438",0.28,"1,903,527",8.61
2006M12,"1,130,527",5.87,"190,519",1.52,"940,008",6.80,"766,200",3.67,"956,992",3.23,"190,792",1.49,"1,896,727",4.97,"1,124,494",9.37,"200,823",4.46,"923,671",10.50,"758,721",3.88,"959,792",4.00,"201,071",4.43,"1,883,215",7.09
2007M01,"1,173,427",5.53,"198,022",-24.83,"975,405",14.96,"780,706",-5.89,"979,041",-10.46,"198,335",-24.81,"1,954,133",0.65,"1,140,823",4.63,"221,188",-24.45,"919,635",15.31,"773,849",-24.57,"995,362",-24.54,"221,513",-24.44,"1,914,672",-9.52
2007M02,"1,196,854",9.12,"308,893",28.17,"887,961",3.76,"944,448",8.15,"1,253,680",12.48,"309,232",28.14,"2,141,302",8.69,"1,199,027",10.56,"310,625",45.71,"888,402",1.96,"956,360",20.45,"1,267,342",25.80,"310,982",45.69,"2,155,387",14.74
2007M03,"1,155,641",5.65,"218,142",10.97,"937,499",4.48,"866,808",9.99,"1,085,270",10.19,"218,462",10.96,"2,022,449",7.47,"1,193,288",13.06,"203,396",3.50,"989,892",15.25,"822,202",7.72,"1,025,931",6.86,"203,729",3.52,"2,015,490",10.82
2007M04,"1,182,737",8.38,"200,587",4.96,"982,150",9.11,"828,474",6.43,"1,029,369",6.14,"200,895",4.96,"2,011,211",7.57,"1,184,400",11.43,"210,023",4.88,"974,377",12.95,"799,821",5.34,"1,010,163",5.25,"210,342",4.91,"1,984,221",8.89
2007M05,"1,188,486",8.31,"197,062",3.81,"991,424",9.25,"807,311",4.57,"1,004,659",4.42,"197,348",3.81,"1,995,797",6.77,"1,272,065",10.65,"202,420",3.11,"1,069,645",12.20,"777,005",2.87,"979,738",2.92,"202,733",3.13,"2,049,070",7.57
2007M06,"1,171,719",6.81,"198,630",5.38,"973,089",7.11,"795,996",3.63,"994,886",3.97,"198,890",5.35,"1,967,715",5.50,"1,080,963",-5.60,"200,904",3.30,"880,059",-7.42,"774,388",3.57,"975,515",3.50,"201,127",3.25,"1,855,351",-1.98
2007M07,"1,171,529",6.34,"198,734",5.07,"972,795",6.60,"777,272",1.72,"976,287",2.39,"199,015",5.07,"1,948,801",4.45,"1,184,763",1.83,"207,108",5.28,"977,655",1.12,"745,033",0.29,"952,476",1.34,"207,443",5.32,"1,929,796",1.23
2007M08,"1,179,436",7.07,"195,228",4.76,"984,208",7.54,"763,459",0.70,"958,978",1.50,"195,519",4.77,"1,942,895",4.48,"1,149,638",-5.48,"200,173",4.45,"949,465",-7.34,"740,729",0.60,"941,179",1.39,"200,450",4.45,"1,890,367",-3.19
2007M09,"1,175,446",5.71,"195,161",4.90,"980,285",5.88,"763,606",1.28,"959,040",2.00,"195,434",4.90,"1,939,052",3.92,"1,185,772",-1.22,"198,448",4.46,"987,324",-2.29,"748,828",0.84,"947,583",1.58,"198,755",4.48,"1,934,600",-0.43
2007M10,"1,164,672",4.15,"191,589",-0.74,"973,083",5.17,"763,321",-0.04,"955,182",-0.18,"191,861",-0.75,"1,927,993",2.45,"1,159,287",0.04,"195,842",0.24,"963,445",0.00,"742,647",0.08,"938,726",0.11,"196,079",0.20,"1,901,934",0.05
2007M11,"1,167,237",3.42,"189,974",0.06,"977,263",4.09,"764,432",0.44,"954,663",0.36,"190,231",0.05,"1,931,669",2.22,"1,155,655",-0.49,"196,000",0.44,"959,655",-0.68,"749,666",1.01,"945,904",0.88,"196,238",0.41,"1,905,321",0.09
2007M12,"1,172,160",3.68,"189,191",-0.70,"982,969",4.57,"769,682",0.45,"959,142",0.22,"189,460",-0.70,"1,941,842",2.38,"1,184,891",5.37,"198,820",-1.00,"986,071",6.76,"762,627",0.51,"961,715",0.20,"199,088",-0.99,"1,947,518",3.41
2008M01,"1,188,819",1.31,"239,542",20.97,"949,277",-2.68,"802,519",2.79,"1,042,365",6.47,"239,846",20.93,"1,991,338",1.90,"1,300,173",13.97,"361,988",63.66,"938,185",2.02,"870,090",12.44,"1,232,499",23.82,"362,409",63.61,"2,170,263",13.35
2008M02,"1,185,768",-0.93,"257,316",-16.70,"928,452",4.56,"965,091",2.19,"1,222,785",-2.46,"257,694",-16.67,"2,150,859",0.45,"1,137,471",-5.13,"220,662",-28.96,"916,809",3.20,"858,009",-10.28,"1,078,992",-14.86,"220,983",-28.94,"1,995,480",-7.42
2008M03,"1,195,636",3.46,"201,357",-7.69,"994,279",6.06,"846,762",-2.31,"1,048,463",-3.39,"201,701",-7.67,"2,042,398",0.99,"1,242,790",4.15,"202,995",-0.20,"1,039,795",5.04,"816,998",-0.63,"1,020,364",-0.54,"203,366",-0.18,"2,059,788",2.20
2008M04,"1,202,975",1.71,"195,318",-2.63,"1,007,657",2.60,"829,428",0.12,"1,025,065",-0.42,"195,637",-2.62,"2,032,403",1.05,"1,264,727",6.78,"203,760",-2.98,"1,060,967",8.89,"804,187",0.55,"1,008,177",-0.20,"203,990",-3.02,"2,068,914",4.27
2008M05,"1,206,248",1.49,"193,570",-1.77,"1,012,678",2.14,"819,664",1.53,"1,013,551",0.89,"193,887",-1.75,"2,025,912",1.51,"1,170,711",-7.97,"198,797",-1.79,"971,914",-9.14,"796,565",2.52,"995,661",1.63,"199,096",-1.79,"1,967,276",-3.99
2008M06,"1,199,514",2.37,"191,633",-3.52,"1,007,881",3.58,"811,636",1.96,"1,003,531",0.87,"191,895",-3.52,"2,011,150",2.21,"1,222,380",13.08,"196,983",-1.95,"1,025,397",16.51,"795,542",2.73,"992,779",1.77,"197,237",-1.93,"2,017,922",8.76
2008M07,"1,359,086",16.01,"192,184",-3.30,"1,166,902",19.95,"811,176",4.36,"1,003,594",2.80,"192,418",-3.31,"2,170,262",11.36,"1,494,132",26.11,"197,261",-4.75,"1,296,871",32.65,"789,897",6.02,"987,433",3.67,"197,536",-4.78,"2,284,029",18.36
2008M08,"1,382,944",17.25,"190,575",-2.38,"1,192,369",21.15,"807,998",5.83,"998,814",4.15,"190,816",-2.41,"2,190,942",12.77,"1,457,195",26.75,"193,707",-3.23,"1,263,488",33.07,"791,763",6.89,"985,675",4.73,"193,912",-3.26,"2,248,958",18.97
2008M09,"1,354,762",15.26,"190,586",-2.34,"1,164,176",18.76,"808,610",5.89,"999,430",4.21,"190,820",-2.36,"2,163,372",11.57,"1,292,011",8.96,"197,252",-0.60,"1,094,759",10.88,"793,276",5.94,"990,753",4.56,"197,477",-0.64,"2,085,287",7.79
2008M10,"1,258,164",8.03,"192,776",0.62,"1,065,388",9.49,"815,936",6.89,"1,008,937",5.63,"193,001",0.59,"2,074,100",7.58,"1,228,599",5.98,"194,919",-0.47,"1,033,680",7.29,"801,120",7.87,"996,277",6.13,"195,157",-0.47,"2,029,719",6.72
2008M11,"1,245,279",6.69,"190,103",0.07,"1,055,176",7.97,"820,304",7.31,"1,010,633",5.86,"190,329",0.05,"2,065,583",6.93,"1,267,017",9.64,"195,927",-0.04,"1,071,090",11.61,"809,342",7.96,"1,005,482",6.30,"196,140",-0.05,"2,076,359",8.98
2008M12,"1,260,604",7.55,"192,025",1.50,"1,068,579",8.71,"830,297",7.88,"1,022,543",6.61,"192,246",1.47,"2,090,901",7.68,"1,291,884",9.03,"220,524",10.92,"1,071,360",8.65,"833,537",9.30,"1,054,290",9.63,"220,753",10.88,"2,125,421",9.13
2009M01,"1,346,715",13.28,"278,297",16.18,"1,068,418",12.55,"950,099",18.39,"1,228,662",17.87,"278,563",16.14,"2,296,814",15.34,"1,335,631",2.73,"299,273",-17.33,"1,036,358",10.46,"1,090,193",25.30,"1,389,743",12.76,"299,550",-17.34,"2,425,824",11.78
2009M02,"1,380,214",16.40,"226,959",-11.80,"1,153,255",24.21,"962,351",-0.28,"1,189,551",-2.72,"227,200",-11.83,"2,342,565",8.91,"1,248,867",9.79,"204,271",-7.43,"1,044,596",13.94,"907,310",5.75,"1,111,782",3.04,"204,472",-7.47,"2,156,177",8.05
2009M03,"1,361,616",13.88,"196,615",-2.36,"1,165,001",17.17,"909,749",7.44,"1,106,594",5.54,"196,845",-2.41,"2,271,365",11.21,"1,390,044",11.85,"199,488",-1.73,"1,190,556",14.50,"886,548",8.51,"1,086,266",6.46,"199,718",-1.79,"2,276,592",10.53
2009M04,"1,432,206",19.06,"192,211",-1.59,"1,239,995",23.06,"898,167",8.29,"1,090,590",6.39,"192,423",-1.64,"2,330,373",14.66,"1,371,013",8.40,"206,926",1.55,"1,164,087",9.72,"876,906",9.04,"1,084,043",7.53,"207,137",1.54,"2,247,919",8.65
2009M05,"1,436,749",19.11,"195,442",0.97,"1,241,307",22.58,"892,181",8.85,"1,087,824",7.33,"195,643",0.91,"2,328,930",14.96,"1,432,711",22.38,"211,896",6.59,"1,220,815",25.61,"879,525",10.41,"1,091,599",9.64,"212,074",6.52,"2,312,236",17.53
2009M06,"1,413,097",17.81,"190,401",-0.64,"1,222,696",21.31,"884,936",9.03,"1,075,570",7.18,"190,634",-0.66,"2,298,033",14.26,"1,371,354",12.19,"194,690",-1.16,"1,176,664",14.75,"869,028",9.24,"1,063,965",7.17,"194,937",-1.17,"2,240,382",11.02
2009M07,"1,389,741",2.26,"189,075",-1.62,"1,200,666",2.89,"887,997",9.47,"1,077,300",7.34,"189,303",-1.62,"2,277,738",4.95,"1,413,072",-5.43,"194,043",-1.63,"1,219,029",-6.00,"873,693",10.61,"1,068,012",8.16,"194,319",-1.63,"2,286,765",0.12
2009M08,"1,375,016",-0.57,"188,131",-1.28,"1,186,885",-0.46,"894,149",10.66,"1,082,518",8.38,"188,369",-1.28,"2,269,165",3.57,"1,387,432",-4.79,"195,484",0.92,"1,191,948",-5.66,"877,438",10.82,"1,073,166",8.88,"195,728",0.94,"2,264,870",0.71
2009M09,"1,384,299",2.18,"189,199",-0.73,"1,195,100",2.66,"892,092",10.32,"1,081,521",8.21,"189,429",-0.73,"2,276,391",5.22,"1,388,981",7.51,"191,928",-2.70,"1,197,053",9.34,"879,429",10.86,"1,071,611",8.16,"192,182",-2.68,"2,268,410",8.78
2009M10,"1,386,282",10.18,"188,732",-2.10,"1,197,550",12.41,"899,808",10.28,"1,088,770",7.91,"188,962",-2.09,"2,286,090",10.22,"1,383,362",12.60,"193,952",-0.50,"1,189,410",15.07,"886,148",10.61,"1,080,334",8.44,"194,186",-0.50,"2,269,510",11.81
