期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),電力及燃氣供應業_原始值,電力及燃氣供應業_年增率(%),電力及燃氣供應業_原始值,電力及燃氣供應業_年增率(%),電力及燃氣供應業_原始值,電力及燃氣供應業_年增率(%),用水供應及污染整治業_原始值,用水供應及污染整治業_年增率(%),用水供應及污染整治業_原始值,用水供應及污染整治業_年增率(%),用水供應及污染整治業_原始值,用水供應及污染整治業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),批發及零售業_原始值,批發及零售業_年增率(%),批發及零售業_原始值,批發及零售業_年增率(%),批發及零售業_原始值,批發及零售業_年增率(%),運輸及倉儲業_原始值,運輸及倉儲業_年增率(%),運輸及倉儲業_原始值,運輸及倉儲業_年增率(%),運輸及倉儲業_原始值,運輸及倉儲業_年增率(%),住宿及餐飲業_原始值,住宿及餐飲業_年增率(%),住宿及餐飲業_原始值,住宿及餐飲業_年增率(%),住宿及餐飲業_原始值,住宿及餐飲業_年增率(%),資訊及通訊傳播業_原始值,資訊及通訊傳播業_年增率(%),資訊及通訊傳播業_原始值,資訊及通訊傳播業_年增率(%),資訊及通訊傳播業_原始值,資訊及通訊傳播業_年增率(%),金融及保險業_原始值,金融及保險業_年增率(%),金融及保險業_原始值,金融及保險業_年增率(%),金融及保險業_原始值,金融及保險業_年增率(%),不動產業_原始值,不動產業_年增率(%),不動產業_原始值,不動產業_年增率(%),不動產業_原始值,不動產業_年增率(%),專業、科學及技術服務業_原始值,專業、科學及技術服務業_年增率(%),專業、科學及技術服務業_原始值,專業、科學及技術服務業_年增率(%),專業、科學及技術服務業_原始值,專業、科學及技術服務業_年增率(%),支援服務業_原始值,支援服務業_年增率(%),支援服務業_原始值,支援服務業_年增率(%),支援服務業_原始值,支援服務業_年增率(%),公共行政及國防；強制性社會安全_原始值,公共行政及國防；強制性社會安全_年增率(%),公共行政及國防；強制性社會安全_原始值,公共行政及國防；強制性社會安全_年增率(%),公共行政及國防；強制性社會安全_原始值,公共行政及國防；強制性社會安全_年增率(%),教育服務業_原始值,教育服務業_年增率(%),教育服務業_原始值,教育服務業_年增率(%),教育服務業_原始值,教育服務業_年增率(%),醫療保健及社會工作服務業_原始值,醫療保健及社會工作服務業_年增率(%),醫療保健及社會工作服務業_原始值,醫療保健及社會工作服務業_年增率(%),醫療保健及社會工作服務業_原始值,醫療保健及社會工作服務業_年增率(%),藝術、娛樂及休閒服務業_原始值,藝術、娛樂及休閒服務業_年增率(%),藝術、娛樂及休閒服務業_原始值,藝術、娛樂及休閒服務業_年增率(%),藝術、娛樂及休閒服務業_原始值,藝術、娛樂及休閒服務業_年增率(%),其他服務業_原始值,其他服務業_年增率(%),其他服務業_原始值,其他服務業_年增率(%),其他服務業_原始值,其他服務業_年增率(%)
2013M10,"10,996",0.90,"6,124",0.52,"4,872",1.38,542,-0.08,391,0.04,151,-0.39,4,-0.64,3,5.08,1,-24.52,"2,993",0.44,"1,857",-0.63,"1,135",2.23,29,-1.20,25,-1.22,4,-1.06,84,0.85,66,5.54,18,-13.53,869,2.28,767,0.82,102,14.76,"1,815",0.59,852,-0.43,963,1.52,431,2.61,337,2.93,94,1.47,782,3.53,353,4.06,428,3.10,238,2.56,136,5.01,102,-0.53,420,-1.43,153,-4.01,267,0.11,94,6.71,54,5.95,40,7.77,347,1.50,174,1.89,173,1.10,269,2.39,158,-1.44,111,8.37,377,-2.60,210,-4.12,167,-0.61,633,0.29,181,2.60,452,-0.60,429,1.87,99,4.29,331,1.17,96,1.12,44,-0.34,52,2.39,542,-0.01,261,4.34,281,-3.74
2013M11,"11,019",0.92,"6,137",0.70,"4,882",1.21,544,-0.40,397,1.37,147,-4.88,4,0.90,4,3.09,1,-10.33,"2,996",0.48,"1,850",-1.17,"1,146",3.24,29,1.00,25,1.33,4,-1.07,84,1.39,68,5.37,16,-12.90,868,1.91,777,2.24,91,-0.77,"1,822",0.70,868,0.95,953,0.48,429,2.37,335,3.18,94,-0.39,788,3.55,352,3.78,436,3.36,237,3.02,136,1.54,101,5.09,422,-1.26,158,-0.30,264,-1.82,96,6.63,53,2.92,43,11.51,350,1.34,162,-3.34,188,5.73,267,1.11,161,-1.43,106,5.23,380,-1.54,209,-2.18,171,-0.73,634,0.78,177,5.08,457,-0.80,429,1.69,100,-2.56,329,3.06,95,0.07,47,6.60,48,-5.57,543,0.04,258,2.96,285,-2.45
2013M12,"11,029",0.90,"6,144",0.60,"4,885",1.27,546,0.24,397,1.99,149,-4.12,4,0.23,3,-4.25,1,24.33,"2,998",0.46,"1,853",0.80,"1,145",-0.09,29,-1.85,24,-3.23,5,6.23,83,0.01,69,5.55,14,-20.20,872,1.88,772,2.47,100,-2.44,"1,824",0.73,872,-1.94,952,3.30,431,2.42,328,-0.82,103,14.29,785,2.73,350,3.11,435,2.42,236,2.15,141,7.13,95,-4.48,420,-1.50,152,-5.75,268,1.07,97,6.31,61,9.60,36,1.11,353,1.74,168,-0.56,185,3.91,266,1.44,155,-1.05,112,5.12,381,-1.04,216,-1.15,165,-0.89,635,0.81,175,-0.17,460,1.19,428,1.02,99,2.05,329,0.72,97,2.35,46,8.88,51,-2.92,542,0.24,263,-1.41,279,1.84
2014M01,"11,036",0.92,"6,142",0.49,"4,894",1.46,549,1.01,395,0.80,154,1.54,4,-3.95,3,-0.45,1,-18.83,"2,997",0.49,"1,856",0.66,"1,141",0.22,29,-0.20,25,-0.57,5,1.85,81,-2.36,63,-0.50,19,-8.06,878,2.18,771,2.07,107,2.95,"1,822",0.39,865,-1.58,957,2.23,431,2.67,332,3.63,99,-0.44,787,2.82,345,-0.86,441,5.89,235,2.59,141,5.20,94,-1.12,417,-1.61,142,-9.66,276,3.10,97,8.03,62,13.97,35,-1.11,356,2.03,176,1.74,180,2.32,267,3.15,155,4.01,112,1.97,379,-1.82,219,-3.08,160,-0.05,638,1.12,181,-6.78,457,4.63,429,0.66,95,6.81,334,-0.97,98,1.78,47,18.11,51,-9.54,540,-0.37,269,1.21,272,-1.89
2014M02,"11,019",0.95,"6,134",0.64,"4,885",1.35,547,0.74,397,1.61,150,-1.49,4,-4.76,3,-0.71,1,-20.93,"2,995",0.36,"1,873",1.09,"1,122",-0.83,29,0.15,24,-0.51,5,3.55,83,1.90,68,5.27,16,-10.49,874,2.44,772,2.59,102,1.34,"1,816",0.23,856,-2.66,960,2.95,428,2.71,327,0.94,101,8.86,789,3.03,345,0.33,444,5.23,236,3.08,136,3.07,100,3.10,415,-1.93,152,1.68,263,-3.91,96,9.25,60,9.27,37,9.23,353,1.73,171,-0.36,182,3.78,268,3.44,165,5.89,103,-0.27,376,-2.38,197,-8.68,179,5.65,639,1.10,174,-8.27,465,5.13,432,1.60,96,4.85,337,0.71,95,0.79,47,3.95,48,-2.17,542,0.15,269,6.66,273,-5.55
2014M03,"11,027",0.97,"6,138",0.65,"4,889",1.38,548,0.80,398,2.07,150,-2.40,4,-2.50,3,-1.49,1,-7.41,"3,000",0.61,"1,857",-0.58,"1,143",2.59,29,2.08,25,1.43,4,5.90,84,1.23,70,4.43,14,-12.09,877,2.50,781,2.57,96,1.94,"1,812",0.11,877,0.36,935,-0.13,427,2.13,335,0.94,92,6.69,788,2.68,349,4.84,439,1.03,238,3.46,141,-1.62,97,11.85,414,-1.77,155,7.19,259,-6.44,95,7.90,62,14.56,33,-2.77,354,2.18,157,-6.51,197,10.33,269,3.54,158,1.03,112,7.31,377,-2.26,192,-3.84,186,-0.58,642,1.24,177,-2.81,466,2.86,429,1.17,89,1.23,340,1.16,93,-1.18,48,-8.23,45,7.82,545,0.32,265,2.45,280,-1.61
2014M04,"11,040",1.02,"6,135",0.58,"4,906",1.58,547,0.44,387,-1.01,160,4.13,4,-3.98,3,-9.05,1,34.75,"3,002",0.69,"1,867",-0.38,"1,135",2.50,29,1.02,25,0.14,4,6.51,83,-0.25,63,-8.93,20,41.88,874,2.48,782,2.74,92,0.25,"1,818",0.18,890,3.46,928,-2.77,429,1.95,335,1.55,94,3.39,787,2.34,345,2.17,442,2.48,240,4.01,144,1.03,97,8.80,415,-1.58,149,-1.88,266,-1.42,96,6.66,51,-3.65,45,21.38,351,1.62,152,-9.53,199,12.16,272,4.29,149,-3.44,123,15.49,379,-1.34,196,0.58,183,-3.33,644,1.73,186,-0.07,459,2.48,431,1.42,83,-3.43,348,2.65,95,-0.91,54,9.24,42,-11.47,542,0.33,274,4.48,268,-3.59
2014M05,"11,052",1.04,"6,149",0.77,"4,903",1.38,544,0.38,374,-1.35,170,4.42,4,-5.79,3,-3.02,1,-15.22,"3,000",0.58,"1,880",1.84,"1,120",-1.46,29,-1.23,25,-0.87,4,-3.29,84,0.59,66,5.89,18,-15.15,878,3.09,782,3.60,97,-0.84,"1,823",0.20,895,0.64,927,-0.22,430,1.65,333,0.50,97,5.80,788,1.83,341,-2.00,447,4.94,239,3.95,133,-0.69,106,10.38,418,-1.40,148,-9.58,270,3.77,96,5.59,50,-11.75,47,33.61,350,1.46,154,-7.96,196,10.32,274,5.40,154,-3.56,120,19.70,377,-1.50,196,-1.12,182,-1.90,647,2.04,187,0.37,460,2.74,434,1.61,87,-4.56,347,3.29,96,0.23,55,30.50,42,-23.15,539,0.27,287,8.36,253,-7.55
2014M06,"11,062",0.94,"6,165",0.82,"4,897",1.09,546,0.65,380,-2.65,166,9.09,4,-5.42,3,-8.67,1,7.81,"3,006",0.75,"1,867",1.92,"1,139",-1.12,29,-0.41,25,0.66,4,-6.37,82,-1.76,63,4.58,19,-17.91,879,2.54,779,2.76,100,0.88,"1,819",0.12,906,-0.72,913,0.95,433,1.66,333,0.80,100,4.62,786,1.78,353,3.05,433,0.77,240,2.98,131,-1.03,109,8.21,416,-1.70,150,-11.40,266,4.74,97,6.69,55,-3.92,42,24.64,352,1.74,156,-6.53,197,9.41,272,3.70,154,4.79,118,2.30,380,-1.64,195,-4.19,186,1.19,650,1.91,183,4.03,467,1.10,431,1.17,97,1.55,334,1.06,96,0.14,48,9.30,48,-7.69,542,0.35,289,6.57,254,-5.91
2014M07,"11,091",0.98,"6,174",0.85,"4,917",1.14,549,0.49,392,-0.15,157,2.12,4,12.67,3,-3.19,1,149.09,"3,012",0.80,"1,875",1.32,"1,137",-0.05,29,1.17,25,0.31,4,6.40,82,-2.50,60,-7.20,22,12.69,881,2.46,783,2.39,98,3.02,"1,828",0.20,887,-1.35,941,1.72,435,1.92,339,4.41,96,-6.00,791,1.78,353,2.96,438,0.86,243,3.34,142,5.05,102,1.04,415,-1.37,152,-4.05,264,0.25,98,8.66,56,1.99,42,18.94,350,1.05,160,-3.86,190,5.61,274,3.93,161,9.58,113,-3.18,379,-1.29,198,-6.11,181,4.58,649,2.19,181,3.26,468,1.79,432,0.71,94,1.88,338,0.38,95,-2.87,46,-7.50,49,1.87,543,0.35,269,0.77,275,-0.05
