期間,利率有關契約_原始值,利率有關契約_年增率(%),利率有關契約_原始值,利率有關契約_年增率(%),匯率有關契約_原始值,匯率有關契約_年增率(%),匯率有關契約_原始值,匯率有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),信用有關契約_原始值,信用有關契約_年增率(%),信用有關契約_原始值,信用有關契約_年增率(%),其他有關契約_原始值,其他有關契約_年增率(%),其他有關契約_原始值,其他有關契約_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
2002M02,"110,858",191.38,122,--,"1,010,961",22.31,0,--,913,--,0,--,"8,928",69.67,0,--,...,...,...,...,...,...,...,...,"1,131,660",30.10,122,--
2002M03,"259,289",397.86,"1,934","7,338.46","1,311,254",15.11,0,--,"5,323",--,0,--,0,-100.00,0,--,...,...,...,...,...,...,...,...,"1,575,866",32.15,"1,934","7,338.46"
2002M04,"269,455",289.39,"6,990","2,469.85","1,371,856",32.56,0,--,"2,929",--,0,--,"1,596",--,0,--,...,...,...,...,...,...,...,...,"1,645,836",49.07,"6,990","2,469.85"
2002M05,"351,426",298.10,"8,013","1,061.30","1,446,182",26.43,0,--,896,-13.26,0,--,"2,184",-44.13,0,--,...,...,...,...,...,...,...,...,"1,800,688",45.56,"8,013","1,061.30"
2002M06,"227,054",127.63,"10,697","1,322.47","1,669,183",50.68,0,--,632,--,0,--,"2,492",829.85,0,--,...,...,...,...,...,...,...,...,"1,899,361",57.26,"10,697","1,322.47"
2002M07,"307,309",179.79,"105,020","45,363.20","2,044,866",81.36,4,--,"1,408",--,0,--,"3,135",444.27,"3,135",--,...,...,...,...,...,...,...,...,"2,356,718",90.38,"108,159","46,722.08"
2002M08,"297,546",111.96,"104,106","24,628.27","1,332,149",13.34,0,--,"1,322",--,0,-100.00,"8,828",483.09,0,--,...,...,...,...,...,...,...,...,"1,639,845",24.49,"104,106","12,090.40"
2002M09,"225,169",109.10,"72,126","22,439.38","1,325,977",38.64,0,--,"4,455",--,0,--,"14,772",206.41,0,--,...,...,...,...,...,...,...,...,"1,570,373",46.91,"72,126","22,439.38"
2002M10,"274,933",243.87,"78,440",135.93,"1,573,246",55.79,0,--,775,30.03,0,--,"9,422",15.32,0,--,...,...,...,...,...,...,...,...,"1,858,376",69.17,"78,440",135.93
2002M11,"301,289",39.56,"20,682",91.25,"1,451,139",19.84,0,--,619,--,0,--,"5,525",427.19,0,--,...,...,...,...,...,...,...,...,"1,758,572",23.16,"20,682",91.25
2002M12,"168,537",95.87,"19,587","34,876.79","1,495,026",30.11,0,--,0,-100.00,0,--,0,--,0,--,...,...,...,...,...,...,...,...,"1,663,563",34.63,"19,587","34,876.79"
2003M01,"259,906",8.61,"42,921",188.82,"1,756,163",35.45,0,--,"2,709",--,0,--,"33,475","20,311.59",0,--,...,...,...,...,...,...,...,...,"2,052,253",33.61,"42,921",188.82
2003M02,"257,736",132.49,"35,297","28,831.97","1,361,716",34.70,0,--,"2,773",203.72,0,--,"1,094",-87.75,0,--,...,...,...,...,...,...,...,...,"1,623,319",43.45,"35,297","28,831.97"
2003M03,"340,843",31.45,"141,581","7,220.63","1,693,392",29.14,0,--,"3,622",-31.96,862,--,"1,434",--,0,--,...,...,...,...,...,...,...,...,"2,039,291",29.41,"142,443","7,265.20"
2003M04,"402,056",49.21,"152,986","2,088.64","1,789,986",30.48,0,--,"2,126",-27.42,"1,650",--,764,-52.13,0,--,...,...,...,...,...,...,...,...,"2,194,932",33.36,"154,636","2,112.25"
2003M05,"282,049",-19.74,"109,137","1,262.00","2,077,604",43.66,0,--,"2,455",174.00,"2,139",--,144,-93.41,0,--,...,...,...,...,...,...,...,...,"2,362,252",31.19,"111,276","1,288.69"
2003M06,"355,908",56.75,"77,115",620.90,"1,980,560",18.65,0,--,"1,463",131.49,"7,767",--,"8,306",233.31,0,--,...,...,...,...,...,...,...,...,"2,346,237",23.53,"84,882",693.51
2003M07,"434,085",41.25,"79,036",-24.74,"2,140,784",4.69,0,-100.00,"2,986",112.07,"9,165",--,"10,310",228.87,0,-100.00,...,...,...,...,...,...,...,...,"2,588,165",9.82,"88,201",-18.45
2003M08,"497,627",67.24,"158,081",51.85,"1,992,341",49.56,0,--,"1,673",26.55,"2,943",--,"22,265",152.21,0,--,...,...,...,...,...,...,...,...,"2,513,906",53.30,"161,024",54.67
2003M09,"363,788",61.56,"75,264",4.35,"2,872,861",116.66,0,--,"1,949",-56.25,94,--,"26,890",82.03,0,--,...,...,...,...,...,...,...,...,"3,265,488",107.94,"75,358",4.48
2003M10,"305,517",11.12,"67,828",-13.53,"3,198,434",103.30,0,--,"3,414",340.52,0,--,"2,302",-75.57,0,--,...,...,...,...,...,...,...,...,"3,509,667",88.86,"67,828",-13.53
2003M11,"305,242",1.31,"37,027",79.03,"2,186,373",50.67,0,--,"5,579",801.29,195,--,"17,244",212.11,0,--,...,...,...,...,...,...,...,...,"2,514,438",42.98,"37,222",79.97
2003M12,"240,413",42.65,"44,090",125.10,"2,293,359",53.40,0,--,"1,515",--,585,--,"1,650",--,0,--,...,...,...,...,...,...,...,...,"2,536,937",52.50,"44,675",128.08
2004M01,"397,605",52.98,"40,932",-4.63,"3,215,357",83.09,0,--,"4,751",75.38,316,--,"27,384",-18.20,0,--,450,...,0,...,...,...,...,...,"3,645,547",77.64,"41,248",-3.90
2004M02,"540,029",109.53,"29,064",-17.66,"3,440,014",152.62,0,--,"6,221",124.34,"11,517",--,34,-96.89,0,--,866,...,0,...,...,...,...,...,"3,987,164",145.62,"40,581",14.97
2004M03,"521,074",52.88,"37,350",-73.62,"3,365,183",98.72,0,--,"10,500",189.90,"23,675","2,646.52","20,562","1,333.89",0,--,"1,687",...,0,...,...,...,...,...,"3,919,006",92.17,"61,025",-57.16
2004M04,"1,210,009",200.96,"27,584",-81.97,"3,652,758",104.07,0,--,"4,935",132.13,"25,696","1,457.33","17,044","2,130.89",0,--,"1,477",...,0,...,...,...,...,...,"4,886,223",122.61,"53,280",-65.54
