期間,就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%)
2005,144,-5.50,799,-4.39,"1,503",3.59,"1,400",-0.13,"1,466",0.20,"1,469",1.06,"1,300",3.07,980,6.44,472,10.97,252,-4.71,157,0.48,78,-4.07,331,-3.58,788,2.33,791,-1.33,850,-0.39,870,0.86,787,2.38,632,6.13,329,11.01,181,-5.41,115,-0.12,66,-7.11,468,-4.96,715,5.03,608,1.47,616,1.02,599,1.35,513,4.14,349,6.99,143,10.87,72,-2.89,42,2.17,20,-14.00,92,-5.53,92,4.74,53,-6.48,43,-9.21,42,-11.19,39,-7.73,29,-13.48,13,-3.41,5,-9.66,1,545.28,11,-14.23,43,-16.79,55,7.55,32,-13.29,27,-15.95,28,-16.13,26,-11.88,22,-13.14,10,-1.46,5,-9.12,1,572.53,9,-13.73,49,6.99,36,0.71,21,6.57,16,4.74,14,0.97,13,1.74,7,-14.50,3,-9.72,1,-12.73,0,380.00,"1,401",-1.23,780,-0.16,318,-1.48,299,-5.54,333,-3.69,393,-1.92,439,-2.40,556,4.79,510,9.93,536,-0.41,"2,013",3.15,714,-0.89,384,1.18,102,5.51,47,3.14,44,-1.73,58,-2.84,76,-4.62,127,4.76,154,9.27,201,1.89,972,2.05,687,-1.57,397,-1.42,215,-4.48,252,-7.00,289,-3.99,335,-1.75,364,-1.93,428,4.80,356,10.22,335,-1.74,"1,042",4.20
2006,136,-5.44,765,-4.25,"1,539",2.43,"1,423",1.64,"1,471",0.35,"1,492",1.60,"1,320",1.60,"1,023",4.34,535,13.29,237,-6.17,169,7.67,73,-6.67,319,-3.55,798,1.18,790,-0.17,840,-1.13,873,0.31,797,1.30,652,3.27,373,13.50,171,-5.67,124,7.32,64,-4.00,446,-4.74,742,3.80,632,3.99,630,2.38,620,3.48,523,2.06,371,6.29,162,12.80,66,-7.41,45,8.64,18,-9.95,86,-6.67,97,5.72,56,6.82,43,1.32,37,-13.41,31,-19.30,26,-10.83,12,-3.44,4,-27.82,0,-31.14,8,-22.93,43,1.01,56,0.15,34,7.31,28,3.77,23,-18.32,20,-21.89,20,-8.84,9,-8.07,3,-31.57,0,-52.61,9,5.88,43,-13.31,41,14.27,22,6.04,16,-2.76,13,-3.40,11,-14.17,6,-16.83,3,12.97,1,-5.47,0,151.39,"1,422",1.47,767,-1.70,299,-5.78,280,-6.47,313,-5.82,370,-5.94,446,1.48,569,2.39,590,15.63,521,-2.70,"2,067",2.69,732,2.64,382,-0.35,102,-0.57,46,-1.98,42,-4.58,56,-4.70,80,6.06,133,4.99,180,16.66,197,-1.98,986,1.46,689,0.26,385,-3.00,198,-8.25,234,-7.31,271,-6.01,314,-6.15,366,0.53,435,1.63,410,15.19,324,-3.14,"1,082",3.84
2007,138,1.23,732,-4.31,"1,544",0.30,"1,469",3.29,"1,469",-0.10,"1,490",-0.12,"1,349",2.20,"1,054",3.03,617,15.35,243,2.66,187,10.25,71,-1.81,312,-2.36,791,-0.78,810,2.56,833,-0.84,858,-1.69,806,1.08,663,1.64,418,11.89,171,0.09,135,8.71,67,4.70,421,-5.71,753,1.46,659,4.19,636,0.89,633,2.10,544,3.91,391,5.49,200,23.35,72,9.28,52,14.45,17,-2.09,86,0.57,96,-0.67,59,5.11,42,-3.92,43,17.07,34,9.33,25,-4.35,12,-0.32,3,-17.63,0,-37.79,9,4.53,41,-5.70,55,-0.46,34,-1.72,27,-4.00,28,22.09,24,19.07,18,-9.92,9,0.23,3,-11.92,0,-26.21,9,-7.97,46,6.90,41,-0.94,25,15.87,15,-3.78,15,8.40,10,-8.22,7,14.11,3,-1.92,0,-42.29,0,-56.35,"1,428",0.47,730,-4.85,297,-0.89,283,1.10,306,-2.40,350,-5.44,447,0.34,567,-0.37,639,8.34,522,0.26,"2,110",2.08,736,0.50,369,-3.48,108,6.17,53,14.16,42,0.46,56,1.35,84,4.99,137,2.75,200,10.99,201,2.09,993,0.75,692,0.43,361,-6.20,189,-4.53,231,-1.48,264,-2.84,294,-6.63,363,-0.68,430,-1.32,439,7.17,321,-0.85,"1,117",3.29
2008,136,-1.11,685,-6.52,"1,545",0.06,"1,508",2.61,"1,467",-0.16,"1,480",-0.73,"1,385",2.65,"1,078",2.27,677,9.57,253,3.91,191,2.14,73,1.77,298,-4.34,783,-1.01,826,1.94,825,-1.03,849,-1.07,819,1.62,667,0.64,451,7.95,177,3.46,134,-0.10,64,-4.19,386,-8.14,762,1.18,682,3.43,642,0.98,631,-0.27,566,4.18,411,5.05,225,12.96,76,5.00,56,7.97,18,1.86,92,6.84,105,9.46,61,3.28,45,7.77,40,-7.24,39,15.25,29,16.89,16,31.18,4,10.75,0,12.97,9,6.45,44,6.94,61,9.76,37,8.44,29,8.71,27,-4.60,27,14.43,22,20.16,12,31.36,3,9.01,0,36.92,8,-2.77,49,6.75,45,9.05,24,-3.63,16,6.11,13,-12.36,12,17.17,8,8.33,4,30.65,1,22.20,0,-51.90,"1,428",-0.03,727,-0.36,291,-2.04,282,-0.29,291,-4.80,344,-1.80,446,-0.42,572,0.92,676,5.86,548,4.87,"2,166",2.63,731,-0.74,369,-0.02,112,3.25,53,1.21,40,-5.06,56,-0.04,87,3.33,144,5.19,212,6.02,212,5.44,"1,013",1.97,697,0.73,358,-0.71,179,-5.07,229,-0.63,251,-4.76,287,-2.14,359,-1.28,428,-0.45,465,5.79,336,4.51,"1,153",3.22
2009,120,-11.77,628,-8.25,"1,495",-3.20,"1,533",1.69,"1,433",-2.30,"1,444",-2.41,"1,379",-0.44,"1,083",0.47,697,3.08,271,7.12,194,1.91,59,-18.03,270,-9.62,755,-3.67,829,0.32,795,-3.67,816,-3.82,805,-1.71,663,-0.58,456,1.02,190,7.44,139,3.47,61,-4.67,359,-7.19,741,-2.73,704,3.34,639,-0.54,628,-0.50,574,1.40,420,2.17,242,7.20,81,6.36,55,-1.83,19,7.21,108,16.94,144,36.44,95,55.18,70,55.47,64,59.92,61,56.18,47,59.37,26,58.77,6,57.15,0,-24.77,9,-0.42,52,19.36,86,42.13,60,63.74,46,60.36,46,68.70,43,57.06,35,60.79,21,75.26,4,48.26,0,-15.02,10,15.62,56,14.79,57,28.69,35,42.29,23,46.60,18,41.33,18,54.18,12,55.25,4,9.99,1,109.47,0,-100.00,"1,436",0.58,747,2.73,271,-6.85,283,0.30,281,-3.39,343,-0.07,440,-1.30,597,4.36,724,7.13,594,8.39,"2,221",2.55,740,1.22,388,5.08,100,-10.22,56,4.56,41,1.50,63,11.77,90,3.55,158,9.42,236,11.50,230,8.49,"1,027",1.42,697,-0.10,359,0.31,171,-4.74,228,-0.69,241,-4.17,280,-2.39,350,-2.48,439,2.65,488,5.13,364,8.32,"1,194",3.53
2010,125,4.12,633,0.73,"1,483",-0.86,"1,589",3.63,"1,433",0.01,"1,458",0.98,"1,401",1.59,"1,116",3.03,751,7.76,305,12.65,199,2.43,65,9.95,279,3.44,746,-1.10,855,3.17,788,-0.86,816,-0.06,810,0.62,679,2.35,489,7.26,211,11.01,142,2.20,60,-1.57,354,-1.30,736,-0.61,734,4.17,645,1.08,642,2.34,591,2.96,437,4.10,263,8.71,94,16.50,57,3.00,15,-18.47,99,-8.50,132,-8.42,87,-8.29,61,-12.27,57,-10.57,57,-7.78,40,-13.56,24,-7.38,5,-16.03,0,50.60,8,-12.36,46,-11.09,77,-10.31,55,-8.51,39,-15.13,41,-10.25,42,-3.30,30,-13.96,19,-8.01,4,-16.92,0,6.83,7,-24.27,53,-6.10,54,-5.58,32,-7.90,22,-6.59,16,-11.37,15,-18.18,10,-12.36,4,-4.40,1,-12.35,0,--,"1,435",-0.07,724,-3.09,244,-9.95,292,2.96,273,-2.94,328,-4.58,431,-2.08,597,0.10,755,4.17,652,9.77,"2,263",1.87,734,-0.70,373,-3.73,90,-10.35,59,6.24,41,1.95,61,-3.23,89,-1.00,159,0.84,244,3.32,254,10.64,"1,038",1.00,701,0.61,351,-2.39,154,-9.72,232,2.15,231,-3.76,267,-4.88,341,-2.36,438,-0.16,511,4.58,397,9.22,"1,225",2.63
2011,123,-1.92,640,1.14,"1,458",-1.63,"1,638",3.08,"1,446",0.89,"1,474",1.10,"1,425",1.67,"1,162",4.11,799,6.32,347,13.88,197,-0.90,66,0.33,287,2.81,726,-2.78,882,3.15,791,0.35,824,0.96,824,1.72,705,3.77,518,5.95,244,15.95,142,-0.24,57,-4.37,353,-0.18,733,-0.47,756,3.00,655,1.55,651,1.29,601,1.60,457,4.65,281,7.01,103,9.26,55,-2.57,16,0.98,93,-5.71,112,-15.17,74,-15.02,50,-19.02,46,-19.68,44,-22.54,32,-21.44,20,-15.70,6,19.03,0,-18.67,8,-2.57,43,-6.83,62,-20.05,43,-21.38,34,-13.61,31,-23.56,31,-24.83,23,-22.33,16,-16.35,5,22.75,0,-4.89,8,4.87,50,-4.72,50,-8.21,31,-4.09,16,-28.77,14,-9.77,13,-16.26,8,-18.84,4,-12.77,1,4.36,0,-52.29,"1,455",1.37,725,0.18,186,-23.58,281,-3.58,282,3.36,313,-4.45,418,-2.92,584,-2.22,766,1.55,749,14.97,"2,293",1.33,750,2.09,373,-0.05,68,-23.81,53,-10.56,46,10.00,54,-11.39,82,-7.62,152,-4.54,244,0.21,288,13.12,"1,042",0.44,705,0.63,352,0.42,118,-23.44,228,-1.80,237,2.17,259,-2.87,336,-1.70,432,-1.38,522,2.19,462,16.15,"1,251",2.08
2012,122,-0.57,658,2.77,"1,414",-3.04,"1,643",0.35,"1,482",2.50,"1,480",0.40,"1,434",0.70,"1,197",3.02,829,3.75,394,13.45,206,4.58,65,-0.44,296,3.36,706,-2.72,881,-0.10,811,2.55,819,-0.52,824,0.01,721,2.28,533,3.00,277,13.35,150,5.51,57,-0.72,361,2.29,708,-3.36,762,0.86,671,2.45,661,1.57,610,1.64,476,4.15,296,5.12,117,13.71,56,2.18,13,-14.51,100,7.07,108,-3.45,74,0.87,52,4.11,42,-8.31,38,-14.48,29,-9.27,18,-9.36,7,22.19,0,17.70,7,-8.55,45,5.56,59,-4.61,45,4.19,32,-4.60,29,-8.68,26,-17.46,21,-8.63,15,-9.26,6,27.84,0,13.83,6,-20.59,54,8.36,49,-2.01,29,-3.82,19,23.13,13,-7.49,12,-7.15,7,-11.09,3,-9.82,1,-4.08,0,36.54,"1,469",0.96,709,-2.21,135,-27.76,270,-3.78,293,3.88,299,-4.61,398,-4.71,584,-0.04,766,-0.08,830,10.74,"2,343",2.19,759,1.17,365,-2.06,43,-36.96,48,-8.72,50,10.46,51,-4.68,79,-3.90,153,0.85,243,-0.68,316,9.71,"1,054",1.12,710,0.74,344,-2.37,91,-22.42,222,-2.64,243,2.61,247,-4.60,319,-4.91,431,-0.35,523,0.20,514,11.38,"1,289",3.08
2013,116,-5.23,666,1.31,"1,369",-3.17,"1,651",0.45,"1,514",2.17,"1,477",-0.18,"1,430",-0.30,"1,230",2.80,855,3.20,438,11.16,219,6.36,63,-3.48,311,5.01,684,-3.12,876,-0.61,823,1.56,814,-0.58,808,-1.90,731,1.42,538,0.96,308,11.38,158,5.61,53,-7.24,355,-1.72,685,-3.22,775,1.68,691,2.91,663,0.32,622,1.87,499,4.90,317,7.23,130,10.63,61,8.36,12,-6.84,106,6.45,105,-2.70,72,-2.77,53,2.21,38,-9.63,38,1.17,28,-1.32,19,3.44,6,-13.16,0,-12.26,6,-17.10,51,12.81,59,0.20,45,0.35,33,3.04,25,-13.10,27,5.91,20,-7.06,14,-7.32,5,-11.83,0,-4.86,6,5.23,55,1.13,46,-6.21,27,-7.53,19,0.80,13,-2.21,11,-9.23,9,15.37,5,50.55,1,-21.36,0,-42.25,"1,452",-1.12,693,-2.36,120,-11.17,264,-2.32,296,1.08,288,-3.49,377,-5.30,585,0.21,769,0.41,884,6.55,"2,413",3.01,750,-1.12,342,-6.38,41,-4.92,53,8.88,54,7.62,48,-5.94,79,0.45,161,5.40,252,3.99,332,5.12,"1,077",2.22,702,-1.12,350,1.91,79,-14.13,212,-4.75,242,-0.28,240,-2.98,298,-6.73,424,-1.64,516,-1.25,552,7.42,"1,336",3.66
