期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%)
2011M04,"1,096,037",11.61,"152,165",17.48,"790,819",8.71,"113,512",14.38,"542,324",8.94,"75,471",8.23,"391,844",6.93,"55,538",16.62,"553,713",14.36,"76,695",28.25,"398,975",10.51,"57,974",12.33
2011M05,"1,123,635",13.35,"159,619",15.25,"805,130",11.65,"119,490",22.30,"547,769",9.83,"79,972",9.84,"393,295",7.75,"57,248",22.18,"575,865",16.91,"79,648",21.24,"411,836",15.64,"62,242",22.40
2011M06,"1,083,178",10.41,"150,546",14.28,"791,334",11.29,"109,617",7.99,"534,556",9.17,"79,164",15.24,"386,569",9.71,"55,827",11.05,"548,622",11.64,"71,382",13.24,"404,766",12.85,"53,790",4.99
2011M07,"1,072,644",6.11,"156,322",16.96,"765,154",4.77,"117,549",15.56,"531,986",6.27,"80,866",17.96,"377,203",4.71,"58,659",16.09,"540,658",5.95,"75,456",15.90,"387,950",4.83,"58,890",15.04
2011M08,"1,072,141",3.49,"150,762",11.20,"768,460",1.32,"120,312",16.35,"534,919",3.58,"80,251",15.50,"380,935",0.53,"59,111",19.09,"537,222",3.41,"70,511",6.68,"387,525",2.11,"61,201",13.83
2011M09,"1,031,278",0.25,"148,376",10.55,"738,959",-2.13,"110,372",11.95,"524,046",2.35,"78,698",9.40,"374,271",1.44,"56,263",13.05,"507,232",-1.82,"69,678",11.87,"364,687",-5.54,"54,109",10.83
2011M10,"1,030,095",-2.30,"140,094",2.75,"732,516",-5.50,"121,663",18.09,"517,413",-2.01,"71,775",3.79,"369,010",-5.18,"59,200",17.97,"512,682",-2.58,"68,319",1.68,"363,506",-5.82,"62,463",18.21
2011M11,"1,103,774",7.82,"151,886",8.58,"797,312",7.28,"116,153",10.16,"558,979",9.17,"81,641",12.61,"401,012",8.32,"58,379",13.32,"544,795",6.46,"70,245",4.24,"396,300",6.25,"57,774",7.15
2011M12,"1,145,300",7.03,"152,123",2.79,"826,143",7.25,"125,760",11.12,"585,905",8.32,"82,482",4.68,"417,602",7.85,"65,370",16.61,"559,395",5.71,"69,640",0.65,"408,542",6.64,"60,390",5.74
2012M01,"1,098,406",3.84,"148,840",3.09,"792,302",3.46,"117,312",6.75,"557,902",7.24,"77,918",3.67,"399,643",6.72,"60,193",14.43,"540,504",0.55,"70,922",2.45,"392,660",0.33,"57,119",-0.31
2012M02,"916,425",9.70,"107,250",2.53,"677,685",9.50,"97,603",24.78,"450,907",6.61,"54,088",-2.34,"333,338",7.03,"45,999",16.50,"465,519",12.86,"53,163",8.01,"344,346",12.00,"51,604",33.22
2012M03,"1,129,484",4.05,"154,126",0.72,"808,785",3.60,"122,270",6.88,"562,603",6.58,"81,456",4.55,"398,281",4.98,"61,871",15.72,"566,882",1.67,"72,669",-3.25,"410,505",2.31,"60,399",-0.88
2012M04,"1,139,136",3.93,"157,887",3.76,"815,500",3.12,"121,811",7.31,"582,092",7.33,"83,328",10.41,"416,696",6.34,"61,534",10.80,"557,044",0.60,"74,560",-2.78,"398,805",-0.04,"60,277",3.97
2012M05,"1,209,299",7.62,"152,191",-4.65,"901,448",11.96,"112,802",-5.60,"600,305",9.59,"79,286",-0.86,"443,756",12.83,"55,973",-2.23,"608,994",5.75,"72,905",-8.47,"457,692",11.13,"56,829",-8.70
2012M06,"1,126,108",3.96,"153,204",1.77,"794,856",0.45,"113,383",3.44,"560,754",4.90,"81,239",2.62,"389,920",0.87,"57,296",2.63,"565,353",3.05,"71,965",0.82,"404,937",0.04,"56,087",4.27
2012M07,"1,145,758",6.82,"154,569",-1.12,"802,564",4.89,"122,382",4.11,"567,898",6.75,"78,530",-2.89,"400,282",6.12,"59,041",0.65,"577,860",6.88,"76,039",0.77,"402,282",3.69,"63,341",7.56
2012M08,"1,124,891",4.92,"145,639",-3.40,"803,450",4.55,"110,118",-8.47,"560,279",4.74,"76,612",-4.53,"397,621",4.38,"54,044",-8.57,"564,612",5.10,"69,027",-2.10,"405,828",4.72,"56,074",-8.38
2012M09,"1,088,943",5.59,"143,691",-3.16,"767,783",3.90,"111,604",1.12,"549,825",4.92,"75,310",-4.31,"385,531",3.01,"56,456",0.34,"539,117",6.29,"68,381",-1.86,"382,252",4.82,"55,148",1.92
2012M10,"1,152,852",11.92,"146,553",4.61,"828,063",13.04,"119,504",-1.77,"584,368",12.94,"75,843",5.67,"422,233",14.42,"57,691",-2.55,"568,484",10.88,"70,710",3.50,"405,830",11.64,"61,813",-1.04
2012M11,"1,138,271",3.13,"144,109",-5.12,"813,566",2.04,"112,274",-3.34,"573,750",2.64,"77,026",-5.65,"406,850",1.46,"55,388",-5.12,"564,521",3.62,"67,083",-4.50,"406,716",2.63,"56,886",-1.54
2012M12,"1,153,076",0.68,"141,329",-7.10,"830,288",0.50,"122,515",-2.58,"586,809",0.15,"76,293",-7.50,"420,105",0.60,"60,929",-6.79,"566,267",1.23,"65,036",-6.61,"410,183",0.40,"61,586",1.98
2013M01,"1,084,205",-1.29,"119,521",-19.70,"804,570",1.55,"95,702",-18.42,"557,464",-0.08,"61,569",-20.98,"415,069",3.86,"51,097",-15.11,"526,742",-2.55,"57,952",-18.29,"389,501",-0.80,"44,605",-21.91
2013M02,"1,058,039",15.45,"116,369",8.50,"760,039",12.15,"110,360",13.07,"513,919",13.97,"57,111",5.59,"371,635",11.49,"50,178",9.08,"544,121",16.88,"59,258",11.46,"388,405",12.79,"60,182",16.62
2013M03,"1,157,399",2.47,"131,451",-14.71,"823,667",1.84,"119,647",-2.15,"571,766",1.63,"66,997",-17.75,"405,839",1.90,"57,890",-6.43,"585,633",3.31,"64,455",-11.30,"417,828",1.78,"61,757",2.25
2013M04,"1,153,763",1.28,"134,205",-15.00,"814,932",-0.07,"112,926",-7.29,"570,947",-1.91,"68,300",-18.03,"401,782",-3.58,"57,293",-6.89,"582,816",4.63,"65,905",-11.61,"413,150",3.60,"55,633",-7.70
2013M05,"1,225,392",1.33,"142,497",-6.37,"866,022",-3.93,"114,153",1.20,"611,683",1.90,"74,794",-5.67,"429,098",-3.30,"56,930",1.71,"613,710",0.77,"67,703",-7.14,"436,924",-4.54,"57,223",0.69
2013M06,"1,130,701",0.41,"133,939",-12.57,"787,747",-0.89,"116,107",2.40,"567,673",1.23,"71,219",-12.33,"392,664",0.70,"58,006",1.24,"563,028",-0.41,"62,720",-12.85,"395,083",-2.43,"58,101",3.59
2013M07,"1,221,635",6.62,"147,731",-4.42,"849,198",5.81,"118,810",-2.92,"610,264",7.46,"76,401",-2.71,"421,950",5.41,"58,543",-0.84,"611,371",5.80,"71,330",-6.19,"427,248",6.21,"60,267",-4.85
2013M08,"1,162,316",3.33,"130,470",-10.42,"811,932",1.06,"116,388",5.69,"581,418",3.77,"67,441",-11.97,"401,615",1.00,"60,115",11.23,"580,898",2.88,"63,029",-8.69,"410,317",1.11,"56,273",0.35
2013M09,"1,161,787",6.69,"135,117",-5.97,"811,186",5.65,"122,905",10.13,"586,847",6.73,"70,526",-6.35,"410,921",6.59,"60,076",6.41,"574,941",6.64,"64,591",-5.54,"400,265",4.71,"62,829",13.93
2013M10,"1,236,222",7.23,"142,135",-3.01,"875,003",5.67,"119,824",0.27,"615,089",5.26,"73,329",-3.31,"432,674",2.47,"58,653",1.67,"621,132",9.26,"68,806",-2.69,"442,330",8.99,"61,171",-1.04
2013M11,"1,127,068",-0.98,"134,585",-6.61,"780,940",-4.01,"118,742",5.76,"568,018",-1.00,"71,317",-7.41,"393,485",-3.28,"57,559",3.92,"559,050",-0.97,"63,269",-5.69,"387,455",-4.74,"61,183",7.55
2013M12,"1,162,831",0.85,"139,548",-1.26,"795,986",-4.13,"129,841",5.98,"586,060",-0.13,"72,881",-4.47,"399,952",-4.80,"63,441",4.12,"576,771",1.85,"66,667",2.51,"396,034",-3.45,"66,400",7.82
2014M01,"1,212,405",11.82,"136,999",14.62,"847,323",5.31,"124,656",30.25,"605,275",8.58,"72,094",17.09,"419,917",1.17,"62,851",23.00,"607,131",15.26,"64,905",12.00,"427,407",9.73,"61,805",38.56
2014M02,"944,749",-10.71,"89,753",-22.87,"681,878",-10.28,"91,725",-16.89,"486,637",-5.31,"47,448",-16.92,"350,421",-5.71,"47,366",-5.60,"458,111",-15.81,"42,305",-28.61,"331,457",-14.66,"44,359",-26.29
2014M03,"1,220,834",5.48,"135,739",3.26,"857,142",4.06,"136,132",13.78,"608,801",6.48,"70,294",4.92,"427,228",5.27,"67,818",17.15,"612,033",4.51,"65,445",1.54,"429,915",2.89,"68,314",10.62
2014M04,"1,172,286",1.61,"127,453",-5.03,"828,099",1.62,"119,292",5.64,"588,492",3.07,"66,462",-2.69,"414,092",3.06,"58,961",2.91,"583,794",0.17,"60,991",-7.46,"414,007",0.21,"60,331",8.44
2014M05,"1,214,929",-0.85,"137,052",-3.82,"857,783",-0.95,"129,711",13.63,"600,767",-1.78,"69,363",-7.26,"422,550",-1.53,"63,785",12.04,"614,163",0.07,"67,689",-0.02,"435,233",-0.39,"65,926",15.21
2014M06,"1,119,577",-0.98,"137,817",2.90,"783,345",-0.56,"120,600",3.87,"557,008",-1.88,"72,593",1.93,"389,066",-0.92,"56,709",-2.24,"562,569",-0.08,"65,224",3.99,"394,280",-0.20,"63,891",9.97
2014M07,"1,201,741",-1.63,"143,474",-2.88,"850,240",0.12,"124,473",4.77,"602,970",-1.20,"75,445",-1.25,"425,317",0.80,"61,464",4.99,"598,771",-2.06,"68,028",-4.63,"424,923",-0.54,"63,009",4.55
