期間,總人口數_原始值,總人口數_年增率(%),0~4歲_原始值,0~4歲_年增率(%),5~9歲_原始值,5~9歲_年增率(%),10~14歲_原始值,10~14歲_年增率(%),15~19歲_原始值,15~19歲_年增率(%),20~24歲_原始值,20~24歲_年增率(%),25~29歲_原始值,25~29歲_年增率(%),30~34歲_原始值,30~34歲_年增率(%),35~39歲_原始值,35~39歲_年增率(%),40~44歲_原始值,40~44歲_年增率(%),45~49歲_原始值,45~49歲_年增率(%),50~54歲_原始值,50~54歲_年增率(%),55~59歲_原始值,55~59歲_年增率(%),60~64歲_原始值,60~64歲_年增率(%),65~69歲_原始值,65~69歲_年增率(%),70~74歲_原始值,70~74歲_年增率(%),75~79歲_原始值,75~79歲_年增率(%),80~84歲_原始值,80~84歲_年增率(%),85~89歲_原始值,85~89歲_年增率(%),90~94歲_原始值,90~94歲_年增率(%),95~99歲_原始值,95~99歲_年增率(%),100歲以上_原始值,100歲以上_年增率(%),平均年齡(歲)_原始值,平均年齡(歲)_年增率(%)
2011M07,"516,625",1.47,"31,894",-0.89,"37,607",-2.56,"45,223",-0.72,"50,551",2.32,"42,664",3.77,"42,784",-1.90,"42,552",3.18,"38,245",0.79,"38,534",0.13,"38,997",2.00,"33,424",2.31,"26,077",7.28,"16,619",13.70,"10,353",-3.21,"9,002",0.98,"6,525",3.85,"3,638",4.06,"1,470",8.97,383,4.64,74,-2.63,9,28.57,32.67,0.97
2011M08,"517,455",1.42,"31,840",-0.79,"37,627",-2.36,"45,160",-1.16,"50,750",2.32,"42,836",3.84,"42,701",-2.00,"42,597",2.72,"38,337",0.91,"38,622",0.41,"38,954",1.48,"33,519",2.38,"26,242",7.38,"16,771",13.54,"10,358",-2.83,"9,030",1.63,"6,524",3.05,"3,636",4.12,"1,481",7.87,388,4.86,73,-6.41,9,28.57,32.69,0.98
2011M09,"518,218",1.41,"31,830",-0.57,"37,670",-2.21,"45,010",-1.57,"50,906",2.47,"42,989",3.90,"42,607",-1.99,"42,675",2.42,"38,486",1.29,"38,617",0.27,"38,894",1.07,"33,680",2.76,"26,351",6.93,"16,926",13.15,"10,397",-1.64,"9,036",1.92,"6,538",2.41,"3,645",4.11,"1,494",7.25,388,5.15,70,-14.63,9,28.57,32.71,0.97
2011M10,"518,829",1.42,"31,788",-0.49,"37,590",-1.98,"44,871",-1.89,"50,964",2.45,"43,215",4.17,"42,469",-2.13,"42,745",2.32,"38,564",1.40,"38,605",0.32,"39,007",0.93,"33,804",3.10,"26,434",6.39,"17,092",12.57,"10,416",-0.47,"9,086",1.98,"6,528",1.76,"3,666",4.47,"1,519",8.19,389,4.57,68,-18.07,9,12.50,32.75,0.96
2011M11,"519,402",1.41,"31,777",-0.65,"37,516",-1.71,"44,771",-2.09,"51,040",2.48,"43,358",4.18,"42,385",-2.12,"42,807",2.10,"38,689",1.72,"38,621",0.41,"38,922",0.38,"34,009",3.60,"26,500",5.86,"17,279",12.55,"10,396",-0.30,"9,099",1.89,"6,548",2.11,"3,676",4.28,"1,540",8.68,394,5.07,66,-18.52,9,12.50,32.78,0.96
2011M12,"519,984",1.42,"31,848",-0.30,"37,392",-1.78,"44,715",-2.12,"51,080",2.41,"43,554",4.35,"42,297",-2.27,"42,909",2.20,"38,685",1.52,"38,657",0.57,"38,981",0.31,"34,097",3.64,"26,576",5.83,"17,485",12.64,"10,309",-0.92,"9,152",2.31,"6,553",2.04,"3,684",4.45,"1,546",9.03,382,0.79,73,-8.75,9,12.50,32.80,0.95
2012M01,"520,440",1.43,"31,824",-0.21,"37,310",-1.69,"44,558",-2.24,"51,134",2.33,"43,798",4.63,"42,111",-2.39,"43,015",2.12,"38,681",1.67,"38,646",0.68,"38,994",0.08,"34,125",3.45,"26,762",5.75,"17,713",12.76,"10,304",-0.72,"9,202",2.61,"6,523",1.26,"3,708",5.55,"1,573",10.00,373,-1.58,76,-3.80,10,42.86,32.84,0.94
2012M02,"521,183",1.47,"31,958",0.06,"37,295",-1.35,"44,537",-2.32,"51,166",2.22,"44,012",4.78,"41,956",-2.49,"43,118",2.21,"38,752",1.98,"38,588",0.35,"38,989",0.09,"34,219",3.36,"26,872",5.73,"17,917",12.89,"10,275",-0.55,"9,235",2.73,"6,551",1.41,"3,720",5.14,"1,565",9.14,370,-2.12,79,-2.47,9,12.50,32.85,0.91
2012M03,"521,709",1.43,"31,974",-0.16,"37,238",-1.38,"44,471",-2.25,"51,241",2.09,"44,104",4.64,"41,910",-2.49,"43,206",2.25,"38,801",2.11,"38,494",0.16,"38,986",-0.19,"34,379",3.71,"26,983",5.65,"18,063",12.53,"10,263",-0.76,"9,255",3.19,"6,576",1.29,"3,722",4.73,"1,587",10.59,368,-2.13,80,0.00,8,14.29,32.87,0.93
2012M04,"522,245",1.44,"32,028",-0.03,"37,193",-1.23,"44,401",-2.23,"51,265",1.97,"44,258",4.80,"41,842",-2.61,"43,266",2.29,"38,865",2.13,"38,362",-0.21,"38,989",-0.13,"34,531",3.99,"27,097",5.56,"18,137",11.76,"10,341",-0.30,"9,277",3.67,"6,588",1.14,"3,751",5.13,"1,586",9.83,379,1.34,81,6.58,8,0.00,32.90,0.92
2012M05,"522,942",1.47,"32,142",0.55,"37,161",-1.40,"44,289",-2.39,"51,321",1.96,"44,409",4.94,"41,835",-2.71,"43,317",2.29,"38,894",2.18,"38,398",-0.17,"38,904",-0.28,"34,694",4.27,"27,277",5.69,"18,214",11.18,"10,339",-0.10,"9,302",3.78,"6,601",1.29,"3,782",5.23,"1,582",9.18,393,5.36,79,3.95,9,12.50,32.92,0.91
2012M06,"523,498",1.45,"32,150",0.70,"37,131",-1.47,"44,137",-2.62,"51,448",1.97,"44,512",4.78,"41,829",-2.54,"43,367",2.24,"38,948",2.06,"38,440",-0.01,"38,858",-0.46,"34,788",4.35,"27,479",5.88,"18,258",10.64,"10,368",0.59,"9,316",3.38,"6,603",1.30,"3,794",5.21,"1,585",9.24,398,4.19,79,5.33,10,25.00,32.94,0.92
2012M07,"524,059",1.44,"32,150",0.80,"37,081",-1.40,"44,045",-2.60,"51,482",1.84,"44,682",4.73,"41,745",-2.43,"43,445",2.10,"39,098",2.23,"38,371",-0.42,"38,871",-0.32,"34,848",4.26,"27,676",6.13,"18,327",10.28,"10,403",0.48,"9,321",3.54,"6,629",1.59,"3,799",4.43,"1,595",8.50,408,6.53,73,-1.35,10,11.11,32.96,0.90
2012M08,"524,854",1.43,"32,210",1.16,"36,998",-1.67,"44,033",-2.50,"51,520",1.52,"44,926",4.88,"41,614",-2.55,"43,560",2.26,"39,177",2.19,"38,395",-0.59,"38,869",-0.22,"34,942",4.25,"27,839",6.09,"18,453",10.03,"10,465",1.03,"9,313",3.13,"6,652",1.96,"3,804",4.62,"1,591",7.43,413,6.44,71,-2.74,9,0.00,32.99,0.90
2012M09,"525,539",1.41,"32,277",1.40,"36,862",-2.14,"43,972",-2.31,"51,450",1.07,"45,262",5.29,"41,432",-2.76,"43,682",2.36,"39,250",1.99,"38,401",-0.56,"38,948",0.14,"34,963",3.81,"28,036",6.39,"18,549",9.59,"10,536",1.34,"9,324",3.19,"6,675",2.10,"3,821",4.83,"1,601",7.16,419,7.99,69,-1.43,10,11.11,33.02,0.92
2012M10,"526,148",1.41,"32,360",1.80,"36,767",-2.19,"43,842",-2.29,"51,522",1.09,"45,410",5.08,"41,232",-2.91,"43,922",2.75,"39,298",1.90,"38,438",-0.43,"38,935",-0.18,"34,994",3.52,"28,170",6.57,"18,676",9.27,"10,578",1.56,"9,374",3.17,"6,694",2.54,"3,835",4.61,"1,596",5.07,423,8.74,71,4.41,11,22.22,33.04,0.89
2012M11,"526,720",1.41,"32,420",2.02,"36,678",-2.23,"43,756",-2.27,"51,559",1.02,"45,567",5.09,"41,205",-2.78,"43,909",2.57,"39,385",1.80,"38,424",-0.51,"38,998",0.20,"35,042",3.04,"28,313",6.84,"18,793",8.76,"10,636",2.31,"9,365",2.92,"6,714",2.54,"3,842",4.52,"1,596",3.64,434,10.15,73,10.61,11,22.22,33.07,0.87
2012M12,"527,250",1.40,"32,445",1.87,"36,648",-1.99,"43,551",-2.60,"51,614",1.05,"45,778",5.11,"41,099",-2.83,"43,972",2.48,"39,468",2.02,"38,408",-0.64,"39,031",0.13,"35,110",2.97,"28,405",6.88,"18,925",8.24,"10,702",3.81,"9,383",2.52,"6,734",2.76,"3,846",4.40,"1,607",3.95,441,15.45,72,-1.37,11,22.22,33.10,0.90
