期間,消費者貸款--小計_原始值,消費者貸款--小計_年增率(%),消費者貸款--購置住宅貸款_原始值,消費者貸款--購置住宅貸款_年增率(%),消費者貸款--房屋修繕貸款_原始值,消費者貸款--房屋修繕貸款_年增率(%),消費者貸款--汽車貸款_原始值,消費者貸款--汽車貸款_年增率(%),消費者貸款--機關團體職工福利貸款_原始值,消費者貸款--機關團體職工福利貸款_年增率(%),消費者貸款--其他個人消費性貸款_原始值,消費者貸款--其他個人消費性貸款_年增率(%),消費者貸款--信用卡循環信用餘額_原始值,消費者貸款--信用卡循環信用餘額_年增率(%),建築貸款_原始值,建築貸款_年增率(%)
2005M09,"6,431,260",14.50,"3,801,093",13.41,"721,148",2.64,"137,002",42.62,"163,936",-9.87,"1,146,573",34.03,"461,508",7.49,"599,835",24.05
2005M10,"6,477,525",14.09,"3,838,439",13.11,"724,595",2.76,"138,244",37.90,"162,176",-10.68,"1,148,490",30.27,"465,581",12.10,"625,007",27.86
2005M11,"6,518,663",13.19,"3,875,330",12.97,"728,718",3.04,"138,837",33.49,"171,833",-5.46,"1,136,820",24.43,"467,125",10.74,"641,048",27.24
2005M12,"6,583,867",12.32,"3,924,208",12.68,"731,299",2.95,"140,371",28.23,"171,361",-5.81,"1,151,036",20.89,"465,592",9.56,"661,265",30.01
2006M01,"6,600,078",11.51,"3,965,063",12.04,"734,045",6.73,"143,133",23.00,"172,773",-3.97,"1,121,166",16.11,"463,898",7.80,"671,275",30.33
2006M02,"6,572,784",10.71,"3,966,924",11.84,"733,066",6.74,"140,565",19.56,"170,269",-3.95,"1,107,378",13.80,"454,582",4.44,"672,874",28.32
2006M03,"6,553,479",8.53,"4,000,312",11.28,"737,200",6.75,"138,632",15.04,"169,296",-4.35,"1,077,989",6.76,"430,050",-3.49,"674,103",25.72
2006M04,"6,539,516",6.60,"4,026,485",11.06,"739,394",4.57,"137,290",11.27,"168,375",-4.13,"1,056,582",0.09,"411,390",-8.06,"686,684",25.99
2006M05,"6,534,203",5.23,"4,061,000",10.92,"742,050",4.51,"135,131",7.01,"166,736",-4.20,"1,033,715",-5.48,"395,571",-10.97,"697,845",24.59
2006M06,"6,536,842",4.00,"4,098,321",10.56,"746,847",4.81,"134,577",3.83,"165,600",-4.23,"1,008,676",-9.60,"382,821",-14.44,"713,713",23.44
2006M07,"6,542,559",3.21,"4,136,415",10.70,"743,715",3.77,"132,985",-0.23,"163,654",-4.44,"989,815",-12.16,"375,975",-17.22,"714,608",22.91
2006M08,"6,498,480",1.94,"4,148,590",10.15,"750,866",4.37,"130,583",-3.00,"161,835",-2.31,"948,621",-16.60,"357,985",-20.72,"738,623",24.01
2006M09,"6,481,199",0.78,"4,159,888",9.44,"768,540",6.57,"128,750",-6.02,"159,737",-2.56,"917,804",-19.95,"346,480",-24.92,"763,718",27.32
2006M10,"6,469,458",-0.12,"4,175,947",8.79,"777,322",7.28,"125,554",-9.18,"157,055",-3.16,"897,503",-21.85,"336,077",-27.82,"779,632",24.74
2006M11,"6,495,170",-0.36,"4,228,312",9.11,"779,912",7.03,"122,951",-11.44,"153,563",-10.63,"882,010",-22.41,"328,422",-29.69,"790,398",23.30
2006M12,"6,525,931",-0.88,"4,271,879",8.86,"795,700",8.81,"120,269",-14.32,"148,824",-13.15,"868,509",-24.55,"320,750",-31.11,"813,278",22.99
2007M01,"6,523,926",-1.15,"4,291,003",8.22,"802,353",9.31,"118,089",-17.50,"146,813",-15.03,"852,049",-24.00,"313,619",-32.39,"861,303",28.31
2007M02,"6,512,600",-0.92,"4,303,817",8.49,"804,947",9.81,"116,146",-17.37,"143,665",-15.62,"833,586",-24.72,"310,439",-31.71,"878,413",30.55
2007M03,"6,494,498",-0.90,"4,312,290",7.80,"816,474",10.75,"112,614",-18.77,"140,293",-17.13,"813,759",-24.51,"299,068",-30.46,"898,833",33.34
2007M04,"6,493,328",-0.71,"4,321,778",7.33,"832,439",12.58,"109,562",-20.20,"137,846",-18.13,"798,432",-24.43,"293,271",-28.71,"923,540",34.49
2007M05,"6,518,600",-0.24,"4,367,650",7.55,"823,909",11.03,"106,890",-20.90,"135,851",-18.52,"797,503",-22.85,"286,797",-27.50,"936,143",34.15
2007M06,"6,525,246",-0.18,"4,390,320",7.12,"829,964",11.13,"104,822",-22.11,"134,087",-19.03,"782,195",-22.45,"283,858",-25.85,"948,745",32.93
2007M07,"6,533,818",-0.13,"4,419,136",6.83,"829,572",11.54,"102,108",-23.22,"131,987",-19.35,"773,362",-21.87,"277,653",-26.15,"959,678",34.29
2007M08,"6,540,461",0.65,"4,437,372",6.96,"830,675",10.63,"99,446",-23.84,"130,357",-19.45,"764,912",-19.37,"277,699",-22.43,"983,491",33.15
2007M09,"6,542,555",0.95,"4,455,163",7.10,"830,658",8.08,"97,294",-24.43,"128,306",-19.68,"757,030",-17.52,"274,104",-20.89,"989,386",29.55
2007M10,"6,535,683",1.02,"4,466,418",6.96,"828,456",6.58,"94,387",-24.82,"125,604",-20.03,"750,830",-16.34,"269,988",-19.66,"979,851",25.68
2007M11,"6,550,199",0.85,"4,482,492",6.01,"831,254",6.58,"92,007",-25.17,"123,692",-19.45,"754,124",-14.50,"266,630",-18.81,"984,274",24.53
2007M12,"6,568,973",0.66,"4,505,551",5.47,"832,761",4.66,"89,903",-25.25,"121,789",-18.17,"754,424",-13.14,"264,545",-17.52,"1,004,767",23.55
2008M01,"6,545,412",0.33,"4,498,082",4.83,"822,973",2.57,"88,116",-25.38,"119,132",-18.85,"754,316",-11.47,"262,793",-16.21,"1,013,533",17.67
2008M02,"6,510,028",-0.04,"4,489,123",4.31,"819,186",1.77,"85,237",-26.61,"116,294",-19.05,"739,309",-11.31,"260,879",-15.96,"1,015,220",15.57
2008M03,"6,498,439",0.06,"4,500,861",4.37,"817,973",0.18,"82,866",-26.42,"113,887",-18.82,"728,994",-10.42,"253,858",-15.12,"1,016,430",13.08
2008M04,"6,514,059",0.32,"4,528,918",4.79,"817,570",-1.79,"81,063",-26.01,"111,826",-18.88,"723,730",-9.36,"250,952",-14.43,"1,008,968",9.25
2008M05,"6,536,884",0.28,"4,561,731",4.44,"815,665",-1.00,"76,476",-28.45,"109,642",-19.29,"722,786",-9.37,"250,584",-12.63,"1,007,182",7.59
2008M06,"6,560,358",0.54,"4,596,422",4.69,"814,992",-1.80,"74,990",-28.46,"107,637",-19.73,"714,188",-8.69,"252,129",-11.18,"1,016,129",7.10
2008M07,"6,543,854",0.15,"4,599,082",4.07,"813,813",-1.90,"72,735",-28.77,"105,808",-19.83,"702,261",-9.19,"250,155",-9.90,"1,013,384",5.60
2008M08,"6,515,420",-0.38,"4,588,099",3.40,"801,060",-3.57,"70,806",-28.80,"103,772",-20.39,"701,571",-8.28,"250,112",-9.93,"1,025,116",4.23
2008M09,"6,501,936",-0.62,"4,586,629",2.95,"797,048",-4.05,"68,510",-29.58,"101,819",-20.64,"700,159",-7.51,"247,771",-9.61,"1,040,323",5.15
2008M10,"6,471,743",-0.98,"4,572,506",2.38,"795,340",-4.00,"66,761",-29.27,"99,786",-20.56,"692,261",-7.80,"245,089",-9.22,"1,052,481",7.41
2008M11,"6,470,170",-1.22,"4,578,403",2.14,"793,725",-4.51,"65,399",-28.92,"97,624",-21.07,"693,002",-8.11,"242,017",-9.23,"1,053,478",7.03
2008M12,"6,470,852",-1.49,"4,587,498",1.82,"789,744",-5.17,"63,893",-28.93,"96,168",-21.04,"695,969",-7.75,"237,580",-10.19,"1,044,947",4.00
2009M01,"6,444,576",-1.54,"4,560,664",1.39,"793,994",-3.52,"62,995",-28.51,"94,765",-20.45,"695,440",-7.81,"236,718",-9.92,"1,043,866",2.99
2009M02,"6,398,931",-1.71,"4,541,260",1.16,"788,319",-3.77,"60,671",-28.82,"92,821",-20.18,"684,911",-7.36,"230,949",-11.47,"1,049,567",3.38
2009M03,"6,383,490",-1.77,"4,543,831",0.95,"786,769",-3.81,"58,594",-29.29,"91,768",-19.42,"680,073",-6.71,"222,455",-12.37,"1,033,710",1.70
