期間,遠期利率協議_原始值,遠期利率協議_年增率(%),遠期利率協議_原始值,遠期利率協議_年增率(%),換利_原始值,換利_年增率(%),換利_原始值,換利_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
2002M02,"1,642",-58.43,"53,533",284.91,"29,483",694.69,"19,818",42.00,0,--,"3,266",188.52,138,--,"2,978",114.24,"31,263",308.13,"79,595",161.95
2002M03,"3,050",-51.59,"115,838",351.21,"56,036",543.35,"75,396",948.04,0,-100.00,"4,779",146.72,0,-100.00,"4,190",105.80,"59,086",287.68,"200,203",443.44
2002M04,"9,600",186.57,"58,614",95.90,"91,288",712.24,"71,888",233.90,"14,950",--,"11,566",717.39,0,--,"11,549",561.83,"115,838",694.01,"153,617",181.30
2002M05,"10,800",222.39,"63,238",267.94,"167,148","1,264.47","32,646",-32.11,"27,225",--,"11,163",201.54,"27,700",--,"11,506",210.80,"232,873","1,392.78","118,553",63.13
2002M06,"3,950",36.21,"103,106",181.15,"50,393",552.42,"52,202",-0.34,"10,000",--,"2,792","7,877.14","1,151",--,"3,460","9,785.71","65,494",516.47,"161,560",81.28
2002M07,"1,100",-76.34,"141,363",374.02,"66,758",112.84,"76,403",105.84,"14,350",--,"3,325",56.84,"1,309",--,"2,701",-43.27,"83,517",131.89,"223,792",203.16
2002M08,"5,500",-37.85,"132,393",242.31,"71,730",249.78,"61,772",-10.29,"17,870",--,"2,646",-4.27,373,--,"5,262",624.79,"95,473",225.21,"202,073",82.01
2002M09,"9,300",47.62,"101,263",69.01,"48,208",189.26,"51,749",136.64,"9,497",--,"1,055",-32.15,"2,920",--,"1,177",-14.83,"69,925",204.47,"155,244",83.25
2002M10,"7,800","1,200.00","84,722",312.90,"77,870",304.67,"74,994",105.77,"15,025",--,"11,308",541.77,"1,271",--,"1,943",40.59,"101,966",413.86,"172,967",187.76
2002M11,"1,000",-30.02,"9,051",-90.31,"121,323",188.36,"97,530",27.15,"10,555","1,659.17","35,370","15,690.18","24,319","1,671.23","2,141","1,978.64","157,197",245.67,"144,092",-15.44
2002M12,"2,000",--,"36,640",11.97,"48,910",179.06,"66,296",91.96,"5,510","12,422.73","6,041","1,345.22",400,-28.06,"2,740","1,027.57","56,820",213.46,"111,717",64.48
2003M01,"9,000",172.73,"25,610",-70.89,"124,413",77.91,"61,809",5.63,"11,055",--,"16,952",76.75,"10,200","1,649.57",867,-90.79,"154,668",109.53,"105,238",-36.41
2003M02,"3,500",113.15,"27,412",-48.79,"107,851",265.81,"61,169",208.65,"20,903",--,"21,373",554.41,"14,585","10,468.84",943,-68.33,"146,839",369.69,"110,897",39.33
2003M03,"15,300",401.64,"99,415",-14.18,"92,289",64.70,"106,701",41.52,"10,900",--,"4,919",2.93,"9,550",--,"1,769",-57.78,"128,039",116.70,"212,804",6.29
2003M04,"4,700",-51.04,"45,140",-22.99,"133,612",46.36,"115,253",60.32,"11,408",-23.69,"42,212",264.97,"46,300",--,"3,431",-70.29,"196,020",69.22,"206,036",34.12
2003M05,"2,000",-81.48,"55,925",-11.56,"65,060",-61.08,"121,690",272.76,"9,250",-66.02,"10,262",-8.07,"15,080",-45.56,"2,782",-75.82,"91,390",-60.76,"190,659",60.82
2003M06,"1,000",-74.68,"99,899",-3.11,"107,995",114.31,"121,646",133.03,"3,569",-64.31,"13,240",374.21,"3,875",236.66,"4,684",35.38,"116,439",77.79,"239,469",48.22
2003M07,0,-100.00,"40,878",-71.08,"194,680",191.62,"106,893",39.91,"33,148",131.00,"18,503",456.48,"26,900","1,955.00","13,083",384.38,"254,728",205.00,"179,357",-19.86
2003M08,"4,000",-27.27,"60,310",-54.45,"212,934",196.85,"129,807",110.14,"23,902",33.75,"19,388",632.73,"26,227","6,931.37","21,059",300.21,"267,063",179.73,"230,564",14.10
2003M09,"3,000",-67.74,"72,288",-28.61,"129,185",167.97,"111,766",115.98,"15,231",60.38,"23,186","2,097.73","5,542",89.79,"3,590",205.01,"152,958",118.75,"210,830",35.81
2003M10,"2,500",-67.95,"50,121",-40.84,"124,250",59.56,"89,466",19.30,"15,350",2.16,"13,638",20.60,"1,646",29.50,"8,546",339.84,"143,746",40.97,"161,771",-6.47
2003M11,0,-100.00,"55,132",509.13,"129,272",6.55,"97,871",0.35,"10,200",-3.36,"5,502",-84.44,"3,195",-86.86,"4,070",90.10,"142,667",-9.24,"162,575",12.83
2003M12,0,-100.00,"22,766",-37.87,"82,391",68.45,"115,569",74.32,"9,430",71.14,"5,302",-12.23,"1,625",306.25,"3,330",21.53,"93,446",64.46,"146,967",31.55
2004M01,0,-100.00,"13,857",-45.89,"96,531",-22.41,"142,705",130.88,"16,975",53.55,"5,679",-66.50,"4,441",-56.46,"117,417","13,442.91","117,947",-23.74,"279,658",165.74
2004M02,"2,000",-42.86,"15,471",-43.56,"174,815",62.09,"211,721",246.12,"39,194",87.50,"35,080",64.13,"6,602",-54.73,"55,146","5,747.93","222,611",51.60,"317,418",186.23
2004M03,"1,000",-93.46,"27,650",-72.19,"150,170",62.72,"270,192",153.22,"20,363",86.82,"11,039",124.42,"4,415",-53.77,"36,245","1,948.90","175,948",37.42,"345,126",62.18
2004M04,0,-100.00,"41,051",-9.06,"278,911",108.75,"273,208",137.05,"30,574",168.00,"187,524",344.24,"5,056",-89.08,"393,685","11,374.35","314,541",60.46,"895,468",334.62
2004M05,"5,000",150.00,"28,518",-49.01,"278,859",328.62,"257,427",111.54,"23,100",149.73,"105,926",932.22,"5,113",-66.09,"78,310","2,714.88","312,072",241.47,"470,181",146.61
2004M06,"2,850",185.00,"67,033",-32.90,"239,284",121.57,"227,483",87.00,"6,877",92.69,"44,807",238.42,"5,670",46.32,"33,127",607.24,"254,681",118.72,"372,450",55.53
2004M07,"5,100",--,"56,571",38.39,"215,042",10.46,"142,329",33.15,"15,905",-52.02,"4,088",-77.91,"10,761",-60.00,"30,385",132.25,"246,808",-3.11,"233,373",30.12
2004M08,"2,600",-35.00,"47,844",-20.67,"163,038",-23.43,"133,477",2.83,"13,793",-42.29,"7,151",-63.12,"3,636",-86.14,"50,448",139.56,"183,067",-31.45,"238,920",3.62
2004M09,"21,050",601.67,"138,074",91.01,"146,670",13.53,"176,730",58.13,"31,746",108.43,"33,112",42.81,"39,551",613.66,"40,593","1,030.72","239,017",56.26,"388,509",84.28
2004M10,"9,417",276.68,"31,095",-37.96,"162,472",30.76,"139,052",55.42,"36,806",139.78,"4,569",-66.50,"14,332",770.72,"16,323",91.00,"223,027",55.15,"191,039",18.09
2004M11,"7,600",--,"111,264",101.81,"163,910",26.79,"221,330",126.14,"44,985",341.03,"77,410","1,306.94","21,927",586.29,"61,685","1,415.60","238,422",67.12,"471,689",190.14
2004M12,600,--,"85,702",276.45,"116,721",41.67,"304,783",163.72,"34,619",267.12,"45,488",757.94,"31,127","1,815.51","25,313",660.15,"183,067",95.91,"461,286",213.87
2005M01,"11,228",--,"76,609",452.85,"188,792",95.58,"167,363",17.28,"54,725",222.39,"9,963",75.44,"36,996",733.06,"45,304",-61.42,"291,741",147.35,"299,239",7.00
2005M02,"4,487",124.35,"46,605",201.24,"142,787",-18.32,"67,091",-68.31,"40,735",3.93,"8,093",-76.93,"33,967",414.50,"20,037",-63.67,"221,976",-0.29,"141,826",-55.32
2005M03,"4,095",309.50,"50,094",81.17,"348,964",132.38,"359,916",33.21,"105,913",420.12,"35,524",221.80,"52,861","1,097.30","91,574",152.65,"511,833",190.90,"537,108",55.63
2005M04,997,--,"3,128",-92.38,"196,755",-29.46,"262,132",-4.05,"39,408",28.89,"17,084",-90.89,"27,616",446.20,"47,496",-87.94,"264,776",-15.82,"329,840",-63.17
2005M05,"23,589",371.78,"53,944",89.16,"254,962",-8.57,"274,508",6.64,"44,667",93.36,"13,551",-87.21,"31,645",518.91,"59,051",-24.59,"354,863",13.71,"401,054",-14.70
2005M06,105,-96.32,"43,938",-34.45,"381,081",59.26,"276,243",21.43,"101,991","1,383.07","43,396",-3.15,"122,952","2,068.47","73,955",123.25,"606,129",138.00,"437,532",17.47
2005M07,0,-100.00,"48,473",-14.31,"284,749",32.42,"212,060",48.99,"74,211",366.59,"23,454",473.73,"64,489",499.28,"8,878",-70.78,"423,449",71.57,"292,865",25.49
2005M08,0,-100.00,"8,845",-81.51,"288,424",76.91,"192,658",44.34,"78,267",467.44,"51,884",625.55,"67,739","1,763.01","17,059",-66.18,"434,430",137.31,"270,446",13.20
2005M09,"8,103",-61.51,"124,777",-9.63,"352,925",140.63,"238,979",35.22,"109,118",243.72,"51,940",56.86,"93,834",137.25,"22,689",-44.11,"563,980",135.96,"438,385",12.84
