期間,美元即期匯率--銀行與顧客間交易匯率--買進(新台幣元)_原始值,美元即期匯率--銀行與顧客間交易匯率--買進(新台幣元)_年增率(%),美元即期匯率--銀行與顧客間交易匯率--賣出(新台幣元)_原始值,美元即期匯率--銀行與顧客間交易匯率--賣出(新台幣元)_年增率(%),美元即期匯率--銀行間收盤匯率(新台幣元)_原始值,美元即期匯率--銀行間收盤匯率(新台幣元)_年增率(%),美元即期匯率--銀行間收盤匯率--日平均(新台幣元)_原始值,美元即期匯率--銀行間收盤匯率--日平均(新台幣元)_年增率(%),遠期信用狀美金利率(年息)(年息百分比率)_原始值,遠期信用狀美金利率(年息)(年息百分比率)_年增率(%)
2005,32.78,-3.36,32.88,-3.35,32.850,-2.840,32.167,3.902,...,...
2006,32.55,0.71,32.65,0.70,32.596,0.779,32.531,-1.119,...,...
2007,32.39,0.49,32.49,0.49,32.443,0.472,32.842,-0.947,...,...
2008,32.81,-1.28,32.91,-1.28,32.860,-1.269,31.517,4.204,...,...
