期間,新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%)
1994M07,654,1.71,16,-20.00,-,--,39,85.71,9,-65.38,5,25.00,13,85.71,22,...,7,...,18,-53.85,6,20.00,16,77.78,-,--,5,-44.44,52,-8.77,20,17.65,15,-11.76,141,10.16,100,-8.26,110,7.84,32,10.34,4,-42.86,24,-35.14,260,-4.76,13,-13.33,-,--,14,-50.00,10,66.67,1,-80.00,10,-41.18,10,...,4,...,8,-50.00,2,100.00,4,100.00,1,--,4,-50.00,24,-7.69,9,-10.00,8,60.00,41,10.81,28,-9.68,39,11.43,9,28.57,2,-71.43,19,11.76
1994M08,653,2.19,17,-22.73,-,--,34,9.68,25,-7.41,2,-66.67,5,-64.29,19,...,10,...,22,-45.00,7,40.00,14,40.00,3,--,6,0.00,62,26.53,18,80.00,16,0.00,106,-19.70,92,-20.69,123,33.70,25,-10.71,10,25.00,37,48.00,265,-7.34,12,-36.84,-,--,19,-13.64,9,28.57,2,-50.00,8,-38.46,8,...,6,...,3,-76.92,4,33.33,5,66.67,-,--,2,-77.78,37,-13.95,7,0.00,4,-50.00,31,-13.89,34,17.24,43,16.22,11,0.00,8,100.00,12,-33.33
1994M09,525,-32.26,16,-23.81,-,--,14,-64.10,8,-69.23,8,14.29,1,-95.00,12,...,9,...,14,-68.89,10,42.86,10,-16.67,-,--,4,-55.56,43,-32.81,22,15.79,21,61.54,107,-33.12,77,-37.40,93,-31.11,21,-41.67,10,11.11,25,-16.67,358,18.54,17,6.25,-,--,15,-37.50,16,-11.11,1,-50.00,14,16.67,11,...,16,...,10,0.00,2,-66.67,11,37.50,-,--,1,-83.33,31,-26.19,11,-15.38,3,-66.67,42,-4.55,37,32.14,62,67.57,11,83.33,8,300.00,39,105.26
1994M10,616,-6.81,16,-27.27,-,--,35,40.00,11,-35.29,4,-20.00,8,-60.00,19,...,13,...,20,-45.95,10,400.00,11,57.14,2,--,5,-16.67,49,-19.67,19,58.33,18,-18.18,114,-20.28,83,-14.43,97,-17.09,33,-8.33,14,180.00,35,34.62,793,-13.05,74,-31.48,-,--,52,-5.45,33,0.00,13,0.00,70,-12.50,20,...,15,...,21,-43.24,6,-14.29,12,-20.00,2,--,12,-7.69,85,-13.27,30,-36.17,16,77.78,74,-22.11,57,-20.83,91,3.41,24,-27.27,19,-38.71,67,-9.46
1994M11,675,11.94,23,4.55,-,--,27,8.00,13,-27.78,5,25.00,2,-83.33,10,...,8,...,22,-29.03,12,140.00,13,44.44,2,--,6,-14.29,54,-1.82,28,115.38,16,-15.79,143,16.26,95,6.74,120,36.36,31,3.33,13,18.18,32,-21.95,"1,436",63.74,55,103.70,-,--,101,359.09,46,91.67,36,300.00,66,32.00,70,...,36,...,43,-21.82,6,50.00,20,-4.76,-,--,26,188.89,152,46.15,54,107.69,18,-5.26,197,72.81,167,9.87,158,28.46,56,86.67,15,-21.05,114,65.22
1994M12,593,109.54,24,118.18,-,--,36,200.00,11,37.50,7,250.00,2,-66.67,9,...,17,...,21,133.33,9,50.00,9,0.00,-,--,4,100.00,48,118.18,15,400.00,14,100.00,116,132.00,85,88.89,101,90.57,37,94.74,11,266.67,17,6.25,250,-73.09,12,-88.12,-,--,15,-78.26,12,-55.56,5,-68.75,4,-94.59,11,...,2,...,10,-73.68,2,-33.33,1,-93.33,1,--,6,-62.50,30,-70.87,8,-52.94,5,-80.77,38,-75.48,31,-61.25,34,-51.43,7,-75.00,1,-85.71,15,-81.71
1995M01,681,2.87,23,9.52,-,--,34,0.00,18,100.00,4,0.00,7,133.33,15,-37.50,14,250.00,23,0.00,7,-30.00,11,22.22,-,--,3,-66.67,63,40.00,14,-33.33,19,35.71,136,14.29,88,-10.20,100,-13.04,43,34.38,16,33.33,43,-18.87,553,13.32,18,-51.35,-,--,47,34.29,20,-33.33,7,16.67,10,-62.96,11,37.50,7,-41.67,20,185.71,5,25.00,7,-41.67,1,-50.00,9,-18.18,59,20.41,13,-77.59,8,100.00,61,64.86,54,107.69,129,104.76,19,216.67,15,150.00,33,-31.25
1995M02,396,121.23,12,50.00,-,--,21,133.33,11,175.00,7,133.33,6,500.00,11,266.67,4,100.00,11,175.00,1,--,2,-71.43,-,--,5,150.00,40,150.00,6,500.00,9,50.00,82,110.26,55,66.67,65,132.14,17,183.33,4,100.00,27,800.00,624,922.95,12,300.00,-,--,44,"2,100.00",42,"4,100.00",9,350.00,10,400.00,8,700.00,15,--,30,"1,400.00",4,--,16,"1,500.00",-,--,10,--,79,887.50,5,66.67,5,--,58,"1,060.00",46,557.14,153,920.00,9,800.00,12,500.00,57,850.00
1995M03,603,5.24,16,-15.79,-,--,25,-7.41,12,-20.00,3,0.00,5,-54.55,12,20.00,10,0.00,27,50.00,3,-62.50,9,28.57,-,--,8,14.29,52,30.00,21,-8.70,27,107.69,127,-0.78,81,14.08,111,24.72,22,-24.14,5,-61.54,27,-12.90,241,-89.68,8,-90.70,-,--,15,-92.46,8,-89.47,1,-95.65,12,-83.78,12,-86.81,5,-87.50,6,-84.21,2,-90.48,2,-95.83,-,--,3,-95.16,27,-90.91,10,-75.61,1,-96.15,26,-90.41,30,-89.55,46,-87.50,8,-88.06,5,-83.33,14,-92.67
1995M04,432,-20.00,19,46.15,-,--,18,-41.94,13,-23.53,5,150.00,6,-14.29,11,-26.67,5,-16.67,13,-45.83,5,-28.57,4,-33.33,1,0.00,4,100.00,28,-44.00,10,-37.50,12,-42.86,82,-29.31,84,47.37,79,-15.96,18,20.00,5,-61.54,10,-62.96,207,7.81,8,-20.00,-,--,13,30.00,4,-33.33,3,50.00,4,0.00,3,-40.00,8,166.67,3,-25.00,5,400.00,5,-16.67,-,--,1,-75.00,32,45.45,4,-50.00,9,350.00,28,40.00,26,0.00,29,-17.14,7,-22.22,3,200.00,12,-14.29
