期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--對政府放款及墊款_原始值,資產--對政府放款及墊款_年增率(%),資產--公開市場操作買入有價證券-計_原始值,資產--公開市場操作買入有價證券-計_年增率(%),資產--公開市場操作買入有價證券-政府機構_原始值,資產--公開市場操作買入有價證券-政府機構_年增率(%),資產--公開市場操作買入有價證券-公營事業_原始值,資產--公開市場操作買入有價證券-公營事業_年增率(%),資產--公開市場操作買入有價證券-民營企業_原始值,資產--公開市場操作買入有價證券-民營企業_年增率(%),資產--公開市場操作買入有價證券-金融機構_原始值,資產--公開市場操作買入有價證券-金融機構_年增率(%),資產--對金融機構債權-計_原始值,資產--對金融機構債權-計_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-其他貨幣機構-本國銀行_原始值,資產--對金融機構債權-其他貨幣機構-本國銀行_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--通貨發行額_原始值,負債與淨值--通貨發行額_年增率(%),負債與淨值--政府存款-計_原始值,負債與淨值--政府存款-計_年增率(%),負債與淨值--政府存款-經理國庫存款_原始值,負債與淨值--政府存款-經理國庫存款_年增率(%),負債與淨值--政府存款-機關存款_原始值,負債與淨值--政府存款-機關存款_年增率(%),負債與淨值--金融機構存款-準備性存款-計_原始值,負債與淨值--金融機構存款-準備性存款-計_年增率(%),負債與淨值--金融機構存款-其他存款-國庫存款轉存款_原始值,負債與淨值--金融機構存款-其他存款-國庫存款轉存款_年增率(%),負債與淨值--金融機構存款-其他存款-定期存款轉存款_原始值,負債與淨值--金融機構存款-其他存款-定期存款轉存款_年增率(%),負債與淨值--金融機構存款-其他存款-郵政儲金轉存款_原始值,負債與淨值--金融機構存款-其他存款-郵政儲金轉存款_年增率(%),負債與淨值--金融機構存款-其他存款-其他_原始值,負債與淨值--金融機構存款-其他存款-其他_年增率(%),負債與淨值--央行發行單券-國庫券_原始值,負債與淨值--央行發行單券-國庫券_年增率(%),負債與淨值--央行發行單券-定期存單_原始值,負債與淨值--央行發行單券-定期存單_年增率(%),負債與淨值--央行發行單券-儲蓄券_原始值,負債與淨值--央行發行單券-儲蓄券_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
2009M09,"12,254,867",23.73,"10,864,842",17.75,-,-,-,-,-,-,-,-,-,-,-,-,"738,506",126.08,"738,506",126.08,"613,210",88.67,-,-,254,12.89,"651,265",85.61,-,-,"1,071,611",8.16,"261,558",17.26,"92,212",-19.74,"169,346",56.55,"1,203,694",9.70,"15,954",-12.88,"578,700",20.11,"1,582,023",0.00,967,"32,133.33",-,-,"5,481,315",44.58,-,-,"607,616",107.59,"1,451,429",4.21
2009M10,"12,753,129",27.26,"11,245,219",21.49,-,-,-,-,-,-,-,-,-,-,-,-,"753,705",151.19,"753,705",151.19,"617,030",106.15,-,-,234,-1.68,"753,971",69.34,-,-,"1,080,334",8.44,"263,344",34.83,"39,746",-52.19,"223,598",99.32,"1,192,801",14.94,"15,888",-7.34,"578,700",20.11,"1,582,023",0.00,975,-,-,-,"5,708,005",42.03,-,-,"700,722",75.32,"1,630,337",27.93
2009M11,"12,837,305",25.22,"11,340,958",19.34,-,-,-,-,-,-,-,-,-,-,-,-,"680,201",60.06,"680,201",60.06,"527,497",24.14,-,-,204,-4.23,"815,942",151.85,-,-,"1,095,320",8.93,"281,566",51.55,"89,539",15.14,"192,027",77.75,"1,167,531",8.72,"11,856",-43.17,"573,100",18.95,"1,582,023",0.00,967,"96,600.00",-,-,"5,762,675",38.90,-,-,"783,663",186.50,"1,578,604",6.96
2009M12,"12,662,063",22.28,"11,357,059",16.92,-,-,-,-,-,-,-,-,-,-,-,-,"619,440",52.85,"619,440",52.85,"490,500",21.04,-,-,250,9.17,"685,314",190.80,-,-,"1,122,754",6.49,"233,702",52.32,"35,525",-13.44,"198,177",76.33,"1,185,483",10.26,"11,303",-38.53,"573,100",15.82,"1,582,023",0.00,965,"48,150.00",-,-,"5,928,485",36.76,-,-,"800,862",198.52,"1,223,386",-10.94
2010M01,"12,530,834",17.65,"11,386,019",14.02,-,-,-,-,-,-,-,-,-,-,-,-,"516,534",15.79,"516,534",15.79,"397,406",-10.91,-,-,262,-5.42,"628,019",186.78,-,-,"1,200,639",-13.61,"341,999",85.43,"147,193",335.25,"194,806",29.34,"1,185,517",14.07,"11,056",-37.96,"573,100",15.82,"1,582,023",0.00,960,"95,900.00",-,-,"5,835,415",37.46,-,-,"706,787",211.85,"1,093,338",-25.67
2010M02,"12,642,380",13.40,"11,466,517",9.98,-,-,-,-,-,-,-,-,-,-,-,-,"516,844",8.73,"516,844",8.73,"386,069",-18.77,-,-,364,81.09,"658,655",166.38,-,-,"1,309,464",17.78,"260,282",113.79,"66,391",333.93,"193,891",82.15,"1,159,413",10.50,"10,963",-36.09,"573,100",15.82,"1,582,019",0.00,963,-,-,-,"5,935,955",27.83,-,-,"766,627",195.91,"1,043,594",-44.16
2010M03,"12,731,642",14.32,"11,433,980",10.33,-,-,-,-,-,-,-,-,-,-,-,-,"552,683",5.40,"552,683",5.40,"438,887",-15.04,-,-,319,38.70,"744,660",199.30,-,-,"1,181,309",8.75,"224,489",81.95,"32,479",231.08,"192,010",69.07,"1,215,312",1.42,"10,876",-34.42,"563,400",-1.16,"1,590,719",0.55,3,-99.71,-,-,"6,184,185",34.34,-,-,"862,906",237.03,"898,443",-47.14
2010M04,"12,879,500",13.95,"11,371,066",10.51,-,-,-,-,-,-,-,-,-,-,-,-,"569,899",4.05,"569,899",4.05,"436,924",-19.09,-,-,302,43.13,"938,233",101.71,-,-,"1,169,648",7.90,"195,539",39.95,"4,575",-81.47,"190,964",66.01,"1,281,025",9.73,"11,149",-32.15,"563,400",-1.16,"1,590,719",0.55,-,-,-,-,"6,285,215",31.08,-,-,"1,018,864",124.11,"763,941",-48.80
2010M05,"13,182,006",15.71,"11,677,375",12.91,-,-,-,-,-,-,-,-,-,-,-,-,"409,600",-41.68,"409,600",-41.68,"267,519",-57.51,-,-,252,41.57,"1,094,779",214.62,-,-,"1,166,536",6.86,"252,034",48.38,"58,153",58.73,"193,881",45.54,"1,276,252",4.29,"11,160",-32.31,"560,500",-1.67,"1,590,719",0.55,1,-99.90,-,-,"6,321,110",26.76,-,-,"1,210,950",221.61,"792,744",-42.32
2010M06,"13,086,649",11.27,"11,825,280",11.62,-,-,-,-,-,-,-,-,-,-,-,-,"329,051",-56.22,"329,051",-56.22,"265,747",-59.89,-,-,223,-9.72,"932,095",124.35,-,-,"1,166,762",9.66,"221,450",-8.15,"28,710",-73.20,"192,740",43.84,"1,275,761",7.75,"11,533",-31.61,"560,500",-2.69,"1,597,519",0.98,-,-,-,-,"6,318,010",22.91,-,-,"1,043,593",151.41,"891,521",-42.15
