期間,融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%)
2001M05,"11,831",-37.63,"226,536",-55.34,"13,619",-31.01,"278,863",-48.60,"13,455",-44.66,"222,550",-59.65,"2,234",-20.98,"90,549",-48.56,"2,113",-20.98,"86,058",-48.79,359,10.12,"15,905",-33.57
2001M06,"10,125",-34.91,"192,530",-56.69,"10,497",-35.03,"205,448",-55.39,"13,083",-44.82,"209,632",-60.86,"1,652",-10.41,"63,481",-51.73,"1,657",-10.38,"64,620",-49.66,354,10.28,"14,766",-45.49
2001M07,"10,355",-34.67,"162,349",-59.88,"12,002",-29.13,"212,992",-51.65,"11,436",-49.46,"158,989",-68.18,"2,304",-7.84,"74,653",-46.46,"2,135",-12.10,"70,449",-49.10,523,33.42,"18,970",-32.57
2001M08,"16,608",8.08,"234,487",-45.49,"16,158",3.17,"232,726",-45.89,"11,886",-46.78,"160,750",-67.84,"3,529",54.10,"99,203",-32.14,"3,196",40.18,"93,436",-33.73,856,112.94,"24,737",-25.74
2001M09,"10,548",-35.92,"126,906",-73.92,"11,585",-37.65,"162,480",-70.26,"10,849",-46.33,"125,176",-71.56,"2,108",-10.37,"55,693",-63.52,"2,365",0.77,"61,954",-60.70,599,47.17,"18,476",-34.78
2001M10,"14,534",-15.49,"184,259",-47.18,"14,389",-29.17,"182,763",-63.39,"10,994",-35.69,"126,672",-56.29,"3,670",19.58,"94,086",-31.10,"3,172",4.07,"79,808",-43.96,"1,097",156.31,"32,754",45.79
2001M11,"25,362",48.35,"389,191",5.52,"24,076",23.51,"363,716",-12.68,"12,280",-16.45,"152,147",-37.16,"4,530",36.24,"114,678",-19.02,"4,674",42.80,"118,539",-15.79,953,98.54,"28,893",23.90
2001M12,"37,392",231.99,"698,060",244.77,"34,727",180.24,"630,514",165.74,"14,945",10.15,"219,693",5.97,"4,337",96.24,"169,268",98.08,"4,466",104.30,"169,160",92.03,824,63.49,"29,001",40.20
2002M01,"41,283",112.14,"845,686",141.70,"39,830",107.07,"795,341",134.31,"16,398",18.89,"270,038",24.00,"5,202",59.67,"173,224",44.22,"5,285",60.88,"173,435",45.40,741,55.35,"28,790",33.80
2002M02,"14,969",-43.91,"291,565",-50.45,"15,788",-38.47,"302,703",-45.04,"15,579",5.11,"258,900",1.38,"1,500",-53.72,"51,569",-62.71,"1,707",-48.12,"61,101",-56.33,534,24.77,"19,258",-3.24
2002M03,"32,916",27.28,"615,488",9.99,"31,997",29.14,"595,954",13.00,"16,498",3.72,"278,434",-3.17,"3,496",22.07,"109,978",-6.38,"3,594",21.50,"114,234",-5.30,436,30.54,"15,002",-10.47
