期間,收受部門--中央銀行,收受部門--存款貨幣機構,收受部門--其他金融機構,存款部門--政府
1987,"98,865","219,887","1,346","320,098"
1988,"217,587","256,603","1,426","475,616"
1989,"279,404","341,018","1,458","621,880"
1990,"265,703","352,312","1,703","619,718"
1991,"154,198","400,144","2,113","556,455"
