期間,存款--收受部門--存款貨幣機構,存款--存款部門--其他金融機構,融通--授信部門--存款貨幣機構,融通--受信部門--其他金融機構
1987,"368,544","368,544","35,053","35,053"
1988,"357,417","357,417","37,964","37,964"
1989,"271,543","271,543","57,685","57,685"
1990,"306,052","306,052","44,863","44,863"
1991,"361,943","361,943","42,487","42,487"
