期間,累計買賣超金額 (新臺幣億元)_投信,累計買賣超金額 (新臺幣億元)_自營商,累計買賣超金額 (新臺幣億元)_外資,交易金額比重(%)_投信,交易金額比重(%)_自營商,交易金額比重(%)_外資
1997,...,...,-121,...,...,1.6
1998,-53,-186,247,2.6,1.6,2.0
1999,-344,367,"3,335",3.4,1.9,3.0
2000,-160,-790,"1,613",3.8,1.9,4.5
2001,-84,100,"3,066",4.1,1.7,7.0
