期間,總指數_原始值,總指數_年增率(%),第 1 類動物產品_原始值,第 1 類動物產品_年增率(%),03魚、甲殼及軟體類動物_原始值,03魚、甲殼及軟體類動物_年增率(%),第 4 類調製食品、飲料、酒及菸類_原始值,第 4 類調製食品、飲料、酒及菸類_年增率(%),第 5 類礦產品_原始值,第 5 類礦產品_年增率(%),27能源礦產品_原始值,27能源礦產品_年增率(%),第 6 類化學或有關工業產品_原始值,第 6 類化學或有關工業產品_年增率(%),28無機化學產品及貴金屬化合物_原始值,28無機化學產品及貴金屬化合物_年增率(%),29有機化學產品_原始值,29有機化學產品_年增率(%),32著色料、漆類及油墨_原始值,32著色料、漆類及油墨_年增率(%),38雜項化學產品_原始值,38雜項化學產品_年增率(%),第 7 類塑、橡膠及其製品_原始值,第 7 類塑、橡膠及其製品_年增率(%),39塑膠及其製品_原始值,39塑膠及其製品_年增率(%),40橡膠及其製品_原始值,40橡膠及其製品_年增率(%),第10類木漿、紙及其製品_原始值,第10類木漿、紙及其製品_年增率(%),48紙、紙板及其製品_原始值,48紙、紙板及其製品_年增率(%),第11類紡織及其製品_原始值,第11類紡織及其製品_年增率(%),54人造纖維絲、絲紗及其梭織物_原始值,54人造纖維絲、絲紗及其梭織物_年增率(%),55人造纖維棉_原始值,55人造纖維棉_年增率(%),58花邊及窄幅梭織物_原始值,58花邊及窄幅梭織物_年增率(%),59浸漬、塗佈或黏合織物及工業用織物_原始值,59浸漬、塗佈或黏合織物及工業用織物_年增率(%),60針織品或鉤針織品_原始值,60針織品或鉤針織品_年增率(%),第13類石料製品、玻璃及玻璃器_原始值,第13類石料製品、玻璃及玻璃器_年增率(%),70玻璃及玻璃器_原始值,70玻璃及玻璃器_年增率(%),第15類基本金屬及其製品_原始值,第15類基本金屬及其製品_年增率(%),72鋼鐵_原始值,72鋼鐵_年增率(%),73鋼鐵製品_原始值,73鋼鐵製品_年增率(%),74銅及其製品_原始值,74銅及其製品_年增率(%),76鋁及其製品_原始值,76鋁及其製品_年增率(%),82基本金屬製工具及其零件_原始值,82基本金屬製工具及其零件_年增率(%),83基本金屬雜項製品_原始值,83基本金屬雜項製品_年增率(%),第16類機器、電機、電視影像及聲音記錄機等設備_原始值,第16類機器、電機、電視影像及聲音記錄機等設備_年增率(%),84鍋爐、機器、機械用具及其零件_原始值,84鍋爐、機器、機械用具及其零件_年增率(%),85電機、電視影像、聲音記錄等設備及其零件_原始值,85電機、電視影像、聲音記錄等設備及其零件_年增率(%),第17類運輸工具_原始值,第17類運輸工具_年增率(%),87運輸工具_原始值,87運輸工具_年增率(%),第18類光學、計量、醫療儀器、樂器及其零件_原始值,第18類光學、計量、醫療儀器、樂器及其零件_年增率(%),90光學、計量、檢查、醫療儀器及其零件_原始值,90光學、計量、檢查、醫療儀器及其零件_年增率(%),第20類雜項製品_原始值,第20類雜項製品_年增率(%),94座物、家具、燈具及其零件_原始值,94座物、家具、燈具及其零件_年增率(%)
1981,114.72,-,-,-,-,-,-,-,-,-,-,-,73.98,-,-,-,-,-,-,-,-,-,63.67,-,67.62,-,41.15,-,-,-,-,-,64.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72.27,-,-,-,-,-,-,-,-,-,-,-
1982,115.91,1.04,-,-,-,-,-,-,-,-,-,-,71.00,-4.03,-,-,-,-,-,-,-,-,64.59,1.44,68.50,1.30,42.24,2.65,-,-,-,-,64.39,-0.80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62.24,0.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76.57,5.95,-,-,-,-,-,-,-,-,-,-
1983,114.87,-0.90,-,-,-,-,-,-,-,-,-,-,68.03,-4.18,-,-,-,-,-,-,-,-,62.69,-2.94,66.83,-2.44,39.06,-7.53,-,-,-,-,64.71,0.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.79,-2.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.61,1.36,-,-,-,-,-,-,-,-,-,-
1984,115.10,0.20,-,-,-,-,-,-,-,-,-,-,67.04,-1.46,-,-,-,-,-,-,-,-,62.86,0.27,67.03,0.30,39.07,0.03,-,-,-,-,67.78,4.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.47,-0.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79.66,2.64,-,-,-,-,-,-,-,-,-,-
1985,114.94,-0.14,-,-,-,-,-,-,-,-,-,-,67.19,0.22,-,-,-,-,-,-,-,-,63.94,1.72,68.01,1.46,40.68,4.12,-,-,-,-,67.47,-0.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61.31,1.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81.06,1.76,-,-,-,-,-,-,-,-,-,-
1986,110.08,-4.23,-,-,-,-,-,-,-,-,-,-,62.40,-7.13,-,-,-,-,-,-,-,-,61.49,-3.83,65.54,-3.63,38.33,-5.78,-,-,-,-,65.01,-3.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.56,-6.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78.60,-3.03,-,-,-,-,-,-,-,-,-,-
1987,101.97,-7.37,-,-,-,-,-,-,-,-,-,-,54.32,-12.95,-,-,-,-,-,-,-,-,57.09,-7.16,61.17,-6.67,33.80,-11.82,-,-,-,-,64.16,-1.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.89,-6.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79.09,0.62,-,-,-,-,-,-,-,-,-,-
1988,99.26,-2.66,-,-,-,-,-,-,-,-,-,-,53.66,-1.22,-,-,-,-,-,-,-,-,57.81,1.26,62.14,1.59,33.08,-2.13,-,-,-,-,61.01,-4.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.61,-0.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88.02,11.29,-,-,-,-,-,-,-,-,-,-
1989,95.57,-3.72,-,-,-,-,-,-,-,-,-,-,50.45,-5.98,-,-,-,-,-,-,-,-,54.49,-5.74,58.37,-6.07,32.31,-2.33,-,-,-,-,59.00,-3.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.70,0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85.48,-2.89,-,-,-,-,-,-,-,-,-,-
1990,97.93,2.47,-,-,-,-,-,-,-,-,-,-,50.90,0.89,-,-,-,-,-,-,-,-,54.86,0.68,58.53,0.27,33.92,4.98,-,-,-,-,60.05,1.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54.04,0.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90.32,5.66,-,-,-,-,-,-,-,-,-,-
