期間,查獲人數(人)-合計_原始值,查獲人數(人)-合計_年增率(%),查獲人數(人)-合計_原始值,查獲人數(人)-合計_年增率(%),查獲人數(人)-合計_原始值,查獲人數(人)-合計_年增率(%),查獲人數(人)-本國籍-一般_原始值,查獲人數(人)-本國籍-一般_年增率(%),查獲人數(人)-本國籍-一般_原始值,查獲人數(人)-本國籍-一般_年增率(%),查獲人數(人)-本國籍-一般_原始值,查獲人數(人)-本國籍-一般_年增率(%),查獲人數(人)-本國籍-原住民_原始值,查獲人數(人)-本國籍-原住民_年增率(%),查獲人數(人)-本國籍-原住民_原始值,查獲人數(人)-本國籍-原住民_年增率(%),查獲人數(人)-本國籍-原住民_原始值,查獲人數(人)-本國籍-原住民_年增率(%),查獲人數(人)-大陸籍_原始值,查獲人數(人)-大陸籍_年增率(%),查獲人數(人)-大陸籍_原始值,查獲人數(人)-大陸籍_年增率(%),查獲人數(人)-大陸籍_原始值,查獲人數(人)-大陸籍_年增率(%),查獲人數(人)-外國籍_原始值,查獲人數(人)-外國籍_年增率(%),查獲人數(人)-外國籍_原始值,查獲人數(人)-外國籍_年增率(%),查獲人數(人)-外國籍_原始值,查獲人數(人)-外國籍_年增率(%),陪同偵訊個案數(人)_原始值,陪同偵訊個案數(人)_年增率(%),陪同偵訊個案數(人)_原始值,陪同偵訊個案數(人)_年增率(%),陪同偵訊個案數(人)_原始值,陪同偵訊個案數(人)_年增率(%),安置人數(人次)-緊急收容中心_原始值,安置人數(人次)-緊急收容中心_年增率(%),安置人數(人次)-緊急收容中心_原始值,安置人數(人次)-緊急收容中心_年增率(%),安置人數(人次)-緊急收容中心_原始值,安置人數(人次)-緊急收容中心_年增率(%),安置人數(人次)-短期收容中心_原始值,安置人數(人次)-短期收容中心_年增率(%),安置人數(人次)-短期收容中心_原始值,安置人數(人次)-短期收容中心_年增率(%),安置人數(人次)-短期收容中心_原始值,安置人數(人次)-短期收容中心_年增率(%),安置人數(人次)-中途學校_原始值,安置人數(人次)-中途學校_年增率(%),安置人數(人次)-中途學校_原始值,安置人數(人次)-中途學校_年增率(%),安置人數(人次)-中途學校_原始值,安置人數(人次)-中途學校_年增率(%),安置人數(人次)-社會福利機構(2000年以前為關懷中心)_原始值,安置人數(人次)-社會福利機構(2000年以前為關懷中心)_年增率(%),安置人數(人次)-社會福利機構(2000年以前為關懷中心)_原始值,安置人數(人次)-社會福利機構(2000年以前為關懷中心)_年增率(%),安置人數(人次)-社會福利機構(2000年以前為關懷中心)_原始值,安置人數(人次)-社會福利機構(2000年以前為關懷中心)_年增率(%)
1999,549,...,3,...,546,...,507,...,3,...,504,...,...,...,...,...,...,...,...,...,...,...,...,...,42,...,0,...,42,...,545,...,2,...,543,...,462,...,1,...,461,...,501,...,2,...,499,...,0,...,0,...,0,...,73,...,3,...,70,...
2000,465,-15.30,9,200.00,456,-16.48,457,-9.86,9,200.00,448,-11.11,...,...,...,...,...,...,...,...,...,...,...,...,8,-80.95,0,--,8,-80.95,475,-12.84,1,-50.00,474,-12.71,361,-21.86,1,0.00,360,-21.91,379,-24.35,0,-100.00,379,-24.05,0,--,0,--,0,--,45,-38.36,7,133.33,38,-45.71
2001,447,-3.87,25,177.78,422,-7.46,437,-4.38,25,177.78,412,-8.04,...,...,...,...,...,...,...,...,...,...,...,...,10,25.00,0,--,10,25.00,494,4.00,26,"2,500.00",468,-1.27,342,-5.26,19,"1,800.00",323,-10.28,381,0.53,17,--,364,-3.96,0,--,0,--,0,--,-,--,-,--,-,--
2002,598,33.78,54,116.00,544,28.91,530,21.28,53,112.00,477,15.78,38,...,1,...,37,...,27,...,0,...,27,...,3,-70.00,0,--,3,-70.00,566,14.57,51,96.15,515,10.04,503,47.08,34,78.95,469,45.20,431,13.12,12,-29.41,419,15.11,143,--,0,--,143,--,-,--,-,--,-,--
2003,442,-26.09,37,-31.48,405,-25.55,335,-36.79,34,-35.85,301,-36.90,35,-7.89,3,200.00,32,-13.51,71,162.96,0,--,71,162.96,1,-66.67,0,--,1,-66.67,430,-24.03,37,-27.45,393,-23.69,398,-20.87,28,-17.65,370,-21.11,359,-16.71,17,41.67,342,-18.38,131,-8.39,0,--,131,-8.39,-,--,-,--,-,--
2004,523,18.33,94,154.05,429,5.93,456,36.12,93,173.53,363,20.60,38,8.57,1,-66.67,37,15.62,25,-64.79,0,--,25,-64.79,4,300.00,0,--,4,300.00,524,21.86,94,154.05,430,9.41,483,21.36,67,139.29,416,12.43,421,17.27,42,147.06,379,10.82,142,8.40,0,--,142,8.40,112,--,9,--,103,--
2005,437,-16.44,147,56.38,290,-32.40,402,-11.84,137,47.31,265,-27.00,33,-13.16,9,800.00,24,-35.14,1,-96.00,0,--,1,-96.00,1,-75.00,1,--,0,-100.00,447,-14.69,149,58.51,298,-30.70,350,-27.54,106,58.21,244,-41.35,293,-30.40,83,97.62,210,-44.59,119,-16.20,2,--,117,-17.61,103,-8.04,20,122.22,83,-19.42
2006,615,40.73,227,54.42,388,33.79,576,43.28,211,54.01,365,37.74,37,12.12,16,77.78,21,-12.50,2,100.00,0,--,2,100.00,0,-100.00,0,-100.00,0,--,520,16.33,181,21.48,339,13.76,420,20.00,113,6.60,307,25.82,438,49.49,102,22.89,336,60.00,127,6.72,4,100.00,123,5.13,66,-35.92,16,-20.00,50,-39.76
2007,578,-6.02,173,-23.79,405,4.38,526,-8.68,153,-27.49,373,2.19,52,40.54,20,25.00,32,52.38,0,-100.00,0,--,0,-100.00,0,--,0,--,0,--,518,-0.38,148,-18.23,370,9.14,430,2.38,87,-23.01,343,11.73,396,-9.59,62,-39.22,334,-0.60,115,-9.45,1,-75.00,114,-7.32,85,28.79,21,31.25,64,28.00
2008,437,-24.39,73,-57.80,364,-10.12,402,-23.57,72,-52.94,330,-11.53,34,-34.62,1,-95.00,33,3.12,1,--,0,--,1,--,0,--,0,--,0,--,410,-20.85,70,-52.70,340,-8.11,336,-21.86,24,-72.41,312,-9.04,319,-19.44,19,-69.35,300,-10.18,176,53.04,0,-100.00,176,54.39,55,-35.29,5,-76.19,50,-21.88
