期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--對政府放款及墊款_原始值,資產--對政府放款及墊款_年增率(%),資產--公開市場操作買入有價證券-計_原始值,資產--公開市場操作買入有價證券-計_年增率(%),資產--公開市場操作買入有價證券-政府機構_原始值,資產--公開市場操作買入有價證券-政府機構_年增率(%),資產--公開市場操作買入有價證券-公營事業_原始值,資產--公開市場操作買入有價證券-公營事業_年增率(%),資產--公開市場操作買入有價證券-民營企業_原始值,資產--公開市場操作買入有價證券-民營企業_年增率(%),資產--公開市場操作買入有價證券-金融機構_原始值,資產--公開市場操作買入有價證券-金融機構_年增率(%),資產--對金融機構債權-計_原始值,資產--對金融機構債權-計_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-其他貨幣機構-本國銀行_原始值,資產--對金融機構債權-其他貨幣機構-本國銀行_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--通貨發行額_原始值,負債與淨值--通貨發行額_年增率(%),負債與淨值--政府存款-計_原始值,負債與淨值--政府存款-計_年增率(%),負債與淨值--政府存款-經理國庫存款_原始值,負債與淨值--政府存款-經理國庫存款_年增率(%),負債與淨值--政府存款-機關存款_原始值,負債與淨值--政府存款-機關存款_年增率(%),負債與淨值--金融機構存款-準備性存款-計_原始值,負債與淨值--金融機構存款-準備性存款-計_年增率(%),負債與淨值--金融機構存款-其他存款-國庫存款轉存款_原始值,負債與淨值--金融機構存款-其他存款-國庫存款轉存款_年增率(%),負債與淨值--金融機構存款-其他存款-定期存款轉存款_原始值,負債與淨值--金融機構存款-其他存款-定期存款轉存款_年增率(%),負債與淨值--金融機構存款-其他存款-郵政儲金轉存款_原始值,負債與淨值--金融機構存款-其他存款-郵政儲金轉存款_年增率(%),負債與淨值--金融機構存款-其他存款-其他_原始值,負債與淨值--金融機構存款-其他存款-其他_年增率(%),負債與淨值--央行發行單券-國庫券_原始值,負債與淨值--央行發行單券-國庫券_年增率(%),負債與淨值--央行發行單券-定期存單_原始值,負債與淨值--央行發行單券-定期存單_年增率(%),負債與淨值--央行發行單券-儲蓄券_原始值,負債與淨值--央行發行單券-儲蓄券_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
1997,"3,360,411",6.96,"2,875,757",11.76,"2,040",0.00,"24,048",-,"23,548",-,-,-,-,-,500,-,"382,558",-12.90,"382,476",-12.85,"349,372",-,82,-74.05,415,23.51,"75,593",-40.45,-,-,"684,311",3.08,"138,931",0.94,"63,815",5.88,"75,116",-2.91,"957,447",-3.19,"14,240",-7.04,"70,292",88.49,"913,985",-1.22,13,-18.75,-,-,"5,000",-96.00,-,-,"52,057",-10.54,"524,135",175.61
1998,"3,654,062",8.74,"3,063,053",6.51,"2,040",0.00,"29,592",23.05,"19,518",-17.11,-,-,-,-,"10,074","1,914.80","442,264",15.61,"442,264",15.63,"424,249",21.43,-,-,200,-51.81,"116,913",54.66,-,-,"694,452",1.48,"127,704",-8.08,"66,353",3.98,"61,351",-18.32,"970,886",1.40,"13,559",-4.78,"70,200",-0.13,"919,052",0.55,10,-23.08,-,-,"190,700","3,714.00",-,-,"71,322",37.01,"596,177",13.74
1999,"4,140,407",13.31,"3,490,868",13.97,"2,040",0.00,-,-,-,-,-,-,-,-,-,-,"507,458",14.74,"507,458",14.74,"486,562",14.69,-,-,331,65.50,"139,710",19.50,-,-,"806,939",16.20,"180,976",41.72,"93,900",41.52,"87,076",41.93,"836,708",-13.82,"48,925",260.83,"131,165",86.84,"1,017,130",10.67,7,-30.00,-,-,"617,235",223.67,-,-,"81,990",14.96,"419,332",-29.66
2000,"4,133,382",-0.17,"3,674,295",5.25,"2,040",0.00,"37,860",-,"21,600",-,-,-,-,-,"16,260",-,"294,521",-41.96,"287,521",-43.34,"288,603",-40.69,"7,000",-,166,-49.85,"124,500",-10.89,-,-,"708,580",-12.19,"141,164",-22.00,"47,449",-49.47,"93,715",7.62,"895,151",6.98,"36,762",-24.86,"102,550",-21.82,"1,045,381",2.78,2,-71.43,-,-,"561,785",-8.98,-,-,"132,325",61.39,"509,682",21.55
2001,"5,014,980",21.33,"4,430,897",20.59,"2,040",0.00,-,-,-,-,-,-,-,-,-,-,"454,918",54.46,"454,918",58.22,"455,914",57.97,-,-,290,74.70,"126,835",1.88,-,-,"692,912",-2.21,"113,616",-19.51,"18,506",-61.00,"95,110",1.49,"781,360",-12.71,"30,653",-16.62,"429,282",318.61,"1,176,441",12.54,8,300.00,-,-,"953,120",69.66,-,-,"108,514",-17.99,"729,074",43.04
2002,"6,577,933",31.17,"5,775,104",30.34,"2,040",0.00,-,-,-,-,-,-,-,-,-,-,"672,020",47.72,"672,020",47.72,"665,412",45.95,-,-,257,-11.38,"128,512",1.32,-,-,"698,460",0.80,"140,071",23.28,"47,162",154.85,"92,909",-2.31,"871,682",11.56,"26,634",-13.11,"553,787",29.00,"1,286,920",9.39,21,162.50,-,-,"1,947,985",104.38,-,-,"79,911",-26.36,"972,462",33.38
2003,"8,145,026",23.82,"7,178,305",24.30,-,-,-,-,-,-,-,-,-,-,-,-,"807,892",20.22,"807,892",20.22,"796,298",19.67,-,-,350,36.19,"158,479",23.32,-,-,"785,164",12.41,"156,452",11.69,"31,555",-33.09,"124,897",34.43,"835,885",-4.11,"25,551",-4.07,"686,787",24.02,"1,369,360",6.41,110,423.81,-,-,"2,992,365",53.61,-,-,"92,111",15.27,"1,201,241",23.53
2004,"8,517,042",4.57,"7,832,744",9.12,-,-,-,-,-,-,-,-,-,-,-,-,"490,258",-39.32,"490,258",-39.32,"490,257",-38.43,-,-,210,-40.00,"193,830",22.31,"142,202",-,"856,951",9.14,"177,637",13.54,"51,021",61.69,"126,616",1.38,"862,687",3.21,"22,211",-13.07,"527,550",-23.19,"1,351,109",-1.33,121,10.00,-,-,"3,562,885",19.07,-,-,"186,261",102.21,"827,428",-31.12
2005,"9,094,433",6.78,"8,476,318",8.22,-,-,-,-,-,-,-,-,-,-,-,-,"425,611",-13.19,"425,611",-13.19,"422,958",-13.73,-,-,301,43.33,"192,203",-0.84,"451,074",217.21,"922,910",7.70,"202,802",14.17,"73,154",43.38,"129,648",2.39,"837,637",-2.90,"20,817",-6.28,"587,050",11.28,"1,417,246",4.90,7,-94.21,-,-,"3,520,820",-1.18,-,-,"251,568",35.06,"882,502",6.66
2006,"9,449,985",3.91,"8,842,916",4.32,-,-,-,-,-,-,-,-,-,-,-,-,"439,674",3.30,"439,674",3.30,"311,069",-26.45,-,-,248,-17.61,"167,147",-13.04,"340,098",-24.60,"959,792",4.00,"185,475",-8.54,"40,879",-44.12,"144,596",11.53,"926,314",10.59,"19,387",-6.87,"463,600",-21.03,"1,486,998",4.92,3,-57.14,-,-,"3,755,930",6.68,-,-,"224,698",-10.68,"1,087,690",23.25
