期間,總件數_原始值,總件數_年增率(%),室外集會_原始值,室外集會_年增率(%),室外遊行_原始值,室外遊行_年增率(%),室內集會_原始值,室內集會_年增率(%),申請核准_原始值,申請核准_年增率(%),申請不核准_原始值,申請不核准_年增率(%),未申請_原始值,未申請_年增率(%),政治性_原始值,政治性_年增率(%),社會性_原始值,社會性_年增率(%),經濟性_原始值,經濟性_年增率(%),涉外性_原始值,涉外性_年增率(%),其他活動性質_原始值,其他活動性質_年增率(%),使用警力(人次)_原始值,使用警力(人次)_年增率(%)
2008M08,113,44.87,92,55.93,17,6.25,4,33.33,65,30.00,0,--,48,71.43,40,-13.04,61,144.00,6,-14.29,1,--,5,--,"7,661",-16.42
2008M09,110,-11.29,89,-14.42,11,-26.67,10,100.00,63,-24.10,1,0.00,46,15.00,32,-50.00,64,25.49,5,66.67,0,-100.00,9,350.00,"5,833",-52.45
2008M10,93,-65.93,74,-61.86,15,-79.45,4,-33.33,47,-80.33,2,-33.33,44,41.94,42,-80.91,48,45.45,3,-81.25,0,--,0,-100.00,"19,094",10.44
2008M11,146,-68.53,104,-71.89,33,-62.92,9,80.00,87,-80.27,0,-100.00,59,168.18,97,-76.63,33,-13.16,6,-14.29,3,--,7,75.00,"16,546",-41.97
2008M12,87,-93.36,61,-94.36,26,-86.93,0,-100.00,50,-96.03,0,-100.00,37,-21.28,35,-97.04,37,-61.05,13,-35.00,1,-85.71,1,-80.00,"8,400",-86.30
2009M01,59,-94.79,41,-92.18,14,-97.63,4,-76.47,33,-96.90,0,-100.00,26,-59.38,22,-97.83,17,-82.47,15,-31.82,2,--,3,200.00,"7,833",-88.48
2009M02,94,-72.91,76,-73.14,15,-74.14,3,-50.00,66,-80.06,1,0.00,27,80.00,63,-79.48,28,-12.50,2,-60.00,1,--,0,-100.00,"9,604",-52.82
2009M03,189,-86.43,140,-81.06,46,-92.63,3,-90.00,136,-90.01,0,-100.00,53,82.76,119,-90.78,47,-37.33,13,-35.00,0,-100.00,10,42.86,"11,679",-90.85
2009M04,159,253.33,116,213.51,42,500.00,1,0.00,118,413.04,0,-100.00,41,95.24,94,308.70,46,187.50,14,366.67,2,0.00,3,200.00,"10,120",224.98
2009M05,157,196.23,119,296.67,37,117.65,1,-83.33,128,245.95,0,--,29,81.25,117,368.00,32,52.38,3,-25.00,3,200.00,2,0.00,"21,883",525.23
2009M06,130,91.18,110,168.29,17,-26.09,3,-25.00,85,97.67,0,-100.00,45,87.50,82,256.52,37,27.59,9,28.57,0,-100.00,2,-50.00,"9,661",64.55
2009M07,122,148.98,103,186.11,12,140.00,7,-12.50,74,252.38,1,--,47,67.86,77,285.00,34,61.90,10,150.00,0,-100.00,1,-50.00,"7,307",121.96
