期間,本國銀行-支票存款-借記總額(新台幣百萬元)_原始值,本國銀行-支票存款-借記總額(新台幣百萬元)_年增率(%),本國銀行-支票存款-按年計算之回轉次數(次)_原始值,本國銀行-支票存款-按年計算之回轉次數(次)_年增率(%),本國銀行-活期存款-借記總額(新台幣百萬元)_原始值,本國銀行-活期存款-借記總額(新台幣百萬元)_年增率(%),本國銀行-活期存款-按年計算之回轉次數(次)_原始值,本國銀行-活期存款-按年計算之回轉次數(次)_年增率(%),本國銀行-活期儲蓄存款-借記總額(新台幣百萬元)_原始值,本國銀行-活期儲蓄存款-借記總額(新台幣百萬元)_年增率(%),本國銀行-活期儲蓄存款-按年計算之回轉次數(次)_原始值,本國銀行-活期儲蓄存款-按年計算之回轉次數(次)_年增率(%),票據交換及存款不足退票數額-交換-張數(張)_原始值,票據交換及存款不足退票數額-交換-張數(張)_年增率(%),票據交換及存款不足退票數額-交換-金額(新台幣百萬元)_原始值,票據交換及存款不足退票數額-交換-金額(新台幣百萬元)_年增率(%),票據交換及存款不足退票數額-存款不足退票-張數(張)_原始值,票據交換及存款不足退票數額-存款不足退票-張數(張)_年增率(%),票據交換及存款不足退票數額-存款不足退票-金額(新台幣百萬元)_原始值,票據交換及存款不足退票數額-存款不足退票-金額(新台幣百萬元)_年增率(%),票據交換及存款不足退票數額-退票張數比率(%)_原始值,票據交換及存款不足退票數額-退票張數比率(%)_年增率(%),票據交換及存款不足退票數額-退票金額比率(%)_原始值,票據交換及存款不足退票數額-退票金額比率(%)_年增率(%)
1997M01,"8,982,132",23.30,450.7,11.56,"4,831,197",73.94,114.8,48.65,"2,729,795",56.81,27.8,26.27,"14,696,389",-9.84,"4,759,429",16.70,"157,581",-28.98,"31,170",-34.24,1.07,-21.32,0.65,-43.97
1997M02,"7,422,449",10.56,471.5,10.43,"4,370,156",82.52,132.0,65.58,"2,556,441",65.83,29.4,36.02,"12,197,731",-4.22,"3,626,005",-0.96,"138,499",-14.59,"23,774",-35.61,1.14,-10.24,0.66,-34.65
1997M03,"9,559,408",37.30,490.8,15.16,"6,007,594",129.33,137.0,66.68,"3,457,845",107.50,30.8,46.15,"13,996,234",34.72,"4,706,802",25.53,"154,683",8.80,"29,588",-5.08,1.11,-18.98,0.63,-24.10
1997M04,"8,990,259",11.38,491.8,2.75,"6,018,449",66.96,142.1,35.85,"3,590,406",65.42,33.0,26.33,"13,740,464",-14.81,"4,620,635",1.85,"148,248",-36.60,"27,730",-41.92,1.08,-25.52,0.60,-42.86
1997M05,"9,066,031",5.67,454.1,1.37,"5,176,864",41.31,110.1,20.11,"3,046,902",43.46,26.2,14.19,"14,397,571",3.49,"4,542,245",-5.30,"146,373",-15.74,"28,268",-21.94,1.02,-18.40,0.62,-18.42
1997M06,"9,920,588",30.53,520.7,26.30,"6,405,578",84.06,141.1,52.09,"3,594,496",90.85,32.9,48.28,"13,805,806",25.10,"4,665,555",18.84,"147,166",11.03,"27,365",-8.33,1.07,-10.83,0.59,-22.37
1997M07,"10,859,363",33.45,520.6,29.60,"7,943,995",136.29,152.6,87.97,"4,603,514",133.71,37.5,78.38,"15,655,842",1.42,"5,192,491",16.78,"147,710",-19.32,"26,969",-25.83,0.94,-21.01,0.52,-36.59
1997M08,"9,929,904",15.56,519.7,16.61,"6,874,021",110.70,138.8,73.27,"4,095,313",109.97,36.3,73.06,"11,985,371",-29.49,"4,510,076",-1.58,"121,730",-39.65,"25,482",-34.59,1.02,-14.29,0.57,-32.94
1997M09,"9,422,301",19.38,496.1,4.73,"6,009,823",84.54,121.3,35.40,"3,447,253",91.84,30.5,39.32,"17,003,887",24.91,"4,632,173",11.59,"183,771",6.99,"32,943",-2.09,1.08,-14.29,0.71,-12.35
1997M10,"9,810,192",33.32,550.0,24.69,"5,518,350",70.78,127.6,43.55,"3,208,588",76.76,30.3,38.25,"12,062,708",2.52,"4,462,912",11.94,"132,805",-11.81,"25,539",-16.05,1.10,-14.06,0.57,-25.00
1997M11,"8,737,703",4.88,486.0,6.13,"5,272,285",34.01,117.9,19.92,"3,435,523",47.87,31.5,24.39,"13,535,996",-17.84,"4,153,292",-11.54,"147,777",-26.22,"26,211",-30.20,1.09,-10.66,0.63,-21.25
1997M12,"10,839,233",24.64,532.8,14.06,"6,910,557",64.20,127.5,27.78,"4,121,117",77.26,33.1,36.04,"17,872,175",24.77,"5,085,502",11.20,"200,049",12.99,"36,700",2.40,1.12,-9.68,0.72,-7.69
1998M01,"8,560,684",-4.69,508.8,12.88,"5,169,065",6.99,131.5,14.55,"3,027,055",10.89,32.1,15.70,"10,901,014",-25.83,"3,944,486",-17.12,"106,151",-32.64,"19,804",-36.46,0.97,-9.35,0.50,-23.08
1998M02,"9,626,223",29.69,531.3,12.68,"6,683,435",52.93,149.1,12.97,"4,091,973",60.07,33.8,14.96,"13,121,522",7.57,"4,278,336",17.99,"132,000",-4.69,"22,365",-5.93,1.01,-11.40,0.52,-21.21
1998M03,"11,027,184",15.35,550.2,12.09,"7,203,474",19.91,145.4,6.14,"4,507,250",30.35,34.2,10.75,"17,371,087",24.11,"5,028,527",6.84,"176,756",14.27,"32,302",9.17,1.02,-8.11,0.64,1.59
1998M04,"9,967,616",10.87,532.4,8.27,"6,106,690",1.47,131.7,-7.29,"3,963,683",10.40,31.8,-3.46,"13,871,806",0.96,"4,604,321",-0.35,"135,077",-8.88,"24,821",-10.49,0.97,-10.19,0.54,-10.00
1998M05,"9,320,211",2.80,496.1,9.25,"5,239,941",1.22,114.8,4.21,"3,435,581",12.76,29.0,10.81,"11,092,844",-22.95,"4,272,083",-5.95,"106,882",-26.98,"20,237",-28.41,0.96,-5.88,0.47,-24.19
