期間,國小一年級_檢查人數(人),國小一年級_視力不良人數(人),國小一年級_視力不良率(%),國小一年級_檢查人數(人),國小一年級_視力不良人數(人),國小一年級_視力不良率(%),國小一年級_檢查人數(人),國小一年級_視力不良人數(人),國小一年級_視力不良率(%),國小二年級_檢查人數(人),國小二年級_視力不良人數(人),國小二年級_視力不良率(%),國小二年級_檢查人數(人),國小二年級_視力不良人數(人),國小二年級_視力不良率(%),國小二年級_檢查人數(人),國小二年級_視力不良人數(人),國小二年級_視力不良率(%),國小三年級_檢查人數(人),國小三年級_視力不良人數(人),國小三年級_視力不良率(%),國小三年級_檢查人數(人),國小三年級_視力不良人數(人),國小三年級_視力不良率(%),國小三年級_檢查人數(人),國小三年級_視力不良人數(人),國小三年級_視力不良率(%),國小四年級_檢查人數(人),國小四年級_視力不良人數(人),國小四年級_視力不良率(%),國小四年級_檢查人數(人),國小四年級_視力不良人數(人),國小四年級_視力不良率(%),國小四年級_檢查人數(人),國小四年級_視力不良人數(人),國小四年級_視力不良率(%),國小五年級_檢查人數(人),國小五年級_視力不良人數(人),國小五年級_視力不良率(%),國小五年級_檢查人數(人),國小五年級_視力不良人數(人),國小五年級_視力不良率(%),國小五年級_檢查人數(人),國小五年級_視力不良人數(人),國小五年級_視力不良率(%),國小六年級_檢查人數(人),國小六年級_視力不良人數(人),國小六年級_視力不良率(%),國小六年級_檢查人數(人),國小六年級_視力不良人數(人),國小六年級_視力不良率(%),國小六年級_檢查人數(人),國小六年級_視力不良人數(人),國小六年級_視力不良率(%),國中一年級_檢查人數(人),國中一年級_視力不良人數(人),國中一年級_視力不良率(%),國中一年級_檢查人數(人),國中一年級_視力不良人數(人),國中一年級_視力不良率(%),國中一年級_檢查人數(人),國中一年級_視力不良人數(人),國中一年級_視力不良率(%),國中二年級_檢查人數(人),國中二年級_視力不良人數(人),國中二年級_視力不良率(%),國中二年級_檢查人數(人),國中二年級_視力不良人數(人),國中二年級_視力不良率(%),國中二年級_檢查人數(人),國中二年級_視力不良人數(人),國中二年級_視力不良率(%),國中三年級_檢查人數(人),國中三年級_視力不良人數(人),國中三年級_視力不良率(%),國中三年級_檢查人數(人),國中三年級_視力不良人數(人),國中三年級_視力不良率(%),國中三年級_檢查人數(人),國中三年級_視力不良人數(人),國中三年級_視力不良率(%),高中一年級_檢查人數(人),高中一年級_視力不良人數(人),高中一年級_視力不良率(%),高中一年級_檢查人數(人),高中一年級_視力不良人數(人),高中一年級_視力不良率(%),高中一年級_檢查人數(人),高中一年級_視力不良人數(人),高中一年級_視力不良率(%),高中二年級_檢查人數(人),高中二年級_視力不良人數(人),高中二年級_視力不良率(%),高中二年級_檢查人數(人),高中二年級_視力不良人數(人),高中二年級_視力不良率(%),高中二年級_檢查人數(人),高中二年級_視力不良人數(人),高中二年級_視力不良率(%),高中三年級_檢查人數(人),高中三年級_視力不良人數(人),高中三年級_視力不良率(%),高中三年級_檢查人數(人),高中三年級_視力不良人數(人),高中三年級_視力不良率(%),高中三年級_檢查人數(人),高中三年級_視力不良人數(人),高中三年級_視力不良率(%),高職一年級_檢查人數(人),高職一年級_視力不良人數(人),高職一年級_視力不良率(%),高職一年級_檢查人數(人),高職一年級_視力不良人數(人),高職一年級_視力不良率(%),高職一年級_檢查人數(人),高職一年級_視力不良人數(人),高職一年級_視力不良率(%),高職二年級_檢查人數(人),高職二年級_視力不良人數(人),高職二年級_視力不良率(%),高職二年級_檢查人數(人),高職二年級_視力不良人數(人),高職二年級_視力不良率(%),高職二年級_檢查人數(人),高職二年級_視力不良人數(人),高職二年級_視力不良率(%),高職三年級_檢查人數(人),高職三年級_視力不良人數(人),高職三年級_視力不良率(%),高職三年級_檢查人數(人),高職三年級_視力不良人數(人),高職三年級_視力不良率(%),高職三年級_檢查人數(人),高職三年級_視力不良人數(人),高職三年級_視力不良率(%),高職四年級_檢查人數(人),高職四年級_視力不良人數(人),高職四年級_視力不良率(%),高職四年級_檢查人數(人),高職四年級_視力不良人數(人),高職四年級_視力不良率(%),高職四年級_檢查人數(人),高職四年級_視力不良人數(人),高職四年級_視力不良率(%)
2010,"213,292","62,038",29.09,"112,222","31,675",28.23,"101,070","30,363",30.04,"228,564","84,056",36.78,"119,637","43,369",36.25,"108,927","40,687",37.35,"241,126","109,553",45.43,"125,972","56,343",44.73,"115,154","53,210",46.21,"273,485","145,147",53.07,"142,517","73,687",51.70,"130,968","71,460",54.56,"283,920","167,120",58.86,"148,544","84,783",57.08,"135,376","82,337",60.82,"269,956","173,595",64.30,"140,575","86,806",61.75,"129,381","86,789",67.08,"286,558","198,811",69.38,"149,213","99,435",66.64,"137,345","99,376",72.36,"310,965","230,082",73.99,"162,101","115,358",71.16,"148,864","114,724",77.07,"313,255","240,750",76.85,"163,051","120,504",73.91,"150,204","120,246",80.06,"135,662","115,950",85.47,"68,134","56,897",83.51,"67,528","59,053",87.45,"132,195","114,614",86.70,"66,698","56,491",84.70,"65,497","58,123",88.74,"130,804","114,034",87.18,"65,060","55,353",85.08,"65,744","58,681",89.26,"128,891","96,995",75.25,"72,541","52,943",72.98,"56,350","44,052",78.18,"116,474","87,658",75.26,"64,483","47,283",73.33,"51,991","40,375",77.66,"112,251","85,073",75.79,"61,872","45,332",73.27,"50,379","39,741",78.88,820,618,75.37,431,316,73.32,389,302,77.63
2011,"207,599","60,448",29.12,"108,101","30,967",28.65,"99,498","29,481",29.63,"213,568","79,574",37.26,"112,386","41,418",36.85,"101,182","38,156",37.71,"228,720","105,482",46.12,"119,742","54,626",45.62,"108,978","50,856",46.67,"241,481","129,132",53.48,"126,153","65,971",52.29,"115,328","63,161",54.77,"273,648","165,279",60.40,"142,577","83,841",58.80,"131,071","81,438",62.13,"284,074","184,741",65.03,"148,608","93,519",62.93,"135,466","91,222",67.34,"270,147","188,754",69.87,"140,675","94,741",67.35,"129,472","94,013",72.61,"285,935","213,479",74.66,"148,955","107,340",72.06,"136,980","106,139",77.49,"309,937","240,624",77.64,"161,681","121,260",75.00,"148,256","119,364",80.51,"136,638","116,428",85.21,"68,694","57,404",83.56,"67,944","59,024",86.87,"133,098","115,364",86.68,"66,551","56,352",84.67,"66,547","59,012",88.68,"130,709","114,613",87.69,"65,581","56,123",85.58,"65,128","58,490",89.81,"131,085","99,939",76.24,"73,819","55,119",74.67,"57,266","44,820",78.27,"119,681","91,349",76.33,"66,278","49,207",74.24,"53,403","42,142",78.91,"112,598","85,720",76.13,"61,780","45,795",74.13,"50,818","39,925",78.56,837,666,79.57,397,309,77.83,440,357,81.14
2012,"200,914","55,291",27.52,"105,279","28,519",27.09,"95,635","26,772",27.99,"207,764","75,020",36.11,"108,153","38,929",35.99,"99,611","36,091",36.23,"213,682","97,333",45.55,"112,476","50,920",45.27,"101,206","46,413",45.86,"229,015","122,151",53.34,"119,865","63,081",52.63,"109,150","59,070",54.12,"241,590","144,874",59.97,"126,199","73,703",58.40,"115,391","71,171",61.68,"273,905","180,037",65.73,"142,716","90,793",63.62,"131,189","89,244",68.03,"284,291","197,064",69.32,"148,742","99,713",67.04,"135,549","97,351",71.82,"269,512","200,076",74.24,"140,457","100,959",71.88,"129,055","99,117",76.80,"284,915","221,087",77.60,"148,591","111,739",75.20,"136,324","109,348",80.21,"136,266","115,665",84.88,"69,025","57,323",83.05,"67,241","58,342",86.77,"133,683","115,808",86.63,"66,848","56,626",84.71,"66,835","59,182",88.55,"131,134","114,745",87.50,"65,218","55,563",85.20,"65,916","59,182",89.78,"128,263","99,103",77.27,"72,208","54,687",75.74,"56,055","44,416",79.24,"119,998","92,789",77.33,"66,366","49,982",75.31,"53,632","42,807",79.82,"113,495","87,277",76.90,"62,145","46,287",74.48,"51,350","40,990",79.82,858,685,79.84,434,345,79.49,424,340,80.19
2013,"197,857","54,021",27.30,"103,216","27,649",26.79,"94,641","26,372",27.87,"200,928","70,436",35.06,"105,300","36,862",35.01,"95,628","33,574",35.11,"207,962","91,846",44.16,"108,316","47,740",44.07,"99,646","44,106",44.26,"213,785","111,746",52.27,"112,481","58,155",51.70,"101,304","53,591",52.90,"229,161","136,397",59.52,"119,918","69,789",58.20,"109,243","66,608",60.97,"241,836","156,882",64.87,"126,331","79,558",62.98,"115,505","77,324",66.94,"274,077","190,965",69.68,"142,748","96,337",67.49,"131,329","94,628",72.05,"283,995","209,487",73.76,"148,526","106,313",71.58,"135,469","103,174",76.16,"269,289","207,746",77.15,"140,195","104,834",74.78,"129,094","102,912",79.72,"126,930","108,284",85.31,"63,733","53,197",83.47,"63,197","55,087",87.17,"133,323","115,433",86.58,"67,264","56,997",84.74,"66,059","58,436",88.46,"131,822","115,738",87.80,"65,548","56,203",85.74,"66,274","59,535",89.83,"119,771","92,898",77.56,"68,450","51,732",75.58,"51,321","41,166",80.21,"120,582","93,976",77.94,"66,965","51,136",76.36,"53,617","42,840",79.90,"117,405","91,563",77.99,"64,486","48,912",75.85,"52,919","42,651",80.60,801,630,78.65,408,315,77.21,393,315,80.15
