期間,資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款_原始值,資產--放款_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--對金融機構債權_原始值,資產--對金融機構債權_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),負債與淨值--人壽保險準備_原始值,負債與淨值--人壽保險準備_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
1997,"65,683",365.37,"550,015",24.36,"131,634",20.29,"16,602",63.49,"272,829",32.69,"71,030",63.61,"121,596",1.30,"422,557",-4.38,983,15.78,"116,071",-3.34,"1,769,000",17.32,"1,565,449",16.90,"48,184",12.96,"155,367",23.15
1998,"73,553",11.98,"668,494",21.54,"133,244",1.22,"27,254",64.16,"326,703",19.75,"86,711",22.08,"136,800",12.50,"463,181",9.61,"1,306",32.86,"142,495",22.77,"2,059,741",16.44,"1,826,441",16.67,"65,378",35.68,"167,922",8.08
1999,"99,397",35.14,"770,720",15.29,"257,767",93.45,"32,321",18.59,"388,987",19.06,"54,062",-37.65,"158,993",16.22,"442,071",-4.56,"1,402",7.35,"214,771",50.72,"2,420,491",17.51,"2,148,445",17.63,"92,358",41.27,"179,688",7.01
2000,"121,470",22.21,"886,411",15.01,"380,346",47.55,"44,643",38.12,"482,039",23.92,"107,728",99.27,"185,520",16.68,"408,633",-7.56,"1,180",-15.83,"137,444",-36.00,"2,755,414",13.84,"2,492,372",16.01,"96,658",4.66,"166,384",-7.40
2001,"348,649",187.02,"962,469",8.58,"526,144",38.33,"45,532",1.99,"459,739",-4.63,"60,633",-43.72,"194,960",5.09,"401,819",-1.67,"1,463",23.98,"197,830",43.93,"3,199,238",16.11,"2,919,504",17.14,"104,752",8.37,"174,982",5.17
2002,"551,103",58.07,"978,213",1.64,"885,349",68.27,"46,628",2.41,"563,443",22.56,"67,103",10.67,"219,327",12.50,"279,563",-30.43,"4,065",177.85,"192,697",-2.59,"3,787,491",18.39,"3,494,402",19.69,"135,964",29.80,"157,125",-10.21
2003,"1,115,621",102.43,"941,760",-3.73,"1,020,280",15.24,"29,362",-37.03,"598,396",6.20,"101,385",51.09,"222,823",1.59,"189,017",-32.39,"1,206",-70.33,"400,135",107.65,"4,619,985",21.98,"4,148,006",18.70,"245,830",80.81,"226,149",43.93
2004,"1,347,759",20.81,"922,190",-2.08,"1,311,036",28.50,"32,891",12.02,"662,712",10.75,"239,050",135.78,"234,007",5.02,"218,307",15.50,"1,366",13.27,"537,466",34.32,"5,506,784",19.19,"4,873,543",17.49,"380,913",54.95,"252,328",11.58
2005,"1,767,978",31.18,"946,028",2.58,"1,450,688",10.65,"25,315",-23.03,"758,248",14.42,"390,089",63.18,"239,194",2.22,"241,171",10.47,510,-62.66,"750,436",39.62,"6,569,657",19.30,"5,704,484",17.05,"588,737",54.56,"276,436",9.55
2006,"2,050,664",15.99,"1,032,032",9.09,"1,590,768",9.66,"50,146",98.09,"981,782",29.48,"430,932",10.47,"262,370",9.69,"405,499",68.14,610,19.61,"950,943",26.72,"7,755,746",18.05,"6,434,160",12.79,"819,433",39.18,"502,153",81.65
2007,"2,264,501",10.43,"1,159,358",12.34,"1,625,342",2.17,"67,353",34.31,"1,029,724",4.88,"405,770",-5.84,"295,044",12.45,"544,164",34.20,668,9.51,"1,351,429",42.11,"8,743,353",12.73,"7,140,109",10.97,"1,162,595",41.88,"440,649",-12.25
2008,"2,344,662",3.54,"1,252,269",8.01,"1,824,555",12.26,"69,650",3.41,"1,010,807",-1.84,"430,822",6.17,"324,877",10.11,"642,749",18.12,744,11.38,"1,254,544",-7.17,"9,155,679",4.72,"7,842,007",9.83,"1,106,078",-4.86,"207,594",-52.89
