期間,總計_原始值,總計_年增率(%),人為縱火_原始值,人為縱火_年增率(%),自殺_原始值,自殺_年增率(%),燈燭_原始值,燈燭_年增率(%),爐火烹調_原始值,爐火烹調_年增率(%),敬神掃墓祭祖_原始值,敬神掃墓祭祖_年增率(%),菸蒂_原始值,菸蒂_年增率(%),電氣設備_原始值,電氣設備_年增率(%),機械設備_原始值,機械設備_年增率(%),玩火_原始值,玩火_年增率(%),烤火_原始值,烤火_年增率(%),燒什草垃圾_原始值,燒什草垃圾_年增率(%),施工不慎_原始值,施工不慎_年增率(%),易燃品自(復)燃_原始值,易燃品自(復)燃_年增率(%),瓦斯漏氣或爆炸_原始值,瓦斯漏氣或爆炸_年增率(%),化學物品_原始值,化學物品_年增率(%),燃放爆竹_原始值,燃放爆竹_年增率(%),交通事故_原始值,交通事故_年增率(%),天然災害_原始值,天然災害_年增率(%),原因不明_原始值,原因不明_年增率(%),其他_原始值,其他_年增率(%)
2000M01,"1,954",...,74,...,8,...,16,...,65,...,24,...,362,...,230,...,94,...,13,...,4,...,869,...,25,...,4,...,12,...,3,...,2,...,18,...,0,...,52,...,79,...
2000M02,"1,783",...,80,...,7,...,16,...,55,...,45,...,293,...,217,...,61,...,11,...,2,...,767,...,14,...,4,...,4,...,1,...,56,...,15,...,0,...,68,...,67,...
2000M03,"1,701",...,73,...,8,...,21,...,79,...,114,...,354,...,194,...,68,...,18,...,2,...,602,...,19,...,3,...,5,...,1,...,14,...,14,...,0,...,47,...,65,...
2000M04,"1,092",...,73,...,4,...,9,...,59,...,63,...,161,...,173,...,65,...,13,...,1,...,293,...,18,...,2,...,6,...,2,...,3,...,16,...,1,...,43,...,87,...
2000M05,"1,168",...,90,...,3,...,11,...,64,...,21,...,168,...,170,...,62,...,8,...,1,...,352,...,20,...,6,...,8,...,1,...,3,...,24,...,1,...,64,...,91,...
2000M06,984,...,73,...,5,...,13,...,56,...,17,...,109,...,178,...,65,...,14,...,0,...,283,...,23,...,4,...,5,...,6,...,1,...,15,...,1,...,50,...,66,...
2000M07,863,...,66,...,8,...,7,...,49,...,13,...,126,...,180,...,62,...,7,...,0,...,197,...,17,...,1,...,5,...,5,...,3,...,17,...,2,...,36,...,62,...
2000M08,844,...,99,...,5,...,10,...,67,...,18,...,87,...,186,...,79,...,11,...,1,...,129,...,13,...,7,...,9,...,3,...,0,...,20,...,0,...,40,...,60,...
2000M09,"1,481",...,116,...,4,...,10,...,57,...,24,...,180,...,158,...,69,...,11,...,2,...,512,...,26,...,1,...,5,...,2,...,164,...,17,...,0,...,50,...,73,...
2000M10,"1,424",...,72,...,13,...,11,...,64,...,16,...,193,...,154,...,65,...,9,...,0,...,625,...,27,...,4,...,9,...,2,...,4,...,16,...,0,...,67,...,73,...
