期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),磚構造_原始值,磚構造_年增率(%),磚構造_原始值,磚構造_年增率(%),木構造_原始值,木構造_年增率(%),木構造_原始值,木構造_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
1991,"31,995,034",...,"128,680,309",...,"1,256,978",...,"6,839,980",...,"26,535,576",...,"109,151,536",...,"2,054,796",...,"6,232,136",...,"2,066,621",...,"6,190,269",...,"13,095",...,"26,841",...,"67,968",...,"239,547",...
1992,"36,922,351",15.40,"162,098,342",25.97,"1,725,851",37.30,"8,216,355",20.12,"31,495,718",18.69,"141,229,078",29.39,"1,944,958",-5.35,"6,375,113",2.29,"1,572,478",-23.91,"5,088,499",-17.80,"65,714",401.83,"149,131",455.61,"117,632",73.07,"1,040,166",334.22
1993,"47,542,986",28.76,"228,157,264",40.75,"1,298,835",-24.74,"6,985,409",-14.98,"41,529,236",31.86,"204,595,599",44.87,"2,772,850",42.57,"9,490,258",48.86,"1,617,618",2.87,"5,601,070",10.07,"72,596",10.47,"142,607",-4.37,"251,851",114.10,"1,342,321",29.05
1994,"58,159,322",22.33,"317,358,530",39.10,"2,589,313",99.36,"13,569,362",94.25,"51,579,595",24.20,"289,392,324",41.45,"2,229,874",-19.58,"8,214,286",-13.45,"1,510,283",-6.64,"5,239,329",-6.46,"60,550",-16.59,"134,730",-5.52,"189,707",-24.67,"808,499",-39.77
1995,"55,262,803",-4.98,"319,050,844",0.53,"2,852,887",10.18,"18,545,372",36.67,"50,030,043",-3.00,"291,020,185",0.56,"1,158,733",-48.04,"4,912,699",-40.19,"987,666",-34.60,"3,648,828",-30.36,"32,078",-47.02,"76,326",-43.35,"201,396",6.16,"847,434",4.82
1996,"45,709,423",-17.29,"267,521,569",-16.15,"3,006,338",5.38,"19,070,586",2.83,"40,260,988",-19.53,"237,939,676",-18.24,"1,160,441",0.15,"4,449,269",-9.43,"871,468",-11.76,"3,402,799",-6.74,"19,476",-39.29,"35,620",-53.33,"390,712",94.00,"2,623,619",209.60
1997,"38,462,486",-15.85,"229,141,498",-14.35,"3,064,485",1.93,"20,282,355",6.35,"32,776,924",-18.59,"198,397,055",-16.62,"1,503,908",29.60,"5,973,310",34.25,"717,993",-17.61,"2,748,051",-19.24,"32,370",66.20,"88,276",147.83,"366,806",-6.12,"1,652,451",-37.02
1998,"38,683,334",0.57,"233,223,678",1.78,"3,149,678",2.78,"18,644,031",-8.08,"32,872,781",0.29,"203,132,242",2.39,"1,375,163",-8.56,"5,783,371",-3.18,"665,807",-7.27,"2,541,032",-7.53,"52,816",63.16,"150,373",70.34,"567,089",54.60,"2,972,629",79.89
1999,"41,239,986",6.61,"260,813,434",11.83,"3,720,725",18.13,"26,319,438",41.17,"34,583,942",5.21,"220,786,706",8.69,"1,632,310",18.70,"8,161,603",41.12,"595,898",-10.50,"2,232,027",-12.16,"57,870",9.57,"273,416",81.83,"649,241",14.49,"3,040,244",2.27
2000,"35,023,733",-15.07,"219,829,261",-15.71,"4,387,927",17.93,"27,945,157",6.18,"27,742,034",-19.78,"178,938,513",-18.95,"1,357,565",-16.83,"6,220,605",-23.78,"566,464",-4.94,"2,235,104",0.14,"85,747",48.17,"215,904",-21.03,"883,996",36.16,"4,273,978",40.58
2001,"31,167,915",-11.01,"195,576,783",-11.03,"5,318,402",21.21,"39,933,634",42.90,"21,638,406",-22.00,"137,517,970",-23.15,"1,719,053",26.63,"7,561,978",21.56,"961,666",69.77,"2,924,815",30.86,"123,253",43.74,"319,967",48.20,"1,407,135",59.18,"7,318,419",71.23
2002,"24,386,270",-21.76,"160,807,814",-17.78,"4,889,809",-8.06,"39,383,974",-1.38,"17,208,531",-20.47,"111,744,973",-18.74,"793,203",-53.86,"3,343,333",-55.79,"492,839",-48.75,"1,620,388",-44.60,"66,913",-45.71,"176,078",-44.97,"934,975",-33.55,"4,539,068",-37.98
2003,"26,497,263",8.66,"172,144,295",7.05,"5,108,309",4.47,"42,682,779",8.38,"19,539,935",13.55,"120,593,226",7.92,"996,681",25.65,"5,116,241",53.03,"254,300",-48.40,"977,849",-39.65,"74,666",11.59,"173,421",-1.51,"523,372",-44.02,"2,600,779",-42.70
2004,"27,872,724",5.19,"182,271,070",5.88,"4,177,308",-18.23,"34,616,346",-18.90,"22,548,253",15.40,"142,601,682",18.25,"632,745",-36.51,"2,747,975",-46.29,"205,851",-19.05,"748,047",-23.50,"74,350",-0.42,"195,393",12.67,"234,217",-55.25,"1,361,627",-47.65
2005,"31,027,550",11.32,"204,429,033",12.16,"4,502,408",7.78,"34,735,657",0.34,"25,511,864",13.14,"165,583,977",16.12,"617,514",-2.41,"2,596,872",-5.50,"191,506",-6.97,"694,938",-7.10,"47,469",-36.15,"153,967",-21.20,"156,789",-33.06,"663,622",-51.26
2006,"36,202,229",16.68,"244,845,529",19.77,"2,756,303",-38.78,"20,457,343",-41.11,"30,001,164",17.60,"203,681,945",23.01,"3,185,263",415.82,"19,755,112",660.73,"204,669",6.87,"725,716",4.43,"24,581",-48.22,"73,023",-52.57,"30,249",-80.71,"152,390",-77.04
2007,"36,024,385",-0.49,"254,004,222",3.74,"3,075,708",11.59,"21,826,477",6.69,"29,443,170",-1.86,"211,978,853",4.07,"3,236,855",1.62,"19,158,898",-3.02,"203,279",-0.68,"769,800",6.07,"32,350",31.61,"113,054",54.82,"33,023",9.17,"157,140",3.12
2008,"32,717,134",-9.18,"246,476,575",-2.96,"2,085,985",-32.18,"15,339,383",-29.72,"26,910,688",-8.60,"206,303,433",-2.68,"3,451,295",6.62,"23,775,418",24.10,"218,577",7.53,"853,783",10.91,"21,593",-33.25,"70,542",-37.60,"28,996",-12.19,"134,016",-14.72
2009,"26,534,930",-18.90,"213,321,500",-13.45,"2,933,172",40.61,"25,175,671",64.12,"20,635,417",-23.32,"167,269,319",-18.92,"2,742,070",-20.55,"20,053,572",-15.65,"157,989",-27.72,"622,697",-27.07,"28,276",30.95,"95,461",35.33,"38,006",31.07,"104,780",-21.82
2010,"24,013,834",-9.50,"185,920,181",-12.85,"2,884,144",-1.67,"23,293,972",-7.47,"17,404,202",-15.66,"136,401,363",-18.45,"3,495,211",27.47,"25,456,947",26.94,"156,899",-0.69,"557,347",-10.49,"46,854",65.70,"112,690",18.05,"26,524",-30.21,"97,862",-6.60
