期間,日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%)
1997,"1,162,903",4.15,"167,168",3.74,"995,735",4.21,"532,536",1.38,"700,238",1.92,"167,702",3.68,"1,695,439",3.26,"1,130,979",-1.99,"173,532",5.17,"957,447",-3.19,"510,364",2.38,"684,311",3.08,"173,947",5.21,"1,641,343",-0.68
1998,"1,105,177",-4.96,"174,134",4.17,"931,043",-6.50,"540,795",1.55,"715,393",2.16,"174,598",4.11,"1,645,972",-2.92,"1,151,393",1.80,"180,507",4.02,"970,886",1.40,"513,745",0.66,"694,452",1.48,"180,707",3.89,"1,665,138",1.45
1999,"974,209",-11.85,"172,295",-1.06,"801,914",-13.87,"544,508",0.69,"717,119",0.24,"172,611",-1.14,"1,518,717",-7.73,"1,032,149",-10.36,"195,441",8.27,"836,708",-13.82,"611,167",18.96,"806,939",16.20,"195,772",8.34,"1,643,316",-1.31
2000,"1,005,343",3.20,"175,142",1.65,"830,202",3.53,"561,471",3.12,"736,908",2.76,"175,437",1.64,"1,566,815",3.17,"1,055,650",2.28,"180,666",-7.56,"874,984",4.57,"527,748",-13.65,"708,580",-12.19,"180,832",-7.63,"1,583,398",-3.65
2001,"984,094",-2.11,"171,002",-2.36,"813,093",-2.06,"554,971",-1.16,"726,258",-1.45,"171,287",-2.37,"1,539,065",-1.77,"930,391",-11.87,"166,963",-7.58,"763,428",-12.75,"525,659",-0.40,"692,912",-2.21,"167,253",-7.51,"1,456,050",-8.04
2002,"863,630",-12.24,"170,838",-0.10,"692,792",-14.80,"553,815",-0.21,"724,949",-0.18,"171,134",-0.09,"1,417,444",-7.90,"1,041,518",11.94,"170,925",2.37,"870,593",14.04,"527,278",0.31,"698,460",0.80,"171,182",2.35,"1,568,796",7.74
2003,"894,682",3.60,"174,503",2.15,"720,180",3.95,"597,627",7.91,"772,433",6.55,"174,805",2.15,"1,492,309",5.28,"1,011,219",-2.91,"176,609",3.33,"834,610",-4.13,"608,205",15.35,"785,164",12.41,"176,959",3.37,"1,619,424",3.23
2004,"990,226",10.68,"184,306",5.62,"805,920",11.91,"671,942",12.44,"856,547",10.89,"184,605",5.61,"1,662,169",11.38,"1,047,808",3.62,"186,893",5.82,"860,915",3.15,"669,848",10.14,"856,951",9.14,"187,103",5.73,"1,717,656",6.07
2005,"1,049,957",6.03,"196,331",6.52,"853,626",5.92,"742,546",10.51,"939,173",9.65,"196,627",6.51,"1,792,503",7.84,"1,028,122",-1.88,"192,242",2.86,"835,880",-2.91,"730,367",9.03,"922,910",7.70,"192,543",2.91,"1,758,489",2.38
2006,"1,106,734",5.41,"200,448",2.10,"906,286",6.17,"781,381",5.23,"982,116",4.57,"200,735",2.09,"1,888,115",5.33,"1,124,494",9.37,"200,823",4.46,"923,671",10.50,"758,721",3.88,"959,792",4.00,"201,071",4.43,"1,883,215",7.09
2007,"1,174,945",6.16,"206,768",3.15,"968,178",6.83,"802,126",2.65,"1,009,183",2.76,"207,057",3.15,"1,977,072",4.71,"1,184,891",5.37,"198,820",-1.00,"986,071",6.76,"762,627",0.51,"961,715",0.20,"199,088",-0.99,"1,947,518",3.41
2008,"1,253,317",6.67,"202,249",-2.19,"1,051,068",8.56,"830,785",3.57,"1,033,309",2.39,"202,524",-2.19,"2,084,102",5.41,"1,291,884",9.03,"220,524",10.92,"1,071,360",8.65,"833,537",9.30,"1,054,290",9.63,"220,753",10.88,"2,125,421",9.13
2009,"1,390,269",10.93,"201,292",-0.47,"1,188,977",13.12,"908,095",9.31,"1,109,618",7.38,"201,523",-0.49,"2,298,364",10.28,"1,391,336",7.70,"209,886",-4.82,"1,181,450",10.28,"912,618",9.49,"1,122,754",6.49,"210,136",-4.81,"2,303,954",8.40
2010,"1,426,041",2.57,"206,867",2.77,"1,219,174",2.54,"995,656",9.64,"1,202,773",8.40,"207,116",2.78,"2,421,697",5.37,"1,505,930",8.24,"208,775",-0.53,"1,297,155",9.79,"995,853",9.12,"1,204,824",7.31,"208,971",-0.55,"2,501,783",8.59
2011,"1,538,615",7.89,"214,757",3.81,"1,323,858",8.59,"1,093,675",9.84,"1,308,657",8.80,"214,982",3.80,"2,632,289",8.70,"1,613,580",7.15,"213,032",2.04,"1,400,548",7.97,"1,107,344",11.20,"1,320,609",9.61,"213,265",2.05,"2,720,924",8.76
2012,"1,572,304",2.19,"221,024",2.92,"1,351,279",2.07,"1,189,332",8.75,"1,410,585",7.79,"221,253",2.92,"2,761,636",4.91,"1,698,913",5.29,"234,094",9.89,"1,464,819",4.59,"1,203,212",8.66,"1,437,529",8.85,"234,317",9.87,"2,902,125",6.66
2013,"1,654,380",5.22,"229,523",3.85,"1,424,858",5.45,"1,305,551",9.77,"1,535,306",8.84,"229,755",3.84,"2,959,931",7.18,"1,791,142",5.43,"226,107",-3.41,"1,565,035",6.84,"1,329,651",10.51,"1,555,992",8.24,"226,341",-3.40,"3,120,793",7.53
