期間,遠期契約_原始值,遠期契約_年增率(%),遠期契約_原始值,遠期契約_年增率(%),換匯_原始值,換匯_年增率(%),換匯_原始值,換匯_年增率(%),換匯換利_原始值,換匯換利_年增率(%),換匯換利_原始值,換匯換利_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
1998M01,"333,634",...,"205,911",...,"46,217",...,"243,893",...,"7,858",...,271,...,"44,582",...,"18,429",...,"9,503",...,"18,422",...,"441,794",...,"486,926",...
1998M02,"381,432",...,"214,463",...,"72,611",...,"349,726",...,"1,127",...,"2,283",...,"15,650",...,"32,770",...,"14,783",...,"32,601",...,"485,603",...,"631,843",...
1998M03,"257,889",...,"205,889",...,"32,626",...,"416,448",...,"10,322",...,82,...,"9,105",...,"31,627",...,"9,015",...,"30,998",...,"318,957",...,"685,044",...
1998M04,"210,010",...,"173,860",...,"31,451",...,"420,780",...,"5,976",...,"2,517",...,"10,273",...,"43,543",...,"10,113",...,"44,226",...,"267,823",...,"684,926",...
1998M05,"300,173",...,"89,388",...,"44,106",...,"338,953",...,"4,523",...,"16,746",...,"21,424",...,"41,229",...,"23,337",...,"41,244",...,"393,563",...,"527,560",...
1998M06,"207,229",...,"115,990",...,"71,780",...,"348,179",...,"14,418",...,"5,318",...,"52,189",...,"51,333",...,"46,581",...,"51,636",...,"392,197",...,"572,456",...
1998M07,"131,550",...,"173,880",...,"37,690",...,"333,480",...,"5,134",...,"3,186",...,"30,111",...,"43,381",...,"28,316",...,"43,152",...,"232,801",...,"597,079",...
1998M08,"104,646",...,"146,671",...,"63,499",...,"399,615",...,"1,786",...,451,...,"26,631",...,"61,354",...,"25,943",...,"56,613",...,"222,505",...,"664,704",...
1998M09,"79,607",...,"194,094",...,"69,887",...,"511,106",...,344,...,0,...,"16,625",...,"82,310",...,"13,899",...,"83,241",...,"180,362",...,"870,751",...
1998M10,"154,448",...,"177,635",...,"56,631",...,"446,617",...,"1,550",...,0,...,"24,144",...,"65,384",...,"21,966",...,"64,296",...,"258,739",...,"753,932",...
1998M11,"104,774",...,"86,776",...,"56,666",...,"318,923",...,0,...,0,...,"28,568",...,"39,258",...,"27,765",...,"39,253",...,"217,773",...,"484,210",...
1998M12,"108,208",...,"100,861",...,"61,859",...,"422,628",...,707,...,872,...,"15,536",...,"35,312",...,"15,399",...,"35,924",...,"201,709",...,"595,597",...
1999M01,"102,734",-69.21,"100,507",-51.19,"64,897",40.42,"327,208",34.16,"11,412",45.23,275,1.48,"29,947",-32.83,"54,976",198.31,"32,068",237.45,"55,274",200.04,"241,058",-45.44,"538,240",10.54
