期間,總計_原始值,總計_年增率(%),大客車_原始值,大客車_年增率(%),大客車-自用_原始值,大客車-自用_年增率(%),大客車-營業_原始值,大客車-營業_年增率(%),大貨車_原始值,大貨車_年增率(%),大貨車-自用_原始值,大貨車-自用_年增率(%),大貨車-營業_原始值,大貨車-營業_年增率(%),小客車_原始值,小客車_年增率(%),小客車-自用_原始值,小客車-自用_年增率(%),小客車-營業_原始值,小客車-營業_年增率(%),小客車-營業-計程車_原始值,小客車-營業-計程車_年增率(%),小貨車_原始值,小貨車_年增率(%),小貨車-自用_原始值,小貨車-自用_年增率(%),小貨車-營業_原始值,小貨車-營業_年增率(%),特種車_原始值,特種車_年增率(%),機器腳踏車_原始值,機器腳踏車_年增率(%),機器腳踏車-重型_原始值,機器腳踏車-重型_年增率(%),機器腳踏車-輕型_原始值,機器腳踏車-輕型_年增率(%)
2002M01,"17,074,074",...,"24,011",...,"2,729",...,"21,282",...,"155,658",...,"81,089",...,"74,569",...,"4,742,464",...,"4,635,340",...,"107,124",...,"107,124",...,"654,829",...,"645,573",...,"9,256",...,"50,744",...,"11,446,368",...,"6,867,561",...,"4,578,807",...
2002M02,"17,121,351",...,"24,075",...,"2,712",...,"21,363",...,"155,473",...,"81,008",...,"74,465",...,"4,756,124",...,"4,649,009",...,"107,115",...,"107,115",...,"656,861",...,"647,533",...,"9,328",...,"50,653",...,"11,478,165",...,"6,894,233",...,"4,583,932",...
2002M03,"17,171,744",...,"23,994",...,"2,680",...,"21,314",...,"155,672",...,"81,220",...,"74,452",...,"4,769,010",...,"4,662,028",...,"106,982",...,"106,982",...,"659,609",...,"650,226",...,"9,383",...,"50,695",...,"11,512,764",...,"6,924,406",...,"4,588,358",...
2002M04,"17,189,428",...,"23,983",...,"2,662",...,"21,321",...,"155,310",...,"81,095",...,"74,215",...,"4,770,995",...,"4,664,282",...,"106,713",...,"106,713",...,"661,210",...,"651,744",...,"9,466",...,"50,733",...,"11,527,197",...,"6,938,775",...,"4,588,422",...
2002M05,"17,228,532",...,"23,871",...,"2,650",...,"21,221",...,"155,191",...,"81,152",...,"74,039",...,"4,784,220",...,"4,677,682",...,"106,538",...,"106,538",...,"663,969",...,"654,459",...,"9,510",...,"50,881",...,"11,550,400",...,"6,959,692",...,"4,590,708",...
2002M06,"17,269,620",...,"23,986",...,"2,641",...,"21,345",...,"155,276",...,"81,316",...,"73,960",...,"4,796,990",...,"4,690,611",...,"106,379",...,"106,379",...,"665,805",...,"656,255",...,"9,550",...,"50,942",...,"11,576,621",...,"6,983,473",...,"4,593,148",...
2002M07,"17,312,924",...,"23,993",...,"2,629",...,"21,364",...,"155,138",...,"81,331",...,"73,807",...,"4,808,147",...,"4,701,851",...,"106,296",...,"106,296",...,"667,542",...,"657,940",...,"9,602",...,"51,040",...,"11,607,064",...,"7,012,215",...,"4,594,849",...
2002M08,"17,360,978",...,"23,779",...,"2,636",...,"21,143",...,"155,314",...,"81,506",...,"73,808",...,"4,819,679",...,"4,713,412",...,"106,267",...,"106,267",...,"669,705",...,"660,016",...,"9,689",...,"51,171",...,"11,641,330",...,"7,043,866",...,"4,597,464",...
2002M09,"17,406,748",...,"23,945",...,"2,620",...,"21,325",...,"155,377",...,"81,583",...,"73,794",...,"4,824,728",...,"4,718,797",...,"105,931",...,"105,931",...,"671,511",...,"661,744",...,"9,767",...,"51,320",...,"11,679,867",...,"7,076,307",...,"4,603,560",...
2002M10,"17,435,691",...,"23,947",...,"2,617",...,"21,330",...,"155,156",...,"81,636",...,"73,520",...,"4,824,966",...,"4,719,346",...,"105,620",...,"105,620",...,"672,753",...,"662,946",...,"9,807",...,"51,154",...,"11,707,715",...,"7,102,739",...,"4,604,976",...
2002M11,"17,465,820",...,"23,913",...,"2,616",...,"21,297",...,"155,259",...,"81,825",...,"73,434",...,"4,832,904",...,"4,727,414",...,"105,490",...,"105,490",...,"675,023",...,"665,218",...,"9,805",...,"51,228",...,"11,727,493",...,"7,121,638",...,"4,605,855",...
2002M12,"17,465,037",...,"24,053",...,"2,580",...,"21,473",...,"155,140",...,"81,813",...,"73,327",...,"4,825,581",...,"4,720,641",...,"104,940",...,"104,940",...,"675,533",...,"665,718",...,"9,815",...,"51,528",...,"11,733,202",...,"7,131,438",...,"4,601,764",...
2003M01,"17,508,750",2.55,"24,083",0.30,"2,496",-8.54,"21,587",1.43,"155,110",-0.35,"81,849",0.94,"73,261",-1.75,"4,849,838",2.26,"4,744,718",2.36,"105,120",-1.87,"105,120",-1.87,"677,857",3.52,"667,762",3.44,"10,095",9.06,"51,400",1.29,"11,750,462",2.66,"7,148,402",4.09,"4,602,060",0.51
2003M02,"17,544,368",2.47,"24,223",0.61,"2,494",-8.04,"21,729",1.71,"155,226",-0.16,"81,967",1.18,"73,259",-1.62,"4,860,495",2.19,"4,755,512",2.29,"104,983",-1.99,"104,983",-1.99,"679,034",3.38,"668,937",3.31,"10,097",8.24,"51,265",1.21,"11,774,125",2.58,"7,168,949",3.98,"4,605,176",0.46
