期間,總計_原始值,總計_年增率(%),空氣污染(不含異味污染物)_原始值,空氣污染(不含異味污染物)_年增率(%),異味污染物_原始值,異味污染物_年增率(%),噪音_原始值,噪音_年增率(%),水污染_原始值,水污染_年增率(%),環境衛生_原始值,環境衛生_年增率(%),廢棄物_原始值,廢棄物_年增率(%),振動_原始值,振動_年增率(%),其他_原始值,其他_年增率(%)
2001,"90,032",...,"8,627",...,"20,637",...,"22,776",...,"7,048",...,"17,347",...,"13,115",...,140,...,342,...
2002,"110,866",23.14,"10,298",19.37,"23,999",16.29,"27,358",20.12,"8,058",14.33,"25,259",45.61,"15,216",16.02,42,-70.00,636,85.96
2003,"112,725",1.68,"11,749",14.09,"22,359",-6.83,"32,092",17.30,"6,594",-18.17,"24,137",-4.44,"15,069",-0.97,42,0.00,683,7.39
2004,"116,204",3.09,"10,335",-12.04,"23,836",6.61,"33,461",4.27,"6,458",-2.06,"21,613",-10.46,"19,604",30.09,46,9.52,851,24.60
2005,"129,843",11.74,"9,744",-5.72,"27,826",16.74,"39,697",18.64,"7,332",13.53,"24,840",14.93,"19,213",-1.99,83,80.43,"1,108",30.20
2006,"131,674",1.41,"9,080",-6.81,"30,878",10.97,"39,636",-0.15,"7,621",3.94,"25,332",1.98,"18,025",-6.18,82,-1.20,"1,020",-7.94
2007,"148,554",12.82,"9,963",9.72,"39,178",26.88,"44,879",13.23,"7,860",3.14,"26,882",6.12,"18,473",2.49,73,-10.98,"1,246",22.16
2008,"164,520",10.75,"15,530",55.88,"39,708",1.35,"52,586",17.17,"7,854",-0.08,"28,154",4.73,"19,460",5.34,65,-10.96,"1,163",-6.66
2009,"189,795",15.36,"19,101",22.99,"45,203",13.84,"60,768",15.56,"7,880",0.33,"35,625",26.54,"20,136",3.47,48,-26.15,"1,034",-11.09
2010,"199,069",4.89,"15,015",-21.39,"54,480",20.52,"64,476",6.10,"7,588",-3.71,"44,719",25.53,"11,532",-42.73,55,14.58,"1,204",16.44
2011,"207,463",4.22,"14,325",-4.60,"54,245",-0.43,"69,458",7.73,"6,663",-12.19,"50,395",12.69,"10,949",-5.06,76,38.18,"1,352",12.29
2012,"227,931",9.87,"16,880",17.84,"58,547",7.93,"78,987",13.72,"6,379",-4.26,"54,694",8.53,"11,327",3.45,121,59.21,996,-26.33
2013,"249,784",9.59,"14,134",-16.27,"68,345",16.74,"86,800",9.89,"8,089",26.81,"60,962",11.46,"10,071",-11.09,184,52.07,"1,199",20.38
