期間,發生次數(次)_原始值,發生次數(次)_年增率(%),發生次數(次)_原始值,發生次數(次)_年增率(%),發生次數(次)_原始值,發生次數(次)_年增率(%),發生次數(次)_原始值,發生次數(次)_年增率(%),發生次數(次)_原始值,發生次數(次)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%)
1982,4,-50.00,...,...,...,...,...,...,...,...,383,-75.05,...,...,...,...,...,...,...,...,967,46.52,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,35,-55.70,...,...,...,...,...,...,...,...,13,-23.53,...,...,...,...,...,...,...,...,36,0.00,...,...,...,...,...,...,...,...
1983,1,-75.00,...,...,...,...,...,...,...,...,0,-100.00,...,...,...,...,...,...,...,...,0,-100.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,19,-45.71,...,...,...,...,...,...,...,...,5,-61.54,...,...,...,...,...,...,...,...,8,-77.78,...,...,...,...,...,...,...,...
1984,5,400.00,...,...,...,...,...,...,...,...,46,--,...,...,...,...,...,...,...,...,62,--,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,36,89.47,...,...,...,...,...,...,...,...,10,100.00,...,...,...,...,...,...,...,...,8,0.00,...,...,...,...,...,...,...,...
1985,7,40.00,...,...,...,...,...,...,...,...,18,-60.87,...,...,...,...,...,...,...,...,23,-62.90,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,11,-69.44,...,...,...,...,...,...,...,...,18,80.00,...,...,...,...,...,...,...,...,42,425.00,...,...,...,...,...,...,...,...
1986,7,0.00,...,...,...,...,...,...,...,...,"6,760","37,455.56",...,...,...,...,...,...,...,...,"31,877","138,495.65",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,125,"1,036.36",...,...,...,...,...,...,...,...,22,22.22,...,...,...,...,...,...,...,...,540,"1,185.71",...,...,...,...,...,...,...,...
1987,4,-42.86,...,...,...,...,...,...,...,...,526,-92.22,...,...,...,...,...,...,...,...,"1,356",-95.75,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,65,-48.00,...,...,...,...,...,...,...,...,14,-36.36,...,...,...,...,...,...,...,...,47,-91.30,...,...,...,...,...,...,...,...
1988,7,75.00,...,...,...,...,...,...,...,...,62,-88.21,...,...,...,...,...,...,...,...,95,-92.99,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,26,-60.00,...,...,...,...,...,...,...,...,7,-50.00,...,...,...,...,...,...,...,...,7,-85.11,...,...,...,...,...,...,...,...
1989,2,-71.43,...,...,...,...,...,...,...,...,495,698.39,...,...,...,...,...,...,...,...,809,751.58,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,49,88.46,...,...,...,...,...,...,...,...,20,185.71,...,...,...,...,...,...,...,...,50,614.29,...,...,...,...,...,...,...,...
1990,9,350.00,...,...,...,...,...,...,...,...,186,-62.42,...,...,...,...,...,...,...,...,333,-58.84,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,75,53.06,...,...,...,...,...,...,...,...,18,-10.00,...,...,...,...,...,...,...,...,41,-18.00,...,...,...,...,...,...,...,...
1991,7,-22.22,...,...,...,...,...,...,...,...,52,-72.04,...,...,...,...,...,...,...,...,162,-51.35,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6,-92.00,...,...,...,...,...,...,...,...,8,-55.56,...,...,...,...,...,...,...,...,22,-46.34,...,...,...,...,...,...,...,...
