期間,利率有關契約_原始值,利率有關契約_年增率(%),利率有關契約_原始值,利率有關契約_年增率(%),匯率有關契約_原始值,匯率有關契約_年增率(%),匯率有關契約_原始值,匯率有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),信用有關契約_原始值,信用有關契約_年增率(%),信用有關契約_原始值,信用有關契約_年增率(%),其他有關契約_原始值,其他有關契約_年增率(%),其他有關契約_原始值,其他有關契約_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
1998M01,"8,776",...,"14,780",...,"928,720",...,0,...,0,...,0,...,600,...,0,...,...,...,...,...,...,...,...,...,"938,096",...,"14,780",...
1998M02,"12,318",...,"15,649",...,"1,117,446",...,0,...,0,...,0,...,426,...,0,...,...,...,...,...,...,...,...,...,"1,130,190",...,"15,649",...
1998M03,"4,518",...,"6,478",...,"1,004,001",...,0,...,0,...,0,...,417,...,0,...,...,...,...,...,...,...,...,...,"1,008,936",...,"6,478",...
1998M04,"13,535",...,"5,456",...,"952,749",...,0,...,0,...,0,...,0,...,0,...,...,...,...,...,...,...,...,...,"966,284",...,"5,456",...
1998M05,"17,979",...,306,...,"921,123",...,0,...,0,...,0,...,0,...,0,...,...,...,...,...,...,...,...,...,"939,102",...,306,...
1998M06,"19,456",...,"1,158",...,"964,653",...,0,...,0,...,0,...,580,...,0,...,...,...,...,...,...,...,...,...,"984,689",...,"1,158",...
1998M07,"21,310",...,"8,142",...,"829,880",...,0,...,0,...,0,...,0,...,0,...,...,...,...,...,...,...,...,...,"851,190",...,"8,142",...
1998M08,"16,286",...,"8,886",...,"887,209",...,78,...,0,...,0,...,0,...,0,...,...,...,...,...,...,...,...,...,"903,495",...,"8,964",...
1998M09,"55,927",...,"4,403",...,"1,051,113",...,0,...,0,...,0,...,0,...,0,...,...,...,...,...,...,...,...,...,"1,107,040",...,"4,403",...
1998M10,"21,060",...,"1,768",...,"1,012,671",...,0,...,0,...,0,...,0,...,0,...,...,...,...,...,...,...,...,...,"1,033,731",...,"1,768",...
1998M11,"4,956",...,0,...,"701,983",...,0,...,0,...,0,...,0,...,0,...,...,...,...,...,...,...,...,...,"706,939",...,0,...
1998M12,"9,366",...,0,...,"797,306",...,0,...,0,...,0,...,0,...,0,...,...,...,...,...,...,...,...,...,"806,672",...,0,...
1999M01,"9,860",12.35,0,-100.00,"779,298",-16.09,0,--,0,--,0,--,0,-100.00,0,--,...,...,...,...,...,...,...,...,"789,158",-15.88,0,-100.00
1999M02,"4,951",-59.81,274,-98.25,"734,701",-34.25,33,--,0,--,0,--,0,-100.00,0,--,...,...,...,...,...,...,...,...,"739,652",-34.56,307,-98.04
