期間,結婚-對數(對)_原始值,結婚-對數(對)_年增率(%),結婚-粗結婚率(0/00)_原始值,結婚-粗結婚率(0/00)_年增率(%),離婚-對數(對)_原始值,離婚-對數(對)_年增率(%),離婚-粗離婚率(0/00)_原始值,離婚-粗離婚率(0/00)_年增率(%),本國人與外國人結婚登記人數-計(人)_原始值,本國人與外國人結婚登記人數-計(人)_年增率(%),本國人與外國人結婚登記人數-男(人)_原始值,本國人與外國人結婚登記人數-男(人)_年增率(%),本國人與外國人結婚登記人數-女(人)_原始值,本國人與外國人結婚登記人數-女(人)_年增率(%),本國人與外國人離婚登記人數-計(人)_原始值,本國人與外國人離婚登記人數-計(人)_年增率(%),本國人與外國人離婚登記人數-男(人)_原始值,本國人與外國人離婚登記人數-男(人)_年增率(%),本國人與外國人離婚登記人數-女(人)_原始值,本國人與外國人離婚登記人數-女(人)_年增率(%)
2001M11,"16,171",-11.87,0.72,-,"4,899",10.84,0.22,-,"1,547",-12.70,"1,331",-15.71,216,11.92,204,28.30,161,36.44,43,4.88
2001M12,"19,734",7.13,0.88,-,"4,945",14.44,0.22,-,"1,573",-22.51,"1,371",-24.71,202,-3.35,230,37.72,177,42.74,53,23.26
2002M01,"17,678",-8.50,0.79,-,"4,710",31.38,0.21,-,"1,879",11.85,"1,671",10.08,208,28.40,202,27.85,171,43.70,31,-20.51
2002M02,"13,013",-4.48,0.58,-,"3,620",-18.94,0.16,-,"1,053",-26.62,869,-28.77,184,-14.42,165,-16.24,124,-18.95,41,-6.82
2002M03,"13,575",-12.08,0.61,-,"5,379",13.94,0.24,-,"1,516",-14.54,"1,305",-17.14,211,6.03,204,4.08,159,18.66,45,-27.42
2002M04,"13,716",-2.79,0.61,-,"5,380",18.45,0.24,-,"1,519",8.42,"1,292",7.31,227,15.23,227,14.07,173,17.69,54,3.85
2002M05,"13,996",-0.56,0.62,-,"5,358",10.32,0.24,-,"1,687",0.00,"1,455",-0.95,232,6.42,226,3.20,180,7.14,46,-9.80
2002M06,"13,722",16.66,0.61,-,"5,027",6.91,0.22,-,"1,762",8.23,"1,513",6.77,249,18.01,206,-5.50,170,8.97,36,-41.94
2002M07,"14,554",3.82,0.65,-,"5,872",18.27,0.26,-,"2,086",11.55,"1,825",10.07,261,23.11,257,17.35,199,15.70,58,23.40
2002M08,"10,315",-8.80,0.46,-,"5,435",-2.44,0.24,-,"1,772",1.14,"1,531",-0.52,241,13.15,233,-0.43,174,-4.92,59,15.69
2002M09,"8,823",38.66,0.39,-,"5,160",27.75,0.23,-,"1,714",31.85,"1,475",29.73,239,46.63,234,6.85,180,1.69,54,28.57
2002M10,"14,179",-2.80,0.63,-,"5,427",3.45,0.24,-,"1,725",-1.88,"1,496",-3.42,229,9.57,219,2.82,182,5.20,37,-7.50
2002M11,"15,858",-1.94,0.70,-,"4,687",-4.33,0.21,-,"1,552",0.32,"1,327",-0.30,225,4.17,224,9.80,181,12.42,43,0.00
2002M12,"23,226",17.70,1.03,-,"5,158",4.31,0.23,-,"1,842",17.10,"1,580",15.24,262,29.70,246,6.96,198,11.86,48,-9.43
2003M01,"19,285",9.09,0.86,-,"4,601",-2.31,0.20,-,"2,023",7.66,"1,798",7.60,225,8.17,226,11.88,180,5.26,46,48.39
2003M02,"11,791",-9.39,0.52,-,"4,539",25.39,0.20,-,"1,102",4.65,881,1.38,221,20.11,214,29.70,172,38.71,42,2.44
2003M03,"13,346",-1.69,0.59,-,"5,667",5.35,0.25,-,"1,609",6.13,"1,360",4.21,249,18.01,268,31.37,206,29.56,62,37.78
2003M04,"15,297",11.53,0.68,-,"5,407",0.50,0.24,-,"1,603",5.53,"1,404",8.67,199,-12.33,235,3.52,189,9.25,46,-14.81
2003M05,"14,285",2.06,0.63,-,"5,177",-3.38,0.23,-,"1,617",-4.15,"1,386",-4.74,231,-0.43,220,-2.65,168,-6.67,52,13.04
2003M06,"10,958",-20.14,0.49,-,"5,678",12.95,0.25,-,"1,547",-12.20,"1,319",-12.82,228,-8.43,232,12.62,176,3.53,56,55.56
2003M07,"11,773",-19.11,0.52,-,"6,375",8.57,0.28,-,"1,635",-21.62,"1,382",-24.27,253,-3.07,307,19.46,237,19.10,70,20.69
2003M08,"7,712",-25.24,0.34,-,"5,582",2.70,0.25,-,"1,051",-40.69,865,-43.50,186,-22.82,262,12.45,207,18.97,55,-6.78
2003M09,"13,179",49.37,0.58,-,"5,775",11.92,0.26,-,"1,583",-7.64,"1,327",-10.03,256,7.11,275,17.52,221,22.78,54,0.00
2003M10,"16,322",15.11,0.72,-,"5,655",4.20,0.25,-,"1,644",-4.70,"1,390",-7.09,254,10.92,276,26.03,209,14.84,67,81.08
2003M11,"15,617",-1.52,0.69,-,"4,880",4.12,0.22,-,"1,775",14.37,"1,561",17.63,214,-4.89,251,12.05,189,4.42,62,44.19
2003M12,"21,918",-5.63,0.97,-,"5,530",7.21,0.24,-,"2,454",33.22,"2,176",37.72,278,6.11,259,5.28,210,6.06,49,2.08
2004M01,"22,225",15.25,0.98,-,"4,100",-10.89,0.18,-,"1,812",-10.43,"1,572",-12.57,240,6.67,246,8.85,192,6.67,54,17.39
2004M02,"13,911",17.98,0.62,-,"5,298",16.72,0.23,-,"1,543",40.02,"1,326",50.51,217,-1.81,234,9.35,183,6.40,51,21.43
2004M03,"10,280",-22.97,0.45,-,"5,763",1.69,0.25,-,"1,574",-2.18,"1,295",-4.78,279,12.05,323,20.52,258,25.24,65,4.84
2004M04,"6,958",-54.51,0.31,-,"5,296",-2.05,0.23,-,"1,349",-15.85,"1,140",-18.80,209,5.03,270,14.89,209,10.58,61,32.61
2004M05,"9,985",-30.10,0.44,-,"5,278",1.95,0.23,-,"1,608",-0.56,"1,347",-2.81,261,12.99,290,31.82,227,35.12,63,21.15
2004M06,"8,975",-18.10,0.40,-,"5,338",-5.99,0.24,-,"1,817",17.45,"1,584",20.09,233,2.19,308,32.76,251,42.61,57,1.79
2004M07,"9,549",-18.89,0.42,-,"5,493",-13.84,0.24,-,"1,997",22.14,"1,736",25.62,261,3.16,279,-9.12,238,0.42,41,-41.43
2004M08,"7,511",-2.61,0.33,-,"5,437",-2.60,0.24,-,"1,871",78.02,"1,662",92.14,209,12.37,344,31.30,271,30.92,73,32.73
2004M09,"6,024",-54.29,0.27,-,"5,300",-8.23,0.23,-,"1,724",8.91,"1,516",14.24,208,-18.75,331,20.36,268,21.27,63,16.67
2004M10,"10,212",-37.43,0.45,-,"4,980",-11.94,0.22,-,"1,632",-0.73,"1,438",3.45,194,-23.62,317,14.86,253,21.05,64,-4.48
2004M11,"12,303",-21.22,0.54,-,"5,222",7.01,0.23,-,"1,603",-9.69,"1,382",-11.47,221,3.27,310,23.51,249,31.75,61,-1.61
2004M12,"13,520",-38.32,0.60,-,"5,291",-4.32,0.23,-,"1,808",-26.32,"1,569",-27.90,239,-14.03,289,11.58,233,10.95,56,14.29
2005M01,"14,923",-32.85,0.66,-,"4,363",6.41,0.19,-,"1,925",6.24,"1,727",9.86,198,-17.50,300,21.95,247,28.65,53,-1.85
2005M02,"10,377",-25.40,0.46,-,"3,573",-32.56,0.16,-,"1,060",-31.30,861,-35.07,199,-8.29,217,-7.26,176,-3.83,41,-19.61
2005M03,"13,920",35.41,0.61,-,"5,733",-0.52,0.25,-,"1,700",8.01,"1,421",9.73,279,0.00,365,13.00,308,19.38,57,-12.31
2005M04,"10,830",55.65,0.48,-,"5,027",-5.08,0.22,-,"1,018",-24.54,789,-30.79,229,9.57,306,13.33,256,22.49,50,-18.03
2005M05,"12,039",20.57,0.53,-,"5,529",4.76,0.24,-,"1,142",-28.98,892,-33.78,250,-4.21,360,24.14,293,29.07,67,6.35
2005M06,"10,223",13.91,0.45,-,"5,387",0.92,0.24,-,"1,112",-38.80,861,-45.64,251,7.73,358,16.23,292,16.33,66,15.79
2005M07,"10,817",13.28,0.48,-,"5,294",-3.62,0.23,-,"1,060",-46.92,843,-51.44,217,-16.86,341,22.22,284,19.33,57,39.02
2005M08,"7,276",-3.13,0.32,-,"6,063",11.51,0.27,-,"1,117",-40.30,881,-46.99,236,12.92,370,7.56,297,9.59,73,0.00
2005M09,"8,185",35.87,0.36,-,"5,523",4.21,0.24,-,951,-44.84,706,-53.43,245,17.79,334,0.91,274,2.24,60,-4.76
2005M10,"12,225",19.71,0.54,-,"5,329",7.01,0.23,-,916,-43.87,713,-50.42,203,4.64,312,-1.58,250,-1.19,62,-3.12
2005M11,"14,157",15.07,0.62,-,"5,531",5.92,0.24,-,874,-45.48,690,-50.07,184,-16.74,333,7.42,271,8.84,62,1.64
2005M12,"16,168",19.59,0.71,-,"5,219",-1.36,0.23,-,933,-48.40,737,-53.03,196,-17.99,314,8.65,247,6.01,67,19.64
2006M01,"16,442",10.18,0.72,-,"4,673",7.11,0.21,-,984,-48.88,748,-56.69,236,19.19,296,-1.33,249,0.81,47,-11.32
2006M02,"11,809",13.80,0.52,-,"4,861",36.05,0.21,-,727,-31.42,499,-42.04,228,14.57,310,42.86,255,44.89,55,34.15
2006M03,"12,407",-10.87,0.54,-,"5,959",3.94,0.26,-,905,-46.76,681,-52.08,224,-19.71,438,20.00,353,14.61,85,49.12
2006M04,"11,333",4.64,0.50,-,"4,978",-0.97,0.22,-,760,-25.34,551,-30.16,209,-8.73,343,12.09,292,14.06,51,2.00
2006M05,"11,930",-0.91,0.52,-,"5,608",1.43,0.25,-,846,-25.92,609,-31.73,237,-5.20,396,10.00,326,11.26,70,4.48
2006M06,"12,040",17.77,0.53,-,"5,848",8.56,0.26,-,782,-29.68,542,-37.05,240,-4.38,395,10.34,321,9.93,74,12.12
2006M07,"11,322",4.67,0.50,-,"5,284",-0.19,0.23,-,823,-22.36,596,-29.30,227,4.61,366,7.33,288,1.41,78,36.84
2006M08,"6,124",-15.83,0.27,-,"5,983",-1.32,0.26,-,724,-35.18,480,-45.52,244,3.39,410,10.81,317,6.73,93,27.40
2006M09,"4,986",-39.08,0.22,-,"5,130",-7.12,0.22,-,718,-24.50,528,-25.21,190,-22.45,391,17.07,317,15.69,74,23.33
2006M10,"11,477",-6.12,0.50,-,"5,239",-1.69,0.23,-,808,-11.79,571,-19.92,237,16.75,332,6.41,262,4.80,70,12.90
2006M11,"13,881",-1.95,0.61,-,"5,371",-2.89,0.23,-,698,-20.14,486,-29.57,212,15.22,360,8.11,283,4.43,77,24.19
2006M12,"18,918",17.01,0.83,-,"5,606",7.42,0.25,-,749,-19.72,525,-28.77,224,14.29,388,23.57,313,26.72,75,11.94
2007M01,"15,256",-7.21,0.67,-,"4,826",3.27,0.21,-,818,-16.87,599,-19.92,219,-7.20,355,19.93,281,12.85,74,57.45
2007M02,"10,986",-6.97,0.48,-,"3,316",-31.78,0.14,-,640,-11.97,468,-6.21,172,-24.56,261,-15.81,208,-18.43,53,-3.64
2007M03,"10,932",-11.89,0.48,-,"5,773",-3.12,0.25,-,887,-1.99,649,-4.70,238,6.25,468,6.85,379,7.37,89,4.71
2007M04,"11,288",-0.40,0.49,-,"4,763",-4.32,0.21,-,771,1.45,565,2.54,206,-1.44,367,7.00,317,8.56,50,-1.96
2007M05,"14,358",20.35,0.63,-,"5,488",-2.14,0.24,-,794,-6.15,565,-7.22,229,-3.38,427,7.83,342,4.91,85,21.43
2007M06,"11,219",-6.82,0.49,-,"4,792",-18.06,0.21,-,793,1.41,570,5.17,223,-7.08,372,-5.82,309,-3.74,63,-14.86
2007M07,"11,136",-1.64,0.49,-,"5,455",3.24,0.24,-,797,-3.16,551,-7.55,246,8.37,433,18.31,366,27.08,67,-14.10
2007M08,"7,391",20.69,0.32,-,"5,223",-12.70,0.23,-,742,2.49,505,5.21,237,-2.87,397,-3.17,331,4.42,66,-29.03
2007M09,"6,059",21.52,0.26,-,"4,278",-16.61,0.19,-,688,-4.18,509,-3.60,179,-5.79,342,-12.53,284,-10.41,58,-21.62
2007M10,"12,302",7.19,0.54,-,"5,275",0.69,0.23,-,758,-6.19,536,-6.13,222,-6.33,413,24.40,338,29.01,75,7.14
2007M11,"11,713",-15.62,0.51,-,"4,608",-14.21,0.20,-,754,8.02,562,15.64,192,-9.43,342,-5.00,278,-1.77,64,-16.88
2007M12,"12,401",-34.45,0.54,-,"4,721",-15.79,0.21,-,"1,112",48.46,885,68.57,227,1.34,310,-20.10,255,-18.53,55,-26.67
2008M01,"17,979",17.85,0.78,-,"4,398",-8.87,0.19,-,987,20.66,761,27.05,226,3.20,325,-8.45,264,-6.05,61,-17.57
2008M02,"12,249",11.50,0.53,-,"3,711",11.91,0.16,-,604,-5.62,371,-20.73,233,35.47,332,27.20,252,21.15,80,50.94
2008M03,"10,232",-6.40,0.45,-,"4,735",-17.98,0.21,-,732,-17.47,484,-25.42,248,4.20,401,-14.32,338,-10.82,63,-29.21
2008M04,"10,056",-10.91,0.44,-,"4,813",1.05,0.21,-,662,-14.14,444,-21.42,218,5.83,395,7.63,334,5.36,61,22.00
2008M05,"16,189",12.75,0.70,-,"4,972",-9.40,0.22,-,808,1.76,549,-2.83,259,13.10,436,2.11,365,6.73,71,-16.47
2008M06,"12,417",10.68,0.54,-,"4,709",-1.73,0.20,-,769,-3.03,501,-12.11,268,20.18,442,18.82,385,24.60,57,-9.52
2008M07,"9,270",-16.76,0.40,-,"4,958",-9.11,0.22,-,708,-11.17,482,-12.52,226,-8.13,443,2.31,370,1.09,73,8.96
2008M08,"3,999",-45.89,0.17,-,"4,916",-5.88,0.21,-,621,-16.31,436,-13.66,185,-21.94,464,16.88,391,18.13,73,10.61
2008M09,"9,899",63.38,0.43,-,"4,703",9.93,0.20,-,732,6.40,486,-4.52,246,37.43,401,17.25,346,21.83,55,-5.17
2008M10,"14,198",15.41,0.62,-,"5,074",-3.81,0.22,-,726,-4.22,480,-10.45,246,10.81,419,1.45,356,5.33,63,-16.00
2008M11,"16,330",39.42,0.71,-,"4,218",-8.46,0.18,-,675,-10.48,440,-21.71,235,22.40,380,11.11,315,13.31,65,1.56
2008M12,"22,048",77.79,0.96,-,"4,788",1.42,0.21,-,933,-16.10,628,-29.04,305,34.36,405,30.65,346,35.69,59,7.27
2009M01,"15,166",-15.65,0.66,-,"3,064",-30.33,0.13,-,645,-34.65,408,-46.39,237,4.87,282,-13.23,224,-15.15,58,-4.92
2009M02,"9,137",-25.41,0.40,-,"4,967",33.85,0.22,-,660,9.27,399,7.55,261,12.02,480,44.58,408,61.90,72,-10.00
2009M03,"11,634",13.70,0.50,-,"4,944",4.41,0.21,-,833,13.80,550,13.64,283,14.11,467,16.46,394,16.57,73,15.87
2009M04,"8,597",-14.51,0.37,-,"4,814",0.02,0.21,-,763,15.26,521,17.34,242,11.01,418,5.82,350,4.79,68,11.48
2009M05,"9,132",-43.59,0.40,-,"4,233",-14.86,0.18,-,710,-12.13,479,-12.75,231,-10.81,394,-9.63,335,-8.22,59,-16.90
2009M06,"8,255",-33.52,0.36,-,"5,445",15.63,0.24,-,836,8.71,560,11.78,276,2.99,527,19.23,463,20.26,64,12.28
2009M07,"6,771",-26.96,0.29,-,"5,322",7.34,0.23,-,735,3.81,505,4.77,230,1.77,483,9.03,410,10.81,73,0.00
2009M08,"6,614",65.39,0.29,-,"4,658",-5.25,0.20,-,692,11.43,472,8.26,220,18.92,433,-6.68,365,-6.65,68,-6.85
2009M09,"6,338",-35.97,0.27,-,"5,248",11.59,0.23,-,675,-7.79,450,-7.41,225,-8.54,506,26.18,421,21.68,85,54.55
2009M10,"11,321",-20.26,0.49,-,"4,805",-5.30,0.21,-,671,-7.58,421,-12.29,250,1.63,458,9.31,393,10.39,65,3.17
2009M11,"10,188",-37.61,0.44,-,"4,701",11.45,0.20,-,651,-3.56,415,-5.68,236,0.43,449,18.16,383,21.59,66,1.54
2009M12,"13,946",-36.75,0.60,-,"5,022",4.89,0.22,-,749,-19.72,458,-27.07,291,-4.59,466,15.06,393,13.58,73,23.73
2010M01,"14,345",-5.41,0.62,-,"4,320",40.99,0.19,-,583,-9.61,374,-8.33,209,-11.81,391,38.65,330,47.32,61,5.17
2010M02,"9,034",-1.13,0.39,-,"3,521",-29.11,0.15,-,528,-20.00,291,-27.07,237,-9.20,323,-32.71,274,-32.84,49,-31.94
2010M03,"11,425",-1.80,0.49,-,"5,565",12.56,0.24,-,761,-8.64,484,-12.00,277,-2.12,538,15.20,476,20.81,62,-15.07
2010M04,"12,217",42.11,0.53,-,"4,882",1.41,0.21,-,674,-11.66,453,-13.05,221,-8.68,449,7.42,389,11.14,60,-11.76
2010M05,"12,501",36.89,0.54,-,"4,992",17.93,0.22,-,665,-6.34,404,-15.66,261,12.99,453,14.97,386,15.22,67,13.56
2010M06,"9,224",11.74,0.40,-,"4,892",-10.16,0.21,-,612,-26.79,368,-34.29,244,-11.59,463,-12.14,386,-16.63,77,20.31
2010M07,"9,177",35.53,0.40,-,"5,163",-2.99,0.22,-,662,-9.93,409,-19.01,253,10.00,494,2.28,393,-4.15,101,38.36
2010M08,"5,447",-17.64,0.24,-,"5,339",14.62,0.23,-,592,-14.45,379,-19.70,213,-3.18,521,20.32,439,20.27,82,20.59
2010M09,"15,843",149.97,0.68,-,"4,905",-6.54,0.21,-,737,9.19,464,3.11,273,21.33,457,-9.68,396,-5.94,61,-28.24
2010M10,"12,807",13.13,0.55,-,"4,853",1.00,0.21,-,701,4.47,450,6.89,251,0.40,516,12.66,438,11.45,78,20.00
2010M11,"10,320",1.30,0.45,-,"4,796",2.02,0.21,-,806,23.81,549,32.29,257,8.90,477,6.24,395,3.13,82,24.24
2010M12,"16,479",18.16,0.71,-,"4,887",-2.69,0.21,-,848,13.22,559,22.05,289,-0.69,457,-1.93,391,-0.51,66,-9.59
2011M01,"18,015",25.58,0.78,-,"4,131",-4.38,0.18,-,774,32.76,512,36.90,262,25.36,400,2.30,338,2.42,62,1.64
2011M02,"8,934",-1.11,0.39,-,"3,659",3.92,0.16,-,436,-17.42,218,-25.09,218,-8.02,368,13.93,317,15.69,51,4.08
2011M03,"11,977",4.83,0.52,-,"5,378",-3.36,0.23,-,742,-2.50,478,-1.24,264,-4.69,501,-6.88,439,-7.77,62,0.00
2011M04,"9,780",-19.95,0.42,-,"4,572",-6.35,0.20,-,538,-20.18,307,-32.23,231,4.52,439,-2.23,376,-3.34,63,5.00
2011M05,"14,697",17.57,0.63,-,"5,019",0.54,0.22,-,707,6.32,421,4.21,286,9.58,518,14.35,439,13.73,79,17.91
2011M06,"13,387",45.13,0.58,-,"4,900",0.16,0.21,-,638,4.25,389,5.71,249,2.05,459,-0.86,391,1.30,68,-11.69
2011M07,"11,022",20.10,0.48,-,"5,047",-2.25,0.22,-,646,-2.42,409,0.00,237,-6.32,450,-8.91,390,-0.76,60,-40.59
2011M08,"5,179",-4.92,0.22,-,"5,227",-2.10,0.23,-,660,11.49,390,2.90,270,26.76,484,-7.10,409,-6.83,75,-8.54
2011M09,"13,075",-17.47,0.56,-,"5,069",3.34,0.22,-,690,-6.38,436,-6.03,254,-6.96,495,8.32,432,9.09,63,3.28
2011M10,"22,064",72.28,0.95,-,"4,711",-2.93,0.20,-,761,8.56,475,5.56,286,13.94,429,-16.86,363,-17.12,66,-15.38
2011M11,"18,286",77.19,0.79,-,"4,757",-0.81,0.20,-,714,-11.41,468,-14.75,246,-4.28,460,-3.56,390,-1.27,70,-14.63
2011M12,"18,911",14.76,0.81,-,"4,538",-7.14,0.20,-,747,-11.91,455,-18.60,292,1.04,411,-10.07,356,-8.95,55,-16.67
2012M01,"14,442",-19.83,0.62,-,"3,633",-12.06,0.16,-,613,-20.80,368,-28.12,245,-6.49,356,-11.00,292,-13.61,64,3.23
2012M02,"9,855",10.31,0.42,-,"4,425",20.93,0.19,-,584,33.94,327,50.00,257,17.89,441,19.84,380,19.87,61,19.61
2012M03,"15,151",26.50,0.65,-,"4,989",-7.23,0.21,-,786,5.93,491,2.72,295,11.74,469,-6.39,383,-12.76,86,38.71
2012M04,"10,110",3.37,0.43,-,"4,795",4.88,0.21,-,622,15.61,373,21.50,249,7.79,437,-0.46,368,-2.13,69,9.52
2012M05,"10,630",-27.67,0.46,-,"5,110",1.81,0.22,-,683,-3.39,401,-4.75,282,-1.40,519,0.19,435,-0.91,84,6.33
2012M06,"10,543",-21.24,0.45,-,"4,661",-4.88,0.20,-,688,7.84,407,4.63,281,12.85,435,-5.23,359,-8.18,76,11.76
2012M07,"12,306",11.65,0.53,-,"5,189",2.81,0.22,-,682,5.57,393,-3.91,289,21.94,470,4.44,386,-1.03,84,40.00
2012M08,"8,045",55.34,0.35,-,"4,993",-4.48,0.21,-,591,-10.45,352,-9.74,239,-11.48,437,-9.71,354,-13.45,83,10.67
2012M09,"7,924",-39.40,0.34,-,"4,530",-10.63,0.19,-,638,-7.54,376,-13.76,262,3.15,409,-17.37,336,-22.22,73,15.87
2012M10,"13,797",-37.47,0.59,-,"5,102",8.30,0.22,-,702,-7.75,407,-14.32,295,3.15,468,9.09,408,12.40,60,-9.09
2012M11,"15,280",-16.44,0.66,-,"4,499",-5.42,0.19,-,636,-10.92,377,-19.44,259,5.28,397,-13.70,333,-14.62,64,-8.57
2012M12,"15,301",-19.09,0.66,-,"4,054",-10.67,0.17,-,662,-11.38,394,-13.41,268,-8.22,362,-11.92,308,-13.48,54,-1.82
2013M01,"17,258",19.50,0.74,-,"4,266",17.42,0.18,-,679,10.77,438,19.02,241,-1.63,347,-2.53,308,5.48,39,-39.06
2013M02,"7,774",-21.12,0.33,-,"3,282",-25.83,0.14,-,487,-16.61,258,-21.10,229,-10.89,286,-35.15,245,-35.53,41,-32.79
2013M03,"13,562",-10.49,0.58,-,"4,587",-8.06,0.20,-,673,-14.38,410,-16.50,263,-10.85,447,-4.69,372,-2.87,75,-12.79
2013M04,"10,335",2.23,0.44,-,"4,326",-9.78,0.19,-,627,0.80,373,0.00,254,2.01,392,-10.30,333,-9.51,59,-14.49
2013M05,"16,023",50.73,0.69,-,"4,801",-6.05,0.21,-,760,11.27,467,16.46,293,3.90,461,-11.18,393,-9.66,68,-19.05
2013M06,"8,776",-16.76,0.38,-,"4,470",-4.10,0.19,-,621,-9.74,370,-9.09,251,-10.68,438,0.69,365,1.67,73,-3.95
2013M07,"11,263",-8.48,0.48,-,"5,024",-3.18,0.22,-,649,-4.84,402,2.29,247,-14.53,461,-1.91,384,-0.52,77,-8.33
2013M08,"5,815",-27.72,0.25,-,"4,641",-7.05,0.20,-,606,2.54,359,1.99,247,3.35,416,-4.81,347,-1.98,69,-16.87
2013M09,"12,758",61.00,0.55,-,"4,510",-0.44,0.19,-,685,7.37,439,16.76,246,-6.11,402,-1.71,333,-0.89,69,-5.48
2013M10,"13,222",-4.17,0.57,-,"4,933",-3.31,0.21,-,711,1.28,430,5.65,281,-4.75,459,-1.92,386,-5.39,73,21.67
2013M11,"15,378",0.64,0.66,-,"4,373",-2.80,0.19,-,694,9.12,419,11.14,275,6.18,359,-9.57,297,-10.81,62,-3.12
2013M12,"15,472",1.12,0.66,-,"4,391",8.31,0.19,-,758,14.50,469,19.04,289,7.84,346,-4.42,283,-8.12,63,16.67
2014M01,"16,455",-4.65,0.70,-,"3,779",-11.42,0.16,-,700,3.09,426,-2.74,274,13.69,325,-6.34,261,-15.26,64,64.10
2014M02,"9,616",23.69,0.41,-,"3,851",17.34,0.16,-,568,16.63,295,14.34,273,19.21,314,9.79,263,7.35,51,24.39
2014M03,"13,000",-4.14,0.56,-,"4,605",0.39,0.20,-,818,21.55,526,28.29,292,11.03,401,-10.29,340,-8.60,61,-18.67
2014M04,"9,707",-6.08,0.42,-,"4,608",6.52,0.20,-,716,14.19,430,15.28,286,12.60,392,0.00,332,-0.30,60,1.69
2014M05,"18,308",14.26,0.78,-,"4,641",-3.33,0.20,-,735,-3.29,464,-0.64,271,-7.51,417,-9.54,345,-12.21,72,5.88
