期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),磚構造_原始值,磚構造_年增率(%),磚構造_原始值,磚構造_年增率(%),木構造_原始值,木構造_年增率(%),木構造_原始值,木構造_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2000M01,"3,529,703",...,"21,698,693",...,"383,485",...,"2,031,343",...,"2,848,442",...,"18,414,432",...,"161,227",...,"596,583",...,"40,144",...,"174,914",...,330,...,916,...,"96,075",...,"480,505",...
2000M02,"2,119,087",...,"13,680,286",...,"456,610",...,"2,383,607",...,"1,502,635",...,"10,516,937",...,"99,344",...,"482,076",...,"26,506",...,"118,837",...,0,...,0,...,"33,992",...,"178,829",...
2000M03,"2,651,396",...,"16,366,258",...,"281,458",...,"1,473,377",...,"2,267,324",...,"14,426,550",...,"41,437",...,"218,204",...,"34,563",...,"139,035",...,533,...,"1,687",...,"26,081",...,"107,405",...
2000M04,"3,186,823",...,"17,547,111",...,"235,437",...,"1,461,070",...,"2,798,896",...,"15,354,837",...,"91,137",...,"486,811",...,"38,882",...,"146,271",...,749,...,"3,150",...,"21,722",...,"94,972",...
2000M05,"2,609,038",...,"16,004,564",...,"392,260",...,"2,484,517",...,"1,988,473",...,"12,555,418",...,"105,232",...,"497,422",...,"54,788",...,"191,821",...,"4,697",...,"4,470",...,"63,588",...,"270,916",...
2000M06,"3,232,910",...,"20,664,594",...,"320,128",...,"2,135,190",...,"2,666,709",...,"17,554,281",...,"114,602",...,"553,538",...,"61,593",...,"201,367",...,"25,316",...,"70,886",...,"44,562",...,"149,332",...
2000M07,"3,048,735",...,"19,483,149",...,"285,685",...,"1,847,104",...,"2,442,035",...,"16,219,210",...,"135,138",...,"710,921",...,"57,598",...,"202,039",...,"1,764",...,"4,940",...,"126,515",...,"498,935",...
2000M08,"3,655,676",...,"23,605,519",...,"530,499",...,"3,867,717",...,"2,844,940",...,"18,076,578",...,"108,539",...,"430,270",...,"38,815",...,"325,259",...,"5,688",...,"16,549",...,"127,195",...,"889,146",...
2000M09,"2,412,263",...,"14,299,001",...,"378,525",...,"2,245,766",...,"1,716,278",...,"10,854,757",...,"117,372",...,"518,550",...,"96,688",...,"312,014",...,"10,726",...,"20,462",...,"92,674",...,"347,452",...
2000M10,"2,642,172",...,"17,993,912",...,"440,348",...,"3,245,552",...,"1,957,424",...,"13,687,180",...,"125,482",...,"610,680",...,"42,317",...,"146,077",...,"16,098",...,"37,247",...,"60,503",...,"267,176",...
2000M11,"3,450,311",...,"23,075,966",...,"303,722",...,"2,402,425",...,"2,816,142",...,"19,101,506",...,"141,098",...,"622,107",...,"36,935",...,"132,224",...,"13,697",...,"33,889",...,"138,717",...,"783,815",...
2000M12,"2,485,619",...,"15,410,208",...,"379,770",...,"2,367,489",...,"1,892,736",...,"12,176,827",...,"116,957",...,"493,443",...,"37,635",...,"145,246",...,"6,149",...,"21,708",...,"52,372",...,"205,495",...
2001M01,"2,537,628",-28.11,"14,877,773",-31.43,"189,562",-50.57,"1,107,275",-45.49,"1,966,414",-30.97,"12,396,548",-32.68,"147,458",-8.54,"564,176",-5.43,"114,168",184.40,"362,645",107.33,"13,039","3,851.21","36,913","3,929.80","106,987",11.36,"410,216",-14.63
2001M02,"2,382,817",12.45,"15,959,588",16.66,"273,454",-40.11,"2,200,166",-7.70,"1,835,610",22.16,"12,660,486",20.38,"137,708",38.62,"623,099",29.25,"61,609",132.43,"124,665",4.90,"6,378",--,"17,662",--,"68,058",100.22,"333,510",86.50
2001M03,"2,919,415",10.11,"19,320,458",18.05,"553,093",96.51,"4,850,349",229.20,"2,055,244",-9.35,"13,052,041",-9.53,"199,614",381.73,"907,153",315.74,"40,885",18.29,"140,268",0.89,"6,151","1,054.03","15,983",847.42,"64,428",147.03,"354,664",230.21
2001M04,"2,370,825",-25.61,"14,721,995",-16.10,"433,716",84.22,"3,075,970",110.53,"1,685,614",-39.78,"10,704,742",-30.28,"117,492",28.92,"491,230",0.91,"50,386",29.59,"160,941",10.03,"9,994","1,234.31","29,499",836.48,"73,623",238.93,"259,613",173.36
2001M05,"2,880,840",10.42,"17,849,796",11.53,"472,702",20.51,"3,078,238",23.90,"2,104,675",5.84,"13,243,969",5.48,"157,145",49.33,"859,615",72.81,"48,059",-12.28,"184,515",-3.81,"21,157",350.44,"56,534","1,164.74","77,102",21.25,"426,925",57.59
