期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),國內航線_原始值,國內航線_年增率(%),國內航線_原始值,國內航線_年增率(%),國內航線_原始值,國內航線_年增率(%),國內航線_原始值,國內航線_年增率(%),國內航線_原始值,國內航線_年增率(%),國際航線_原始值,國際航線_年增率(%),國際航線_原始值,國際航線_年增率(%),國際航線_原始值,國際航線_年增率(%),國際航線_原始值,國際航線_年增率(%),國際航線_原始值,國際航線_年增率(%)
2002M01,"22,477",...,"1,927,881",...,"4,196,352",...,"99,127",...,"621,548",...,"16,352",...,"849,396",...,"258,323",...,"5,101",...,712,...,"6,125",...,"1,078,485",...,"3,938,028",...,"94,026",...,"620,835",...
2002M02,"21,727",...,"2,059,016",...,"4,087,352",...,"88,708",...,"551,849",...,"15,603",...,"926,161",...,"283,996",...,"5,746",...,621,...,"6,124",...,"1,132,855",...,"3,803,357",...,"82,962",...,"551,229",...
2002M03,"22,596",...,"2,135,477",...,"4,334,129",...,"117,882",...,"772,828",...,"16,256",...,"935,628",...,"287,024",...,"4,594",...,669,...,"6,340",...,"1,199,849",...,"4,047,105",...,"113,288",...,"772,159",...
2002M04,"23,292",...,"2,205,807",...,"4,299,989",...,"110,782",...,"711,011",...,"16,420",...,"981,967",...,"305,004",...,"5,148",...,738,...,"6,872",...,"1,223,840",...,"3,994,985",...,"105,634",...,"710,273",...
2002M05,"23,994",...,"2,195,014",...,"4,513,253",...,"112,892",...,"725,142",...,"16,843",...,"974,171",...,"303,135",...,"5,163",...,887,...,"7,151",...,"1,220,843",...,"4,210,118",...,"107,729",...,"724,255",...
2002M06,"22,743",...,"1,970,926",...,"4,227,878",...,"110,623",...,"722,868",...,"16,059",...,"874,224",...,"273,869",...,"4,455",...,713,...,"6,684",...,"1,096,702",...,"3,954,008",...,"106,168",...,"722,155",...
2002M07,"23,733",...,"2,191,907",...,"4,671,781",...,"110,045",...,"721,286",...,"16,103",...,"928,082",...,"289,505",...,"4,691",...,722,...,"7,630",...,"1,263,825",...,"4,382,276",...,"105,354",...,"720,564",...
2002M08,"24,458",...,"2,241,405",...,"4,849,251",...,"112,392",...,"727,449",...,"16,640",...,"931,109",...,"289,358",...,"4,699",...,746,...,"7,818",...,"1,310,296",...,"4,559,893",...,"107,693",...,"726,703",...
2002M09,"21,827",...,"1,907,545",...,"3,938,909",...,"114,860",...,"756,941",...,"14,957",...,"812,102",...,"252,636",...,"4,365",...,727,...,"6,870",...,"1,095,443",...,"3,686,273",...,"110,495",...,"756,214",...
2002M10,"23,243",...,"1,981,696",...,"3,917,640",...,"130,656",...,"885,081",...,"16,089",...,"861,896",...,"270,182",...,"4,244",...,741,...,"7,154",...,"1,119,800",...,"3,647,458",...,"126,412",...,"884,339",...
2002M11,"22,145",...,"1,894,345",...,"3,798,599",...,"126,401",...,"832,474",...,"15,252",...,"840,655",...,"262,685",...,"4,414",...,691,...,"6,893",...,"1,053,690",...,"3,535,914",...,"121,987",...,"831,783",...
2002M12,"22,462",...,"1,963,952",...,"4,222,496",...,"110,326",...,"714,191",...,"15,404",...,"832,891",...,"259,834",...,"4,484",...,722,...,"7,058",...,"1,131,061",...,"3,962,662",...,"105,842",...,"713,469",...
