期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),第一類_原始值,第一類_年增率(%),第一類_原始值,第一類_年增率(%),第一類_原始值,第一類_年增率(%),第二類_原始值,第二類_年增率(%),第二類_原始值,第二類_年增率(%),第二類_原始值,第二類_年增率(%),第三類_原始值,第三類_年增率(%),第三類_原始值,第三類_年增率(%),第三類_原始值,第三類_年增率(%),第四類_原始值,第四類_年增率(%),第四類_原始值,第四類_年增率(%),第四類_原始值,第四類_年增率(%),第五類_原始值,第五類_年增率(%),第五類_原始值,第五類_年增率(%),第五類_原始值,第五類_年增率(%),第六類_原始值,第六類_年增率(%),第六類_原始值,第六類_年增率(%),第六類_原始值,第六類_年增率(%)
1995,"19,123,278",...,"11,212,718",...,"7,910,560",...,"10,437,339",...,"5,840,080",...,"4,597,259",...,"4,029,716",...,"2,340,940",...,"1,688,776",...,"2,998,439",...,"1,988,087",...,"1,010,352",...,"69,059",...,"32,284",...,"36,775",...,"111,452",...,"111,357",...,95,...,"1,477,273",...,"899,970",...,"577,303",...
1996,"20,041,488",4.80,"11,464,047",2.24,"8,577,441",8.43,"10,678,558",2.31,"5,866,714",0.46,"4,811,844",4.67,"3,991,729",-0.94,"2,226,508",-4.89,"1,765,221",4.53,"3,152,680",5.14,"2,014,941",1.35,"1,137,739",12.61,"82,816",19.92,"39,272",21.65,"43,544",18.41,"110,162",-1.16,"110,137",-1.10,25,-73.68,"2,025,543",37.11,"1,206,475",34.06,"819,068",41.88
1997,"20,492,317",2.25,"11,674,073",1.83,"8,818,244",2.81,"10,914,783",2.21,"6,005,407",2.36,"4,909,376",2.03,"3,908,469",-2.09,"2,164,925",-2.77,"1,743,544",-1.23,"3,225,240",2.30,"2,025,568",0.53,"1,199,672",5.44,"78,802",-4.85,"37,067",-5.61,"41,735",-4.15,"108,564",-1.45,"108,564",-1.43,0,-100.00,"2,256,459",11.40,"1,332,542",10.45,"923,917",12.80
1998,"20,757,185",1.29,"11,830,991",1.34,"8,926,194",1.22,"11,043,998",1.18,"6,097,398",1.53,"4,946,600",0.76,"3,852,144",-1.44,"2,131,887",-1.53,"1,720,257",-1.34,"3,267,892",1.32,"2,031,607",0.30,"1,236,285",3.05,"78,379",-0.54,"36,913",-0.42,"41,466",-0.64,"117,480",8.21,"117,465",8.20,15,--,"2,397,292",6.24,"1,415,721",6.24,"981,571",6.24
1999,"21,089,859",1.60,"12,098,002",2.26,"8,991,857",0.74,"11,236,257",1.74,"6,249,591",2.50,"4,986,666",0.81,"3,799,093",-1.38,"2,111,835",-0.94,"1,687,258",-1.92,"3,297,840",0.92,"2,040,351",0.43,"1,257,489",1.72,"69,259",-11.64,"32,099",-13.04,"37,160",-10.38,"129,890",10.56,"129,890",10.58,0,-100.00,"2,557,520",6.68,"1,534,236",8.37,"1,023,284",4.25
2000,"21,400,826",1.47,"12,346,850",2.06,"9,053,976",0.69,"11,465,521",2.04,"6,428,738",2.87,"5,036,783",1.01,"3,750,883",-1.27,"2,100,596",-0.53,"1,650,287",-2.19,"3,304,109",0.19,"2,031,960",-0.41,"1,272,149",1.17,"68,579",-0.98,"31,966",-0.41,"36,613",-1.47,"146,335",12.66,"146,335",12.66,0,--,"2,665,399",4.22,"1,607,255",4.76,"1,058,144",3.41
2001,"21,653,555",1.18,"12,465,947",0.96,"9,187,608",1.48,"11,447,046",-0.16,"6,364,022",-1.01,"5,083,024",0.92,"3,772,174",0.57,"2,114,083",0.64,"1,658,091",0.47,"3,327,657",0.71,"2,036,959",0.25,"1,290,698",1.46,...,...,...,...,...,...,"152,882",4.47,"152,882",4.47,0,--,"2,953,796",10.82,"1,798,001",11.87,"1,155,795",9.23
2002,"21,869,478",1.00,"12,683,752",1.75,"9,185,726",-0.02,"11,458,910",0.10,"6,416,724",0.83,"5,042,186",-0.80,"3,768,633",-0.09,"2,124,831",0.51,"1,643,802",-0.86,"3,328,171",0.02,"2,029,687",-0.36,"1,298,484",0.60,...,...,...,...,...,...,"167,637",9.65,"167,637",9.65,0,--,"3,146,127",6.51,"1,944,873",8.17,"1,201,254",3.93
2003,"21,984,415",0.53,"12,878,979",1.54,"9,105,436",-0.87,"11,630,008",1.49,"6,619,818",3.17,"5,010,190",-0.63,"3,711,081",-1.53,"2,121,520",-0.16,"1,589,561",-3.30,"3,276,065",-1.57,"1,995,061",-1.71,"1,281,004",-1.35,...,...,...,...,...,...,"186,033",10.97,"186,033",10.97,0,--,"3,181,228",1.12,"1,956,547",0.60,"1,224,681",1.95
2004,"22,134,270",0.68,"13,163,135",2.21,"8,971,135",-1.47,"11,780,375",1.29,"6,825,271",3.10,"4,955,104",-1.10,"3,683,993",-0.73,"2,145,360",1.12,"1,538,633",-3.20,"3,209,126",-2.04,"1,962,165",-1.65,"1,246,961",-2.66,...,...,...,...,...,...,"204,218",9.78,"204,218",9.78,0,--,"3,256,558",2.37,"2,026,121",3.56,"1,230,437",0.47
2005,"22,314,647",0.81,"13,410,088",1.88,"8,904,559",-0.74,"11,798,491",0.15,"6,914,855",1.31,"4,883,636",-1.44,"3,742,726",1.59,"2,207,041",2.88,"1,535,685",-0.19,"3,141,774",-2.10,"1,931,369",-1.57,"1,210,405",-2.93,...,...,...,...,...,...,"211,614",3.62,"211,614",3.62,0,--,"3,420,042",5.02,"2,145,209",5.88,"1,274,833",3.61
2006,"22,484,427",0.76,"13,668,247",1.93,"8,816,180",-0.99,"11,919,580",1.03,"7,051,436",1.98,"4,868,144",-0.32,"3,748,498",0.15,"2,249,768",1.94,"1,498,730",-2.41,"3,087,747",-1.72,"1,908,459",-1.19,"1,179,288",-2.57,...,...,...,...,...,...,"218,559",3.28,"218,559",3.28,0,--,"3,510,043",2.63,"2,240,025",4.42,"1,270,018",-0.38
2007,"22,803,048",1.42,"14,076,979",2.99,"8,726,069",-1.02,"11,993,100",0.62,"7,157,200",1.50,"4,835,900",-0.66,"3,775,260",0.71,"2,306,512",2.52,"1,468,748",-2.00,"3,036,617",-1.66,"1,889,262",-1.01,"1,147,355",-2.71,"173,413",...,"173,413",...,0,...,"221,916",1.54,"221,916",1.54,0,--,"3,602,742",2.64,"2,328,676",3.96,"1,274,066",0.32
2008,"22,918,144",0.50,"14,238,210",1.15,"8,679,934",-0.53,"11,929,887",-0.53,"7,118,576",-0.54,"4,811,311",-0.51,"3,875,407",2.65,"2,400,616",4.08,"1,474,791",0.41,"2,993,633",-1.42,"1,869,956",-1.02,"1,123,677",-2.06,"161,766",-6.72,"161,766",-6.72,0,--,"225,609",1.66,"225,609",1.66,0,--,"3,731,842",3.58,"2,461,687",5.71,"1,270,155",-0.31
2009,"23,025,773",0.47,"14,487,278",1.75,"8,538,495",-1.63,"11,954,639",0.21,"7,202,837",1.18,"4,751,802",-1.24,"3,999,953",3.21,"2,525,967",5.22,"1,473,986",-0.05,"2,924,081",-2.32,"1,852,870",-0.91,"1,071,211",-4.67,"160,189",-0.97,"160,189",-0.97,0,--,"254,677",12.88,"254,677",12.88,0,--,"3,732,234",0.01,"2,490,738",1.18,"1,241,496",-2.26
