期間,合計_原始值,合計_年增率(%),製造業_原始值,製造業_年增率(%),食品製造業_原始值,食品製造業_年增率(%),飲料與菸草製造業_原始值,飲料與菸草製造業_年增率(%),紡織業_原始值,紡織業_年增率(%),成衣及服飾品製造業_原始值,成衣及服飾品製造業_年增率(%),皮革、毛皮及其製品製造業_原始值,皮革、毛皮及其製品製造業_年增率(%),木竹製品製造業_原始值,木竹製品製造業_年增率(%),紙漿、紙及紙製品製造業_原始值,紙漿、紙及紙製品製造業_年增率(%),印刷及資料儲存媒體複製業_原始值,印刷及資料儲存媒體複製業_年增率(%),石油及煤製品製造業_原始值,石油及煤製品製造業_年增率(%),化學材料製造業_原始值,化學材料製造業_年增率(%),化學製品製造業_原始值,化學製品製造業_年增率(%),藥品製造業_原始值,藥品製造業_年增率(%),橡膠製品製造業_原始值,橡膠製品製造業_年增率(%),塑膠製品製造業_原始值,塑膠製品製造業_年增率(%),非金屬礦物製品製造業_原始值,非金屬礦物製品製造業_年增率(%),基本金屬製造業_原始值,基本金屬製造業_年增率(%),金屬製品製造業_原始值,金屬製品製造業_年增率(%),電子零組件製造業_原始值,電子零組件製造業_年增率(%),電腦、電子產品及光學製品製造業_原始值,電腦、電子產品及光學製品製造業_年增率(%),電力設備製造業_原始值,電力設備製造業_年增率(%),機械設備製造業_原始值,機械設備製造業_年增率(%),汽車及其零件製造業_原始值,汽車及其零件製造業_年增率(%),其他運輸工具製造業_原始值,其他運輸工具製造業_年增率(%),家具製造業_原始值,家具製造業_年增率(%),其他製造業_原始值,其他製造業_年增率(%),產業用機械設備維修及安裝業_原始值,產業用機械設備維修及安裝業_年增率(%),非製造業_原始值,非製造業_年增率(%)
1997,"82,206",...,"81,795",...,"4,844",...,200,...,"4,083",...,"1,897",...,"1,468",...,"1,717",...,"1,619",...,"2,499",...,203,...,890,...,"1,599",...,459,...,"1,028",...,"7,633",...,"2,663",...,"1,363",...,"15,393",...,"2,903",...,"2,996",...,"3,915",...,"12,408",...,"2,188",...,"1,679",...,"1,653",...,"4,432",...,63,...,411,...
1998,"82,750",0.66,"82,370",0.70,"4,821",-0.47,205,2.50,"4,139",1.37,"1,794",-5.43,"1,404",-4.36,"1,644",-4.25,"1,608",-0.68,"2,573",2.96,210,3.45,898,0.90,"1,624",1.56,468,1.96,"1,024",-0.39,"7,632",-0.01,"2,584",-2.97,"1,339",-1.76,"15,793",2.60,"3,113",7.23,"3,014",0.60,"3,885",-0.77,"12,704",2.39,"2,243",2.51,"1,680",0.06,"1,599",-3.27,"4,306",-2.84,66,4.76,380,-7.54
1999,"82,937",0.23,"82,514",0.17,"4,796",-0.52,232,13.17,"4,195",1.35,"1,749",-2.51,"1,342",-4.42,"1,548",-5.84,"1,577",-1.93,"2,578",0.19,219,4.29,905,0.78,"1,668",2.71,463,-1.07,"1,054",2.93,"7,548",-1.10,"2,520",-2.48,"1,313",-1.94,"16,057",1.67,"3,246",4.27,"3,106",3.05,"3,824",-1.57,"12,886",1.43,"2,210",-1.47,"1,687",0.42,"1,538",-3.81,"4,186",-2.79,67,1.52,423,11.32
2000,"82,356",-0.70,"81,876",-0.77,"4,669",-2.65,229,-1.29,"4,105",-2.15,"1,629",-6.86,"1,231",-8.27,"1,482",-4.26,"1,552",-1.59,"2,662",3.26,220,0.46,895,-1.10,"1,710",2.52,466,0.65,"1,037",-1.61,"7,407",-1.87,"2,459",-2.42,"1,241",-5.48,"15,872",-1.15,"3,627",11.74,"3,210",3.35,"3,801",-0.60,"12,859",-0.21,"2,294",3.80,"1,587",-5.93,"1,438",-6.50,"4,066",-2.87,128,91.04,480,13.48
2001,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
2002,"74,128",...,"74,114",...,"4,265",...,244,...,"3,679",...,"1,325",...,968,...,"1,152",...,"1,348",...,"2,349",...,215,...,848,...,"1,714",...,441,...,951,...,"6,853",...,"2,285",...,"1,224",...,"14,571",...,"3,569",...,"2,985",...,"3,117",...,"12,070",...,"1,904",...,"1,429",...,"1,191",...,"3,314",...,103,...,14,...
2003,"76,642",3.39,"76,622",3.38,"4,448",4.29,340,39.34,"3,741",1.69,"1,333",0.60,987,1.96,"1,158",0.52,"1,339",-0.67,"2,483",5.70,214,-0.47,870,2.59,"1,816",5.95,436,-1.13,"1,001",5.26,"6,949",1.40,"2,283",-0.09,"1,283",4.82,"15,110",3.70,"3,745",4.93,"3,035",1.68,"3,139",0.71,"12,752",5.65,"2,033",6.78,"1,454",1.75,"1,209",1.51,"3,351",1.12,113,9.71,20,42.86
2004,"77,522",1.15,"77,487",1.13,"4,559",2.50,457,34.41,"3,692",-1.31,"1,277",-4.20,946,-4.15,"1,162",0.35,"1,311",-2.09,"2,519",1.45,227,6.07,890,2.30,"1,917",5.56,442,1.38,"1,009",0.80,"6,987",0.55,"2,266",-0.74,"1,273",-0.78,"15,150",0.26,"3,813",1.82,"3,110",2.47,"3,173",1.08,"12,910",1.24,"2,173",6.89,"1,530",5.23,"1,208",-0.08,"3,349",-0.06,137,21.24,35,75.00
2005,"77,851",0.42,"77,824",0.43,"4,619",1.32,479,4.81,"3,565",-3.44,"1,244",-2.58,909,-3.91,"1,135",-2.32,"1,298",-0.99,"2,501",-0.71,221,-2.64,891,0.11,"1,960",2.24,426,-3.62,"1,017",0.79,"6,967",-0.29,"2,232",-1.50,"1,297",1.89,"15,680",3.50,"3,754",-1.55,"3,149",1.25,"3,195",0.69,"12,761",-1.15,"2,322",6.86,"1,514",-1.05,"1,204",-0.33,"3,311",-1.13,173,26.28,27,-22.86
2006,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
