期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),金融、保險及不動產業_原始值,金融、保險及不動產業_年增率(%),金融、保險及不動產業_原始值,金融、保險及不動產業_年增率(%),金融、保險及不動產業_原始值,金融、保險及不動產業_年增率(%),工商服務業_原始值,工商服務業_年增率(%),工商服務業_原始值,工商服務業_年增率(%),工商服務業_原始值,工商服務業_年增率(%),社會服務及個人服務業_原始值,社會服務及個人服務業_年增率(%),社會服務及個人服務業_原始值,社會服務及個人服務業_年增率(%),社會服務及個人服務業_原始值,社會服務及個人服務業_年增率(%),公共行政業_原始值,公共行政業_年增率(%),公共行政業_原始值,公共行政業_年增率(%),公共行政業_原始值,公共行政業_年增率(%)
1978,"6,231",...,"4,183",...,"2,048",...,"1,553",...,"1,086",...,467,...,60,...,52,...,9,...,"1,916",...,"1,138",...,778,...,25,...,23,...,2,...,459,...,425,...,34,...,941,...,597,...,344,...,304,...,264,...,40,...,73,...,46,...,27,...,50,...,29,...,21,...,643,...,365,...,278,...,210,...,160,...,49,...
1979,"6,432",3.21,"4,306",2.93,"2,126",3.80,"1,380",-11.10,965,-11.13,415,-11.03,57,-5.53,48,-6.02,8,-2.54,"2,083",8.73,"1,239",8.85,844,8.56,26,4.08,24,3.28,3,11.74,510,11.22,471,10.86,39,15.76,"1,015",7.91,637,6.79,378,9.87,335,10.37,293,10.96,42,6.48,78,6.53,49,6.12,29,7.24,55,10.27,32,12.14,22,7.67,673,4.68,380,4.34,292,5.13,220,4.93,167,4.55,52,6.15
1980,"6,547",1.80,"4,357",1.19,"2,191",3.04,"1,277",-7.53,880,-8.88,397,-4.37,56,-1.60,47,-2.75,9,5.09,"2,152",3.32,"1,284",3.64,869,2.87,27,4.10,24,4.23,3,2.95,549,7.62,506,7.47,43,9.39,"1,058",4.19,663,4.14,394,4.27,332,-0.99,288,-1.77,44,4.41,87,12.25,53,8.95,34,17.76,65,18.60,38,18.57,26,18.64,711,5.62,398,4.68,312,6.85,235,6.72,175,4.57,60,13.59
1981,"6,672",1.90,"4,448",2.10,"2,224",1.51,"1,257",-1.54,889,1.10,368,-7.41,54,-3.52,46,-1.79,8,-12.80,"2,162",0.45,"1,281",-0.19,881,1.40,29,7.62,26,6.86,3,14.47,583,6.22,538,6.27,45,5.56,"1,106",4.62,692,4.25,415,5.25,342,3.06,295,2.53,47,6.55,95,8.62,56,5.81,39,12.97,72,10.36,42,9.62,29,11.42,734,3.31,409,2.59,326,4.23,238,1.54,174,-0.52,64,7.59
1982,"6,811",2.08,"4,509",1.37,"2,301",3.48,"1,284",2.18,917,3.09,367,-0.03,51,-5.92,43,-6.90,8,0.03,"2,168",0.29,"1,271",-0.80,897,1.87,31,6.45,27,4.15,4,25.73,563,-3.37,520,-3.32,43,-4.05,"1,168",5.60,724,4.74,444,7.05,352,2.90,302,2.32,50,6.51,103,8.82,59,4.52,44,15.05,77,6.95,45,7.37,31,6.35,761,3.59,417,2.00,344,5.57,253,6.01,185,6.00,68,6.05
1983,"7,070",3.80,"4,561",1.14,"2,509",9.02,"1,317",2.55,915,-0.20,402,9.39,46,-9.30,39,-8.60,7,-13.26,"2,282",5.25,"1,312",3.23,970,8.10,33,6.27,29,6.74,4,2.96,548,-2.71,504,-3.04,44,1.26,"1,231",5.32,735,1.40,496,11.71,362,2.86,311,3.13,51,1.18,108,4.94,59,0.91,49,10.24,79,3.69,47,2.94,33,4.76,796,4.67,421,1.13,375,8.97,268,5.92,188,2.06,79,16.40
1984,"7,308",3.37,"4,661",2.20,"2,647",5.50,"1,286",-2.36,887,-3.00,398,-0.90,41,-11.02,36,-9.36,5,-20.84,"2,497",9.42,"1,435",9.34,"1,062",9.53,34,1.83,30,1.80,4,2.06,517,-5.65,471,-6.55,46,4.71,"1,281",4.09,752,2.41,529,6.58,370,2.40,318,2.07,53,4.44,115,6.14,63,6.85,52,5.28,80,0.39,47,1.60,32,-1.33,820,3.00,432,2.61,388,3.43,268,0.00,190,0.86,78,-2.04
1985,"7,428",1.65,"4,719",1.24,"2,709",2.35,"1,297",0.84,895,0.91,401,0.69,35,-13.82,31,-13.56,4,-15.54,"2,501",0.18,"1,437",0.17,"1,064",0.19,34,0.31,30,0.11,4,1.70,517,0.00,471,-0.10,46,1.09,"1,327",3.58,774,2.89,553,4.57,385,3.78,329,3.45,56,5.79,121,5.28,66,4.89,55,5.76,80,0.12,47,-0.79,33,1.44,857,4.55,450,3.97,408,5.20,275,2.69,190,0.10,85,9.02
1986,"7,733",4.10,"4,821",2.15,"2,912",7.51,"1,317",1.58,901,0.67,416,3.62,33,-5.74,28,-9.44,5,20.07,"2,635",5.36,"1,479",2.93,"1,156",8.64,34,1.83,30,2.08,4,0.05,512,-1.02,467,-0.84,45,-2.87,"1,372",3.43,782,0.99,591,6.84,408,5.98,346,5.38,61,9.54,132,9.46,70,5.86,62,13.82,91,14.13,52,10.55,39,19.23,901,5.10,461,2.52,440,7.95,297,8.00,204,7.38,93,9.40
1987,"8,022",3.74,"4,966",3.00,"3,057",4.97,"1,226",-6.91,849,-5.85,377,-9.21,31,-7.05,26,-5.24,4,-16.62,"2,821",7.06,"1,579",6.72,"1,243",7.49,35,1.33,31,1.75,4,-1.72,544,6.19,490,5.02,53,18.33,"1,429",4.11,812,3.89,617,4.40,418,2.47,355,2.60,62,1.70,137,3.53,71,1.15,66,6.22,104,14.60,58,12.66,46,17.17,976,8.29,488,5.81,488,10.89,302,1.83,206,1.01,96,3.66
