期間,總指數_原始值,總指數_年增率(%),一.食物類_原始值,一.食物類_年增率(%),1.穀類及其製品_原始值,1.穀類及其製品_年增率(%),(1)米類及其製品_原始值,(1)米類及其製品_年增率(%),(2)其他穀類及其製品_原始值,(2)其他穀類及其製品_年增率(%),2.肉類_原始值,2.肉類_年增率(%),(1)生鮮家畜_原始值,(1)生鮮家畜_年增率(%),(2)生鮮家禽_原始值,(2)生鮮家禽_年增率(%),3.肉類製品_原始值,3.肉類製品_年增率(%),4.蛋類_原始值,4.蛋類_年增率(%),5.水產品_原始值,5.水產品_年增率(%),6.加工水產品_原始值,6.加工水產品_年增率(%),7.蔬菜_原始值,7.蔬菜_年增率(%),(1)根菜_原始值,(1)根菜_年增率(%),(2)莖菜_原始值,(2)莖菜_年增率(%),(3)葉菜_原始值,(3)葉菜_年增率(%),(4)果菜及其他_原始值,(4)果菜及其他_年增率(%),8.加工蔬菜_原始值,8.加工蔬菜_年增率(%),9.水果_原始值,9.水果_年增率(%),10.加工水果_原始值,10.加工水果_年增率(%),11.乳類_原始值,11.乳類_年增率(%),12.食用油_原始值,12.食用油_年增率(%),13.調味品_原始值,13.調味品_年增率(%),14.酒_原始值,14.酒_年增率(%),15.非酒精性飲料及材料_原始值,15.非酒精性飲料及材料_年增率(%),16.調理食品_原始值,16.調理食品_年增率(%),17.外食費_原始值,17.外食費_年增率(%),18.其他食品_原始值,18.其他食品_年增率(%),二.衣著類_原始值,二.衣著類_年增率(%),1.成衣_原始值,1.成衣_年增率(%),(1)男人衣著_原始值,(1)男人衣著_年增率(%),(2)女人衣著_原始值,(2)女人衣著_年增率(%),(3)兒童衣著及學生制服_原始值,(3)兒童衣著及學生制服_年增率(%),2.鞋類_原始值,2.鞋類_年增率(%),3.衣著服務及配件_原始值,3.衣著服務及配件_年增率(%),三.居住類_原始值,三.居住類_年增率(%),1.房租_原始值,1.房租_年增率(%),2.住宅維修費_原始值,2.住宅維修費_年增率(%),(1)維修材料_原始值,(1)維修材料_年增率(%),(2)維修服務_原始值,(2)維修服務_年增率(%),3.家庭用品_原始值,3.家庭用品_年增率(%),(1)紡織品_原始值,(1)紡織品_年增率(%),(2)家具_原始值,(2)家具_年增率(%),(3)家庭耐久設備_原始值,(3)家庭耐久設備_年增率(%),(4)餐具及其他家用品_原始值,(4)餐具及其他家用品_年增率(%),4.家庭管理費用_原始值,4.家庭管理費用_年增率(%),5.水電燃氣_原始值,5.水電燃氣_年增率(%),(1)燃氣_原始值,(1)燃氣_年增率(%),(2)水費_原始值,(2)水費_年增率(%),(3)電費_原始值,(3)電費_年增率(%),(4)公共附加費_原始值,(4)公共附加費_年增率(%),四.交通及通訊類_原始值,四.交通及通訊類_年增率(%),1.交通設備_原始值,1.交通設備_年增率(%),(1)交通工具_原始值,(1)交通工具_年增率(%),(2)通訊設備_原始值,(2)通訊設備_年增率(%),2.油料費_原始值,2.油料費_年增率(%),3.交通服務及維修零件_原始值,3.交通服務及維修零件_年增率(%),(1)運輸費_原始值,(1)運輸費_年增率(%),(2)通訊費_原始值,(2)通訊費_年增率(%),(3)交通工具零件及維修費_原始值,(3)交通工具零件及維修費_年增率(%),(4)其他交通服務費_原始值,(4)其他交通服務費_年增率(%),五.醫藥保健類_原始值,五.醫藥保健類_年增率(%),1.醫療費用_原始值,1.醫療費用_年增率(%),2.藥品及保健食品_原始值,2.藥品及保健食品_年增率(%),3.醫療保健器材_原始值,3.醫療保健器材_年增率(%),六.教養娛樂類_原始值,六.教養娛樂類_年增率(%),1.教養費用_原始值,1.教養費用_年增率(%),(1)書報期刊_原始值,(1)書報期刊_年增率(%),(2)學雜費_原始值,(2)學雜費_年增率(%),(3)補習及學習費_原始值,(3)補習及學習費_年增率(%),(4)教養設備及用具_原始值,(4)教養設備及用具_年增率(%),2.娛樂費用_原始值,2.娛樂費用_年增率(%),(1)娛樂設備_原始值,(1)娛樂設備_年增率(%),(2)娛樂服務_原始值,(2)娛樂服務_年增率(%),七.雜項類_原始值,七.雜項類_年增率(%),1.香菸及檳榔_原始值,1.香菸及檳榔_年增率(%),2.美容及衛生用品_原始值,2.美容及衛生用品_年增率(%),3.個人隨身用品_原始值,3.個人隨身用品_年增率(%),4.個人服務_原始值,4.個人服務_年增率(%),5.理容服務費_原始值,5.理容服務費_年增率(%),6.其他_原始值,6.其他_年增率(%)
1981,59.97,-,50.78,-,50.78,-,54.28,-,47.85,-,66.87,-,77.45,-,51.25,-,74.05,-,75.67,-,32.73,-,56.89,-,32.60,-,53.11,-,30.02,-,34.69,-,30.74,-,56.41,-,28.64,-,67.89,-,55.46,-,79.52,-,74.84,-,60.89,-,93.08,-,62.50,-,50.44,-,63.07,-,94.03,-,95.48,-,79.25,-,115.36,-,80.75,-,108.76,-,62.97,-,65.18,-,62.06,-,37.14,-,55.82,-,32.67,-,91.08,-,89.52,-,60.85,-,127.90,-,82.44,-,53.44,-,81.61,-,63.47,-,46.58,-,111.74,-,-,-,82.65,-,121.97,-,109.59,-,-,-,81.15,-,71.30,-,48.81,-,153.74,-,70.05,-,-,-,51.64,-,41.51,-,76.30,-,134.54,-,41.13,-,31.51,-,41.83,-,23.78,-,20.08,-,401.54,-,79.28,-,188.83,-,37.08,-,63.13,-,51.30,-,95.90,-,90.72,-,-,-,35.51,-,73.85,-
1982,61.74,2.95,52.89,4.16,55.35,9.00,59.76,10.10,49.91,4.31,68.98,3.16,81.95,5.81,49.93,-2.58,79.58,7.47,64.76,-14.42,34.04,4.00,61.20,7.58,30.02,-7.91,43.68,-17.76,31.22,4.00,30.82,-11.16,27.51,-10.51,57.55,2.02,33.49,16.93,70.74,4.20,59.79,7.81,85.69,7.76,77.51,3.57,60.89,0.00,94.71,1.75,64.62,3.39,52.87,4.82,64.59,2.41,95.68,1.75,97.09,1.69,80.93,2.12,116.33,0.84,82.78,2.51,109.60,0.77,65.24,3.60,66.85,2.56,63.70,2.64,37.63,1.32,55.73,-0.16,33.51,2.57,92.42,1.47,89.85,0.37,61.34,0.81,130.86,2.31,83.54,1.33,53.70,0.49,84.66,3.74,63.76,0.46,61.84,32.76,112.90,1.04,-,-,82.97,0.39,119.86,-1.73,107.70,-1.72,-,-,81.62,0.58,72.09,1.11,49.50,1.41,154.00,0.17,71.31,1.80,-,-,52.17,1.03,41.90,0.94,77.31,1.32,134.77,0.17,43.29,5.25,33.82,7.33,42.83,2.39,26.01,9.38,21.10,5.08,404.00,0.61,80.52,1.56,190.32,0.79,38.42,3.61,63.07,-0.10,51.29,-0.02,97.43,1.60,84.70,-6.64,-,-,36.61,3.10,74.65,1.08
1983,62.59,1.38,53.59,1.32,52.07,-5.93,55.19,-7.65,50.84,1.86,68.37,-0.88,82.29,0.41,47.98,-3.91,81.48,2.39,63.45,-2.02,34.71,1.97,61.01,-0.31,35.93,19.69,52.07,19.21,35.88,14.93,35.97,16.71,34.75,26.32,57.51,-0.07,35.27,5.32,73.49,3.89,60.99,2.01,85.19,-0.58,78.46,1.23,60.83,-0.10,97.45,2.89,66.80,3.37,53.16,0.55,64.69,0.15,96.28,0.63,97.62,0.55,82.10,1.45,116.40,0.06,82.55,-0.28,109.65,0.05,66.51,1.95,68.14,1.93,66.02,3.64,38.19,1.49,56.32,1.06,34.15,1.91,93.13,0.77,89.52,-0.37,61.61,0.44,132.22,1.04,84.48,1.13,54.49,1.47,82.40,-2.67,61.72,-3.20,61.84,0.00,109.67,-2.86,-,-,82.40,-0.69,120.71,0.71,108.46,0.71,-,-,77.56,-4.97,72.66,0.79,50.03,1.07,154.00,0.00,72.18,1.22,-,-,52.14,-0.06,41.89,-0.02,77.28,-0.04,132.83,-1.44,44.67,3.19,35.31,4.41,43.28,1.05,27.37,5.23,23.06,9.29,404.68,0.17,81.27,0.93,190.87,0.29,39.43,2.63,63.62,0.87,51.24,-0.10,97.98,0.56,88.91,4.97,-,-,37.22,1.67,74.46,-0.25
1984,62.57,-0.03,52.39,-2.24,55.25,6.11,59.13,7.14,51.77,1.83,64.11,-6.23,74.68,-9.25,48.54,1.17,79.48,-2.45,71.39,12.51,33.47,-3.57,62.14,1.85,30.92,-13.94,43.61,-16.25,31.57,-12.01,30.53,-15.12,29.96,-13.78,58.56,1.83,32.53,-7.77,75.53,2.78,61.42,0.71,84.62,-0.67,79.63,1.49,60.83,0.00,97.60,0.15,66.47,-0.49,54.28,2.11,68.53,5.94,98.09,1.88,99.68,2.11,85.60,4.26,117.18,0.67,83.04,0.59,110.14,0.45,67.95,2.17,68.68,0.79,66.68,1.00,39.12,2.44,57.01,1.23,35.32,3.43,93.96,0.89,92.03,2.80,62.49,1.43,132.36,0.11,85.15,0.79,56.85,4.33,81.78,-0.75,61.16,-0.91,61.84,0.00,108.77,-0.82,-,-,83.53,1.37,120.18,-0.44,107.98,-0.44,-,-,76.43,-1.46,75.04,3.28,52.81,5.56,154.00,0.00,72.81,0.87,-,-,53.90,3.38,43.77,4.49,77.96,0.88,133.37,0.41,45.86,2.66,36.60,3.65,44.20,2.13,28.32,3.47,26.68,15.70,407.92,0.80,81.85,0.71,190.52,-0.18,40.62,3.02,64.14,0.82,51.25,0.02,100.01,2.07,84.26,-5.23,-,-,40.35,8.41,74.43,-0.04
1985,62.47,-0.16,51.32,-2.04,52.56,-4.87,55.38,-6.34,52.55,1.51,56.30,-12.18,63.36,-15.16,45.77,-5.71,74.24,-6.59,63.78,-10.66,33.92,1.34,62.45,0.50,33.68,8.93,46.48,6.58,32.88,4.15,34.09,11.66,32.97,10.05,57.20,-2.32,35.05,7.75,74.01,-2.01,62.01,0.96,83.62,-1.18,79.43,-0.25,60.75,-0.13,98.05,0.46,66.30,-0.26,55.13,1.57,70.24,2.50,97.54,-0.56,98.93,-0.75,84.33,-1.48,116.93,-0.21,82.83,-0.25,109.45,-0.63,68.55,0.88,68.86,0.26,67.26,0.87,39.51,1.00,56.64,-0.65,36.16,2.38,94.36,0.43,95.23,3.48,62.20,-0.46,132.25,-0.08,85.83,0.80,57.39,0.95,79.89,-2.31,57.51,-5.97,61.84,0.00,108.77,0.00,-,-,84.17,0.77,120.74,0.47,108.49,0.47,-,-,76.43,0.00,75.93,1.19,53.95,2.16,154.00,0.00,72.40,-0.56,-,-,55.72,3.38,46.47,6.17,75.39,-3.30,132.60,-0.58,47.82,4.27,39.06,6.72,45.83,3.69,30.33,7.10,31.76,19.04,408.26,0.08,81.33,-0.64,185.22,-2.78,42.52,4.68,63.95,-0.30,51.18,-0.14,101.79,1.78,79.83,-5.26,-,-,40.89,1.34,74.21,-0.30
1986,62.90,0.69,52.49,2.28,51.23,-2.53,53.61,-3.20,52.61,0.11,61.48,9.20,68.22,7.67,51.38,12.26,72.67,-2.11,62.73,-1.65,34.39,1.39,63.51,1.70,37.19,10.42,51.70,11.23,36.00,9.49,37.90,11.18,36.30,10.10,57.23,0.05,33.96,-3.11,74.04,0.04,63.64,2.63,84.95,1.59,79.45,0.03,60.67,-0.13,98.44,0.40,67.48,1.78,55.53,0.73,70.01,-0.33,94.22,-3.40,95.37,-3.60,80.41,-4.65,111.82,-4.37,82.91,0.10,104.17,-4.82,68.30,-0.36,68.72,-0.20,67.79,0.79,39.93,1.06,57.14,0.88,36.59,1.19,95.13,0.82,96.66,1.50,62.29,0.14,133.78,1.16,86.42,0.69,58.12,1.27,75.57,-5.41,51.93,-9.70,61.84,0.00,104.89,-3.57,-,-,81.10,-3.65,123.36,2.17,110.84,2.17,-,-,62.53,-18.19,76.18,0.33,54.24,0.54,154.00,0.00,72.52,0.17,-,-,55.93,0.38,46.94,1.01,74.54,-1.13,130.13,-1.86,49.52,3.55,40.85,4.58,48.27,5.32,31.77,4.75,33.74,6.23,407.52,-0.18,82.42,1.34,186.02,0.43,43.97,3.41,63.70,-0.39,51.24,0.12,100.23,-1.53,82.13,2.88,51.48,-,39.61,-3.13,73.91,-0.40
1987,63.23,0.52,53.12,1.20,51.08,-0.29,53.27,-0.63,52.74,0.25,60.97,-0.83,69.28,1.55,48.61,-5.39,72.44,-0.32,56.33,-10.20,35.18,2.30,65.55,3.21,40.07,7.74,55.77,7.87,37.53,4.25,41.02,8.23,39.83,9.72,59.83,4.54,35.64,4.95,73.71,-0.45,62.71,-1.46,72.11,-15.11,79.42,-0.04,60.53,-0.23,97.94,-0.51,67.59,0.16,56.10,1.03,69.68,-0.47,92.13,-2.22,92.96,-2.53,77.22,-3.97,108.24,-3.20,82.96,0.06,102.61,-1.50,68.69,0.57,69.00,0.41,68.21,0.62,42.41,6.21,58.38,2.17,39.77,8.69,95.35,0.23,97.23,0.59,62.87,0.93,133.24,-0.40,86.71,0.34,59.28,2.00,73.40,-2.87,50.41,-2.93,61.84,0.00,101.32,-3.40,-,-,79.77,-1.64,124.35,0.80,111.73,0.80,-,-,57.51,-8.03,76.08,-0.13,54.08,-0.29,154.22,0.14,72.44,-0.11,-,-,56.55,1.11,49.11,4.62,68.00,-8.77,129.74,-0.30,50.47,1.92,42.46,3.94,54.58,13.07,32.55,2.46,34.23,1.45,399.34,-2.01,80.38,-2.48,177.05,-4.82,44.49,1.18,63.79,0.14,50.51,-1.42,98.75,-1.48,83.72,1.94,53.65,4.22,39.93,0.81,74.62,0.96
1988,64.04,1.28,53.87,1.41,53.30,4.35,57.00,7.00,52.83,0.17,60.29,-1.12,67.82,-2.11,49.04,0.88,72.67,0.32,58.97,4.69,37.01,5.20,63.25,-3.51,41.50,3.57,58.24,4.43,40.32,7.43,40.19,-2.02,42.72,7.26,58.33,-2.51,37.18,4.32,71.66,-2.78,61.18,-2.44,62.93,-12.73,79.46,0.05,60.28,-0.41,96.97,-0.99,67.65,0.09,57.44,2.39,70.57,1.28,94.51,2.58,95.54,2.78,80.89,4.75,110.53,2.12,83.89,1.12,104.07,1.42,70.54,2.69,69.42,0.61,69.13,1.35,47.51,12.03,58.10,-0.48,47.35,19.06,94.38,-1.02,96.69,-0.56,63.42,0.87,129.27,-2.98,86.69,-0.02,60.35,1.80,68.75,-6.34,46.11,-8.53,61.84,0.00,95.05,-6.19,-,-,78.82,-1.19,122.62,-1.39,110.17,-1.40,-,-,48.70,-15.32,79.19,4.09,57.82,6.92,156.58,1.53,71.86,-0.80,-,-,56.25,-0.53,49.39,0.57,65.14,-4.21,129.28,-0.35,53.38,5.77,46.46,9.42,66.26,21.40,34.82,6.97,37.13,8.47,397.32,-0.51,78.25,-2.65,165.44,-6.56,45.86,3.08,64.09,0.47,50.78,0.53,98.72,-0.03,77.49,-7.44,54.30,1.21,42.14,5.53,75.33,0.95
1989,66.87,4.42,57.23,6.24,57.86,8.56,63.90,12.11,54.24,2.67,64.96,7.75,71.71,5.74,54.83,11.81,74.81,2.94,71.31,20.93,38.07,2.86,62.47,-1.23,47.30,13.98,62.79,7.81,44.01,9.15,47.68,18.64,48.38,13.25,58.82,0.84,41.15,10.68,71.21,-0.63,61.25,0.11,60.65,-3.62,78.99,-0.59,60.27,-0.02,95.66,-1.35,71.39,5.53,61.44,6.96,68.81,-2.49,95.03,0.55,95.48,-0.06,81.42,0.66,108.89,-1.48,84.40,0.61,106.93,2.75,73.35,3.98,72.44,4.35,72.17,4.40,57.26,20.52,58.82,1.24,61.38,29.63,94.64,0.28,98.01,1.37,65.34,3.03,127.64,-1.26,85.83,-0.99,62.94,4.29,67.63,-1.63,45.07,-2.26,61.84,0.00,93.56,-1.57,-,-,79.82,1.27,120.05,-2.10,107.86,-2.10,-,-,44.50,-8.62,83.59,5.56,63.92,10.55,153.95,-1.68,72.96,1.53,-,-,58.56,4.11,52.36,6.01,64.27,-1.34,128.44,-0.65,55.74,4.42,49.37,6.26,67.48,1.84,37.61,8.01,40.20,8.27,392.91,-1.11,77.96,-0.37,158.86,-3.98,47.88,4.40,65.62,2.39,50.96,0.35,99.58,0.87,68.88,-11.11,57.32,5.56,49.61,17.73,75.87,0.72
1990,69.63,4.13,59.26,3.55,59.73,3.23,65.96,3.22,56.00,3.24,61.59,-5.19,67.54,-5.82,52.63,-4.01,74.81,0.00,54.00,-24.27,39.09,2.68,62.26,-0.34,55.55,17.44,76.89,22.46,52.14,18.47,56.65,18.81,55.44,14.59,60.03,2.06,44.44,8.00,71.14,-0.10,62.68,2.33,60.04,-1.01,79.43,0.56,60.00,-0.45,95.30,-0.38,72.43,1.46,66.19,7.73,69.13,0.47,95.19,0.17,95.27,-0.22,81.55,0.16,107.23,-1.52,85.03,0.75,106.97,0.04,77.54,5.71,76.52,5.63,76.84,6.47,65.28,14.01,59.03,0.36,73.08,19.06,95.07,0.45,98.69,0.69,67.61,3.47,125.56,-1.63,85.88,0.06,67.79,7.71,68.20,0.84,46.55,3.28,61.84,0.00,93.07,-0.52,-,-,81.73,2.39,117.38,-2.22,105.47,-2.22,-,-,48.67,9.37,85.52,2.31,66.64,4.26,150.51,-2.23,75.36,3.29,-,-,60.41,3.16,54.81,4.68,63.33,-1.46,127.07,-1.07,60.01,7.66,53.89,9.16,69.37,2.80,41.23,9.63,50.08,24.58,386.56,-1.62,80.75,3.58,150.17,-5.47,54.89,14.64,67.29,2.54,50.71,-0.49,96.74,-2.85,68.98,0.15,60.56,5.65,56.90,14.69,76.94,1.41
