期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),教育_原始值,教育_年增率(%),教育_原始值,教育_年增率(%),教育_原始值,教育_年增率(%),藝術_原始值,藝術_年增率(%),藝術_原始值,藝術_年增率(%),藝術_原始值,藝術_年增率(%),人文_原始值,人文_年增率(%),人文_原始值,人文_年增率(%),人文_原始值,人文_年增率(%),經社及心理學_原始值,經社及心理學_年增率(%),經社及心理學_原始值,經社及心理學_年增率(%),經社及心理學_原始值,經社及心理學_年增率(%),商業及管理_原始值,商業及管理_年增率(%),商業及管理_原始值,商業及管理_年增率(%),商業及管理_原始值,商業及管理_年增率(%),法律_原始值,法律_年增率(%),法律_原始值,法律_年增率(%),法律_原始值,法律_年增率(%),自然科學_原始值,自然科學_年增率(%),自然科學_原始值,自然科學_年增率(%),自然科學_原始值,自然科學_年增率(%),數學及電算機_原始值,數學及電算機_年增率(%),數學及電算機_原始值,數學及電算機_年增率(%),數學及電算機_原始值,數學及電算機_年增率(%),醫藥衛生_原始值,醫藥衛生_年增率(%),醫藥衛生_原始值,醫藥衛生_年增率(%),醫藥衛生_原始值,醫藥衛生_年增率(%),工業技藝_原始值,工業技藝_年增率(%),工業技藝_原始值,工業技藝_年增率(%),工業技藝_原始值,工業技藝_年增率(%),工程_原始值,工程_年增率(%),工程_原始值,工程_年增率(%),工程_原始值,工程_年增率(%),建築、都市規劃_原始值,建築、都市規劃_年增率(%),建築、都市規劃_原始值,建築、都市規劃_年增率(%),建築、都市規劃_原始值,建築、都市規劃_年增率(%),農林漁牧_原始值,農林漁牧_年增率(%),農林漁牧_原始值,農林漁牧_年增率(%),農林漁牧_原始值,農林漁牧_年增率(%),家政_原始值,家政_年增率(%),家政_原始值,家政_年增率(%),家政_原始值,家政_年增率(%),運輸通信_原始值,運輸通信_年增率(%),運輸通信_原始值,運輸通信_年增率(%),運輸通信_原始值,運輸通信_年增率(%),觀光服務_原始值,觀光服務_年增率(%),觀光服務_原始值,觀光服務_年增率(%),觀光服務_原始值,觀光服務_年增率(%),大眾傳播_原始值,大眾傳播_年增率(%),大眾傳播_原始值,大眾傳播_年增率(%),大眾傳播_原始值,大眾傳播_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%),各校語言中心_原始值,各校語言中心_年增率(%),各校語言中心_原始值,各校語言中心_年增率(%),各校語言中心_原始值,各校語言中心_年增率(%)
1991,"5,959",1.00,"3,328",4.39,"2,631",-2.99,17,-5.56,5,-50.00,12,50.00,36,-12.20,15,-16.67,21,-8.70,410,-12.21,240,-13.67,170,-10.05,202,1.00,152,-1.30,50,8.70,138,14.05,114,11.76,24,26.32,13,-7.14,12,9.09,1,-66.67,13,0.00,9,0.00,4,0.00,8,-11.11,7,-22.22,1,--,3,0.00,0,--,3,0.00,0,--,0,--,0,--,23,43.75,22,57.14,1,-50.00,9,28.57,4,-20.00,5,150.00,28,-6.67,16,-23.81,12,33.33,11,22.22,1,0.00,10,25.00,0,--,0,--,0,--,7,16.67,4,33.33,3,0.00,28,21.74,9,-10.00,19,46.15,5,-50.00,4,-50.00,1,-50.00,"5,008",1.93,"2,714",7.06,"2,294",-3.53
1992,"5,441",-8.69,"2,986",-10.28,"2,455",-6.69,17,0.00,4,-20.00,13,8.33,36,0.00,15,0.00,21,0.00,401,-2.20,219,-8.75,182,7.06,170,-15.84,116,-23.68,54,8.00,132,-4.35,108,-5.26,24,0.00,14,7.69,12,0.00,2,100.00,17,30.77,12,33.33,5,25.00,5,-37.50,4,-42.86,1,0.00,2,-33.33,0,--,2,-33.33,1,--,1,--,0,--,28,21.74,23,4.55,5,400.00,11,22.22,5,25.00,6,20.00,22,-21.43,10,-37.50,12,0.00,10,-9.09,0,-100.00,10,0.00,1,--,1,--,0,--,10,42.86,5,25.00,5,66.67,24,-14.29,11,22.22,13,-31.58,6,20.00,5,25.00,1,0.00,"4,534",-9.46,"2,435",-10.28,"2,099",-8.50
1993,"5,154",-5.27,"2,927",-1.98,"2,227",-9.29,14,-17.65,4,0.00,10,-23.08,41,13.89,14,-6.67,27,28.57,394,-1.75,220,0.46,174,-4.40,158,-7.06,106,-8.62,52,-3.70,100,-24.24,78,-27.78,22,-8.33,9,-35.71,7,-41.67,2,0.00,14,-17.65,9,-25.00,5,0.00,2,-60.00,1,-75.00,1,0.00,4,100.00,0,--,4,100.00,3,200.00,3,200.00,0,--,20,-28.57,19,-17.39,1,-80.00,7,-36.36,4,-20.00,3,-50.00,19,-13.64,9,-10.00,10,-16.67,12,20.00,1,--,11,10.00,5,400.00,1,0.00,4,--,8,-20.00,3,-40.00,5,0.00,25,4.17,11,0.00,14,7.69,6,0.00,5,0.00,1,0.00,"4,313",-4.87,"2,432",-0.12,"1,881",-10.39
1994,"5,596",8.58,"3,076",5.09,"2,520",13.16,10,-28.57,2,-50.00,8,-20.00,41,0.00,12,-14.29,29,7.41,298,-24.37,160,-27.27,138,-20.69,108,-31.65,62,-41.51,46,-11.54,75,-25.00,59,-24.36,16,-27.27,11,22.22,8,14.29,3,50.00,13,-7.14,10,11.11,3,-40.00,8,300.00,5,400.00,3,200.00,11,175.00,6,--,5,25.00,3,0.00,3,0.00,0,--,23,15.00,23,21.05,0,-100.00,8,14.29,3,-25.00,5,66.67,18,-5.26,10,11.11,8,-20.00,6,-50.00,1,0.00,5,-54.55,6,20.00,1,0.00,5,25.00,11,37.50,3,0.00,8,60.00,18,-28.00,5,-54.55,13,-7.14,5,-16.67,4,-20.00,1,0.00,"4,923",14.14,"2,699",10.98,"2,224",18.23
1995,"5,197",-7.13,"2,830",-8.00,"2,367",-6.07,19,90.00,4,100.00,15,87.50,26,-36.59,4,-66.67,22,-24.14,365,22.48,208,30.00,157,13.77,147,36.11,93,50.00,54,17.39,85,13.33,53,-10.17,32,100.00,12,9.09,11,37.50,1,-66.67,12,-7.69,8,-20.00,4,33.33,7,-12.50,4,-20.00,3,0.00,5,-54.55,1,-83.33,4,-20.00,1,-66.67,1,-66.67,0,--,21,-8.70,18,-21.74,3,--,8,0.00,4,33.33,4,-20.00,14,-22.22,7,-30.00,7,-12.50,6,0.00,2,100.00,4,-20.00,1,-83.33,1,0.00,0,-100.00,11,0.00,5,66.67,6,-25.00,22,22.22,7,40.00,15,15.38,5,0.00,4,0.00,1,0.00,"4,430",-10.01,"2,395",-11.26,"2,035",-8.50
1996,"5,431",4.50,"2,900",2.47,"2,531",6.93,26,36.84,9,125.00,17,13.33,20,-23.08,3,-25.00,17,-22.73,346,-5.21,193,-7.21,153,-2.55,134,-8.84,83,-10.75,51,-5.56,73,-14.12,45,-15.09,28,-12.50,16,33.33,13,18.18,3,200.00,9,-25.00,6,-25.00,3,-25.00,8,14.29,4,0.00,4,33.33,2,-60.00,0,-100.00,2,-50.00,1,0.00,1,0.00,0,--,13,-38.10,12,-33.33,1,-66.67,8,0.00,4,0.00,4,0.00,15,7.14,7,0.00,8,14.29,7,16.67,2,0.00,5,25.00,2,100.00,1,0.00,1,--,7,-36.36,4,-20.00,3,-50.00,24,9.09,8,14.29,16,6.67,7,40.00,4,0.00,3,200.00,"4,713",6.39,"2,501",4.43,"2,212",8.70
1997,"5,210",-4.07,"2,629",-9.34,"2,581",1.98,30,15.38,11,22.22,19,11.76,27,35.00,6,100.00,21,23.53,321,-7.23,171,-11.40,150,-1.96,135,0.75,79,-4.82,56,9.80,77,5.48,46,2.22,31,10.71,13,-18.75,10,-23.08,3,0.00,9,0.00,7,16.67,2,-33.33,9,12.50,5,25.00,4,0.00,1,-50.00,0,--,1,-50.00,1,0.00,1,0.00,0,--,18,38.46,15,25.00,3,200.00,5,-37.50,3,-25.00,2,-50.00,9,-40.00,4,-42.86,5,-37.50,3,-57.14,1,-50.00,2,-60.00,1,-50.00,0,-100.00,1,0.00,11,57.14,7,75.00,4,33.33,24,0.00,9,12.50,15,-6.25,5,-28.57,4,0.00,1,-66.67,"4,511",-4.29,"2,250",-10.04,"2,261",2.22
1998,"5,109",-1.94,"2,540",-3.39,"2,569",-0.46,32,6.67,11,0.00,21,10.53,23,-14.81,7,16.67,16,-23.81,349,8.72,197,15.20,152,1.33,135,0.00,75,-5.06,60,7.14,96,24.68,52,13.04,44,41.94,14,7.69,8,-20.00,6,100.00,17,88.89,12,71.43,5,150.00,11,22.22,7,40.00,4,0.00,3,200.00,2,--,1,0.00,1,0.00,1,0.00,0,--,18,0.00,15,0.00,3,0.00,5,0.00,5,66.67,0,-100.00,18,100.00,10,150.00,8,60.00,6,100.00,3,200.00,3,50.00,1,0.00,0,--,1,0.00,14,27.27,9,28.57,5,25.00,25,4.17,9,0.00,16,6.67,4,-20.00,3,-25.00,1,0.00,"4,337",-3.86,"2,114",-6.04,"2,223",-1.68
1999,"6,616",29.50,"3,067",20.75,"3,549",38.15,37,15.62,16,45.45,21,0.00,35,52.17,6,-14.29,29,81.25,355,1.72,186,-5.58,169,11.18,150,11.11,91,21.33,59,-1.67,124,29.17,77,48.08,47,6.82,16,14.29,9,12.50,7,16.67,19,11.76,11,-8.33,8,60.00,20,81.82,13,85.71,7,75.00,12,300.00,3,50.00,9,800.00,1,0.00,1,0.00,0,--,25,38.89,19,26.67,6,100.00,6,20.00,4,-20.00,2,--,26,44.44,15,50.00,11,37.50,6,0.00,1,-66.67,5,66.67,1,0.00,0,--,1,0.00,13,-7.14,7,-22.22,6,20.00,40,60.00,17,88.89,23,43.75,6,50.00,4,33.33,2,100.00,"5,724",31.98,"2,587",22.37,"3,137",41.12
2000,"7,524",13.72,"3,378",10.14,"4,146",16.82,42,13.51,12,-25.00,30,42.86,41,17.14,12,100.00,29,0.00,355,0.00,167,-10.22,188,11.24,154,2.67,78,-14.29,76,28.81,138,11.29,75,-2.60,63,34.04,13,-18.75,6,-33.33,7,0.00,20,5.26,12,9.09,8,0.00,28,40.00,17,30.77,11,57.14,19,58.33,8,166.67,11,22.22,0,-100.00,0,-100.00,0,--,38,52.00,31,63.16,7,16.67,5,-16.67,3,-25.00,2,0.00,26,0.00,13,-13.33,13,18.18,7,16.67,3,200.00,4,-20.00,1,0.00,0,--,1,0.00,11,-15.38,7,0.00,4,-33.33,37,-7.50,13,-23.53,24,4.35,10,66.67,7,75.00,3,50.00,"6,579",14.94,"2,914",12.64,"3,665",16.83
2001,"6,380",-15.20,"3,029",-10.33,"3,351",-19.18,49,16.67,13,8.33,36,20.00,37,-9.76,11,-8.33,26,-10.34,370,4.23,172,2.99,198,5.32,198,28.57,94,20.51,104,36.84,166,20.29,97,29.33,69,9.52,22,69.23,9,50.00,13,85.71,31,55.00,22,83.33,9,12.50,45,60.71,31,82.35,14,27.27,26,36.84,11,37.50,15,36.36,0,--,0,--,0,--,32,-15.79,28,-9.68,4,-42.86,11,120.00,7,133.33,4,100.00,41,57.69,23,76.92,18,38.46,7,0.00,3,0.00,4,0.00,1,0.00,0,--,1,0.00,18,63.64,13,85.71,5,25.00,50,35.14,14,7.69,36,50.00,14,40.00,7,0.00,7,133.33,"5,262",-20.02,"2,474",-15.10,"2,788",-23.93
2002,"7,331",14.91,"3,519",16.18,"3,812",13.76,55,12.24,12,-7.69,43,19.44,31,-16.22,15,36.36,16,-38.46,359,-2.97,160,-6.98,199,0.51,200,1.01,92,-2.13,108,3.85,225,35.54,122,25.77,103,49.28,18,-18.18,8,-11.11,10,-23.08,44,41.94,32,45.45,12,33.33,66,46.67,45,45.16,21,50.00,41,57.69,23,109.09,18,20.00,1,--,0,--,1,--,42,31.25,33,17.86,9,125.00,10,-9.09,5,-28.57,5,25.00,50,21.95,29,26.09,21,16.67,11,57.14,5,66.67,6,50.00,0,-100.00,0,--,0,-100.00,27,50.00,17,30.77,10,100.00,85,70.00,24,71.43,61,69.44,18,28.57,8,14.29,10,42.86,"6,048",14.94,"2,889",16.77,"3,159",13.31
2003,"7,844",7.00,"3,814",8.38,"4,030",5.72,63,14.55,20,66.67,43,0.00,34,9.68,15,0.00,19,18.75,374,4.18,173,8.12,201,1.01,241,20.50,116,26.09,125,15.74,300,33.33,161,31.97,139,34.95,23,27.78,10,25.00,13,30.00,56,27.27,42,31.25,14,16.67,92,39.39,65,44.44,27,28.57,55,34.15,31,34.78,24,33.33,0,-100.00,0,--,0,-100.00,87,107.14,69,109.09,18,100.00,11,10.00,7,40.00,4,-20.00,50,0.00,34,17.24,16,-23.81,17,54.55,8,60.00,9,50.00,0,--,0,--,0,--,45,66.67,26,52.94,19,90.00,104,22.35,27,12.50,77,26.23,16,-11.11,11,37.50,5,-50.00,"6,276",3.77,"2,999",3.81,"3,277",3.74
2004,"9,616",22.59,"4,779",25.30,"4,837",20.02,72,14.29,22,10.00,50,16.28,46,35.29,18,20.00,28,47.37,354,-5.35,163,-5.78,191,-4.98,259,7.47,134,15.52,125,0.00,387,29.00,207,28.57,180,29.50,27,17.39,15,50.00,12,-7.69,108,92.86,80,90.48,28,100.00,143,55.43,107,64.62,36,33.33,84,52.73,50,61.29,34,41.67,0,--,0,--,0,--,181,108.05,141,104.35,40,122.22,12,9.09,6,-14.29,6,50.00,74,48.00,52,52.94,22,37.50,19,11.76,7,-12.50,12,33.33,1,--,0,--,1,--,53,17.78,26,0.00,27,42.11,138,32.69,35,29.63,103,33.77,11,-31.25,8,-27.27,3,-40.00,"7,647",21.85,"3,708",23.64,"3,939",20.20
2005,"11,035",14.76,"5,543",15.99,"5,492",13.54,99,37.50,36,63.64,63,26.00,72,56.52,33,83.33,39,39.29,465,31.36,202,23.93,263,37.70,311,20.08,164,22.39,147,17.60,644,66.41,359,73.43,285,58.33,27,0.00,13,-13.33,14,16.67,118,9.26,87,8.75,31,10.71,180,25.87,137,28.04,43,19.44,114,35.71,60,20.00,54,58.82,1,--,1,--,0,--,348,92.27,274,94.33,74,85.00,33,175.00,23,283.33,10,66.67,135,82.43,88,69.23,47,113.64,24,26.32,6,-14.29,18,50.00,2,100.00,1,--,1,0.00,75,41.51,26,0.00,49,81.48,190,37.68,45,28.57,145,40.78,15,36.36,11,37.50,4,33.33,"8,182",7.00,"3,977",7.25,"4,205",6.75
2006,"13,070",18.44,"6,730",21.41,"6,340",15.44,133,34.34,48,33.33,85,34.92,123,70.83,58,75.76,65,66.67,564,21.29,257,27.23,307,16.73,384,23.47,207,26.22,177,20.41,"1,021",58.54,581,61.84,440,54.39,31,14.81,16,23.08,15,7.14,163,38.14,114,31.03,49,58.06,237,31.67,179,30.66,58,34.88,121,6.14,63,5.00,58,7.41,0,-100.00,0,-100.00,0,--,525,50.86,432,57.66,93,25.68,51,54.55,32,39.13,19,90.00,171,26.67,105,19.32,66,40.43,23,-4.17,5,-16.67,18,0.00,11,450.00,8,700.00,3,200.00,95,26.67,32,23.08,63,28.57,265,39.47,62,37.78,203,40.00,17,13.33,14,27.27,3,-25.00,"9,135",11.65,"4,517",13.58,"4,618",9.82
