期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款_原始值,資產--放款_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--郵政儲金-劃撥_原始值,負債與淨值--郵政儲金-劃撥_年增率(%),負債與淨值--郵政儲金-存簿_原始值,負債與淨值--郵政儲金-存簿_年增率(%),負債與淨值--郵政儲金-定期_原始值,負債與淨值--郵政儲金-定期_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
1997M01,"2,489,291",13.54,281,-,"25,130",787.36,"131,788",130.70,-,-,"150,810",202.18,"40,349",-4.16,"1,054,853",-4.81,"911,926",17.79,"3,188",--,"10,840",-6.13,"160,126",9.25,281,-,"29,301",-2.01,"792,478",6.59,"1,448,927",15.94,-,-,-,-,-,-,"184,195",46.51,"34,109",-4.20
1997M02,"2,502,068",11.72,267,-,"20,882",600.97,"133,340",167.91,-,-,"148,289",98.78,"43,053",-14.43,"1,066,245",-3.73,"932,315",14.21,"3,029",--,"11,713",-55.11,"142,935",27.71,267,-,"30,716",1.64,"830,021",9.19,"1,464,921",15.80,-,-,-,-,-,-,"141,737",2.49,"34,406",-4.87
1997M03,"2,505,740",11.35,325,-,"11,093",277.06,"142,167",120.39,-,-,"155,874",57.56,"38,826",-20.17,"1,078,369",1.09,"905,553",11.09,"3,044",--,"10,481",-0.69,"160,008",12.04,325,-,"27,306",4.74,"807,482",4.74,"1,479,516",14.89,-,-,-,-,-,-,"156,200",25.67,"34,911",-6.08
1997M04,"2,503,301",10.73,339,-,"6,438",110.39,"133,244",95.44,-,-,"162,448",88.89,"39,305",-22.88,"1,083,401",2.06,"900,168",7.94,"1,117",--,"13,021",11.46,"163,820",12.73,339,-,"26,741",2.30,"789,042",4.74,"1,482,427",13.55,-,-,"3,000",-35.37,-,-,"166,328",24.75,"35,424",-6.23
1997M05,"2,507,922",10.26,369,-,"14,242",370.50,"135,313",81.73,-,-,"141,358",35.71,"39,232",-25.92,"1,083,475",2.93,"906,369",9.84,"1,691",--,"11,144",-2.29,"174,729",15.95,369,-,"27,649",5.51,"775,734",4.83,"1,489,373",12.45,-,-,"1,700",4.81,-,-,"177,282",22.82,"35,815",-5.29
1997M06,"2,539,623",9.19,396,-,"14,398",351.63,"138,909",81.96,-,-,"134,886",26.67,"39,689",-39.30,"1,081,598",3.29,"937,544",9.23,"2,226",--,"10,424",-19.03,"179,553",15.12,396,-,"27,345",4.67,"772,741",4.42,"1,491,730",10.97,-,-,100,-96.88,-,-,"214,472",20.02,"32,839",-2.03
1997M07,"2,570,427",9.70,446,-,"7,523",142.76,"110,864",32.07,-,-,"143,153",27.72,"40,355",-31.76,"1,080,827",3.68,"946,166",7.56,"2,239",--,"12,690",9.83,"226,164",49.64,446,-,"28,099",11.71,"804,316",3.84,"1,491,971",8.31,-,-,600,--,-,-,"211,758",60.65,"33,237",-2.18
1997M08,"2,528,367",6.49,433,-,"6,485",128.43,"140,973",65.88,-,-,"114,722",-6.92,"39,921",-10.75,"1,068,153",2.57,"957,080",7.76,"2,258",--,"11,458",6.97,"186,884",4.79,433,-,"31,088",12.28,"782,257",2.77,"1,486,001",6.26,-,-,-,-,-,-,"194,913",27.52,"33,675",-1.39
1997M09,"2,520,503",6.76,478,-,"4,577",51.06,"145,455",51.31,-,-,"100,916",-23.89,"43,872",7.69,"1,048,040",0.38,"991,663",12.35,"3,468",--,"12,817",20.39,"169,217",12.10,478,-,"29,058",8.14,"783,811",4.05,"1,483,478",4.80,-,-,-,-,-,-,"189,581",44.98,"34,097",-0.76
1997M10,"2,556,586",7.20,536,-,"8,475",185.26,"147,452",41.90,-,-,"98,270",-36.47,"48,966",34.26,"1,040,216",0.37,"1,016,064",15.78,"2,375",--,"11,321",-8.91,"182,911",13.91,536,-,"30,522",17.57,"770,191",1.82,"1,478,906",3.57,"20,000",--,-,-,-,-,"221,628",57.79,"34,803",1.95
