期間,資產淨額=負債淨值淨額_原始值,資產淨額=負債淨值淨額_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對人壽保險公司等債權_原始值,資產--對人壽保險公司等債權_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--通貨發行額_原始值,負債與淨值--通貨發行額_年增率(%),負債與淨值--企業及個人存款與貨幣市場-計_原始值,負債與淨值--企業及個人存款與貨幣市場-計_年增率(%),負債與淨值--企業及個人存款與貨幣市場-支票存款_原始值,負債與淨值--企業及個人存款與貨幣市場-支票存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-活期存款_原始值,負債與淨值--企業及個人存款與貨幣市場-活期存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-活期儲蓄存款_原始值,負債與淨值--企業及個人存款與貨幣市場-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-定期存款_原始值,負債與淨值--企業及個人存款與貨幣市場-定期存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-定期儲蓄存款_原始值,負債與淨值--企業及個人存款與貨幣市場-定期儲蓄存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-外匯存款_原始值,負債與淨值--企業及個人存款與貨幣市場-外匯存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-郵政儲金_原始值,負債與淨值--企業及個人存款與貨幣市場-郵政儲金_年增率(%),負債與淨值--企業及個人存款與貨幣市場-貨幣市場共同基金_原始值,負債與淨值--企業及個人存款與貨幣市場-貨幣市場共同基金_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對人壽保險公司等負債_原始值,負債與淨值--對人壽保險公司等負債_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%),負債與淨值--其他項目(淨額)_原始值,負債與淨值--其他項目(淨額)_年增率(%)
1997,"18,243,191",9.02,"3,471,583",11.06,"12,510,156",11.65,"1,396,040",19.09,"395,458",8.32,"10,718,658",10.87,"648,132",22.17,"45,957",-26.71,"1,147,785",-8.43,"169,184",-46.86,"30,411",18.51,"46,036",-0.32,"173,947",5.21,"489,623",1.25,"684,311",3.08,"14,321,928",7.50,"308,031",-2.01,"892,481",8.76,"2,004,376",11.81,"3,162,938",23.99,"5,148,420",-2.99,"569,905",83.93,"2,235,777",0.36,-,-,"837,283",6.59,"309,611",4.40,"68,890",-25.81,"1,838,474",35.43,"-306,929",--
1998,"19,667,210",7.81,"3,726,441",7.34,"13,177,329",5.33,"1,540,830",10.37,"365,713",-7.52,"11,270,786",5.15,"665,563",2.69,"73,442",59.81,"1,555,292",35.50,"210,001",24.13,"32,594",7.18,"45,841",-0.42,"180,707",3.89,"478,860",-2.20,"694,452",1.48,"15,601,433",8.93,"293,568",-4.70,"932,201",4.45,"2,115,270",5.53,"3,730,067",17.93,"5,658,787",9.91,"603,545",5.90,"2,267,995",1.44,-,-,"823,909",-1.60,"324,160",4.70,"92,420",34.16,"2,166,643",17.85,"-514,667",--
1999,"20,813,680",5.83,"4,310,696",15.68,"13,760,055",4.42,"1,726,555",12.05,"368,757",0.83,"11,664,743",3.50,"834,151",25.33,"47,498",-35.33,"1,383,223",-11.06,"211,583",0.75,"24,897",-23.61,"45,805",-0.08,"195,772",8.34,"462,685",-3.38,"806,939",16.20,"16,798,795",7.67,"332,324",13.20,"1,025,928",10.05,"2,537,761",19.97,"3,356,100",-10.03,"6,339,399",12.03,"653,883",8.34,"2,553,400",12.58,-,-,"930,327",12.92,"314,200",-3.07,"97,796",5.82,"2,139,447",-1.26,"-736,509",--
2000,"21,995,127",5.68,"4,883,390",13.29,"14,428,909",4.86,"2,063,150",19.50,"384,455",4.26,"11,981,304",2.71,"827,583",-0.79,"54,990",15.77,"1,310,496",-5.26,"213,967",1.13,"49,184",97.55,"45,776",-0.06,"180,832",-7.63,"458,659",-0.87,"708,580",-12.19,"17,931,599",6.74,"321,250",-3.33,"1,053,648",2.70,"2,589,426",2.04,"3,324,023",-0.96,"6,636,613",4.69,"1,176,943",79.99,"2,829,696",10.82,-,-,"938,625",0.89,"306,476",-2.46,"91,668",-6.27,"2,261,642",5.71,"-702,122",--
2001,"22,940,262",4.30,"6,003,051",22.93,"14,036,644",-2.72,"2,134,732",3.47,"460,515",19.78,"11,441,397",-4.51,"1,011,687",22.25,"58,838",7.00,"1,382,115",5.47,"175,385",-18.03,"59,666",21.31,"45,623",-0.33,"167,253",-7.51,"540,096",17.76,"692,912",-2.21,"18,742,707",4.52,"274,532",-14.54,"1,118,498",6.15,"3,107,171",19.99,"2,959,070",-10.98,"7,140,862",7.60,"1,101,348",-6.42,"3,041,226",7.48,-,-,"949,375",1.15,"340,047",10.95,"202,611",121.03,"2,489,969",10.10,"-1,017,455",--
2002,"23,784,621",3.68,"7,319,789",21.93,"13,731,393",-2.17,"1,934,899",-9.36,"476,744",3.52,"11,319,750",-1.06,"1,168,000",15.45,"60,516",2.85,"1,118,090",-19.10,"126,682",-27.77,"50,430",-15.48,"38,539",-15.53,"171,182",2.35,"704,305",30.40,"698,460",0.80,"19,154,113",2.20,"278,593",1.48,"1,284,642",14.85,"3,401,076",9.46,"2,822,960",-4.60,"7,288,831",2.07,"1,016,499",-7.70,"3,061,512",0.67,-,-,"890,066",-6.25,"237,510",-30.15,"377,303",86.22,"2,553,103",2.54,"-830,239",--
2003,"25,755,256",8.29,"8,850,771",20.92,"14,332,857",4.38,"1,944,921",0.52,"436,102",-8.52,"11,951,834",5.58,"1,203,452",3.04,"55,912",-7.61,"942,835",-15.67,"156,950",23.89,"35,239",-30.12,281,-99.27,"176,959",3.37,"1,139,591",61.80,"785,164",12.41,"20,158,128",5.24,"315,679",13.31,"1,600,804",24.61,"4,028,144",18.44,"2,665,711",-5.57,"7,310,961",0.30,"1,123,318",10.51,"3,113,511",1.70,-,-,"929,593",4.44,"163,831",-31.02,"541,227",43.45,"2,817,476",10.35,"-779,754",--
2004,"27,692,677",7.52,"9,364,725",5.81,"15,867,752",10.71,"1,917,413",-1.41,"456,144",4.60,"13,494,195",12.90,"1,113,047",-7.51,"88,469",58.23,"894,743",-5.10,"141,759",-9.68,"34,798",-1.25,281,0.00,"187,103",5.73,"1,389,579",21.94,"856,951",9.14,"21,522,079",6.77,"319,808",1.31,"1,788,254",11.71,"4,590,090",13.95,"2,848,837",6.87,"7,402,851",1.26,"1,244,762",10.81,"3,325,983",6.82,"1,494",-,"925,183",-0.47,"170,845",4.28,"709,051",31.01,"2,582,817",-8.33,"-463,828",--
2005,"30,365,629",9.65,"10,613,957",13.34,"17,158,349",8.13,"1,782,204",-7.05,"557,852",22.30,"14,818,293",9.81,"1,182,856",6.27,"103,828",17.36,"915,167",2.28,"192,724",35.95,"5,924",-82.98,281,0.00,"192,543",2.91,"1,988,874",43.13,"922,910",7.70,"22,990,663",6.82,"383,098",19.79,"1,869,647",4.55,"4,888,036",6.49,"2,992,000",5.03,"7,758,841",4.81,"1,437,043",15.45,"3,660,395",10.05,"1,603",7.30,"931,901",0.73,"208,628",22.12,"811,192",14.41,"2,775,927",7.48,"-264,466",--
2006,"31,927,680",5.14,"11,227,432",5.78,"17,598,943",2.57,"1,611,281",-9.59,"525,391",-5.82,"15,462,271",4.35,"1,442,945",21.99,"123,333",18.79,"1,127,633",23.22,"204,614",6.17,"1,708",-71.17,1,-99.64,"201,071",4.43,"1,913,993",-3.76,"959,792",4.00,"24,171,821",5.14,"368,535",-3.80,"1,942,742",3.91,"5,152,628",5.41,"3,207,793",7.21,"7,799,752",0.53,"1,693,697",17.86,"4,002,250",9.34,"4,424",175.98,"901,968",-3.21,"236,295",13.26,"925,915",14.14,"3,011,388",8.48,"-193,492",--
