期間,市內電話-用戶數(萬戶)_原始值,市內電話-用戶數(萬戶)_年增率(%),市內電話-每百人用戶數(戶／百人)_原始值,市內電話-每百人用戶數(戶／百人)_年增率(%),國際電話去話分鐘數(萬分鐘)_原始值,國際電話去話分鐘數(萬分鐘)_年增率(%),整體服務數位網路(ISDN)用戶數(戶)_原始值,整體服務數位網路(ISDN)用戶數(戶)_年增率(%),數據通信出租電路數(路)_原始值,數據通信出租電路數(路)_年增率(%),分封交換數據通信-用戶數(戶)_原始值,分封交換數據通信-用戶數(戶)_年增率(%),分封交換數據通信-資訊量(百萬節)_原始值,分封交換數據通信-資訊量(百萬節)_年增率(%),無線電叫人用戶數(千戶)_原始值,無線電叫人用戶數(千戶)_年增率(%),行動電話-用戶數(千戶)_原始值,行動電話-用戶數(千戶)_年增率(%),行動電話-每百人用戶數(戶／百人)_原始值,行動電話-每百人用戶數(戶／百人)_年增率(%),行動電話-去話分鐘數(百萬分鐘)_原始值,行動電話-去話分鐘數(百萬分鐘)_年增率(%),網際網路帳號數(千戶)_原始值,網際網路帳號數(千戶)_年增率(%),寬頻(千戶)_原始值,寬頻(千戶)_年增率(%)
1998,"1,150",...,52.4,...,"86,088",...,"15,314",...,"97,992",...,"7,726",...,"26,083",...,"4,261",...,"4,727",...,21.6,...,"3,493",...,"1,665",...,...,--
1999,"1,204",4.73,54.5,4.01,"95,826",11.31,"28,366",85.23,"113,969",16.30,"5,825",-24.61,"22,752",-12.77,"3,873",-9.11,"11,541",144.15,52.4,142.21,"9,553",173.53,"1,582",-5.00,...,--
2000,"1,264",4.97,56.8,4.22,"105,838",10.45,"38,068",34.20,"130,537",14.54,"5,056",-13.20,"23,129",1.66,"2,813",-27.38,"17,874",54.87,80.6,53.66,"14,743",54.32,"4,636",193.08,96,--
2001,"1,286",1.71,57.4,1.06,"151,442",43.09,"42,470",11.56,"147,022",12.63,"5,039",-0.34,"20,644",-10.74,"1,756",-37.56,"21,786",21.89,97.5,21.04,"17,301",17.35,"6,232",34.42,"1,170","1,120.65"
2002,"1,310",1.88,58.2,1.39,"215,391",42.23,"38,938",-8.32,"151,917",3.33,"4,957",-1.63,"23,866",15.61,"1,598",-8.99,"24,391",11.95,108.6,11.34,"20,406",17.95,"7,459",19.68,"2,110",80.36
2003,"1,336",1.95,59.1,1.55,"307,674",42.84,"48,030",23.35,"153,295",0.91,"5,124",3.37,"25,092",5.14,"1,415",-11.48,"25,800",5.78,114.4,5.31,"24,006",17.64,"7,828",4.95,"3,048",44.44
2004,"1,353",1.31,59.6,0.85,"313,167",1.79,"50,121",4.35,"157,406",2.68,"4,246",-17.14,"12,051",-51.97,"1,336",-5.58,"22,760",-11.78,100.5,-12.11,"26,898",12.05,"8,036",2.66,"3,755",23.20
2005,"1,362",0.63,59.8,0.34,"346,829",10.75,"57,930",15.58,"166,135",5.55,"5,031",18.49,"5,205",-56.81,"1,095",-18.01,"22,171",-2.59,97.5,-2.95,"28,873",7.34,"7,271",-9.52,"4,345",15.71
2006,"1,347",-1.04,58.9,-1.51,"384,102",10.75,"63,449",9.53,"166,954",0.49,"4,662",-7.33,"5,598",7.55,"1,070",-2.29,"23,249",4.86,101.9,4.43,"29,960",3.76,"7,037",-3.23,"4,506",3.71
2007,"1,330",-1.27,57.9,-1.70,"387,945",1.00,"61,516",-3.05,"158,467",-5.08,"2,861",-38.63,"6,474",15.65,"1,050",-1.90,"24,287",4.46,106.0,4.03,"31,231",4.24,"5,974",-15.10,"4,794",6.39
2008,"1,308",-1.65,56.8,-1.90,"399,388",2.95,"69,798",13.46,"165,775",4.61,"1,656",-42.12,"6,719",3.79,"1,137",8.28,"25,413",4.63,110.5,4.27,"33,539",7.39,"6,027",0.89,"5,024",4.81
2009,"1,282",-2.00,55.5,-2.34,"419,273",4.98,"88,804",27.23,"165,225",-0.33,"1,339",-19.14,"5,868",-12.67,"1,121",-1.36,"26,959",6.08,116.8,5.71,"36,664",9.32,"5,668",-5.96,"4,998",-0.53
2010,"1,270",-0.97,54.8,-1.17,"465,085",10.93,"105,826",19.17,"167,749",1.53,"1,085",-18.97,281,-95.21,"1,095",-2.33,"27,840",3.27,120.3,2.99,"39,968",9.01,"5,888",3.88,"5,312",6.28
2011,"1,268",-0.14,54.6,-0.39,"466,671",0.34,"123,321",16.53,"172,124",2.61,928,-14.47,36,-87.18,912,-16.73,"28,862",3.67,124.4,3.44,"42,835",7.17,"6,092",3.46,"5,516",3.85
2012,"1,241",-2.11,53.3,-2.32,"494,147",5.89,"118,102",-4.23,"161,736",-6.04,762,-17.89,4,-89.72,575,-37.00,"29,449",2.03,126.3,1.50,"43,477",1.50,"6,988",14.71,"6,449",16.92
2013,"1,223",-1.47,52.4,-1.78,"380,052",-23.09,"109,373",-7.39,"144,673",-10.55,284,-62.73,4,13.06,-,--,"29,701",0.86,127.1,0.63,"37,581",-13.56,"7,536",7.84,"6,688",3.71
