期間,來話次數(次)_原始值,來話次數(次)_年增率(%),來話分鐘數(分鐘)_原始值,來話分鐘數(分鐘)_年增率(%),去話次數(次)_原始值,去話次數(次)_年增率(%),去話分鐘數(分鐘)_原始值,去話分鐘數(分鐘)_年增率(%)
2007M02,"14,374,207",...,"49,381,159",...,"28,138,474",...,"122,762,173",...
2007M03,"24,481,847",...,"66,425,311",...,"26,340,948",...,"123,409,680",...
2007M04,"24,984,851",...,"63,154,851",...,"30,798,212",...,"131,079,848",...
2007M05,"26,543,068",...,"70,062,373",...,"28,826,299",...,"127,845,592",...
2007M06,"28,966,728",...,"60,728,526",...,"28,672,083",...,"127,713,120",...
2007M07,"25,767,059",...,"69,980,752",...,"28,948,103",...,"130,732,867",...
2007M08,"25,295,778",...,"67,031,112",...,"30,005,911",...,"130,634,891",...
2007M09,"22,585,673",...,"67,269,799",...,"29,783,633",...,"131,409,831",...
2007M10,"19,901,578",...,"69,383,683",...,"29,267,084",...,"130,927,432",...
2007M11,...,...,...,...,...,...,...,...
2007M12,...,...,...,...,...,...,...,...
2008M01,...,...,...,...,...,...,...,...
2008M02,...,...,...,...,...,...,...,...
2008M03,...,...,...,...,...,...,...,...
2008M04,...,...,...,...,...,...,...,...
2008M05,...,...,...,...,...,...,...,...
2008M06,...,...,...,...,...,...,...,...
2008M07,...,...,...,...,...,...,...,...
2008M08,...,...,...,...,...,...,...,...
2008M09,...,...,...,...,...,...,...,...
2008M10,...,...,...,...,...,...,...,...
2008M11,...,...,...,...,...,...,...,...
2008M12,...,...,...,...,...,...,...,...
2009M01,...,...,...,...,...,...,...,...
2009M02,...,...,...,...,...,...,...,...
2009M03,"26,385,321",...,"61,716,730",...,"31,418,901",...,"103,565,502",...
2009M04,"21,218,248",...,"56,217,742",...,"33,563,693",...,"124,917,255",...
2009M05,"19,619,538",...,"51,753,382",...,"32,679,086",...,"121,283,804",...
2009M06,"17,265,728",...,"45,310,353",...,"29,716,472",...,"119,963,268",...
2009M07,"14,651,720",...,"42,822,471",...,"27,869,687",...,"118,319,985",...
2009M08,"16,170,035",...,"41,906,907",...,"29,261,130",...,"113,555,275",...
2009M09,"14,001,203",...,"38,660,056",...,"26,535,102",...,"108,670,144",...
2009M10,"12,280,104",...,"36,546,833",...,"26,205,602",...,"114,573,939",...
2009M11,"16,184,287",...,"41,978,112",...,"34,351,109",...,"129,188,712",...
2009M12,"18,871,305",...,"48,871,573",...,"34,472,652",...,"127,742,856",...
2010M01,"20,379,758",...,"51,304,460",...,"33,267,870",...,"126,463,414",...
2010M02,"14,271,786",...,"37,557,020",...,"30,258,865",...,"120,896,211",...
2010M03,"22,371,661",-15.21,"51,871,316",-15.95,"29,483,386",-6.16,"108,812,602",5.07
2010M04,"20,045,017",-5.53,"49,185,806",-12.51,"34,160,722",1.78,"120,714,141",-3.36
2010M05,"17,705,010",-9.76,"50,205,238",-2.99,"32,522,827",-0.48,"117,093,134",-3.46
2010M06,"15,843,131",-8.24,"44,016,822",-2.85,"31,737,709",6.80,"121,148,750",0.99
2010M07,"14,905,529",1.73,"43,656,633",1.95,"33,434,952",19.97,"124,679,013",5.37
2010M08,"15,002,202",-7.22,"41,693,823",-0.51,"34,329,028",17.32,"129,234,155",13.81
2010M09,"13,214,087",-5.62,"40,832,155",5.62,"33,801,269",27.38,"127,855,829",17.65
2010M10,"16,442,257",33.89,"46,713,177",27.82,"36,007,214",37.40,"131,997,189",15.21
2010M11,"18,716,344",15.65,"50,587,938",20.51,"39,386,969",14.66,"135,354,276",4.77
2010M12,"15,729,036",-16.65,"45,295,533",-7.32,"35,225,293",2.18,"132,077,786",3.39
2011M01,"12,732,731",-37.52,"45,691,998",-10.94,"36,216,519",8.86,"136,973,569",8.31
2011M02,"10,158,961",-28.82,"40,340,544",7.41,"28,024,255",-7.38,"119,026,902",-1.55
2011M03,"18,302,610",-18.19,"40,077,694",-22.74,"31,233,834",5.94,"119,700,757",10.01
2011M04,"17,133,632",-14.52,"38,332,731",-22.07,"41,910,319",22.69,"132,373,524",9.66
2011M05,"15,015,073",-15.19,"37,472,247",-25.36,"35,664,591",9.66,"114,181,352",-2.49
2011M06,"12,151,107",-23.30,"36,908,099",-16.15,"29,206,819",-7.97,"101,782,327",-15.99
2011M07,"12,823,910",-13.97,"38,924,025",-10.84,"28,438,123",-14.94,"101,183,383",-18.84
2011M08,"14,298,162",-4.69,"40,155,928",-3.69,"31,010,957",-9.67,"105,575,605",-18.31
2011M09,"14,057,499",6.38,"41,961,196",2.77,"32,697,842",-3.26,"107,778,318",-15.70
2011M10,"13,128,690",-20.15,"38,927,781",-16.67,"30,425,092",-15.50,"104,611,117",-20.75
2011M11,"15,842,192",-15.36,"32,619,898",-35.52,"33,917,249",-13.89,"111,388,798",-17.71
2011M12,"15,939,470",1.34,"39,560,903",-12.66,"34,598,978",-1.78,"109,551,898",-17.06
2012M01,"9,291,397",-27.03,"24,054,160",-47.36,"34,377,860",-5.08,"110,351,295",-19.44
2012M02,"9,602,726",-5.48,"23,719,421",-41.20,"27,137,622",-3.16,"113,042,418",-5.03
2012M03,"13,730,446",-24.98,"25,199,092",-37.12,"34,757,126",11.28,"118,083,123",-1.35
2012M04,"12,234,826",-28.59,"24,391,698",-36.37,"35,857,732",-14.44,"121,471,090",-8.24
2012M05,"13,299,686",-11.42,"27,071,662",-27.76,"32,454,578",-9.00,"104,382,124",-8.58
2012M06,"14,265,056",17.40,"23,825,846",-35.45,"28,079,006",-3.86,"86,767,730",-14.75
2012M07,"19,995,246",55.92,"33,435,352",-14.10,"31,745,098",11.63,"85,093,165",-15.90
2012M08,"19,014,755",32.99,"35,062,099",-12.69,"30,734,519",-0.89,"92,125,162",-12.74
2012M09,"14,574,437",3.68,"34,029,865",-18.90,"27,333,149",-16.41,"95,424,060",-11.46
2012M10,"14,635,540",11.48,"30,353,043",-22.03,"27,438,434",-9.82,"88,498,991",-15.40
2012M11,"14,684,111",-7.31,"23,138,581",-29.07,"28,567,606",-15.77,"82,727,294",-25.73
2012M12,"11,950,329",-25.03,"16,796,667",-57.54,"27,657,122",-20.06,"88,433,292",-19.28
2013M01,"9,540,714",2.68,"22,799,749",-5.21,"21,419,912",-37.69,"77,341,711",-29.91
2013M02,"8,289,882",-13.67,"22,852,793",-3.65,"19,221,099",-29.17,"79,353,463",-29.80
2013M03,"12,213,271",-11.05,"32,531,824",29.10,"20,049,239",-42.32,"77,929,143",-34.00
2013M04,"13,358,508",9.18,"32,317,440",32.49,"23,666,452",-34.00,"77,581,648",-36.13
