期間,總人口_原始值,總人口_年增率(%),總人口_原始值,總人口_年增率(%),總人口_原始值,總人口_年增率(%),未滿15歲人口_原始值,未滿15歲人口_年增率(%),未滿15歲人口_原始值,未滿15歲人口_年增率(%),未滿15歲人口_原始值,未滿15歲人口_年增率(%),未滿15歲人口-未婚_原始值,未滿15歲人口-未婚_年增率(%),未滿15歲人口-未婚_原始值,未滿15歲人口-未婚_年增率(%),未滿15歲人口-未婚_原始值,未滿15歲人口-未婚_年增率(%),未滿15歲人口-有偶_原始值,未滿15歲人口-有偶_年增率(%),未滿15歲人口-有偶_原始值,未滿15歲人口-有偶_年增率(%),未滿15歲人口-有偶_原始值,未滿15歲人口-有偶_年增率(%),未滿15歲人口-離婚_原始值,未滿15歲人口-離婚_年增率(%),未滿15歲人口-離婚_原始值,未滿15歲人口-離婚_年增率(%),未滿15歲人口-離婚_原始值,未滿15歲人口-離婚_年增率(%),未滿15歲人口-喪偶_原始值,未滿15歲人口-喪偶_年增率(%),未滿15歲人口-喪偶_原始值,未滿15歲人口-喪偶_年增率(%),未滿15歲人口-喪偶_原始值,未滿15歲人口-喪偶_年增率(%),15歲以上人口_原始值,15歲以上人口_年增率(%),15歲以上人口_原始值,15歲以上人口_年增率(%),15歲以上人口_原始值,15歲以上人口_年增率(%),15歲以上人口-未婚_原始值,15歲以上人口-未婚_年增率(%),15歲以上人口-未婚_原始值,15歲以上人口-未婚_年增率(%),15歲以上人口-未婚_原始值,15歲以上人口-未婚_年增率(%),15歲以上人口-有偶_原始值,15歲以上人口-有偶_年增率(%),15歲以上人口-有偶_原始值,15歲以上人口-有偶_年增率(%),15歲以上人口-有偶_原始值,15歲以上人口-有偶_年增率(%),15歲以上人口-離婚_原始值,15歲以上人口-離婚_年增率(%),15歲以上人口-離婚_原始值,15歲以上人口-離婚_年增率(%),15歲以上人口-離婚_原始值,15歲以上人口-離婚_年增率(%),15歲以上人口-喪偶_原始值,15歲以上人口-喪偶_年增率(%),15歲以上人口-喪偶_原始值,15歲以上人口-喪偶_年增率(%),15歲以上人口-喪偶_原始值,15歲以上人口-喪偶_年增率(%)
1976,"16,579,737",...,"8,678,165",...,"7,901,572",...,"5,754,486",...,"2,959,506",...,"2,794,980",...,"5,754,308",...,"2,959,500",...,"2,794,808",...,177,...,6,...,171,...,1,...,0,...,1,...,0,...,0,...,0,...,"10,825,251",...,"5,718,659",...,"5,106,592",...,"4,024,562",...,"2,429,152",...,"1,595,410",...,"6,204,882",...,"3,105,301",...,"3,099,581",...,"97,796",...,"53,621",...,"44,175",...,"498,011",...,"130,585",...,"367,426",...
1977,"16,882,053",1.82,"8,829,635",1.75,"8,052,418",1.91,"5,735,285",-0.33,"2,950,028",-0.32,"2,785,257",-0.35,"5,735,098",-0.33,"2,950,026",-0.32,"2,785,072",-0.35,185,4.52,2,-66.67,183,7.02,1,0.00,0,--,1,0.00,1,--,0,--,1,--,"11,146,768",2.97,"5,879,607",2.81,"5,267,161",3.14,"4,122,355",2.43,"2,483,461",2.24,"1,638,894",2.73,"6,417,691",3.43,"3,211,267",3.41,"3,206,424",3.45,"103,355",5.68,"55,599",3.69,"47,756",8.11,"503,367",1.08,"129,280",-1.00,"374,087",1.81
1978,"17,202,491",1.90,"8,991,263",1.83,"8,211,228",1.97,"5,727,345",-0.14,"2,949,924",0.00,"2,777,421",-0.28,"5,727,104",-0.14,"2,949,900",0.00,"2,777,204",-0.28,237,28.11,24,"1,100.00",213,16.39,4,300.00,0,--,4,300.00,0,-100.00,0,--,0,-100.00,"11,475,146",2.95,"6,041,339",2.75,"5,433,807",3.16,"4,219,683",2.36,"2,528,855",1.83,"1,690,828",3.17,"6,629,185",3.30,"3,320,372",3.40,"3,308,813",3.19,"108,434",4.91,"58,862",5.87,"49,572",3.80,"517,844",2.88,"133,250",3.07,"384,594",2.81
1979,"17,543,067",1.98,"9,160,239",1.88,"8,382,828",2.09,"5,740,709",0.23,"2,956,783",0.23,"2,783,926",0.23,"5,740,598",0.24,"2,956,779",0.23,"2,783,819",0.24,109,-54.01,4,-83.33,105,-50.70,1,-75.00,0,--,1,-75.00,1,--,0,--,1,--,"11,802,358",2.85,"6,203,456",2.68,"5,598,902",3.04,"4,323,775",2.47,"2,582,327",2.11,"1,741,448",2.99,"6,822,275",2.91,"3,417,847",2.94,"3,404,428",2.89,"118,666",9.44,"64,124",8.94,"54,542",10.03,"537,642",3.82,"139,158",4.43,"398,484",3.61
1980,"17,866,008",1.84,"9,320,105",1.75,"8,545,903",1.95,"5,739,248",-0.03,"2,957,431",0.02,"2,781,817",-0.08,"5,739,109",-0.03,"2,957,423",0.02,"2,781,686",-0.08,138,26.61,8,100.00,130,23.81,1,0.00,0,--,1,0.00,0,-100.00,0,--,0,-100.00,"12,126,760",2.75,"6,362,674",2.57,"5,764,086",2.95,"4,382,738",1.36,"2,610,799",1.10,"1,771,939",1.75,"7,072,961",3.67,"3,540,754",3.60,"3,532,207",3.75,"129,715",9.31,"69,321",8.10,"60,394",10.73,"541,346",0.69,"141,800",1.90,"399,546",0.27
1981,"18,193,955",1.84,"9,479,508",1.71,"8,714,447",1.97,"5,754,357",0.26,"2,964,227",0.23,"2,790,130",0.30,"5,754,268",0.26,"2,964,221",0.23,"2,790,047",0.30,89,-35.51,6,-25.00,83,-36.15,0,-100.00,0,--,0,-100.00,0,--,0,--,0,--,"12,439,598",2.58,"6,515,281",2.40,"5,924,317",2.78,"4,449,294",1.52,"2,646,716",1.38,"1,802,578",1.73,"7,290,859",3.08,"3,646,154",2.98,"3,644,705",3.18,"143,342",10.51,"76,799",10.79,"66,543",10.18,"556,103",2.73,"145,612",2.69,"410,491",2.74
1982,"18,515,754",1.77,"9,636,285",1.65,"8,879,469",1.89,"5,785,356",0.54,"2,978,146",0.47,"2,807,210",0.61,"5,785,254",0.54,"2,978,145",0.47,"2,807,109",0.61,101,13.48,1,-83.33,100,20.48,1,--,0,--,1,--,0,--,0,--,0,--,"12,730,398",2.34,"6,658,139",2.19,"6,072,259",2.50,"4,503,526",1.22,"2,676,741",1.13,"1,826,785",1.34,"7,500,242",2.87,"3,750,850",2.87,"3,749,392",2.87,"157,421",9.82,"83,517",8.75,"73,904",11.06,"569,209",2.36,"147,031",0.97,"422,178",2.85
1983,"18,790,538",1.48,"9,769,572",1.38,"9,020,966",1.59,"5,789,914",0.08,"2,980,307",0.07,"2,809,607",0.09,"5,789,856",0.08,"2,980,302",0.07,"2,809,554",0.09,56,-44.55,5,400.00,51,-49.00,0,-100.00,0,--,0,-100.00,2,--,0,--,2,--,"13,000,624",2.12,"6,789,265",1.97,"6,211,359",2.29,"4,561,368",1.28,"2,704,969",1.05,"1,856,399",1.62,"7,682,336",2.43,"3,841,376",2.41,"3,840,960",2.44,"174,160",10.63,"91,777",9.89,"82,383",11.47,"582,760",2.38,"151,143",2.80,"431,617",2.24
1984,"19,069,194",1.48,"9,904,853",1.38,"9,164,341",1.59,"5,758,317",-0.55,"2,964,697",-0.52,"2,793,620",-0.57,"5,758,260",-0.55,"2,964,690",-0.52,"2,793,570",-0.57,57,1.79,7,40.00,50,-1.96,0,--,0,--,0,--,0,-100.00,0,--,0,-100.00,"13,310,877",2.39,"6,940,156",2.22,"6,370,721",2.57,"4,649,973",1.94,"2,749,005",1.63,"1,900,968",2.40,"7,871,107",2.46,"3,935,988",2.46,"3,935,119",2.45,"189,846",9.01,"99,791",8.73,"90,055",9.31,"599,951",2.95,"155,372",2.80,"444,579",3.00
1985,"19,313,825",1.28,"10,023,344",1.20,"9,290,481",1.38,"5,716,144",-0.73,"2,943,344",-0.72,"2,772,800",-0.75,"5,716,071",-0.73,"2,943,343",-0.72,"2,772,728",-0.75,73,28.07,1,-85.71,72,44.00,0,--,0,--,0,--,0,--,0,--,0,--,"13,597,681",2.15,"7,080,000",2.01,"6,517,681",2.31,"4,736,547",1.86,"2,791,765",1.56,"1,944,782",2.30,"8,043,506",2.19,"4,020,158",2.14,"4,023,348",2.24,"207,433",9.26,"108,816",9.04,"98,617",9.51,"610,195",1.71,"159,261",2.50,"450,934",1.43
