期間,總出境人數(人次)_原始值,總出境人數(人次)_年增率(%),男_原始值,男_年增率(%),女_原始值,女_年增率(%),0 - 14 歲_原始值,0 - 14 歲_年增率(%),15 - 64歲_原始值,15 - 64歲_年增率(%),65歲以上_原始值,65歲以上_年增率(%),本國人民 (含金馬地區)_原始值,本國人民 (含金馬地區)_年增率(%),大陸地區人民_原始值,大陸地區人民_年增率(%),香港澳門居民_原始值,香港澳門居民_年增率(%),本國無戶籍國民_原始值,本國無戶籍國民_年增率(%),外國人_原始值,外國人_年增率(%)
2008M03,"1,001,190",-3.71,"575,142",-5.35,"426,048",-1.40,"33,819",0.43,"887,771",-3.61,"79,600",-6.35,"663,305",-7.36,"15,287",-29.01,"48,758",79.97,"1,828",24.52,"272,012",-0.59
2008M04,"1,060,567",0.06,"607,525",0.61,"453,042",-0.68,"33,455",-18.65,"929,958",0.09,"97,154",8.30,"769,832",2.37,"18,074",-24.12,"36,166",-15.49,"1,685",11.59,"234,810",-2.10
2008M05,"1,045,212",-0.29,"597,394",-1.70,"447,818",1.65,"32,125",5.36,"929,410",0.22,"83,677",-7.53,"733,000",-3.20,"20,346",-17.49,"47,883",44.99,"1,497",13.15,"242,486",4.48
2008M06,"1,061,733",-4.50,"601,734",-4.25,"459,999",-4.84,"61,986",-3.27,"933,247",-4.19,"66,500",-9.72,"726,563",-8.32,"21,762",-10.67,"57,780",48.97,"1,586",-1.98,"254,042",-0.19
2008M07,"1,149,063",-2.81,"632,195",-3.08,"516,868",-2.48,"127,093",-3.25,"965,570",-2.74,"56,400",-3.04,"838,607",-5.92,"28,061",12.50,"52,616",32.49,"1,959",4.20,"227,820",1.53
2008M08,"1,086,682",-5.38,"599,520",-5.76,"487,162",-4.92,"109,276",-4.54,"929,151",-5.44,"48,255",-6.11,"761,432",-8.79,"27,606",7.30,"60,673",43.33,"2,185",-4.50,"234,786",-3.54
2008M09,"938,826",-9.29,"538,696",-7.72,"400,130",-11.32,"21,229",-30.39,"850,212",-9.14,"67,385",-2.03,"657,988",-13.28,"26,434",27.39,"36,772",33.22,"1,387",-6.60,"216,245",-4.48
2008M10,"1,059,197",-2.20,"610,516",-2.08,"448,681",-2.37,"28,887",-4.58,"945,211",-2.37,"85,099",0.51,"732,191",-4.86,"32,596",42.19,"37,450",12.36,"2,493",97.08,"254,467",-0.58
2008M11,"908,475",-7.61,"539,008",-7.30,"369,467",-8.06,"23,352",-9.40,"813,340",-7.63,"71,783",-6.83,"583,775",-11.70,"32,744",38.29,"36,202",20.66,"2,594",98.17,"253,160",-5.26
2008M12,"909,968",-7.29,"522,891",-8.29,"387,077",-5.90,"40,829",-9.25,"817,542",-7.05,"51,597",-9.47,"558,945",-10.77,"32,981",24.97,"50,926",19.28,"3,243",94.31,"263,873",-7.20
2009M01,"997,035",0.20,"533,415",-4.64,"463,620",6.41,"89,391",19.77,"856,479",-1.16,"51,165",-5.04,"674,519",1.76,"39,410",66.24,"43,760",39.02,"3,417",38.56,"235,929",-14.07
2009M02,"907,665",-15.79,"530,650",-14.35,"377,015",-17.74,"50,418",-37.68,"802,168",-14.93,"55,079",1.85,"618,982",-20.30,"42,602",58.80,"37,655",-6.63,"1,904",-1.04,"206,522",-11.04
2009M03,"1,009,345",0.81,"562,119",-2.26,"447,226",4.97,"28,188",-16.65,"882,934",-0.54,"98,223",23.40,"620,797",-6.41,"79,498",420.04,"52,680",8.04,"2,669",46.01,"253,701",-6.73
2009M04,"1,125,623",6.13,"622,171",2.41,"503,452",11.13,"40,237",20.27,"961,936",3.44,"123,450",27.07,"695,011",-9.72,"119,466",560.98,"75,022",107.44,"2,718",61.31,"233,406",-0.60
2009M05,"1,021,600",-2.26,"562,511",-5.84,"459,089",2.52,"31,378",-2.33,"896,703",-3.52,"93,519",11.76,"635,635",-13.28,"117,985",479.89,"59,524",24.31,"2,597",73.48,"205,859",-15.10
2009M06,"913,879",-13.93,"529,305",-12.04,"384,574",-16.40,"42,080",-32.11,"811,982",-12.99,"59,817",-10.05,"591,187",-18.63,"59,820",174.88,"55,083",-4.67,"2,738",72.64,"205,051",-19.28
2009M07,"1,132,001",-1.48,"616,845",-2.43,"515,156",-0.33,"117,624",-7.45,"955,319",-1.06,"59,058",4.71,"794,198",-5.30,"62,265",121.89,"56,474",7.33,"3,439",75.55,"215,625",-5.35
2009M08,"1,199,317",10.37,"640,152",6.78,"559,165",14.78,"121,916",11.57,"1,019,804",9.76,"57,597",19.36,"817,785",7.40,"84,518",206.16,"70,187",15.68,"3,679",68.38,"223,148",-4.96
2009M09,"944,548",0.61,"534,016",-0.87,"410,532",2.60,"21,664",2.05,"856,220",0.71,"66,664",-1.07,"625,834",-4.89,"57,747",118.46,"33,287",-9.48,"1,880",35.54,"225,800",4.42
2009M10,"1,094,227",3.31,"625,802",2.50,"468,425",4.40,"33,605",16.33,"975,004",3.15,"85,618",0.61,"742,345",1.39,"64,760",98.67,"45,951",22.70,"2,359",-5.38,"238,812",-6.15
2009M11,"1,057,449",16.40,"604,122",12.08,"453,327",22.70,"25,143",7.67,"941,897",15.81,"90,409",25.95,"661,050",13.24,"106,432",225.04,"42,908",18.52,"3,477",34.04,"243,582",-3.78
2009M12,"1,097,849",20.65,"613,572",17.34,"484,277",25.11,"50,074",22.64,"976,451",19.44,"71,324",38.23,"665,603",19.08,"95,222",188.72,"54,910",7.82,"3,037",-6.35,"279,077",5.76
2010M01,"1,114,073",11.74,"611,495",14.64,"502,578",8.40,"76,379",-14.56,"970,849",13.35,"66,845",30.65,"731,609",8.46,"80,758",104.92,"44,279",1.19,"1,968",-42.41,"255,459",8.28
2010M02,"1,209,895",33.30,"654,172",23.28,"555,723",47.40,"116,818",131.70,"1,030,960",28.52,"62,117",12.78,"837,946",35.37,"114,609",169.02,"51,391",36.48,"1,857",-2.47,"204,092",-1.18
2010M03,"1,206,690",19.55,"662,154",17.80,"544,536",21.76,"35,451",25.77,"1,054,029",19.38,"117,210",19.33,"717,854",15.63,"130,512",64.17,"48,652",-7.65,"1,357",-49.16,"308,315",21.53
2010M04,"1,245,844",10.68,"680,579",9.39,"565,265",12.28,"41,129",2.22,"1,062,912",10.50,"141,803",14.87,"743,940",7.04,"177,297",48.41,"66,757",-11.02,"1,424",-47.61,"256,426",9.86
2010M05,"1,267,075",24.03,"696,172",23.76,"570,903",24.36,"35,604",13.47,"1,100,157",22.69,"131,314",40.41,"767,294",20.71,"176,487",49.58,"59,343",-0.30,"1,485",-42.82,"262,466",27.50
2010M06,"1,285,028",40.61,"704,314",33.06,"580,714",51.00,"57,148",35.81,"1,126,604",38.75,"101,276",69.31,"806,972",36.50,"142,581",138.35,"68,287",23.97,"1,384",-49.45,"265,804",29.63
2010M07,"1,416,314",25.12,"745,410",20.84,"670,904",30.23,"164,243",39.63,"1,178,485",23.36,"73,586",24.60,"987,584",24.35,"123,895",98.98,"65,688",16.32,"1,705",-50.42,"237,442",10.12
