期間,總指數_原始值,總指數_年增率(%),第 1 類動物產品_原始值,第 1 類動物產品_年增率(%),02肉類_原始值,02肉類_年增率(%),03魚、甲殼及軟體類動物_原始值,03魚、甲殼及軟體類動物_年增率(%),第 2 類植物產品_原始值,第 2 類植物產品_年增率(%),黃豆_原始值,黃豆_年增率(%),玉米_原始值,玉米_年增率(%),第 4 類調製食品、飲料、酒及菸類_原始值,第 4 類調製食品、飲料、酒及菸類_年增率(%),22飲料及酒類_原始值,22飲料及酒類_年增率(%),第 5 類礦產品_原始值,第 5 類礦產品_年增率(%),25粗鹽、石料及水泥_原始值,25粗鹽、石料及水泥_年增率(%),27能源礦產品_原始值,27能源礦產品_年增率(%),原油_原始值,原油_年增率(%),第 6 類化學或有關工業產品_原始值,第 6 類化學或有關工業產品_年增率(%),28無機化學產品及貴金屬化合物_原始值,28無機化學產品及貴金屬化合物_年增率(%),29有機化學產品_原始值,29有機化學產品_年增率(%),32著色料、漆類及油墨_原始值,32著色料、漆類及油墨_年增率(%),34界面活性劑、潤滑劑及擦光料_原始值,34界面活性劑、潤滑劑及擦光料_年增率(%),37感光或電影用品_原始值,37感光或電影用品_年增率(%),38雜項化學產品_原始值,38雜項化學產品_年增率(%),第 7 類塑、橡膠及其製品_原始值,第 7 類塑、橡膠及其製品_年增率(%),39塑膠及其製品_原始值,39塑膠及其製品_年增率(%),40橡膠及其製品_原始值,40橡膠及其製品_年增率(%),第 8 類皮革及其製品_原始值,第 8 類皮革及其製品_年增率(%),第 9 類木及木製品_原始值,第 9 類木及木製品_年增率(%),44木及木製品_原始值,44木及木製品_年增率(%),第10類木漿、紙及其製品_原始值,第10類木漿、紙及其製品_年增率(%),47木漿及回收紙製品_原始值,47木漿及回收紙製品_年增率(%),48紙、紙板及其製品_原始值,48紙、紙板及其製品_年增率(%),第11類紡織及其製品_原始值,第11類紡織及其製品_年增率(%),62非針、鉤針織之衣著_原始值,62非針、鉤針織之衣著_年增率(%),第13類石料製品、玻璃及玻璃器_原始值,第13類石料製品、玻璃及玻璃器_年增率(%),70玻璃及玻璃器_原始值,70玻璃及玻璃器_年增率(%),第15類基本金屬及其製品_原始值,第15類基本金屬及其製品_年增率(%),72鋼鐵_原始值,72鋼鐵_年增率(%),73鋼鐵製品_原始值,73鋼鐵製品_年增率(%),74銅及其製品_原始值,74銅及其製品_年增率(%),76鋁及其製品_原始值,76鋁及其製品_年增率(%),第16類機器、電機、電視影像及聲音記錄機等設備_原始值,第16類機器、電機、電視影像及聲音記錄機等設備_年增率(%),84鍋爐、機器、機械用具及其零件_原始值,84鍋爐、機器、機械用具及其零件_年增率(%),85電機、電視影像、聲音記錄等設備及其零件_原始值,85電機、電視影像、聲音記錄等設備及其零件_年增率(%),第17類運輸工具_原始值,第17類運輸工具_年增率(%),87運輸工具_原始值,87運輸工具_年增率(%),第18類光學、計量、醫療儀器、樂器及其零件_原始值,第18類光學、計量、醫療儀器、樂器及其零件_年增率(%),90光學、計量、檢查、醫療儀器及其零件_原始值,90光學、計量、檢查、醫療儀器及其零件_年增率(%),第20類雜項製品_原始值,第20類雜項製品_年增率(%)
1981,82.78,-,55.08,-,-,-,-,-,59.78,-,-,-,-,-,57.07,-,-,-,-,-,-,-,37.52,-,-,-,65.33,-,-,-,44.77,-,-,-,-,-,-,-,-,-,57.31,-,66.06,-,32.81,-,48.38,-,52.88,-,-,-,74.05,-,-,-,-,-,79.14,-,-,-,-,-,-,-,38.28,-,-,-,-,-,28.54,-,63.84,-,-,-,-,-,-,-,61.07,-,-,-,-,-,-,-,-,-
1982,81.86,-1.11,58.19,5.65,-,-,-,-,52.15,-12.76,-,-,-,-,52.58,-7.87,-,-,-,-,-,-,37.85,0.88,-,-,63.71,-2.48,-,-,43.78,-2.21,-,-,-,-,-,-,-,-,58.39,1.88,68.18,3.21,30.92,-5.76,47.36,-2.11,55.33,4.63,-,-,69.23,-6.51,-,-,-,-,76.41,-3.45,-,-,-,-,-,-,34.77,-9.17,-,-,-,-,26.17,-8.30,54.74,-14.25,-,-,-,-,-,-,61.90,1.36,-,-,-,-,-,-,-,-
1983,79.83,-2.48,59.17,1.68,-,-,-,-,52.55,0.77,-,-,-,-,57.22,8.82,-,-,-,-,-,-,34.45,-8.98,-,-,63.07,-1.00,-,-,44.17,0.89,-,-,-,-,-,-,-,-,58.24,-0.26,67.51,-0.98,32.27,4.37,51.15,8.00,54.18,-2.08,-,-,71.48,3.25,-,-,-,-,75.67,-0.97,-,-,-,-,-,-,34.94,0.49,-,-,-,-,26.97,3.06,64.35,17.56,-,-,-,-,-,-,63.38,2.39,-,-,-,-,-,-,-,-
1984,79.13,-0.88,58.59,-0.98,-,-,-,-,53.35,1.52,-,-,-,-,55.47,-3.06,-,-,-,-,-,-,33.35,-3.19,-,-,63.09,0.03,-,-,44.53,0.82,-,-,-,-,-,-,-,-,57.79,-0.77,67.16,-0.52,31.52,-2.32,54.90,7.33,55.66,2.73,-,-,73.16,2.35,-,-,-,-,76.28,0.81,-,-,-,-,-,-,35.35,1.17,-,-,-,-,26.97,0.00,63.92,-0.67,-,-,-,-,-,-,63.24,-0.22,-,-,-,-,-,-,-,-
1985,77.96,-1.48,58.25,-0.58,-,-,-,-,50.71,-4.95,-,-,-,-,49.72,-10.37,-,-,-,-,-,-,33.05,-0.90,-,-,62.66,-0.68,-,-,43.97,-1.26,-,-,-,-,-,-,-,-,57.86,0.12,67.78,0.92,30.02,-4.76,54.92,0.04,52.71,-5.30,-,-,67.76,-7.38,-,-,-,-,71.55,-6.20,-,-,-,-,-,-,34.80,-1.56,-,-,-,-,26.87,-0.37,61.30,-4.10,-,-,-,-,-,-,62.41,-1.31,-,-,-,-,-,-,-,-
1986,67.80,-13.03,54.39,-6.63,-,-,-,-,44.69,-11.87,-,-,-,-,48.69,-2.07,-,-,-,-,-,-,20.64,-37.55,-,-,59.75,-4.64,-,-,41.89,-4.73,-,-,-,-,-,-,-,-,57.17,-1.19,67.17,-0.90,29.10,-3.06,53.77,-2.09,51.78,-1.76,-,-,67.92,0.24,-,-,-,-,66.14,-7.56,-,-,-,-,-,-,33.45,-3.88,-,-,-,-,25.83,-3.87,61.38,0.13,-,-,-,-,-,-,63.59,1.89,-,-,-,-,-,-,-,-
1987,62.82,-7.35,46.12,-15.20,-,-,-,-,35.50,-20.56,-,-,-,-,43.75,-10.15,-,-,-,-,-,-,20.25,-1.89,-,-,56.44,-5.54,-,-,40.25,-3.92,-,-,-,-,-,-,-,-,54.26,-5.09,63.76,-5.08,27.58,-5.22,54.46,1.28,53.85,4.00,-,-,71.45,5.20,-,-,-,-,69.44,4.99,-,-,-,-,-,-,32.52,-2.78,-,-,-,-,25.72,-0.43,63.43,3.34,-,-,-,-,-,-,61.60,-3.13,-,-,-,-,-,-,-,-
1988,62.20,-0.99,46.68,1.21,-,-,-,-,42.39,19.41,-,-,-,-,44.96,2.77,-,-,-,-,-,-,15.44,-23.75,-,-,60.80,7.72,-,-,45.50,13.04,-,-,-,-,-,-,-,-,59.17,9.05,68.92,8.09,31.83,15.41,54.98,0.95,48.97,-9.06,-,-,70.53,-1.29,-,-,-,-,68.52,-1.32,-,-,-,-,-,-,37.63,15.71,-,-,-,-,32.21,25.23,85.67,35.06,-,-,-,-,-,-,60.36,-2.01,-,-,-,-,-,-,-,-
1989,58.87,-5.35,48.99,4.95,-,-,-,-,42.25,-0.33,-,-,-,-,41.31,-8.12,-,-,-,-,-,-,16.16,4.66,-,-,56.55,-6.99,-,-,40.77,-10.40,-,-,-,-,-,-,-,-,48.60,-17.86,55.62,-19.30,28.95,-9.05,53.29,-3.07,45.93,-6.21,-,-,65.13,-7.66,-,-,-,-,63.32,-7.59,-,-,-,-,-,-,37.21,-1.12,-,-,-,-,32.58,1.15,70.23,-18.02,-,-,-,-,-,-,54.85,-9.13,-,-,-,-,-,-,-,-
1990,60.25,2.34,48.61,-0.78,-,-,-,-,40.52,-4.09,-,-,-,-,43.54,5.40,-,-,-,-,-,-,20.38,26.11,-,-,53.65,-5.13,-,-,34.89,-14.42,-,-,-,-,-,-,-,-,48.20,-0.82,55.13,-0.88,28.82,-0.45,55.15,3.49,46.99,2.31,-,-,62.44,-4.13,-,-,-,-,64.10,1.23,-,-,-,-,-,-,35.47,-4.68,-,-,-,-,29.73,-8.75,64.41,-8.29,-,-,-,-,-,-,58.73,7.07,-,-,-,-,-,-,-,-
