期間,民意代表企業主管及經理人員_原始值,民意代表企業主管及經理人員_年增率(%),民意代表企業主管及經理人員_原始值,民意代表企業主管及經理人員_年增率(%),民意代表企業主管及經理人員_原始值,民意代表企業主管及經理人員_年增率(%),專業人員_原始值,專業人員_年增率(%),專業人員_原始值,專業人員_年增率(%),專業人員_原始值,專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),事務工作人員_原始值,事務工作人員_年增率(%),事務工作人員_原始值,事務工作人員_年增率(%),事務工作人員_原始值,事務工作人員_年增率(%),服務工作人員及售貨員_原始值,服務工作人員及售貨員_年增率(%),服務工作人員及售貨員_原始值,服務工作人員及售貨員_年增率(%),服務工作人員及售貨員_原始值,服務工作人員及售貨員_年增率(%),農林漁牧工作人員_原始值,農林漁牧工作人員_年增率(%),農林漁牧工作人員_原始值,農林漁牧工作人員_年增率(%),農林漁牧工作人員_原始值,農林漁牧工作人員_年增率(%),生產及有關工人、機械設備操作工及體力工_原始值,生產及有關工人、機械設備操作工及體力工_年增率(%),生產及有關工人、機械設備操作工及體力工_原始值,生產及有關工人、機械設備操作工及體力工_年增率(%),生產及有關工人、機械設備操作工及體力工_原始值,生產及有關工人、機械設備操作工及體力工_年增率(%)
1978,193,...,170,...,23,...,231,...,136,...,96,...,413,...,280,...,134,...,371,...,169,...,202,...,872,...,552,...,320,...,"1,531",...,"1,073",...,458,...,"2,620",...,"1,803",...,817,...
1979,215,11.57,193,13.74,22,-4.67,233,0.78,138,1.80,95,-0.67,454,9.79,310,10.70,144,7.89,382,2.98,165,-2.48,217,7.57,934,7.14,582,5.50,351,9.98,"1,359",-11.28,948,-11.68,411,-10.33,"2,855",8.97,"1,969",9.20,886,8.48
1980,245,13.91,221,14.56,23,8.08,253,8.51,148,7.29,105,10.29,498,9.65,335,8.16,163,12.87,416,8.73,174,5.43,241,11.25,968,3.63,601,3.30,366,4.16,"1,256",-7.57,862,-9.03,394,-4.21,"2,913",2.03,"2,014",2.29,899,1.45
1981,263,7.59,236,6.64,27,16.50,255,0.84,146,-1.76,110,4.52,530,6.39,353,5.37,176,8.49,428,2.86,175,0.39,253,4.64,"1,023",5.72,636,5.66,387,5.82,"1,237",-1.47,873,1.25,364,-7.45,"2,936",0.80,"2,030",0.79,906,0.84
1982,258,-1.90,232,-1.87,27,-2.16,265,3.85,149,2.20,116,6.06,547,3.27,359,1.54,188,6.73,455,6.43,187,6.68,268,6.25,"1,067",4.30,652,2.56,415,7.17,"1,261",1.90,898,2.81,363,-0.28,"2,957",0.73,"2,034",0.22,923,1.86
1983,266,2.97,238,2.66,28,5.61,279,5.42,154,3.33,126,8.11,567,3.65,361,0.70,206,9.26,482,5.92,191,2.37,291,8.38,"1,126",5.53,663,1.64,463,11.63,"1,292",2.49,895,-0.30,397,9.37,"3,057",3.38,"2,060",1.25,997,8.05
1984,277,3.93,246,3.37,31,8.58,293,5.02,163,5.98,130,3.86,596,5.17,373,3.45,223,8.21,509,5.72,198,3.51,312,7.16,"1,170",3.87,683,3.14,486,4.92,"1,266",-2.03,872,-2.56,394,-0.83,"3,197",4.57,"2,126",3.22,"1,071",7.36
1985,287,3.68,249,1.25,38,23.21,308,5.02,171,4.94,137,5.12,628,5.40,388,3.82,241,8.05,511,0.37,197,-0.30,314,0.80,"1,225",4.72,709,3.74,516,6.09,"1,282",1.26,884,1.38,398,0.99,"3,187",-0.31,"2,122",-0.21,"1,065",-0.51
1986,298,4.08,259,3.97,40,4.84,328,6.50,181,5.96,147,7.18,674,7.24,406,4.59,268,11.50,540,5.69,201,1.98,340,8.01,"1,264",3.20,713,0.64,551,6.73,"1,304",1.74,891,0.75,413,3.93,"3,324",4.30,"2,170",2.28,"1,154",8.31
1987,315,5.39,271,4.59,44,10.60,357,8.72,193,6.58,164,11.36,732,8.70,426,5.10,306,14.15,591,9.40,211,4.79,381,12.12,"1,286",1.76,726,1.74,560,1.79,"1,212",-7.06,838,-5.93,374,-9.50,"3,529",6.17,"2,301",6.04,"1,228",6.42
