期間,合計_原始值,合計_年增率(%),銀行對顧客市場--小計_原始值,銀行對顧客市場--小計_年增率(%),銀行對顧客市場--即期_原始值,銀行對顧客市場--即期_年增率(%),銀行對顧客市場--遠期_原始值,銀行對顧客市場--遠期_年增率(%),銀行對顧客市場--換匯_原始值,銀行對顧客市場--換匯_年增率(%),銀行對顧客市場--保證金交易_原始值,銀行對顧客市場--保證金交易_年增率(%),銀行對顧客市場--選擇權_原始值,銀行對顧客市場--選擇權_年增率(%),銀行對顧客市場--換匯換利_原始值,銀行對顧客市場--換匯換利_年增率(%),銀行間市場--小計_原始值,銀行間市場--小計_年增率(%),銀行間市場--即期_原始值,銀行間市場--即期_年增率(%),銀行間市場--遠期_原始值,銀行間市場--遠期_年增率(%),銀行間市場--換匯_原始值,銀行間市場--換匯_年增率(%),銀行間市場--選擇權_原始值,銀行間市場--選擇權_年增率(%),銀行間市場--換匯換利_原始值,銀行間市場--換匯換利_年增率(%),全體外匯銀行外匯交易淨部位(期底數)_原始值,全體外匯銀行外匯交易淨部位(期底數)_年增率(%),外匯存底(期底數)_原始值,外匯存底(期底數)_年增率(%)
1999,"4,182",...,"1,760",...,"1,300",...,184,...,10,...,128,...,138,...,2,...,"2,422",...,"1,506",...,143,...,620,...,145,...,9,...,-482,--,"106,200",17.55
2000,"4,886",16.83,"2,175",23.58,"1,648",26.77,216,17.39,21,110.00,107,-16.41,178,28.99,6,200.00,"2,711",11.93,"1,567",4.05,189,32.17,692,11.61,255,75.86,8,-11.11,304,--,"106,742",0.51
2001,"4,706",-3.68,"2,050",-5.75,"1,481",-10.13,214,-0.93,54,157.14,87,-18.69,194,8.99,19,216.67,"2,656",-2.03,"1,597",1.91,166,-12.17,643,-7.08,236,-7.45,14,75.00,260,--,"122,211",14.49
2002,"5,608",19.17,"2,071",1.02,"1,420",-4.12,227,6.07,76,40.74,103,18.39,238,22.68,7,-63.16,"3,537",33.17,"2,055",28.68,226,36.14,871,35.46,357,51.27,28,100.00,-187,--,"161,656",32.28
2003,"7,297",30.12,"2,445",18.06,"1,487",4.72,279,22.91,197,159.21,136,32.04,333,39.92,13,85.71,"4,852",37.18,"2,718",32.26,340,50.44,"1,235",41.79,514,43.98,44,57.14,-518,--,"206,632",27.82
2004,"10,243",40.37,"3,331",36.24,"1,760",18.36,444,59.14,422,114.21,120,-11.76,558,67.57,28,115.38,"6,912",42.46,"3,357",23.51,643,89.12,"2,023",63.81,849,65.18,41,-6.82,-384,--,"241,738",16.99
2005,"12,074",17.88,"3,815",14.53,"1,892",7.50,490,10.36,822,94.79,98,-18.33,428,-23.30,86,207.14,"8,259",19.49,"4,339",29.25,616,-4.20,"2,479",22.54,753,-11.31,73,78.05,-112,--,"253,290",4.78
2006,"15,632",29.47,"5,249",37.59,"2,654",40.27,928,89.39,916,11.44,152,55.10,499,16.59,100,16.28,"10,383",25.72,"4,995",15.12,721,17.05,"3,504",41.35,"1,072",42.36,91,24.66,-24,--,"266,148",5.08
2007,"18,623",19.13,"5,901",12.42,"3,481",31.16,"1,093",17.78,774,-15.50,172,13.16,343,-31.26,39,-61.00,"12,722",22.53,"6,227",24.66,847,17.48,"4,691",33.88,878,-18.10,79,-13.19,-471,--,"270,311",1.56
2008,"19,367",4.00,"6,030",2.19,"3,698",6.23,"1,029",-5.86,774,0.00,139,-19.19,328,-4.37,62,58.97,"13,337",4.83,"6,108",-1.91,813,-4.01,"5,407",15.26,911,3.76,98,24.05,22,--,"291,707",7.92
2009,"16,222",-16.24,"4,198",-30.38,"2,347",-36.53,498,-51.60,911,17.70,83,-40.29,313,-4.57,46,-25.81,"12,025",-9.84,"4,932",-19.25,627,-22.88,"5,492",1.57,911,0.00,61,-37.76,8,--,"348,198",19.37
2010,"20,232",24.72,"4,952",17.96,"2,734",16.49,533,7.03,"1,198",31.50,73,-12.05,357,14.06,58,26.09,"15,279",27.06,"5,938",20.40,616,-1.75,"7,365",34.10,"1,324",45.33,36,-40.98,118,--,"382,005",9.71
2011,"24,169",19.46,"6,219",25.59,"3,286",20.19,602,12.95,"1,814",51.42,77,5.48,389,8.96,51,-12.07,"17,950",17.48,"7,058",18.86,"1,063",72.56,"8,051",9.31,"1,731",30.74,47,30.56,269,--,"385,547",0.93
2012,"23,408",-3.15,"6,295",1.22,"3,168",-3.59,557,-7.48,"1,973",8.77,78,1.30,476,22.37,44,-13.73,"17,113",-4.66,"5,766",-18.31,"1,064",0.09,"8,190",1.73,"2,014",16.35,79,68.09,146,...,"403,169",4.57
2013,"28,929",23.59,"7,175",13.98,"3,548",11.99,669,20.11,"2,165",9.73,88,12.82,664,39.50,41,-6.82,"21,754",27.12,"7,265",26.00,835,-21.52,"9,900",20.88,"3,662",81.83,92,16.46,355,...,"416,811",3.38
