期間,家庭及非營利團體_資金用途,家庭及非營利團體_資金來源,企業-民營_資金用途,企業-民營_資金來源,企業-公營_資金用途,企業-公營_資金來源,政府_資金用途,政府_資金來源,金融機構-中央銀行_資金用途,金融機構-中央銀行_資金來源,金融機構-存款貨幣機構_資金用途,金融機構-存款貨幣機構_資金來源,金融機構-保險公司及退休基金_資金用途,金融機構-保險公司及退休基金_資金來源,金融機構-其他_資金用途,金融機構-其他_資金來源,本國全體部門_資金用途,本國全體部門_資金來源
1983,,,,,,,,,,,,,,,,,,,非金融性交易,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.儲蓄毛額,...,"325,657",...,"114,652",...,"96,264",...,"118,118",...,...,...,...,...,"21,159",...,...,...,"675,850",2.資本移轉淨額,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3.投資毛額,"102,260",...,"156,243",...,"147,034",...,"78,167",...,...,...,"9,157",...,...,...,...,...,"492,861",...,4.非生產性資產購入淨額,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5.資金剩餘 (1+2-3-4),"223,397",...,"-41,591",...,"-50,770",...,"39,951",...,...,...,"12,002",...,...,...,...,...,"182,989",...,金融性交易,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6.國內金融交易,"483,866","131,542","56,889","161,483","18,576","122,072","52,460","19,871","-60,149","59,026","293,254","354,242","11,863","-7,774","101,631","117,927","958,390","958,390",(1)通貨,"13,239",...,"7,825",...,-158,...,10,...,...,"26,775","5,432",...,26,...,401,...,"26,775","26,775",(2)活期性存款,"48,282",...,"24,969",...,-69,...,...,...,...,...,822,"74,079",110,...,-35,...,"74,079","74,079",(3)定期性存款及外匯存款,"214,987",...,"11,791",...,"11,540",...,...,...,...,...,"27,185","192,886","3,240",...,137,"75,994","268,880","268,880",(4)信託資金,"22,321",...,475,...,"2,286",...,-10,...,...,...,...,"3,154",...,...,...,"21,918","25,072","25,072",(5)政府存款,...,...,...,...,...,...,"23,981",...,...,"5,153",...,"18,699",...,...,...,129,"23,981","23,981",(6)準備性存款,...,...,...,...,...,...,...,...,...,"22,644","14,918",...,...,...,"7,726",...,"22,644","22,644",(7)非準備存款,...,...,...,...,...,...,...,...,...,"2,760","-3,524",...,...,...,"6,284",...,"2,760","2,760",(8)中央銀行單券,...,...,...,...,...,...,...,...,...,"12,467","12,089",...,-67,...,445,...,"12,467","12,467",(9)中央銀行融通,...,...,...,...,...,...,...,...,"-46,972",...,...,"-44,938",...,...,...,"-2,034","-46,972","-46,972",(10)金融機構同業往來,...,...,...,...,...,...,...,...,...,...,"1,358","71,799",...,...,"71,799","1,358","73,157","73,157",(11)金融機構放款,...,"126,624",...,"81,905",...,"-2,004",...,966,"-4,096",...,"200,631",...,"5,099",...,"6,017",160,"207,651","207,651",(12)企業對家庭之借貸,"25,998","1,196","1,572","27,018",-376,"-1,020",...,...,...,...,...,...,...,...,...,...,"27,194","27,194",(13)政府機關貸款,...,-495,...,-88,...,"3,302","2,631",-88,...,...,...,...,...,...,...,...,"2,631","2,631",(14)政府債券,"9,898",...,302,...,28,...,...,"17,552",117,...,"4,377",...,257,...,"2,573",...,"17,552","17,552",(15)商業本票,"-2,303",...,820,"2,127","-4,695","-1,632",...,...,"-6,046",...,"9,692",...,621,...,"2,688",282,777,777,(16)銀行承兌匯票,376,...,468,"21,594","4,611","3,766",...,...,...,...,"14,591",...,"2,349",...,"2,965",...,"25,360","25,360",(17)公司債,...,...,-100,"2,300",...,"-2,611",...,...,"-3,205",...,"3,042",...,407,...,-455,...,-311,-311,(18)金融債券,"-2,072",...,-198,...,...,...,...,...,...,...,"1,034","-1,333",-390,...,293,...,"-1,333","-1,333",(19)共同基金,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,(20)公司股權,"91,566",...,"6,017","6,073","1,205","115,967","32,587",...,53,...,"1,607","9,666",211,400,793,"1,932","134,039","134,039",(21)非公司企業權益,"9,074",...,...,"5,915",...,"3,013","-4,052",...,...,...,...,"4,008",...,"-7,914",...,...,"5,022","5,022",(22)人壽保險準備,"18,019",...,...,...,...,...,...,...,...,...,...,...,...,...,...,"18,019","18,019","18,019",(23)退休金準備,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,(24)商業信用,"14,699","4,217","3,244","14,639","4,204","3,291",...,...,...,...,...,...,...,...,...,...,"22,147","22,147",(25)其他國內債權債務淨額,"19,782",...,-296,...,...,...,"-2,687","1,441",...,"-10,773",...,"26,222",...,-260,...,169,"16,799","16,799",7.國外金融交易,...,...,"32,857","31,647","-3,192","7,512",-311,"1,505","140,097",...,"34,047","-19,877",...,...,...,-278,"203,498","20,509",(26)貿易信用,...,...,"18,619",-395,"-1,890","-2,518",-393,...,...,...,...,...,...,...,...,...,"16,336","-2,913",(27)直接投資,...,...,-361,"4,858","1,001",...,...,...,...,...,120,875,...,...,...,236,760,"5,969",(28)有價證券投資,...,...,...,"1,645",...,-3,...,...,...,...,...,...,...,...,...,...,...,"1,642",(29)其他國外債權債務,...,...,"14,599","25,539","-2,303","10,033",82,"1,505",...,...,"33,927","-20,752",...,...,...,-514,"46,305","15,811",(30)中央銀行準備資產,...,...,...,...,...,...,...,...,"140,097",...,...,...,...,...,...,...,"140,097",...,8.合計 (6+7),"483,866","131,542","89,746","193,130","15,384","129,584","52,149","21,376","79,948","59,026","327,301","334,365","11,863","-7,774","101,631","117,649","1,161,888","978,898",9.金融性投資淨額,"352,324",...,"-103,384",...,"-114,200",...,"30,773",...,"20,922",...,"-7,064",...,"19,637",...,"-16,018",...,"182,990",...,統計差異 (9-5),"128,927",...,"-61,793",...,"-63,430",...,"-9,178",...,...,...,"5,475",...,...,...,...,...,0,...
1984,,,,,,,,,,,,,,,,,,,非金融性交易,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.儲蓄毛額,...,"388,149",...,"127,236",...,"111,893",...,"135,846",...,...,...,...,...,"37,363",...,...,...,"800,487",2.資本移轉淨額,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3.投資毛額,"118,271",...,"186,710",...,"122,569",...,"82,720",...,...,...,"9,101",...,...,...,...,...,"519,371",...,4.非生產性資產購入淨額,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5.資金剩餘 (1+2-3-4),"269,878",...,"-59,474",...,"-10,676",...,"53,126",...,...,...,"28,262",...,...,...,...,...,"281,116",...,金融性交易,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6.國內金融交易,"492,391","136,526","65,465","182,005","8,017","59,442","37,839","29,721","-58,572","74,722","279,444","322,898","11,210",-357,"112,955","143,792","948,749","948,749",(1)通貨,"1,878",...,"6,336",...,1,...,-117,...,...,"13,829","5,285",...,1,...,445,...,"13,829","13,829",(2)活期性存款,"23,220",...,"25,555",...,"-1,185",...,...,...,...,...,534,"48,173",19,...,30,...,"48,173","48,173",(3)定期性存款及外匯存款,"224,330",...,"17,687",...,"15,610",...,...,...,...,...,"29,494","215,220","4,750",...,-146,"76,505","291,725","291,725",(4)信託資金,"41,688",...,-98,...,"-4,778",...,-67,...,...,...,...,"5,127",...,...,...,"31,618","36,745","36,745",(5)政府存款,...,...,...,...,...,...,"20,723",...,...,"-1,622",...,"22,215",...,...,...,130,"20,723","20,723",(6)準備性存款,...,...,...,...,...,...,...,...,...,"32,699","26,554",...,...,...,"6,145",...,"32,699","32,699",(7)非準備存款,...,...,...,...,...,...,...,...,...,"20,603",378,...,...,...,"20,225",...,"20,603","20,603",(8)中央銀行單券,6,...,...,...,...,...,...,...,...,"9,213","7,733",...,84,...,"1,390",...,"9,213","9,213",(9)中央銀行融通,...,...,...,...,...,...,...,...,"-59,117",...,...,"-59,268",...,...,...,151,"-59,117","-59,117",(10)金融機構同業往來,...,...,...,...,...,...,...,...,...,...,"4,945","72,268",...,...,"72,268","4,945","77,213","77,213",(11)金融機構放款,...,"99,845",...,"97,379",...,"-11,847",...,"-5,292",-857,...,"174,595",...,"6,820",...,"-1,375",-902,"179,183","179,183",(12)企業對家庭之借貸,"34,757",330,434,"39,489",-104,"-4,732",...,...,...,...,...,...,...,...,...,...,"35,087","35,087",(13)政府機關貸款,...,"3,170",...,-338,...,"-3,074",77,319,...,...,...,...,...,...,...,...,77,77,(14)政府債券,"9,275",...,-178,...,134,...,670,"4,171",-403,...,"-6,693",...,677,...,689,...,"4,171","4,171",(15)商業本票,"-4,691",...,-799,"16,154",-842,"1,660",...,...,...,...,"22,669",...,-346,...,"2,370",547,"18,361","18,361",(16)銀行承兌匯票,"21,010",...,-262,"10,239","-4,090","7,883",...,...,...,...,"5,116",...,"-1,463",...,"-2,189",...,"18,122","18,122",(17)公司債,...,...,562,"5,335",...,"2,233",...,...,"-3,539",...,"6,193",...,74,...,"4,278",...,"7,568","7,568",(18)金融債券,"-1,143",...,-390,...,...,...,...,...,...,...,"1,239",-251,194,...,-151,...,-251,-251,(19)共同基金,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,(20)公司股權,"85,003",...,"5,123","14,266",969,"95,867","28,036",...,38,...,"1,390","9,756",400,569,"1,112","1,613","122,071","122,071",(21)非公司企業權益,"9,802",...,...,"8,236",...,"3,230","4,990",...,...,...,12,"3,006",...,332,...,...,"14,804","14,804",(22)人壽保險準備,"29,185",...,...,...,...,...,...,...,...,...,...,...,...,...,...,"29,185","29,185","29,185",(23)退休金準備,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,(24)商業信用,"7,355","10,454","5,587","3,499",414,-597,...,...,...,...,...,...,...,...,...,...,"13,356","13,356",(25)其他國內債權債務淨額,"10,716","22,727","5,908","-12,254","1,888","-31,181","-16,473","30,523","5,306",...,...,"6,652",...,"-1,258","7,864",...,"15,209","15,209",7.國外金融交易,...,...,"17,033","13,985","6,717","-34,029",321,"-4,348","162,135",...,"69,152","-1,486",...,...,...,120,"255,358","-25,758",(26)貿易信用,...,...,"-4,779",870,"7,192",737,...,...,...,...,...,...,...,...,...,...,"2,413","1,607",(27)直接投資,...,...,"3,046","7,534","-1,156",...,...,...,...,...,896,257,...,...,...,168,"2,786","7,959",(28)有價證券投資,...,...,...,"2,389",...,...,...,...,...,...,...,"-4,358",...,...,...,...,...,"-1,969",(29)其他國外債權債務,...,...,"18,766","3,192",681,"-34,766",321,"-4,348",...,...,"68,256","2,615",...,...,...,-48,"88,024","-33,355",(30)中央銀行準備資產,...,...,...,...,...,...,...,...,"162,135",...,...,...,...,...,...,...,"162,135",...,8.合計 (6+7),"492,391","136,526","82,498","195,990","14,734","25,413","38,160","25,373","103,563","74,722","348,596","321,412","11,210",-357,"112,955","143,912","1,204,107","922,991",9.金融性投資淨額,"355,865",...,"-113,492",...,"-10,679",...,"12,787",...,"28,841",...,"27,184",...,"11,567",...,"-30,957",...,"281,116",...,統計差異 (9-5),"85,987",...,"-54,018",...,-3,...,"-40,339",...,...,...,"8,373",...,...,...,...,...,0,...
1985,,,,,,,,,,,,,,,,,,,非金融性交易,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.儲蓄毛額,...,"434,717",...,"137,354",...,"109,828",...,"131,075",...,...,...,...,...,"31,218",...,...,...,"844,192",2.資本移轉淨額,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3.投資毛額,"104,568",...,"160,120",...,"106,646",...,"88,520",...,...,...,"11,505",...,...,...,...,...,"471,359",...,4.非生產性資產購入淨額,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5.資金剩餘 (1+2-3-4),"330,149",...,"-22,766",...,"3,182",...,"42,555",...,...,...,"19,713",...,...,...,...,...,"372,833",...,金融性交易,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6.國內金融交易,"442,354","50,853","51,399","105,804","28,295","50,687","57,859","77,635","-53,046","195,739","298,299","349,600","23,129","2,336","144,337","159,972","992,626","992,626",(1)通貨,"5,532",...,"9,029",...,70,...,7,...,...,"13,783",-865,...,6,...,4,...,"13,783","13,783",(2)活期性存款,"21,416",...,"32,035",...,"10,992",...,...,...,...,...,745,"67,202","1,023",...,991,...,"67,202","67,202",(3)定期性存款及外匯存款,"315,836",...,"10,715",...,"17,155",...,...,...,...,...,"40,053","278,755","11,760",...,636,"117,400","396,155","396,155",(4)信託資金,"-31,832",...,-871,...,-440,...,-199,...,...,...,...,"-4,730",...,...,...,"-28,612","-33,342","-33,342",(5)政府存款,...,...,...,...,...,...,"13,867",...,...,"2,787",...,"10,880",...,...,...,200,"13,867","13,867",(6)準備性存款,...,...,...,...,...,...,...,...,...,"45,784","36,686",...,...,...,"9,098",...,"45,784","45,784",(7)非準備存款,...,...,...,...,...,...,...,...,...,"48,378",-508,...,...,...,"48,886",...,"48,378","48,378",(8)中央銀行單券,"2,842",...,...,...,...,...,...,...,...,"81,007","79,340",...,-25,...,"-1,150",...,"81,007","81,007",(9)中央銀行融通,...,...,...,...,...,...,...,...,"-58,892",...,...,"-64,784",...,...,...,"5,892","-58,892","-58,892",(10)金融機構同業往來,...,...,...,...,...,...,...,...,...,...,"26,927","77,559",...,...,"77,559","26,927","104,486","104,486",(11)金融機構放款,...,"53,019",...,"61,404",...,"-16,134",...,888,"-1,139",...,"89,670",...,"6,665",...,"3,533",-448,"98,729","98,729",(12)企業對家庭之借貸,"47,265",-602,-274,"48,287",-328,"-1,022",...,...,...,...,...,...,...,...,...,...,"46,663","46,663",(13)政府機關貸款,...,"8,972",...,"6,147",...,"-4,143","10,989",13,...,...,...,...,...,...,...,...,"10,989","10,989",(14)政府債券,"56,795",...,229,...,"1,648",...,-199,"77,595",-197,...,"6,336",...,"3,841",...,"9,142",...,"77,595","77,595",(15)商業本票,463,...,71,"-10,642",-3,"2,153",...,...,...,...,"-5,856",...,-94,...,"-1,334","1,736","-6,753","-6,753",(16)銀行承兌匯票,"-16,172",...,463,"2,235","-2,680","4,033",...,...,...,...,"24,891",...,-234,...,...,...,"6,268","6,268",(17)公司債,"2,722",...,175,235,...,"-3,554",...,...,"-2,252",...,388,...,-243,...,"-4,109",...,"-3,319","-3,319",(18)金融債券,253,...,46,...,2,...,...,...,...,...,-479,-924,214,...,-960,...,-924,-924,(19)共同基金,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,(20)公司股權,"59,321",...,"3,283","10,345",793,"64,808","18,584",...,40,...,"1,025","7,527",216,492,674,764,"83,936","83,936",(21)非公司企業權益,"9,081",...,...,"8,470",...,"3,764","7,580",...,300,"4,000",-54,"1,563",...,-890,...,...,"16,907","16,907",(22)人壽保險準備,"36,113",...,...,...,...,...,...,...,...,...,...,...,...,...,...,"36,113","36,113","36,113",(23)退休金準備,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,(24)商業信用,-238,"-4,586","-6,352","-1,724","-1,153","-1,433",...,...,...,...,...,...,...,...,...,...,"-7,743","-7,743",(25)其他國內債權債務淨額,"-67,043","-5,950","2,850","-18,953","2,239","2,215","7,230",-861,"9,094",...,...,"-23,448",...,"2,734","1,367",...,"-44,263","-44,263",7.國外金融交易,...,...,"5,028","39,487","1,191","-28,558",405,"-5,134","266,352",...,"104,561",-696,...,...,...,-395,"377,537","4,704",(26)貿易信用,...,...,"2,761","20,106","1,060","-5,693",...,...,...,...,...,-,...,...,...,...,"3,821","14,413",(27)直接投資,...,...,"2,686","12,392",527,...,...,...,...,...,2,"1,153",...,...,...,13,"3,215","13,558",(28)有價證券投資,...,...,...,-34,...,1,...,...,...,...,...,"-1,794",...,...,...,...,...,"-1,827",(29)其他國外債權債務,...,...,-419,"7,023",-396,"-22,866",405,"-5,134",...,...,"104,559",-55,...,...,...,-408,"104,149","-21,440",(30)中央銀行準備資產,...,...,...,...,...,...,...,...,"266,352",...,...,...,...,...,...,...,"266,352",...,8.合計 (6+7),"442,354","50,853","56,427","145,291","29,486","22,129","58,264","72,501","213,306","195,739","402,860","348,904","23,129","2,336","144,337","159,577","1,370,163","997,330",9.金融性投資淨額,"391,501",...,"-88,864",...,"7,357",...,"-14,237",...,"17,567",...,"53,956",...,"20,793",...,"-15,240",...,"372,833",...,統計差異 (9-5),"61,352",...,"-66,098",...,"4,175",...,"-56,792",...,...,...,"57,363",...,...,...,...,...,0,...
1986,,,,,,,,,,,,,,,,,,,非金融性交易,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.儲蓄毛額,...,"595,402",...,"249,317",...,"119,410",...,"126,883",...,...,...,...,...,"34,184",...,...,...,"1,125,196",2.資本移轉淨額,...,"1,161",...,261,...,"7,101",...,"-8,523",...,...,...,...,...,...,...,...,...,...,3.投資毛額,"110,604",...,"188,987",...,"94,028",...,"98,212",...,...,...,"8,825",...,...,...,...,...,"500,656",...,4.非生產性資產購入淨額,"-47,606",...,"32,081",...,"3,742",...,"8,487",...,...,...,"3,296",...,...,...,...,...,...,...,5.資金剩餘 (1+2-3-4),"533,565",...,"28,510",...,"28,741",...,"11,661",...,...,...,"22,063",...,...,...,...,...,"624,540",...,金融性交易,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6.國內金融交易,"771,903","76,717","215,988","297,492","29,558","104,924","112,153","79,271","-28,558","847,017","727,051","415,749","11,223","185,416","192,004","24,737","2,031,322","2,031,322",(1)通貨,"37,984",...,"9,282",...,22,...,20,...,...,"55,665","7,427",...,47,...,883,...,"55,665","55,665",(2)活期性存款,"200,841",...,"114,012",...,"15,826",...,...,...,...,...,"3,750","338,156",508,...,"3,219",...,"338,156","338,156",(3)定期性存款及外匯存款,"176,737",...,"18,894",...,945,...,...,...,...,...,"22,053","67,374","-3,349",...,"2,838","150,744","218,118","218,118",(4)信託資金,"7,881",...,-307,...,367,...,900,...,...,...,...,-218,...,...,...,"9,059","8,841","8,841",(5)政府存款,...,...,...,...,...,...,"39,820",...,...,"24,997",...,"14,567",...,...,...,256,"39,820","39,820",(6)準備性存款,...,...,...,...,...,...,...,...,...,"72,603","57,894",...,...,...,"14,709",...,"72,603","72,603",(7)非準備存款,...,...,...,...,...,...,...,...,...,"251,187","142,867",...,...,-,...,...,"251,187","251,187",(8)中央銀行單券,"32,202",...,...,...,"8,109",...,...,...,...,"438,565","388,105",...,880,...,"9,269",...,"438,565","438,565",(9)中央銀行融通,...,...,...,...,...,...,...,...,"-7,327",...,...,"-3,487",...,...,-,"-3,840","-7,327","-7,327",(10)金融機構同業往來,...,...,...,...,...,...,...,...,...,...,"-6,173","41,502",...,...,"41,502","-6,173","35,329","35,329",(11)金融機構放款,...,"63,115",...,"104,446",...,"-3,306",...,"3,456",-265,...,"172,818",...,735,...,"-3,982","1,595","169,306","169,306",(12)企業對家庭之借貸,"121,052","-6,735","-6,217","121,917",-518,-865,...,...,...,...,...,...,...,...,...,...,"114,317","114,317",(13)政府機關貸款,...,"3,132",...,"-2,009",...,"-5,978","-6,015","-1,160",...,...,...,...,...,...,...,...,"-6,015","-6,015",(14)政府債券,505,...,"9,465",...,"1,503",...,753,"27,227",-204,...,"4,803",...,"5,275",...,"5,127",...,"27,227","27,227",(15)商業本票,"1,717",...,"17,116","-1,980",526,"1,247",...,...,...,...,"-24,592",...,"1,496",...,"1,321","-1,683","-2,416","-2,416",(16)銀行承兌匯票,"5,617",...,918,"-33,658",-646,"-4,839",...,...,...,...,"-46,656",...,"2,270",...,...,...,"-38,497","-38,497",(17)公司債,-414,...,"1,354",255,40,"7,307",...,...,"-1,162",...,"3,234",...,"3,090",...,"1,420",...,"7,562","7,562",(18)金融債券,-458,...,-183,...,7,...,...,...,...,...,"-1,517","-2,872",-74,...,-647,...,"-2,872","-2,872",(19)共同基金,560,...,...,...,...,...,...,...,...,...,"1,103",...,11,...,...,"1,674","1,674","1,674",(20)公司股權,"118,542",...,"7,479","71,747","1,387","80,239","35,639",...,85,...,"1,935","2,312",334,676,774,"11,202","166,175","166,175",(21)非公司企業權益,"12,440",...,...,"12,362",...,"20,820","25,653",...,...,"4,000",...,834,...,77,...,...,"38,093","38,093",(22)人壽保險準備,"50,111",...,...,...,...,...,...,...,...,...,...,...,...,"188,208",...,"-138,097","50,111","50,111",(23)退休金準備,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,(24)商業信用,"29,482","5,498","9,700","23,720","-1,576","8,388",...,...,...,...,...,...,...,...,...,...,"37,606","37,606",(25)其他國內債權債務淨額,"-22,896","11,707","34,475",692,"3,566","1,911","15,383","49,748","-19,685",...,...,"-42,419",...,"-3,545","7,251",...,"18,094","18,094",7.國外金融交易,...,...,"-20,398","39,109","-4,428","-57,013",51,"-1,950","891,209",...,"-64,692","196,998",...,...,...,58,"801,742","177,202",(26)貿易信用,...,...,"5,601","28,148","-4,310","-1,289",...,...,...,...,...,...,...,...,...,...,"1,291","26,859",(27)直接投資,...,...,"2,616","12,621",-184,...,...,...,...,...,64,-363,...,...,...,105,"2,496","12,363",(28)有價證券投資,...,...,...,"2,829",...,-2,...,...,...,...,209,-,...,...,...,...,209,"2,827",(29)其他國外債權債務,...,...,"-28,615","-4,489",66,"-55,722",51,"-1,950",...,...,"-64,965","197,361",...,...,...,-47,"-93,463","135,153",(30)中央銀行準備資產,...,...,...,...,...,...,...,...,"891,209",...,...,...,...,...,...,...,"891,209",...,8.合計 (6+7),"771,903","76,717","195,590","336,601","25,130","47,911","112,204","77,321","862,651","847,017","662,359","612,747","11,223","185,416","192,004","24,795","2,833,064","2,208,525",9.金融性投資淨額,"695,186",...,"-141,011",...,"-22,781",...,"34,883",...,"15,634",...,"49,612",...,"-174,193",...,"167,209",...,"624,539",...,統計差異 (9-5),"161,621",...,"-169,521",...,"-51,522",...,"23,222",...,...,...,"36,199",...,...,...,...,...,0,...
1987,,,,,,,,,,,,,,,,,,,非金融性交易,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.儲蓄毛額,...,"676,085",...,"235,922",...,"119,533",...,"201,422",...,...,...,...,...,"39,205",...,...,...,"1,272,167",2.資本移轉淨額,...,524,...,"3,631",...,"6,065",...,"-10,220",...,...,...,...,...,...,...,...,...,...,3.投資毛額,"129,881",...,"283,078",...,"132,698",...,"112,501",...,...,...,"8,776",...,...,...,...,...,"666,934",...,4.非生產性資產購入淨額,"-85,062",...,"82,485",...,"1,942",...,-826,...,...,...,"1,461",...,...,...,...,...,...,...,5.資金剩餘 (1+2-3-4),"631,790",...,"-126,010",...,"-9,042",...,"79,527",...,...,...,"28,968",...,...,...,...,...,"605,233",...,金融性交易,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6.國內金融交易,"921,181","271,188","261,982","385,299","5,684","72,551","237,993","58,585","2,339","939,938","953,866","624,746","46,298","100,551","205,039","181,524","2,634,382","2,634,382",(1)通貨,"44,855",...,"6,555",...,-19,...,51,...,...,"69,113","15,195",...,33,...,"2,443",...,"69,113","69,113",(2)活期性存款,"297,110",...,"73,264",...,"-9,605",...,...,...,...,...,"4,175","376,444",856,...,"10,644",...,"376,444","376,444",(3)定期性存款及外匯存款,"193,982",...,"95,664",...,"-13,251",...,...,...,...,...,"30,882","174,571","-4,651",...,"2,819","130,874","305,445","305,445",(4)信託資金,"17,551",...,842,...,-177,...,191,...,...,...,...,-937,...,...,...,"19,344","18,407","18,407",(5)政府存款,...,...,...,...,...,...,"103,805",...,...,"37,731",...,"65,851",...,...,...,223,"103,805","103,805",(6)準備性存款,...,...,...,...,...,...,...,...,...,"80,814","68,141",...,...,...,"12,673",...,"80,814","80,814",(7)非準備存款,...,...,...,...,...,...,...,...,...,"106,183","9,063",...,...,...,"97,120",...,"106,183","106,183",(8)中央銀行單券,"109,972",...,...,...,"31,234",...,...,...,...,"644,097","494,781",...,"2,609",...,"5,501",...,"644,097","644,097",(9)中央銀行融通,...,...,...,...,...,...,...,...,976,...,...,"3,861",...,...,...,"-2,885",976,976,(10)金融機構同業往來,...,...,...,...,...,...,...,...,...,...,"-1,945","29,068",...,...,"29,068","-1,945","27,123","27,123",(11)金融機構放款,...,"223,343",...,"224,581",...,"-47,238",...,"7,847",-333,...,"372,239",...,"10,939",...,"35,851","10,163","418,696","418,696",(12)企業對家庭之借貸,"21,154","3,720","3,679","23,643",41,"-2,489",...,...,...,...,...,...,...,...,...,...,"24,874","24,874",(13)政府機關貸款,...,"18,461",...,"-7,674",...,-352,"12,084","1,649",...,...,...,...,...,...,...,...,"12,084","12,084",(14)政府債券,"-71,299",...,"32,528",...,-891,...,"8,329","24,440",-205,...,"19,991",...,"30,229",...,"5,758",...,"24,440","24,440",(15)商業本票,"-3,497",...,"9,146",-61,"1,941","-8,027",...,...,...,...,"-24,449",...,"5,650",...,"7,124","4,003","-4,085","-4,085",(16)銀行承兌匯票,"22,196",...,780,"-12,647",49,288,...,...,...,...,"-33,932",...,"-2,257",...,805,...,"-12,359","-12,359",(17)公司債,"3,766",...,51,"-1,009",500,"5,989",...,...,-105,...,"-2,962",...,"2,428",...,"1,302",...,"4,980","4,980",(18)金融債券,-171,...,215,...,-8,...,...,...,...,...,-922,"-1,704",-288,...,-530,...,"-1,704","-1,704",(19)共同基金,"7,325",...,...,...,...,...,...,...,...,...,511,...,...,...,...,"7,836","7,836","7,836",(20)公司股權,"190,359",...,"13,255","152,426","1,961","96,160","56,695",...,118,...,"3,098","4,537",750,"1,327","2,125","13,911","268,361","268,361",(21)非公司企業權益,"13,569",...,...,"12,642",346,"11,621","14,940",...,-,"2,000",...,"1,352",...,"1,240",...,...,"28,855","28,855",(22)人壽保險準備,"58,412",...,...,...,...,...,...,...,...,...,...,...,...,"58,412",...,...,"58,412","58,412",(23)退休金準備,"20,312",...,...,...,...,...,...,...,...,...,...,...,...,"20,312",...,...,"20,312","20,312",(24)商業信用,"21,176","11,550","13,525","22,392","-4,494","-3,735",...,...,...,...,...,...,...,...,...,...,"30,207","30,207",(25)其他國內債權債務淨額,"-25,591","14,114","12,478","-28,994","-1,943","20,334","41,898","24,649","1,888",...,...,"-28,297",...,"19,260","-7,664",...,"21,066","21,066",7.國外金融交易,...,...,"36,008","119,679","3,010","-37,547",303,"-1,392","926,901",...,"-31,527","248,679",...,...,...,43,"934,695","329,462",(26)貿易信用,...,...,"-2,063","90,804","2,695","5,903",...,...,...,...,...,...,...,...,...,...,632,"96,707",(27)直接投資,...,...,"22,584","21,980",-212,...,...,...,...,...,57,740,...,...,...,54,"22,429","22,774",(28)有價證券投資,...,...,"11,493",-299,...,1,...,...,...,...,36,...,...,...,...,...,"11,529",-298,(29)其他國外債權債務,...,...,"3,994","7,194",527,"-43,451",303,"-1,392",...,...,"-31,620","247,939",...,...,...,-11,"-26,796","210,279",(30)中央銀行準備資產,...,...,...,...,...,...,...,...,"926,901",...,...,...,...,...,...,-,"926,901",...,8.合計 (6+7),"921,181","271,188","297,990","504,978","8,694","35,004","238,296","57,193","929,240","939,938","922,339","873,425","46,298","100,551","205,039","181,567","3,569,077","2,963,844",9.金融性投資淨額,"649,993",...,"-206,988",...,"-26,310",...,"181,103",...,"-10,698",...,"48,914",...,"-54,253",...,"23,472",...,"605,233",...,統計差異 (9-5),"18,203",...,"-80,978",...,"-17,268",...,"101,576",...,...,...,"-21,533",...,...,...,...,...,0,...
