期間,總人口數(千人)_原始值,總人口數(千人)_年增率(%),總人口數(千人)_原始值,總人口數(千人)_年增率(%),總人口數(千人)_原始值,總人口數(千人)_年增率(%),15歲以上民間人口(千人)_原始值,15歲以上民間人口(千人)_年增率(%),15歲以上民間人口(千人)_原始值,15歲以上民間人口(千人)_年增率(%),15歲以上民間人口(千人)_原始值,15歲以上民間人口(千人)_年增率(%),勞動力(千人)_原始值,勞動力(千人)_年增率(%),勞動力(千人)_原始值,勞動力(千人)_年增率(%),勞動力(千人)_原始值,勞動力(千人)_年增率(%),就業人數(千人)_原始值,就業人數(千人)_年增率(%),就業人數(千人)_原始值,就業人數(千人)_年增率(%),就業人數(千人)_原始值,就業人數(千人)_年增率(%),失業人數(千人)_原始值,失業人數(千人)_年增率(%),失業人數(千人)_原始值,失業人數(千人)_年增率(%),失業人數(千人)_原始值,失業人數(千人)_年增率(%),15歲以上民間人口占總人口數(%)_原始值,15歲以上民間人口占總人口數(%)_年增率(%),15歲以上民間人口占總人口數(%)_原始值,15歲以上民間人口占總人口數(%)_年增率(%),15歲以上民間人口占總人口數(%)_原始值,15歲以上民間人口占總人口數(%)_年增率(%),勞動力占總人口數(%)_原始值,勞動力占總人口數(%)_年增率(%),勞動力占總人口數(%)_原始值,勞動力占總人口數(%)_年增率(%),勞動力占總人口數(%)_原始值,勞動力占總人口數(%)_年增率(%),勞動力參與率(%)_原始值,勞動力參與率(%)_年增率(%),勞動力參與率(%)_原始值,勞動力參與率(%)_年增率(%),勞動力參與率(%)_原始值,勞動力參與率(%)_年增率(%),就業人口占總人口數(%)_原始值,就業人口占總人口數(%)_年增率(%),就業人口占總人口數(%)_原始值,就業人口占總人口數(%)_年增率(%),就業人口占總人口數(%)_原始值,就業人口占總人口數(%)_年增率(%),就業人口占15歲以上民間人口(%)_原始值,就業人口占15歲以上民間人口(%)_年增率(%),就業人口占15歲以上民間人口(%)_原始值,就業人口占15歲以上民間人口(%)_年增率(%),就業人口占15歲以上民間人口(%)_原始值,就業人口占15歲以上民間人口(%)_年增率(%),就業人口占勞動力(%)_原始值,就業人口占勞動力(%)_年增率(%),就業人口占勞動力(%)_原始值,就業人口占勞動力(%)_年增率(%),就業人口占勞動力(%)_原始值,就業人口占勞動力(%)_年增率(%),失業率(%)_原始值,失業率(%)_年增率(%),失業率(%)_原始值,失業率(%)_年增率(%),失業率(%)_原始值,失業率(%)_年增率(%)
1978,"16,974",...,"8,875",...,"8,099",...,"10,784",...,"5,452",...,"5,333",...,"6,337",...,"4,250",...,"2,087",...,"6,231",...,"4,183",...,"2,048",...,106,...,67,...,39,...,63.53,-,61.42,-,65.85,-,37.33,-,47.88,-,25.77,-,58.76,-,77.96,-,39.13,-,36.71,-,47.13,-,25.29,-,57.78,-,76.73,-,38.41,-,98.33,-,98.43,-,98.14,-,1.67,-,1.57,-,1.86,-
1979,"17,307",1.96,"9,042",1.87,"8,265",2.05,"11,092",2.85,"5,588",2.49,"5,504",3.21,"6,515",2.81,"4,356",2.49,"2,159",3.46,"6,432",3.21,"4,306",2.93,"2,126",3.80,83,-21.30,50,-25.12,33,-14.75,64.09,-,61.80,-,66.59,-,37.64,-,48.17,-,26.12,-,58.73,-,77.95,-,39.23,-,37.16,-,47.62,-,25.72,-,57.99,-,77.06,-,38.63,-,98.73,-,98.85,-,98.47,-,1.27,-,1.15,-,1.53,-
1980,"17,642",1.94,"9,208",1.84,"8,434",2.04,"11,378",2.58,"5,714",2.26,"5,664",2.91,"6,629",1.76,"4,406",1.15,"2,223",2.98,"6,547",1.80,"4,357",1.19,"2,191",3.04,82,-1.73,49,-2.09,33,-1.18,64.49,-,62.05,-,67.16,-,37.58,-,47.84,-,26.36,-,58.26,-,77.11,-,39.25,-,37.11,-,47.31,-,25.98,-,57.55,-,76.25,-,38.68,-,98.77,-,98.89,-,98.53,-,1.23,-,1.11,-,1.47,-
1981,"17,974",1.88,"9,371",1.77,"8,603",2.00,"11,698",2.81,"5,864",2.64,"5,833",2.99,"6,764",2.03,"4,503",2.21,"2,261",1.69,"6,672",1.90,"4,448",2.10,"2,224",1.51,92,12.55,55,11.70,37,13.82,65.08,-,62.58,-,67.81,-,37.63,-,48.05,-,26.28,-,57.82,-,76.78,-,38.76,-,37.12,-,47.47,-,25.85,-,57.04,-,75.85,-,38.12,-,98.64,-,98.79,-,98.35,-,1.36,-,1.21,-,1.65,-
1982,"18,293",1.78,"9,526",1.65,"8,767",1.91,"12,013",2.69,"6,022",2.70,"5,990",2.69,"6,959",2.89,"4,605",2.27,"2,354",4.11,"6,811",2.08,"4,509",1.37,"2,301",3.48,149,61.88,96,75.35,53,42.13,65.67,-,63.22,-,68.33,-,38.04,-,48.34,-,26.85,-,57.93,-,76.47,-,39.30,-,37.23,-,47.34,-,26.25,-,56.69,-,74.88,-,38.42,-,97.86,-,97.92,-,97.75,-,2.14,-,2.08,-,2.25,-
1983,"18,603",1.70,"9,677",1.59,"8,927",1.82,"12,263",2.08,"6,137",1.91,"6,126",2.26,"7,266",4.41,"4,687",1.77,"2,580",9.59,"7,070",3.80,"4,561",1.14,"2,509",9.02,197,32.36,126,31.13,71,34.58,65.92,-,63.42,-,68.62,-,39.06,-,48.43,-,28.90,-,59.26,-,76.36,-,42.12,-,38.00,-,47.13,-,28.10,-,57.65,-,74.32,-,40.95,-,97.29,-,97.32,-,97.24,-,2.71,-,2.68,-,2.76,-
1984,"18,865",1.41,"9,803",1.30,"9,062",1.52,"12,544",2.29,"6,277",2.28,"6,267",2.30,"7,491",3.09,"4,778",1.95,"2,713",5.18,"7,308",3.37,"4,661",2.20,"2,647",5.50,183,-6.87,116,-7.31,67,-6.10,66.49,-,64.03,-,69.15,-,39.71,-,48.74,-,29.94,-,59.72,-,76.11,-,43.30,-,38.74,-,47.55,-,29.20,-,58.26,-,74.26,-,42.23,-,97.55,-,97.56,-,97.54,-,2.45,-,2.44,-,2.46,-
1985,"19,132",1.41,"9,932",1.31,"9,200",1.52,"12,860",2.52,"6,440",2.60,"6,420",2.45,"7,651",2.13,"4,860",1.73,"2,790",2.83,"7,428",1.65,"4,719",1.24,"2,709",2.35,222,21.35,141,21.19,81,21.61,67.22,-,64.85,-,69.78,-,39.99,-,48.94,-,30.33,-,59.49,-,75.47,-,43.46,-,38.83,-,47.52,-,29.44,-,57.76,-,73.28,-,42.19,-,97.09,-,97.10,-,97.08,-,2.91,-,2.90,-,2.92,-
1986,"19,363",1.21,"10,044",1.14,"9,319",1.29,"13,161",2.33,"6,596",2.41,"6,565",2.26,"7,945",3.84,"4,957",1.99,"2,988",7.08,"7,733",4.10,"4,821",2.15,"2,912",7.51,212,-4.85,136,-3.49,75,-7.21,67.97,-,65.66,-,70.45,-,41.03,-,49.35,-,32.06,-,60.37,-,75.15,-,45.51,-,39.94,-,47.99,-,31.25,-,58.76,-,73.09,-,44.36,-,97.34,-,97.25,-,97.47,-,2.66,-,2.75,-,2.53,-
1987,"19,559",1.01,"10,136",0.91,"9,424",1.13,"13,432",2.06,"6,732",2.07,"6,700",2.05,"8,183",3.01,"5,065",2.18,"3,118",4.37,"8,022",3.74,"4,966",3.00,"3,057",4.97,161,-23.95,100,-26.91,61,-18.62,68.67,-,66.42,-,71.09,-,41.84,-,49.97,-,33.09,-,60.93,-,75.24,-,46.54,-,41.02,-,48.99,-,32.44,-,59.73,-,73.76,-,45.63,-,98.03,-,98.04,-,98.03,-,1.97,-,1.96,-,1.97,-
