期間,大專校院-人文_原始值,大專校院-人文_年增率(%),大專校院-人文_原始值,大專校院-人文_年增率(%),大專校院-社會_原始值,大專校院-社會_年增率(%),大專校院-社會_原始值,大專校院-社會_年增率(%),大專校院-科技_原始值,大專校院-科技_年增率(%),大專校院-科技_原始值,大專校院-科技_年增率(%),研究所-合計_原始值,研究所-合計_年增率(%),研究所-合計_原始值,研究所-合計_年增率(%),碩士班_原始值,碩士班_年增率(%),碩士班_原始值,碩士班_年增率(%),博士班_原始值,博士班_年增率(%),博士班_原始值,博士班_年增率(%),工業技術-合計_原始值,工業技術-合計_年增率(%),工業技術-合計_原始值,工業技術-合計_年增率(%),高職工科_原始值,高職工科_年增率(%),高職工科_原始值,高職工科_年增率(%),工程類專科生_原始值,工程類專科生_年增率(%),工程類專科生_原始值,工程類專科生_年增率(%),工程類學士班_原始值,工程類學士班_年增率(%),工程類學士班_原始值,工程類學士班_年增率(%),工程類碩士班_原始值,工程類碩士班_年增率(%),工程類碩士班_原始值,工程類碩士班_年增率(%),工程類博士班_原始值,工程類博士班_年增率(%),工程類博士班_原始值,工程類博士班_年增率(%),醫藥衛生-合計_原始值,醫藥衛生-合計_年增率(%),醫藥衛生-合計_原始值,醫藥衛生-合計_年增率(%),高職醫事護理_原始值,高職醫事護理_年增率(%),高職醫事護理_原始值,高職醫事護理_年增率(%),醫事類專科生_原始值,醫事類專科生_年增率(%),醫事類專科生_原始值,醫事類專科生_年增率(%),醫事類學士班_原始值,醫事類學士班_年增率(%),醫事類學士班_原始值,醫事類學士班_年增率(%),醫事類碩士班_原始值,醫事類碩士班_年增率(%),醫事類碩士班_原始值,醫事類碩士班_年增率(%),醫事類博士班_原始值,醫事類博士班_年增率(%),醫事類博士班_原始值,醫事類博士班_年增率(%),法律-合計_原始值,法律-合計_年增率(%),法律-合計_原始值,法律-合計_年增率(%),法律類專科生_原始值,法律類專科生_年增率(%),法律類專科生_原始值,法律類專科生_年增率(%),法律類學士班_原始值,法律類學士班_年增率(%),法律類學士班_原始值,法律類學士班_年增率(%),法律類碩士班_原始值,法律類碩士班_年增率(%),法律類碩士班_原始值,法律類碩士班_年增率(%),法律類博士班_原始值,法律類博士班_年增率(%),法律類博士班_原始值,法律類博士班_年增率(%),藝術-合計_原始值,藝術-合計_年增率(%),藝術-合計_原始值,藝術-合計_年增率(%),藝術職校_原始值,藝術職校_年增率(%),藝術職校_原始值,藝術職校_年增率(%),藝術專校_原始值,藝術專校_年增率(%),藝術專校_原始值,藝術專校_年增率(%),藝術類學士班_原始值,藝術類學士班_年增率(%),藝術類學士班_原始值,藝術類學士班_年增率(%),藝術類碩士班_原始值,藝術類碩士班_年增率(%),藝術類碩士班_原始值,藝術類碩士班_年增率(%),藝術類博士班_原始值,藝術類博士班_年增率(%),藝術類博士班_原始值,藝術類博士班_年增率(%),農業-合計_原始值,農業-合計_年增率(%),農業-合計_原始值,農業-合計_年增率(%),高職農業科_原始值,高職農業科_年增率(%),高職農業科_原始值,高職農業科_年增率(%),農業專科生_原始值,農業專科生_年增率(%),農業專科生_原始值,農業專科生_年增率(%),農業類學士班_原始值,農業類學士班_年增率(%),農業類學士班_原始值,農業類學士班_年增率(%),農業類碩士班_原始值,農業類碩士班_年增率(%),農業類碩士班_原始值,農業類碩士班_年增率(%),農業類博士班_原始值,農業類博士班_年增率(%),農業類博士班_原始值,農業類博士班_年增率(%),資訊-合計_原始值,資訊-合計_年增率(%),資訊-合計_原始值,資訊-合計_年增率(%),資訊類專科_原始值,資訊類專科_年增率(%),資訊類專科_原始值,資訊類專科_年增率(%),資訊類學士班_原始值,資訊類學士班_年增率(%),資訊類學士班_原始值,資訊類學士班_年增率(%),資訊類碩士班_原始值,資訊類碩士班_年增率(%),資訊類碩士班_原始值,資訊類碩士班_年增率(%),資訊類博士班_原始值,資訊類博士班_年增率(%),資訊類博士班_原始值,資訊類博士班_年增率(%)
1976,"58,330",...,"13,541",...,"100,564",...,"21,385",...,"140,520",...,"29,131",...,"4,501",...,"1,519",...,"4,138",...,"1,482",...,363,...,37,...,"227,167",...,"58,889",...,"133,542",...,"39,103",...,"63,079",...,"13,643",...,"29,633",...,"5,831",...,856,...,307,...,57,...,5,...,"31,451",...,"6,073",...,"9,670",...,"2,197",...,"12,898",...,"2,431",...,"8,753",...,"1,393",...,123,...,51,...,7,...,1,...,"3,931",...,805,...,-,--,-,--,"3,766",...,754,...,158,...,51,...,7,...,0,...,"7,873",...,"1,199",...,235,...,22,...,"6,220",...,861,...,"1,400",...,311,...,18,...,5,...,-,--,-,--,"31,225",...,"7,064",...,"20,584",...,"4,984",...,"5,809",...,"1,040",...,"4,445",...,898,...,352,...,138,...,35,...,4,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1977,"57,850",-0.82,"13,120",-3.11,"104,681",4.09,"22,466",5.05,"146,052",3.94,"30,044",3.13,"5,156",14.55,"1,635",7.64,"4,749",14.77,"1,590",7.29,407,12.12,45,21.62,"234,381",3.18,"62,564",6.24,"136,045",1.87,"41,316",5.66,"67,519",7.04,"14,900",9.21,"29,811",0.60,"5,978",2.52,952,11.21,367,19.54,54,-5.26,3,-40.00,"33,289",5.84,"5,815",-4.25,"9,979",3.20,"2,418",10.06,"12,910",0.09,"2,033",-16.37,"9,281",6.03,"1,325",-4.88,"1,109",801.63,38,-25.49,10,42.86,1,0.00,"4,046",2.93,825,2.48,-,--,-,--,"3,836",1.86,775,2.79,202,27.85,50,-1.96,8,14.29,0,--,"8,390",6.57,"1,289",7.51,342,45.53,73,231.82,"6,516",4.76,885,2.79,"1,500",7.14,322,3.54,32,77.78,9,80.00,-,--,-,--,"32,190",3.09,"8,819",24.84,"21,321",3.58,"6,698",34.39,"5,941",2.27,"1,098",5.58,"4,501",1.26,866,-3.56,378,7.39,153,10.87,49,40.00,4,0.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1978,"57,563",-0.50,"13,171",0.39,"107,011",2.23,"23,282",3.63,"152,614",4.49,"30,655",2.03,"5,443",5.57,"1,868",14.25,"4,974",4.74,"1,840",15.72,469,15.23,28,-37.78,"243,445",3.87,"61,150",-2.26,"140,418",3.21,"39,809",-3.65,"71,179",5.42,"14,614",-1.92,"30,766",3.20,"6,245",4.47,"1,016",6.72,479,30.52,66,22.22,3,0.00,"32,852",-1.31,"6,381",9.73,"9,536",-4.44,"2,710",12.08,"13,455",4.22,"2,170",6.74,"9,685",4.35,"1,443",8.91,156,-85.93,58,52.63,20,100.00,0,-100.00,"4,111",1.61,859,4.12,-,--,-,--,"3,920",2.19,828,6.84,183,-9.41,31,-38.00,8,0.00,0,--,"8,634",2.91,"1,435",11.33,421,23.10,121,65.75,"6,635",1.83,956,8.02,"1,546",3.07,352,9.32,32,0.00,6,-33.33,-,--,-,--,"32,082",-0.34,"7,972",-9.60,"20,952",-1.73,"5,842",-12.78,"6,172",3.89,"1,041",-5.19,"4,544",0.96,941,8.66,359,-5.03,148,-3.27,55,12.24,0,-100.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1979,"57,653",0.16,"13,178",0.05,"110,216",3.00,"24,595",5.64,"161,734",5.98,"34,114",11.28,"5,610",3.07,"1,788",-4.28,"5,049",1.51,"1,744",-5.22,561,19.62,44,57.14,"259,402",6.55,"66,072",8.05,"149,559",6.51,"41,726",4.82,"76,214",7.07,"16,793",14.91,"32,516",5.69,"7,130",14.17,"1,036",1.97,417,-12.94,77,16.67,6,100.00,"35,432",7.85,"6,509",2.01,"10,376",8.81,"2,477",-8.60,"14,403",7.05,"2,509",15.62,"10,479",8.20,"1,456",0.90,150,-3.85,65,12.07,24,20.00,2,--,"4,218",2.60,904,5.24,-,--,-,--,"4,021",2.58,865,4.47,187,2.19,39,25.81,10,25.00,0,--,"9,008",4.33,"1,386",-3.41,468,11.16,101,-16.53,"6,832",2.97,888,-7.11,"1,671",8.09,391,11.08,37,15.62,6,0.00,-,--,-,--,"32,734",2.03,"8,752",9.78,"21,327",1.79,"6,545",12.03,"6,495",5.23,"1,141",9.61,"4,483",-1.34,926,-1.59,359,0.00,133,-10.14,70,27.27,7,--,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1980,"59,956",3.99,"12,362",-6.19,"113,449",2.93,"24,527",-0.28,"169,123",4.57,"35,699",4.65,"6,306",12.41,"2,004",12.08,"5,633",11.57,"1,940",11.24,673,19.96,64,45.45,"279,168",7.62,"69,978",5.91,"163,982",9.64,"44,845",7.47,"80,800",6.02,"17,306",3.05,"32,864",1.07,"7,299",2.37,"1,395",34.65,520,24.70,127,64.94,8,33.33,"37,641",6.23,"6,938",6.59,"11,000",6.01,"2,684",8.36,"15,058",4.55,"2,580",2.83,"11,417",8.95,"1,625",11.61,145,-3.33,47,-27.69,21,-12.50,2,0.00,"4,387",4.01,938,3.76,-,--,-,--,"4,170",3.71,890,2.89,205,9.63,48,23.08,12,20.00,0,--,"9,474",5.17,"1,379",-0.51,513,9.62,147,45.54,"6,997",2.42,851,-4.17,"1,917",14.72,372,-4.86,47,27.03,9,50.00,-,--,-,--,"33,403",2.04,"8,956",2.33,"21,443",0.54,"6,524",-0.32,"6,956",7.10,"1,320",15.69,"4,535",1.16,977,5.51,395,10.03,135,1.50,74,5.71,0,-100.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1981,"57,662",-3.83,"11,798",-4.56,"117,425",3.50,"25,274",3.05,"183,350",8.41,"38,056",6.60,"7,355",16.63,"2,199",9.73,"6,555",16.37,"2,120",9.28,800,18.87,79,23.44,"296,740",6.29,"70,999",1.46,"181,532",10.70,"46,905",4.59,"82,358",1.93,"17,222",-0.49,"31,099",-5.37,"6,270",-14.10,"1,611",15.48,587,12.88,140,10.24,15,87.50,"39,150",4.01,"7,109",2.46,"11,073",0.66,"2,719",1.30,"15,713",4.35,"2,664",3.26,"12,232",7.14,"1,672",2.89,112,-22.76,52,10.64,20,-4.76,2,0.00,"4,626",5.45,899,-4.16,-,--,-,--,"4,364",4.65,874,-1.80,243,18.54,24,-50.00,19,58.33,1,--,"9,899",4.49,"1,453",5.37,492,-4.09,134,-8.84,"7,357",5.15,917,7.76,"1,983",3.44,384,3.23,67,42.55,18,100.00,-,--,-,--,"32,972",-1.29,"8,797",-1.78,"22,519",5.02,"6,249",-4.22,"5,826",-16.24,"1,461",10.68,"4,141",-8.69,924,-5.42,405,2.53,163,20.74,81,9.46,0,--,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1982,"59,020",2.36,"12,402",5.12,"121,329",3.32,"27,069",7.10,"195,347",6.54,"40,542",6.53,"8,492",15.46,"4,793",117.96,"7,517",14.68,"4,700",121.70,975,21.88,93,17.72,"316,202",6.56,"78,592",10.69,"195,185",7.52,"53,124",13.26,"87,362",6.08,"17,889",3.87,"31,479",1.22,"6,831",8.95,"1,954",21.29,735,25.21,222,58.57,13,-13.33,"40,741",4.06,"7,647",7.57,"11,389",2.85,"2,986",9.82,"16,259",3.47,"2,639",-0.94,"12,911",5.55,"1,965",17.52,154,37.50,56,7.69,28,40.00,1,-50.00,"4,794",3.63,"1,155",28.48,-,--,-,--,"4,512",3.39,"1,099",25.74,260,7.00,55,129.17,22,15.79,1,0.00,"9,522",-3.81,"1,748",20.30,537,9.15,152,13.43,"6,636",-9.80,"1,120",22.14,"2,269",14.42,451,17.45,80,19.40,25,38.89,-,--,-,--,"33,422",1.36,"9,243",5.07,"23,448",4.13,"6,542",4.69,"5,023",-13.78,"1,551",6.16,"4,377",5.70,966,4.55,472,16.54,176,7.98,102,25.93,8,--,"51,488",...,"10,735",...,"39,263",...,"8,009",...,"11,514",...,"2,444",...,625,...,275,...,86,...,7,...
1983,"60,359",2.27,"12,939",4.33,"128,270",5.72,"27,929",3.18,"206,524",5.72,"43,821",8.09,"9,647",13.60,"2,918",-39.12,"8,427",12.11,"2,803",-40.36,"1,220",25.13,115,23.66,"335,844",6.21,"87,260",11.03,"201,741",3.36,"59,059",11.17,"99,619",14.03,"20,198",12.91,"31,804",1.03,"7,101",3.95,"2,343",19.91,888,20.82,337,51.80,14,7.69,"43,189",6.01,"8,144",6.50,"11,620",2.03,"2,978",-0.27,"17,588",8.17,"2,915",10.46,"13,738",6.41,"2,166",10.23,196,27.27,79,41.07,47,67.86,6,500.00,"4,993",4.15,"1,195",3.46,-,--,-,--,"4,707",4.32,"1,123",2.18,259,-0.38,70,27.27,27,22.73,2,100.00,"8,338",-12.43,"1,752",0.23,553,2.98,145,-4.61,"5,185",-21.87,"1,067",-4.73,"2,516",10.89,516,14.41,84,5.00,24,-4.00,-,--,-,--,"36,323",8.68,"10,329",11.75,"24,245",3.40,"7,462",14.06,"6,926",37.89,"1,692",9.09,"4,552",4.00,959,-0.72,493,4.45,199,13.07,107,4.90,17,112.50,"56,718",10.16,"11,903",10.88,"43,816",11.60,"8,933",11.54,"11,989",4.13,"2,646",8.27,762,21.92,317,15.27,151,75.58,7,0.00
1984,"63,326",4.92,"13,741",6.20,"130,768",1.95,"28,940",3.62,"218,287",5.70,"47,219",7.75,"10,981",13.83,"3,429",17.51,"9,481",12.51,"3,285",17.20,"1,500",22.95,144,25.22,"343,697",2.34,"91,401",4.75,"203,121",0.68,"61,090",3.44,"104,719",5.12,"21,699",7.43,"32,680",2.75,"7,480",5.34,"2,719",16.05,"1,101",23.99,458,35.91,31,121.43,"46,176",6.92,"8,889",9.15,"11,836",1.86,"2,919",-1.98,"19,285",9.65,"3,497",19.97,"14,661",6.72,"2,359",8.91,335,70.92,105,32.91,59,25.53,9,50.00,"5,111",2.36,"1,251",4.69,-,--,-,--,"4,801",2.00,"1,181",5.16,279,7.72,69,-1.43,31,14.81,1,-50.00,"8,588",3.00,"1,848",5.48,580,4.88,174,20.00,"5,160",-0.48,"1,118",4.78,"2,759",9.66,524,1.55,89,5.95,32,33.33,-,--,-,--,"36,166",-0.43,"10,355",0.25,"23,491",-3.11,"7,426",-0.48,"7,407",6.94,"1,745",3.13,"4,609",1.25,980,2.19,534,8.32,189,-5.03,125,16.82,15,-11.76,"62,758",10.65,"13,304",11.77,"48,160",9.91,"9,876",10.56,"13,428",12.00,"2,988",12.93,947,24.28,424,33.75,223,47.68,16,128.57
1985,"65,300",3.12,"15,419",12.21,"135,285",3.45,"31,088",7.42,"227,991",4.45,"50,679",7.33,"12,418",13.09,"3,958",15.43,"10,638",12.20,"3,795",15.53,"1,780",18.67,163,13.19,"356,190",3.63,"92,826",1.56,"209,701",3.24,"59,887",-1.97,"109,660",4.72,"23,990",10.56,"33,066",1.18,"7,609",1.72,"3,156",16.07,"1,283",16.53,607,32.53,57,83.87,"47,812",3.54,"9,344",5.12,"12,196",3.04,"3,130",7.23,"19,903",3.20,"3,598",2.89,"15,257",4.07,"2,463",4.41,380,13.43,143,36.19,76,28.81,10,11.11,"5,349",4.66,"1,298",3.76,-,--,-,--,"5,025",4.67,"1,217",3.05,285,2.15,80,15.94,39,25.81,1,0.00,"9,142",6.45,"2,054",11.15,608,4.83,160,-8.05,"5,452",5.66,"1,269",13.51,"2,993",8.48,605,15.46,89,0.00,20,-37.50,-,--,-,--,"37,614",4.00,"10,424",0.67,"24,443",4.05,"7,479",0.71,"7,510",1.39,"1,722",-1.32,"4,952",7.44,971,-0.92,574,7.49,242,28.04,135,8.00,10,-33.33,"66,122",5.36,"15,053",13.15,"50,742",5.36,"11,321",14.63,"13,964",3.99,"3,208",7.36,"1,137",20.06,500,17.92,279,25.11,24,50.00
