期間,政府公債--3年期,政府公債--5年期,政府公債--7年期,政府公債--10年期,政府公債--15年期,公司債--1年期,公司債--2年期,公司債--3年期,公司債--4年期,公司債--5年期,公司債--6年期,公司債--7年期,公司債--10年期,金融債券--2年期,金融債券--3年期,金融債券--5年期,央行單券--CDs1年期,央行單券--CDs2年期,央行單券--SB 1年期
1997,-,6.13,-,6.41,6.50,-,7.45,7.17,6.87,6.79,6.64,6.72,-,5.99,6.06,6.15,-,-,-
1998,-,-,6.22,5.18,6.89,8.00,7.37,7.45,7.41,7.28,7.48,7.50,-,6.80,6.80,6.90,-,-,-
1999,-,5.96,-,6.06,6.21,-,-,5.92,6.38,6.01,-,5.77,6.22,5.12,5.35,5.45,5.70,-,-
2000,-,5.18,5.56,5.44,5.79,-,-,5.54,5.47,5.47,6.24,5.55,6.05,5.16,5.21,5.58,5.26,5.34,-
2001,-,-,-,4.99,4.03,-,-,4.08,-,3.95,-,3.40,4.46,4.73,3.22,3.68,3.59,3.72,-
2002,-,2.80,3.39,3.30,-,-,2.94,2.72,3.82,3.12,-,3.14,3.46,3.24,3.04,3.75,2.12,2.26,-
2003,-,1.66,-,2.28,-,-,-,1.63,1.80,1.89,-,2.46,2.17,1.65,1.90,2.80,1.29,1.40,-
2004,1.24,2.16,-,2.69,-,-,4.00,1.89,2.10,2.44,3.60,2.83,-,-,2.54,2.97,1.23,1.30,-
2005,1.70,1.85,-,1.95,2.17,-,4.25,1.76,-,1.98,-,2.39,2.30,-,-,2.29,-,-,-
2006,-,1.89,-,2.00,-,-,-,1.99,-,2.15,-,2.35,2.05,-,-,2.13,1.84,-,-
2007,-,1.78,-,2.34,-,-,-,2.47,-,2.28,2.12,2.93,-,-,2.83,2.34,2.31,-,-
2008,-,2.31,-,2.18,-,-,-,2.54,-,2.55,-,2.94,2.76,2.57,2.83,2.10,2.27,-,-
2009,-,1.07,-,1.51,-,-,-,2.18,-,1.71,-,2.26,1.92,-,-,2.10,-,-,-
2010,-,1.01,-,1.39,-,-,0.98,1.78,-,1.52,-,1.83,1.68,0.71,0.57,1.39,0.70,-,-
2011,-,1.11,-,1.37,-,-,-,1.45,-,1.41,1.75,1.67,1.67,0.91,1.21,1.47,0.95,-,-
2012,-,0.96,-,1.21,-,-,3.50,1.43,2.05,1.35,-,1.53,1.49,1.05,1.09,1.25,0.85,-,-
2013,-,1.01,-,1.53,1.49,2.30,3.00,1.34,1.30,1.37,1.54,1.50,1.69,-,-,1.33,0.66,0.77,-
