期間,全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%)
1992M01,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,657,551",...,...,...,...,...
1992M02,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,660,531",...,...,...,...,...
1992M03,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,664,984",...,...,...,...,...
1992M04,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,670,430",...,...,...,...,...
1992M05,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,674,514",...,...,...,...,...
1992M06,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,677,359",...,...,...,...,...
1992M07,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,681,546",...,...,...,...,...
1992M08,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,685,172",...,...,...,...,...
1992M09,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,688,708",...,...,...,...,...
1992M10,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,692,583",...,...,...,...,...
1992M11,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,693,409",...,...,...,...,...
1992M12,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,695,167",...,...,...,...,...
1993M01,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,696,115",2.33,...,...,...,...
1993M02,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,697,901",2.25,...,...,...,...
1993M03,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,701,019",2.16,...,...,...,...
1993M04,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,703,961",2.01,...,...,...,...
1993M05,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,703,912",1.76,...,...,...,...
1993M06,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,705,007",1.65,...,...,...,...
1993M07,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,707,130",1.52,...,...,...,...
1993M08,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,710,027",1.47,...,...,...,...
1993M09,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,712,610",1.42,...,...,...,...
1993M10,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,714,181",1.28,...,...,...,...
1993M11,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,708,328",0.88,...,...,...,...
1993M12,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,708,488",0.79,...,...,...,...
1994M01,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,710,820",0.87,...,...,...,...
1994M02,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,711,399",0.79,...,...,...,...
1994M03,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,713,798",0.75,...,...,...,...
1994M04,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,715,676",0.69,...,...,...,...
1994M05,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,716,069",0.71,...,...,...,...
1994M06,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,718,750",0.81,...,...,...,...
1994M07,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,721,760",0.86,...,...,...,...
1994M08,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,725,693",0.92,...,...,...,...
1994M09,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,730,108",1.02,...,...,...,...
1994M10,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,733,166",1.11,...,...,...,...
1994M11,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,734,961",1.56,...,...,...,...
1994M12,-,--,-,--,-,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,737,740",1.71,...,...,...,...
1995M01,...,--,...,--,...,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,739,864",1.70,...,...,...,...
1995M02,...,--,...,--,...,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,740,653",1.71,...,...,...,...
1995M03,...,--,...,--,...,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,751,687",2.21,...,...,...,...
1995M04,...,--,...,--,...,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,767,283",3.01,...,...,...,...
1995M05,...,--,...,--,...,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,776,124",3.50,...,...,...,...
1995M06,...,--,...,--,...,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,782,216",3.69,...,...,...,...
1995M07,...,--,...,--,...,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,787,384",3.81,...,...,...,...
1995M08,...,--,...,--,...,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,791,203",3.80,...,...,...,...
1995M09,...,--,...,--,...,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,795,361",3.77,...,...,...,...
1995M10,...,--,...,--,...,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,797,789",3.73,...,...,...,...
1995M11,...,--,...,--,...,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,799,084",3.70,...,...,...,...
1995M12,...,--,...,--,...,--,...,...,...,...,...,...,...,...,...,...,...,...,"1,800,187",3.59,...,...,...,...
1996M01,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,801,197",3.53,...,...,...,...
1996M02,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,803,169",3.59,...,...,...,...
1996M03,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,806,974",3.16,...,...,...,...
1996M04,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,809,531",2.39,...,...,...,...
1996M05,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,810,298",1.92,...,...,...,...
1996M06,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,809,778",1.55,...,...,...,...
1996M07,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,811,021",1.32,...,...,...,...
1996M08,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,811,533",1.13,...,...,...,...
1996M09,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,812,901",0.98,...,...,...,...
1996M10,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,813,298",0.86,...,...,...,...
1996M11,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,812,843",0.76,...,...,...,...
1996M12,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,812,293",0.67,...,...,...,...
1997M01,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,812,547",0.63,...,...,...,...
1997M02,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,812,486",0.52,...,...,...,...
1997M03,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,812,813",0.32,...,...,...,...
1997M04,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,813,899",0.24,...,...,...,...
1997M05,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,813,745",0.19,...,...,...,...
1997M06,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,813,202",0.19,...,...,...,...
1997M07,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,813,740",0.15,...,...,...,...
1997M08,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,813,736",0.12,...,...,...,...
1997M09,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,814,207",0.07,...,...,...,...
1997M10,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,814,192",0.05,...,...,...,...
1997M11,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,813,123",0.02,...,...,...,...
1997M12,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,812,260",0.00,...,...,...,...
1998M01,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,811,979",-0.03,...,...,...,...
1998M02,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,809,691",-0.15,...,...,...,...
1998M03,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,809,541",-0.18,...,...,...,...
1998M04,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,810,157",-0.21,...,...,...,...
1998M05,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,808,801",-0.27,...,...,...,...
1998M06,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,807,262",-0.33,...,...,...,...
1998M07,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,806,965",-0.37,...,...,...,...
1998M08,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,806,311",-0.41,...,...,...,...
1998M09,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,806,406",-0.43,...,...,...,...
1998M10,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,805,849",-0.46,...,...,...,...
1998M11,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,806,029",-0.39,...,...,...,...
1998M12,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,806,392",-0.32,...,...,...,...
1999M01,"20,792,528",...,...,...,...,...,"626,272",...,...,...,...,...,"7,616,374",...,...,...,...,...,"1,806,975",-0.28,...,...,...,...
1999M02,"20,792,367",...,...,...,...,...,"624,737",...,...,...,...,...,"7,581,124",...,...,...,...,...,"1,808,036",-0.09,...,...,...,...
1999M03,"20,853,733",...,...,...,...,...,"624,383",...,...,...,...,...,"7,563,319",...,...,...,...,...,"1,806,034",-0.19,...,...,...,...
1999M04,"20,872,046",...,...,...,...,...,"624,622",...,...,...,...,...,"7,580,289",...,...,...,...,...,"1,805,880",-0.24,...,...,...,...
1999M05,"20,896,335",...,...,...,...,...,"625,489",...,...,...,...,...,"7,586,830",...,...,...,...,...,"1,805,335",-0.19,...,...,...,...
1999M06,"20,911,703",...,...,...,...,...,"624,821",...,...,...,...,...,"7,594,209",...,...,...,...,...,"1,805,285",-0.11,...,...,...,...
1999M07,"20,927,719",...,...,...,...,...,"624,016",...,...,...,...,...,"7,639,314",...,...,...,...,...,"1,805,257",-0.09,...,...,...,...
1999M08,"20,931,847",...,...,...,...,...,"616,082",...,...,...,...,...,"7,639,031",...,...,...,...,...,"1,804,648",-0.09,...,...,...,...
1999M09,"20,958,213",...,...,...,...,...,"621,669",...,...,...,...,...,"7,666,406",...,...,...,...,...,"1,804,918",-0.08,...,...,...,...
1999M10,"20,985,817",...,...,...,...,...,"624,831",...,...,...,...,...,"7,694,337",...,...,...,...,...,"1,803,262",-0.14,...,...,...,...
1999M11,"21,038,432",...,...,...,...,...,"626,423",...,...,...,...,...,"7,718,914",...,...,...,...,...,"1,802,308",-0.21,...,...,...,...
1999M12,"21,089,859",...,...,...,...,...,"623,016",...,...,...,...,...,"7,738,971",...,...,...,...,...,"1,800,059",-0.35,...,...,...,...
2000M01,"21,154,942",1.74,...,...,...,...,"624,094",-0.35,...,...,...,...,"7,765,956",1.96,...,...,...,...,"1,798,309",-0.48,...,...,...,...
2000M02,"21,134,368",1.64,...,...,...,...,"621,994",-0.44,...,...,...,...,"7,725,926",1.91,...,...,...,...,"1,798,313",-0.54,...,...,...,...
2000M03,"21,173,833",1.53,...,...,...,...,"621,848",-0.41,...,...,...,...,"7,738,929",2.32,...,...,...,...,"1,796,357",-0.54,...,...,...,...
2000M04,"21,176,983",1.46,...,...,...,...,"622,334",-0.37,...,...,...,...,"7,757,485",2.34,...,...,...,...,"1,794,778",-0.61,...,...,...,...
2000M05,"21,196,279",1.44,...,...,...,...,"622,618",-0.46,...,...,...,...,"7,769,203",2.40,...,...,...,...,"1,791,833",-0.75,...,...,...,...
2000M06,"21,242,907",1.58,...,...,...,...,"622,929",-0.30,...,...,...,...,"7,803,010",2.75,...,...,...,...,"1,789,352",-0.88,...,...,...,...
