期間,發生件數(包括補報數)(件) - 合計_原始值,發生件數(包括補報數)(件) - 合計_年增率(%),發生件數(包括補報數)(件) - 竊盜_原始值,發生件數(包括補報數)(件) - 竊盜_年增率(%),發生件數(包括補報數)(件) - 暴力犯罪_原始值,發生件數(包括補報數)(件) - 暴力犯罪_年增率(%),發生件數(包括補報數)(件) - 其他刑案_原始值,發生件數(包括補報數)(件) - 其他刑案_年增率(%),破獲件數(包括破積案)(件) - 合計_原始值,破獲件數(包括破積案)(件) - 合計_年增率(%),破獲件數(包括破積案)(件) - 竊盜_原始值,破獲件數(包括破積案)(件) - 竊盜_年增率(%),破獲件數(包括破積案)(件) - 暴力犯罪_原始值,破獲件數(包括破積案)(件) - 暴力犯罪_年增率(%),破獲件數(包括破積案)(件) - 其他刑案_原始值,破獲件數(包括破積案)(件) - 其他刑案_年增率(%),嫌疑犯人數(人) - 合計_原始值,嫌疑犯人數(人) - 合計_年增率(%),嫌疑犯人數(人) - 竊盜_原始值,嫌疑犯人數(人) - 竊盜_年增率(%),嫌疑犯人數(人) - 暴力犯罪_原始值,嫌疑犯人數(人) - 暴力犯罪_年增率(%),嫌疑犯人數(人) - 其他刑案_原始值,嫌疑犯人數(人) - 其他刑案_年增率(%),刑案發生率(件/十萬人)_原始值,刑案發生率(件/十萬人)_年增率(%),犯罪人口率(人/十萬人)_原始值,犯罪人口率(人/十萬人)_年增率(%),破獲率(%)_原始值,破獲率(%)_年增率(%)
1992,"289,052",...,"190,305",...,"6,480",...,"92,267",...,"208,298",...,"110,301",...,"4,553",...,"91,984",...,"172,551",...,"34,360",...,"7,216",...,"130,975",...,"1,399.45",-,835.41,-,72.06,-
1993,"319,179",10.42,"214,383",12.65,"7,110",9.72,"97,686",5.87,"214,409",2.93,"110,103",-0.18,"5,267",15.68,"97,484",5.98,"176,748",2.43,"32,656",-4.96,"8,206",13.72,"135,886",3.75,"1,530.96",-,847.78,-,67.18,-
1994,"323,459",1.34,"236,251",10.20,"7,688",8.13,"79,520",-18.60,"209,177",-2.44,"122,935",11.65,"5,577",5.89,"79,253",-18.70,"153,097",-13.38,"30,786",-5.73,"8,837",7.69,"113,474",-16.49,"1,537.73",-,727.82,-,64.67,-
1995,"429,233",32.70,"332,154",40.59,"16,489",114.48,"80,590",1.35,"230,513",10.20,"144,735",17.73,"8,799",57.77,"75,403",-4.86,"155,613",1.64,"34,551",12.23,"10,993",24.40,"110,069",-3.00,"2,023.25",-,733.51,-,53.70,-
1996,"456,117",6.26,"348,879",5.04,"16,827",2.05,"90,411",12.19,"265,471",15.17,"171,993",18.83,"8,913",1.30,"82,921",9.97,"173,047",11.20,"40,995",18.65,"11,426",3.94,"120,626",9.59,"2,132.60",-,809.09,-,58.20,-
1997,"426,425",-6.51,"319,902",-8.31,"13,648",-18.89,"92,875",2.73,"242,392",-8.69,"148,074",-13.91,"9,676",8.56,"84,642",2.08,"172,540",-0.29,"34,162",-16.67,"11,084",-2.99,"127,294",5.53,"1,971.08",-,797.54,-,56.84,-
1998,"434,513",1.90,"334,495",4.56,"12,877",-5.65,"87,141",-6.17,"251,638",3.81,"164,354",10.99,"9,225",-4.66,"78,059",-7.78,"158,923",-7.89,"36,524",6.91,"10,627",-4.12,"111,772",-12.19,"1,989.92",-,727.81,-,57.91,-
1999,"386,241",-11.11,"272,355",-18.58,"11,362",-11.77,"102,524",17.65,"253,299",0.66,"148,520",-9.63,"8,922",-3.28,"95,857",22.80,"179,597",13.01,"40,677",11.37,"9,681",-8.90,"129,239",15.63,"1,754.80",-,815.96,-,65.58,-
2000,"438,520",13.54,"305,793",12.28,"10,306",-9.29,"122,421",19.41,"259,645",2.51,"144,398",-2.78,"6,834",-23.40,"108,413",13.10,"181,614",1.12,"38,068",-6.41,"8,217",-15.12,"135,329",4.71,"1,976.69",-,818.65,-,59.21,-
2001,"490,736",11.91,"338,063",10.55,"14,327",39.02,"138,346",13.01,"271,128",4.42,"154,811",7.21,"8,584",25.61,"107,733",-0.63,"180,527",-0.60,"40,178",5.54,"9,595",16.77,"130,754",-3.38,"2,196.56",-,808.05,-,55.25,-
