期間,想工作而未找工作_原始值,想工作而未找工作_年增率(%),想工作而未找工作_原始值,想工作而未找工作_年增率(%),想工作而未找工作_原始值,想工作而未找工作_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),料理家務_原始值,料理家務_年增率(%),料理家務_原始值,料理家務_年增率(%),料理家務_原始值,料理家務_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%)
1978,67,...,36,...,31,...,"1,150",...,648,...,502,...,"2,372",...,17,...,"2,354",...,637,...,328,...,309,...,222,...,173,...,50,...
1979,62,-7.11,35,-1.47,27,-13.56,"1,207",4.98,669,3.24,538,7.23,"2,432",2.53,10,-42.16,"2,422",2.86,668,4.86,348,6.09,320,3.56,208,-6.34,170,-1.67,38,-22.59
1980,55,-10.64,33,-6.65,23,-15.85,"1,269",5.11,691,3.38,577,7.25,"2,473",1.69,10,0.68,"2,463",1.70,708,6.01,370,6.20,338,5.79,244,16.95,204,20.00,40,3.44
1981,60,7.66,37,12.83,23,0.19,"1,303",2.74,707,2.32,596,3.25,"2,575",4.11,11,6.60,"2,564",4.10,756,6.72,400,8.28,355,5.02,241,-1.24,206,1.05,35,-13.00
1982,68,14.75,42,14.97,26,14.39,"1,337",2.56,718,1.56,618,3.75,"2,587",0.47,9,-20.29,"2,578",0.56,782,3.50,411,2.63,371,4.49,280,16.23,237,14.99,43,23.61
1983,77,12.44,49,15.09,28,8.10,"1,337",0.01,717,-0.15,620,0.19,"2,482",-4.04,10,11.10,"2,473",-4.09,805,2.89,422,2.78,382,3.00,296,5.72,253,6.57,43,1.00
1984,77,0.16,49,0.70,28,-0.79,"1,383",3.42,734,2.34,649,4.67,"2,452",-1.20,11,12.72,"2,442",-1.26,842,4.65,448,6.15,394,3.00,298,0.91,257,1.72,42,-3.83
1985,86,12.32,53,8.31,33,19.42,"1,426",3.12,757,3.15,669,3.09,"2,491",1.56,12,9.09,"2,479",1.53,885,5.06,476,6.22,408,3.74,322,7.93,281,9.51,41,-1.85
1986,90,4.40,56,4.90,34,3.58,"1,448",1.56,769,1.56,679,1.55,"2,418",-2.94,12,5.45,"2,405",-2.98,914,3.31,499,4.85,415,1.51,346,7.49,302,7.36,44,8.37
1987,80,-11.49,50,-11.19,30,-11.98,"1,488",2.75,781,1.53,707,4.13,"2,391",-1.09,15,19.19,"2,376",-1.20,953,4.30,528,5.73,425,2.58,336,-2.91,294,-2.76,42,-3.93
