期間,總人口數_原始值,總人口數_年增率(%),0~4歲_原始值,0~4歲_年增率(%),5~9歲_原始值,5~9歲_年增率(%),10~14歲_原始值,10~14歲_年增率(%),15~19歲_原始值,15~19歲_年增率(%),20~24歲_原始值,20~24歲_年增率(%),25~29歲_原始值,25~29歲_年增率(%),30~34歲_原始值,30~34歲_年增率(%),35~39歲_原始值,35~39歲_年增率(%),40~44歲_原始值,40~44歲_年增率(%),45~49歲_原始值,45~49歲_年增率(%),50~54歲_原始值,50~54歲_年增率(%),55~59歲_原始值,55~59歲_年增率(%),60~64歲_原始值,60~64歲_年增率(%),65~69歲_原始值,65~69歲_年增率(%),70~74歲_原始值,70~74歲_年增率(%),75~79歲_原始值,75~79歲_年增率(%),80~84歲_原始值,80~84歲_年增率(%),85~89歲_原始值,85~89歲_年增率(%),90~94歲_原始值,90~94歲_年增率(%),95~99歲_原始值,95~99歲_年增率(%),100歲以上_原始值,100歲以上_年增率(%),平均年齡(歲)_原始值,平均年齡(歲)_年增率(%)
1990,"20,401,305",...,"1,627,081",...,"1,893,288",...,"2,018,789",...,"1,796,472",...,"1,902,136",...,"1,974,557",...,"1,871,518",...,"1,684,644",...,"1,145,237",...,"887,542",...,"851,976",...,"765,281",...,"727,946",...,"546,450",...,"346,810",...,"222,946",...,"103,599",...,"38,266",...,"10,560",...,-,...,-,...,...,...
1991,"20,605,831",1.00,"1,623,446",-0.22,"1,794,009",-5.24,"2,009,695",-0.45,"1,840,047",2.43,"1,871,602",-1.61,"1,965,733",-0.45,"1,889,119",0.94,"1,720,569",2.13,"1,299,350",13.46,"873,267",-1.61,"873,650",2.54,"760,501",-0.62,"739,414",1.58,"571,441",4.57,"376,177",8.47,"232,334",4.21,"111,908",8.02,"41,650",8.84,"11,919",12.87,-,--,-,--,...,...
1992,"20,802,622",0.96,"1,629,553",0.38,"1,708,725",-4.75,"2,023,069",0.67,"1,864,578",1.33,"1,859,677",-0.64,"1,933,959",-1.62,"1,924,575",1.88,"1,749,763",1.70,"1,415,342",8.93,"887,387",1.62,"882,182",0.98,"770,190",1.27,"737,489",-0.26,"594,180",3.98,"400,066",6.35,"239,016",2.88,"124,816",11.53,"44,569",7.01,"11,394",-4.40,"1,801",--,291,--,...,...
1993,"20,995,416",0.93,"1,614,598",-0.92,"1,669,798",-2.28,"1,995,309",-1.37,"1,906,190",2.23,"1,831,670",-1.51,"1,911,217",-1.18,"1,945,458",1.09,"1,789,101",2.25,"1,512,385",6.86,"927,945",4.57,"891,163",1.02,"778,101",1.03,"731,680",-0.79,"624,985",5.18,"421,222",5.29,"247,103",3.38,"135,716",8.73,"47,089",5.65,"12,237",7.40,"2,069",14.88,380,30.58,31.11,...
1994,"21,177,874",0.87,"1,601,632",-0.80,"1,615,534",-3.25,"1,952,415",-2.15,"1,968,623",3.28,"1,800,721",-1.69,"1,892,287",-0.99,"1,959,649",0.73,"1,834,580",2.54,"1,594,472",5.43,"1,000,743",7.85,"883,687",-0.84,"789,157",1.42,"722,018",-1.32,"647,138",3.54,"444,508",5.53,"256,041",3.62,"146,238",7.75,"51,790",9.98,"13,780",12.61,"2,364",14.26,497,30.79,31.45,1.11
1995,"21,357,431",0.85,"1,590,485",-0.70,"1,601,359",-0.88,"1,884,239",-3.49,"2,008,335",2.02,"1,779,571",-1.17,"1,881,015",-0.60,"1,958,377",-0.06,"1,858,380",1.30,"1,670,238",4.75,"1,120,607",11.98,"848,364",-4.00,"810,191",2.67,"715,216",-0.94,"663,674",2.56,"470,126",5.76,"270,923",5.81,"152,575",4.33,"55,713",7.57,"14,924",8.30,"2,614",10.58,505,1.61,31.79,1.06
1996,"21,525,433",0.79,"1,590,975",0.03,"1,615,377",0.88,"1,776,191",-5.73,"1,999,609",-0.43,"1,824,814",2.54,"1,851,115",-1.59,"1,954,320",-0.21,"1,877,207",1.01,"1,704,099",2.03,"1,275,488",13.82,"827,045",-2.51,"828,300",2.24,"709,285",-0.83,"671,468",1.17,"490,537",4.34,"293,422",8.30,"156,180",2.36,"60,055",7.79,"16,336",9.46,"3,027",15.80,583,15.45,32.11,1.02
1997,"21,742,815",1.01,"1,599,094",0.51,"1,627,015",0.72,"1,688,171",-4.96,"2,012,253",0.63,"1,851,573",1.47,"1,842,670",-0.46,"1,922,538",-1.63,"1,915,911",2.06,"1,732,870",1.69,"1,392,439",9.17,"848,551",2.60,"839,094",1.30,"718,580",1.31,"672,937",0.22,"514,004",4.78,"314,268",7.10,"160,549",2.80,"68,321",13.76,"17,858",9.32,"3,402",12.39,717,22.98,32.42,0.98
1998,"21,928,591",0.85,"1,545,889",-3.33,"1,613,672",-0.82,"1,655,839",-1.92,"1,989,278",-1.14,"1,900,270",2.63,"1,820,827",-1.19,"1,904,516",-0.94,"1,943,867",1.46,"1,776,015",2.49,"1,490,384",7.03,"895,191",5.50,"851,945",1.53,"730,667",1.68,"667,738",-0.77,"543,076",5.66,"333,570",6.14,"167,429",4.29,"74,776",9.45,"19,089",6.89,"3,750",10.23,803,11.99,32.83,1.25
1999,"22,092,387",0.75,"1,507,221",-2.50,"1,625,278",0.72,"1,602,097",-3.25,"1,940,252",-2.46,"1,958,757",3.08,"1,796,059",-1.36,"1,889,664",-0.78,"1,951,084",0.37,"1,815,880",2.24,"1,567,781",5.19,"974,543",8.86,"850,827",-0.13,"747,472",2.30,"663,430",-0.65,"565,908",4.20,"354,407",6.25,"175,619",4.89,"80,058",7.06,"21,046",10.25,"4,138",10.35,866,7.85,33.21,1.15
